ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Dugtrio28,Dugtrio,Rival (Lab),00:00:34.07,00:00:41.59,00:02:11.32,6,0,0,0,41,59,DIG,GROWL,SCRATCH,,16,12,15,15,21,0,0,0,0,0,0,0,16,12,15,15,21,9840,4834,3030,0,1976,0,0,0,72,72,0,0,3,2,1,1,0,0,22,21,5,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,28,0,Jolteon
Dugtrio28,Dugtrio,Brock,00:02:42.92,00:03:01.16,00:11:23.08,9,0,0,3,1,16,DIG,GROWL,SCRATCH,,22,17,20,20,29,0,0,0,0,0,0,0,22,17,20,20,29,42936,24320,15931,709,1976,0,0,0,728,728,0,0,32,6,3,3,0,0,142,124,42,42,17,12,11,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,13,0,1,1,0,1,28,1,Flareon
Dugtrio28,Dugtrio,Rival (Nugget Bridge),00:06:58.40,00:07:18.88,00:28:21.17,18,0,0,7,18,88,DIG,GROWL,SCRATCH,,40,30,37,37,55,-3,-1,0,0,0,0,0,18,19,37,37,55,104025,46952,54033,1064,1976,0,0,0,1522,1522,0,0,64,17,14,3,0,0,1576,1054,76,76,62,40,22,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6494,0,0,0,0,3,13,0,1,1,0,1,28,1,Flareon
Dugtrio28,Dugtrio,Oddish Lass,00:09:46.11,00:09:57.37,00:38:46.21,22,0,0,9,57,37,DIG,GROWL,SCRATCH,,49,36,44,44,67,0,0,0,0,0,0,0,55,36,44,44,67,141529,55699,81372,2482,1976,0,0,0,1704,1704,0,0,92,27,24,3,0,0,3747,1871,128,128,89,58,30,0,0,0,0,0,21,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,52,10594,0,0,0,0,4,13,0,1,1,0,1,28,1,Flareon
Dugtrio28,Dugtrio,Misty,00:10:28.44,00:10:38.53,00:41:29.22,22,0,0,10,38,53,DIG,GROWL,SCRATCH,,49,36,44,44,67,0,0,0,0,0,0,0,55,36,44,44,67,151310,62071,84257,3006,1976,1,0,0,1865,1865,0,0,107,28,25,3,0,0,3945,1971,128,128,92,60,30,0,0,0,0,0,23,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,54,11933,0,0,0,0,5,13,0,1,1,0,1,28,1,Flareon
Dugtrio28,Dugtrio,Rocket,00:10:55.83,00:11:04.12,00:43:10.13,23,0,0,11,4,12,DIG,GROWL,SCRATCH,,51,38,46,46,70,0,0,0,0,0,0,0,57,38,46,46,70,157361,65544,86835,3006,1976,1,0,0,1956,1956,0,0,116,29,26,3,0,0,4087,2074,128,128,94,61,30,0,0,0,0,0,23,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,56,12622,0,0,0,0,5,13,0,1,1,0,1,28,1,Flareon
Dugtrio28,Dugtrio,Rival (SS Anne),00:13:06.12,00:13:19.03,00:52:02.01,25,0,0,13,19,3,BODY SLAM,DIG,SCRATCH,SAND-ATTACK,56,41,50,50,76,-1,0,0,0,0,0,0,40,41,50,50,76,189269,78958,103518,4817,1976,2,0,0,2386,2386,0,0,153,35,32,3,0,0,5367,2705,147,147,113,69,34,0,0,0,0,0,25,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,70,16926,0,0,0,0,11,19,0,1,1,2,1,28,1,Flareon
Dugtrio28,Dugtrio,Lt. Surge,00:13:59.63,00:14:06.10,00:55:08.02,26,0,0,14,6,10,BODY SLAM,DIG,SCRATCH,SAND-ATTACK,58,42,52,52,79,0,0,0,0,0,0,0,65,42,52,52,79,200430,85644,105604,7206,1976,2,0,0,2567,2567,0,0,159,36,33,3,0,0,5467,2781,147,147,114,70,34,0,0,0,0,0,25,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,71,17658,0,0,0,0,11,19,0,1,1,4,1,28,1,Flareon
Dugtrio28,Dugtrio,RTG1 - Wrapping Lass,00:14:55.00,00:15:08.24,00:59:12.55,26,0,0,15,8,24,BODY SLAM,DIG,SCRATCH,SAND-ATTACK,58,42,52,52,79,0,0,0,0,0,0,0,65,47,52,52,79,215123,93721,109323,10103,1976,2,0,0,2764,2706,58,0,180,37,34,3,0,0,5750,2971,147,147,118,70,34,0,0,0,0,0,25,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,75,18906,0,0,0,0,11,19,0,1,1,4,1,28,1,Flareon
Dugtrio28,Dugtrio,RTG4 - Status Jr Trainer,00:16:02.08,00:16:10.20,01:03:17.14,27,0,0,16,10,20,BODY SLAM,DIG,SCRATCH,SAND-ATTACK,60,44,54,54,82,0,0,0,0,0,0,0,67,49,54,54,82,229782,97014,119401,11391,1976,2,0,0,2965,2706,259,0,195,41,38,3,0,0,6451,3459,180,180,130,74,37,0,0,0,0,0,29,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,83,21786,0,0,0,0,11,19,0,1,1,4,1,28,1,Flareon
