ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Eevee4,Eevee,Rival (Lab),00:00:33.07,00:00:42.16,00:02:13.32,6,0,0,0,42,16,TACKLE,TAIL WHIP,,,13,12,14,14,13,0,0,0,0,0,0,0,13,12,14,14,13,9980,4597,3387,0,1996,0,0,0,71,71,0,0,2,2,1,1,0,0,24,21,12,12,4,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,4,0,Jolteon
Eevee4,Eevee,Brock,00:06:03.56,00:06:51.16,00:26:32.06,12,0,0,6,51,16,TACKLE,TAIL WHIP,SAND-ATTACK,,22,21,24,24,22,0,-2,0,0,0,0,0,22,10,24,24,22,97494,32835,60980,1683,1996,1,0,0,921,921,0,0,80,21,8,13,3,0,635,494,162,160,106,25,52,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,2026,0,0,0,0,2,13,0,0,0,1,2,4,2,Flareon
Eevee4,Eevee,Rival (Nugget Bridge),00:16:38.74,00:17:06.02,00:57:23.28,20,4,0,17,6,2,TACKLE,TAIL WHIP,SAND-ATTACK,GROWL,35,33,39,39,35,-1,-1,0,0,0,-1,0,31,21,39,39,35,208586,63811,135243,7223,2309,4,2,0,1915,1915,0,0,128,48,22,26,14,0,2236,1753,398,396,206,41,109,0,0,0,0,0,18,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,59,8967,0,0,0,0,7,13,0,1,1,2,2,4,6,Flareon
Eevee4,Eevee,Oddish Lass,00:20:45.18,00:20:58.71,01:12:43.13,23,4,0,20,58,71,QUICK ATTACK,TAIL WHIP,SAND-ATTACK,TACKLE,40,38,44,44,40,0,0,0,0,0,0,0,45,38,44,44,40,263771,80557,171860,9045,2309,5,2,0,2412,2412,0,0,190,58,32,26,14,0,3325,2571,576,574,259,49,139,0,0,0,0,0,22,0,11,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,80,13067,0,0,0,0,8,13,0,1,1,3,2,4,6,Flareon
Eevee4,Eevee,Misty,00:21:35.04,00:21:55.97,01:16:30.06,24,4,0,21,55,97,QUICK ATTACK,TAIL WHIP,SAND-ATTACK,TACKLE,42,40,46,46,42,0,0,0,0,0,0,0,47,40,46,46,42,277384,88136,177326,9613,2309,6,2,0,2597,2597,0,0,208,59,33,26,14,0,3435,2671,593,591,269,51,141,0,0,0,0,0,23,0,11,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,82,14406,0,0,0,0,9,13,0,1,1,3,2,4,6,Flareon
Eevee4,Eevee,Rocket,00:22:18.62,00:22:29.98,01:18:44.25,24,4,0,22,29,98,QUICK ATTACK,TAIL WHIP,SAND-ATTACK,TACKLE,42,40,46,46,42,0,0,0,0,0,0,0,47,40,46,46,42,285443,92343,180638,10153,2309,7,2,0,2684,2684,0,0,226,60,34,26,14,0,3599,2774,613,611,274,51,143,0,0,0,0,0,25,0,12,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,84,15095,0,0,0,0,9,13,0,1,1,3,2,4,6,Flareon
Eevee4,Eevee,Rival (SS Anne),00:24:46.97,00:24:58.65,01:28:30.22,26,4,0,24,58,65,BODY SLAM,TACKLE,SAND-ATTACK,QUICK ATTACK,45,43,50,50,45,0,0,0,0,0,0,0,50,43,50,50,45,320600,106715,197146,14430,2309,8,2,0,3144,3144,0,0,252,67,40,27,15,0,4579,3405,630,628,294,52,148,0,0,0,0,0,30,0,12,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,98,19399,0,0,0,0,15,19,0,1,1,4,2,4,6,Flareon
Eevee4,Eevee,Lt. Surge,00:27:26.11,00:27:34.37,01:31:55.06,27,12,0,27,34,37,BODY SLAM,TACKLE,SAND-ATTACK,QUICK ATTACK,47,44,52,52,47,-1,0,0,0,0,0,0,34,44,52,52,47,332889,113413,199682,17324,2470,9,3,0,3323,3323,0,0,262,68,41,27,15,0,4663,3481,630,628,297,53,149,0,0,0,0,0,30,0,12,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,99,20131,0,0,0,0,15,19,0,1,1,6,2,4,14,Flareon
Eevee4,Eevee,RTG1 - Wrapping Lass,00:28:29.98,00:28:40.31,01:36:15.01,27,12,0,28,40,31,BODY SLAM,REST,SAND-ATTACK,QUICK ATTACK,47,44,52,52,47,0,0,0,0,0,0,0,52,49,52,52,47,348484,121608,202714,21692,2470,9,3,0,3515,3463,52,0,281,69,42,27,15,0,4963,3671,630,628,301,53,149,0,0,0,0,0,31,0,12,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,103,21379,0,0,0,0,15,19,0,1,1,7,2,4,14,Flareon
Eevee4,Eevee,RTG4 - Status Jr Trainer,00:29:35.34,00:29:41.55,01:40:16.35,28,12,0,29,41,55,BODY SLAM,REST,SAND-ATTACK,QUICK ATTACK,49,46,54,54,49,0,0,0,0,0,0,0,55,51,54,54,49,362978,124934,212201,23373,2470,9,3,0,3711,3463,248,0,310,73,46,27,15,0,5562,4159,630,628,314,54,152,0,0,0,0,0,32,0,12,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,2,1,0,0,1,111,24259,0,0,0,0,15,19,0,1,1,7,2,4,14,Flareon
