date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
2-27,08:37:11,NINTEN,Electrode,Rival1-Lab,1,Pallet Town - Oak's Lab,1,41.36,41,0h0m41s,0,0,0,6,0:02,7.121,SonicBoom,SCREECH,TACKLE,,0,71,3,1,1,2,2,1,0,3000,Jolteon, ,Electric,Electric,222,Electrode4,Electrode,Rival (Lab),00:00:34.24,00:00:41.36,00:02:10.27,6,0,0,0,41,36,SonicBoom,SCREECH,TACKLE,,19,40,34,0,0,0,0,0,25,25,12,15,16,16,23,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,12,9,16,16,23,9785,4875,2924,0,1986,0,0,0,71,71,0,0,3,2,1,1,0,0,25,21,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,4,0,Jolteon
2-27,08:38:44,NINTEN,Electrode,Bug Catcher,3,Viridian Forest,1,2:14.81,2:14,0h2m14s,0,0,0,6,0:08,5.983,SonicBoom,SCREECH,TACKLE,,0,625,30,2,3,7,7,6,3,75,Flareon, ,Electric,Electric,334,Electrode4,Electrode,,00:02:08.82,00:02:14.81,00:08:19.41,6,0,0,2,14,81,SonicBoom,SCREECH,TACKLE,,18,40,32,0,0,0,0,0,12,25,12,15,16,16,23,100,85,85,85,85,100,15,15,15,15,0,0,0,0,-1,0,0,12,15,16,16,15,31939,21692,8261,0,1986,0,0,0,625,625,0,0,30,5,2,3,0,0,75,61,13,13,6,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
2-27,08:39:06,NINTEN,Electrode,Brock,1,Pewter City - Gym,2,2:36.78,2:36,0h2m36s,0,0,0,9,0:09,9.596,SonicBoom,SCREECH,TACKLE,,0,731,31,3,3,11,11,8,3,175,Flareon, ,Electric,Electric,794,Electrode4,Electrode,Brock,00:02:27.18,00:02:36.78,00:09:46.10,9,0,0,2,36,78,SonicBoom,SCREECH,TACKLE,,14,40,32,0,0,0,0,0,4,32,16,20,22,22,33,175,210,345,145,145,190,15,15,15,15,0,0,0,0,0,0,0,16,20,22,22,33,37128,24128,11014,0,1986,0,0,0,731,731,0,0,31,6,3,3,0,0,155,122,28,28,10,1,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
2-27,08:39:33,NINTEN,Electrode,Bug Catcher,4,Route 3,3,3:03.81,3:03,0h3m3s,0,0,0,10,0:11,12.054,SonicBoom,SCREECH,TACKLE,,0,804,31,4,3,17,17,11,4,1363,Flareon, ,Electric,Electric,1129,Electrode4,Electrode,,00:02:51.76,00:03:03.81,00:11:32.48,10,0,0,3,3,81,SonicBoom,SCREECH,TACKLE,,8,40,32,0,0,0,0,0,24,35,18,22,24,24,36,305,305,445,205,205,330,15,15,15,15,0,0,0,0,0,0,0,20,22,24,24,36,43526,26256,14870,414,1986,0,0,0,804,804,0,0,31,7,4,3,0,0,275,211,31,31,16,3,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1004,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
2-27,08:39:48,NINTEN,Electrode,Youngster,1,Route 3,2,3:18.54,3:18,0h3m18s,0,0,0,11,0:12,11.368,SonicBoom,SCREECH,TACKLE,,0,808,31,5,3,22,22,14,4,1463,Flareon, ,Electric,Electric,1407,Electrode4,Electrode,,00:03:07.18,00:03:18.54,00:12:30.55,11,0,0,3,18,54,SonicBoom,SCREECH,TACKLE,,5,40,30,0,0,0,0,0,27,38,19,24,26,26,39,370,421,524,270,270,457,15,15,15,15,0,-2,0,0,0,0,0,21,12,26,26,39,47013,26552,18061,414,1986,0,0,0,808,808,0,0,31,8,5,3,0,0,350,270,31,31,21,4,11,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1282,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
2-27,08:40:21,NINTEN,Electrode,Bug Catcher,5,Route 3,4,3:52.12,3:52,0h3m52s,0,0,0,12,0:14,30.771,SonicBoom,SCREECH,TACKLE,,0,812,31,6,3,38,38,26,4,1628,Flareon, ,Electric,Electric,1882,Electrode4,Electrode,,00:03:21.35,00:03:52.12,00:14:43.51,12,0,0,3,52,12,SonicBoom,SCREECH,TACKLE,,2,37,20,0,0,0,0,0,29,40,21,26,28,28,42,550,531,694,360,360,617,15,15,15,15,0,0,0,0,-1,0,0,23,26,28,28,27,54989,26720,25869,414,1986,0,0,0,812,812,0,0,31,9,6,3,0,0,480,382,31,31,36,8,12,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1757,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
2-27,08:40:38,NINTEN,Electrode,Bug Catcher,6,Route 3,2,4:09.04,4:09,0h4m9s,0,0,0,12,0:15,12.839,SonicBoom,SCREECH,TACKLE,,0,820,32,7,3,44,44,30,4,1718,Flareon, ,Electric,Electric,2175,Electrode4,Electrode,,00:03:56.20,00:04:09.04,00:15:50.44,12,0,0,4,9,4,SonicBoom,SCREECH,TACKLE,,0,36,17,0,0,0,0,0,26,40,21,26,28,28,42,645,581,784,405,405,692,15,15,15,15,0,0,0,0,-1,0,0,25,26,28,28,27,59002,27164,29438,414,1986,0,0,0,820,820,0,0,32,10,7,3,0,0,560,447,34,34,42,9,14,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2050,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
2-27,08:41:06,NINTEN,Electrode,Super Nerd,1,Mt Moon - 1,2,4:36.76,4:36,0h4m36s,0,0,0,13,0:17,9.497,SonicBoom,SCREECH,TACKLE,,0,967,42,8,3,48,48,32,4,1828,Flareon, ,Electric,Electric,2624,Electrode4,Electrode,,00:04:27.27,00:04:36.76,00:17:40.10,13,0,0,4,36,76,SonicBoom,SCREECH,TACKLE,,16,40,35,0,0,0,0,0,38,43,22,28,30,30,46,710,646,904,555,555,837,15,15,15,15,0,0,0,0,0,0,0,24,28,30,30,46,65568,31073,32095,414,1986,0,0,0,967,967,0,0,42,11,8,3,0,0,640,506,39,39,46,9,16,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2499,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
2-27,08:41:49,NINTEN,Electrode,Super Nerd,2,Mt Moon - 3,3,5:20.00,5:20,0h5m20s,0,0,0,15,0:20,22.15,SonicBoom,SCREECH,TACKLE,,0,1188,59,9,3,58,58,39,5,2103,Flareon, ,Electric,Electric,3411,Electrode4,Electrode,,00:04:57.85,00:05:20.00,00:20:31.32,15,0,0,5,20,0,SonicBoom,SCREECH,TACKLE,,11,39,31,0,0,0,0,0,32,48,25,31,34,34,52,870,821,1099,710,710,997,15,15,15,15,0,-2,0,0,0,0,0,28,15,34,34,52,75850,35685,37765,414,1986,0,0,0,1188,1188,0,0,59,12,9,3,0,0,773,615,50,50,55,13,20,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3286,0,0,0,0,2,13,0,1,1,0,0,4,0,Flareon
2-27,08:42:14,NINTEN,Electrode,Rocket,42,Mt Moon - 3,3,5:45.35,5:45,0h5m45s,0,0,0,16,0:22,15.562,SonicBoom,SCREECH,TACKLE,,0,1206,65,10,3,66,66,44,6,2403,Flareon, ,Electric,Electric,4146,Electrode4,Electrode,,00:05:29.79,00:05:45.35,00:22:11.34,16,0,0,5,45,35,SonicBoom,SCREECH,TACKLE,,3,39,31,0,0,0,0,0,29,51,27,33,36,36,55,985,991,1273,850,850,1177,15,15,15,15,-1,-1,0,0,0,0,0,19,21,36,36,55,81852,37255,41849,762,1986,0,0,0,1206,1206,0,0,65,13,10,3,0,0,893,725,72,72,61,15,25,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4021,0,0,0,0,2,13,0,1,1,0,0,4,0,Flareon
