date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
1-28,12:40:31,NINTEN,Electrode,Rival1-Lab,1,Pallet Town - Oak's Lab,1,54.35,54,0h0m54s,0,0,0,6,0:03,6.947,SonicBoom,SCREECH,TACKLE,,0,71,2,1,1,2,2,1,0,3000,Jolteon, ,Electric,Electric,222,Electrode1,Electrode,Rival (Lab),00:00:47.40,00:00:54.35,00:03:00.30,6,0,0,0,54,35,SonicBoom,SCREECH,TACKLE,,18,40,35,0,0,0,0,0,25,25,12,15,16,16,23,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,12,9,16,16,23,12890,7918,2884,0,2088,0,0,0,71,71,0,0,2,2,1,1,0,0,40,21,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
1-28,12:42:41,NINTEN,Electrode,Rival1-Lab,1,Pallet Town - Oak's Lab,1,49.83,49,0h0m49s,0,0,0,6,0:02,6.389,SonicBoom,SCREECH,TACKLE,,0,71,2,1,1,2,2,1,0,3000,Jolteon, ,Electric,Electric,222,Electrode1,Electrode,Rival (Lab),00:00:43.44,00:00:49.83,00:02:44.12,6,0,0,0,49,83,SonicBoom,SCREECH,TACKLE,,18,40,35,0,0,0,0,0,25,25,12,15,16,16,23,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,12,15,16,16,23,11810,7073,2751,0,1986,0,0,0,71,71,0,0,2,2,1,1,0,0,40,21,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
1-28,12:44:52,NINTEN,Electrode,Rival1-Lab,1,Pallet Town - Oak's Lab,1,49.44,49,0h0m49s,0,0,0,6,0:02,6.748,SonicBoom,SCREECH,TACKLE,,0,71,2,1,1,2,2,1,0,3000,Jolteon, ,Electric,Electric,222,Electrode1,Electrode,Rival (Lab),00:00:42.69,00:00:49.44,00:02:42.34,6,0,0,0,49,44,SonicBoom,SCREECH,TACKLE,,18,40,35,0,0,0,0,0,20,25,12,15,16,16,23,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,12,15,16,16,23,11718,6889,2837,0,1992,0,0,0,71,71,0,0,2,2,1,1,0,0,40,21,5,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
1-28,12:46:16,NINTEN,Electrode,Bug Catcher,1,Viridian Forest,2,2:13.08,2:13,0h2m13s,0,0,0,7,0:08,9.417,SonicBoom,SCREECH,TACKLE,,0,521,46,2,3,7,7,3,4,75,Flareon, ,Electric,Electric,411,Electrode1,Electrode,,00:02:03.66,00:02:13.08,00:08:12.48,7,0,0,2,13,8,SonicBoom,SCREECH,TACKLE,,15,40,35,0,0,0,0,0,23,27,14,17,18,18,26,185,160,160,140,140,201,15,15,15,15,0,0,0,0,0,0,0,14,17,18,18,26,31532,22152,7388,0,1992,0,0,0,521,521,0,0,46,5,2,3,0,0,140,86,9,9,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,286,0,0,0,0,0,13,0,0,0,0,0,1,0,Flareon
1-28,12:46:58,NINTEN,Electrode,Bug Catcher,3,Viridian Forest,1,2:55.47,2:55,0h2m55s,0,0,0,8,0:10,6.021,SonicBoom,SCREECH,TACKLE,,0,624,54,3,9,10,10,5,3,145,Flareon, ,Electric,Electric,523,Electrode1,Electrode,,00:02:49.45,00:02:55.47,00:10:59.42,8,0,0,2,55,47,SonicBoom,SCREECH,TACKLE,,12,40,35,0,0,0,0,0,23,30,15,18,20,20,30,230,190,195,160,160,246,15,15,15,15,0,0,0,0,0,0,0,15,18,20,20,30,41546,24723,14831,0,1992,0,0,0,624,624,0,0,54,12,3,9,5,0,200,136,12,12,10,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,398,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
1-28,12:47:28,NINTEN,Electrode,Brock,1,Pewter City - Gym,2,3:25.73,3:25,0h3m25s,0,0,0,9,0:12,9.547,SonicBoom,SCREECH,TACKLE,,0,728,55,4,11,14,14,7,3,245,Flareon, ,Electric,Electric,983,Electrode1,Electrode,Brock,00:03:16.18,00:03:25.73,00:12:58.39,9,0,0,3,25,73,SonicBoom,SCREECH,TACKLE,,8,40,35,0,0,0,0,0,26,32,17,20,22,22,33,305,315,455,220,220,336,15,15,15,15,0,0,0,0,0,0,0,17,20,22,22,33,48683,27217,18994,480,1992,0,0,0,728,728,0,0,55,15,4,11,7,0,280,197,18,18,14,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,858,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
1-28,12:48:03,NINTEN,Electrode,Bug Catcher,4,Route 3,3,4:00.15,4:00,0h4m0s,0,0,0,10,0:15,14.396,SonicBoom,SCREECH,TACKLE,,0,841,56,5,11,21,21,11,4,1433,Flareon, ,Electric,Electric,1318,Electrode1,Electrode,,00:03:45.75,00:04:00.15,00:15:14.40,10,0,0,4,0,15,SonicBoom,SCREECH,TACKLE,,13,40,35,0,0,0,0,0,29,35,18,22,24,24,36,435,410,555,280,280,476,15,15,15,15,0,0,0,0,-2,0,0,22,22,24,24,18,56844,30951,23421,480,1992,0,0,0,841,841,0,0,56,16,5,11,7,0,400,286,24,24,20,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1193,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
1-28,12:48:18,NINTEN,Electrode,Youngster,1,Route 3,2,4:15.40,4:15,0h4m15s,0,0,0,11,0:16,12.205,SonicBoom,SCREECH,TACKLE,,0,845,57,6,11,28,25,13,4,1533,Flareon, ,Electric,Electric,1596,Electrode1,Electrode,,00:04:03.20,00:04:15.40,00:16:14.50,11,0,0,4,15,40,SonicBoom,SCREECH,TACKLE,,9,40,35,0,0,0,0,0,20,38,19,24,26,26,39,500,526,634,345,345,603,15,15,15,15,0,-1,0,0,0,0,0,21,15,26,26,39,60454,31175,26807,480,1992,0,0,0,845,845,0,0,57,17,6,11,7,0,480,345,36,36,24,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1471,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
1-28,12:48:40,NINTEN,Electrode,Bug Catcher,5,Route 3,4,4:37.31,4:37,0h4m37s,0,0,0,12,0:17,16.495,SonicBoom,SCREECH,TACKLE,,0,851,57,7,11,36,33,17,4,1698,Flareon, ,Electric,Electric,2071,Electrode1,Electrode,,00:04:20.81,00:04:37.31,00:17:41.02,12,0,0,4,37,31,SonicBoom,SCREECH,TACKLE,,1,40,35,0,0,0,0,0,35,40,21,26,28,28,42,680,636,804,435,435,763,15,15,15,15,0,0,0,0,0,0,0,23,26,28,28,42,65626,31501,31207,926,1992,0,0,0,851,851,0,0,57,18,7,11,7,0,640,457,41,41,32,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1946,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
1-28,12:49:02,NINTEN,Electrode,Bug Catcher,6,Route 3,2,4:59.36,4:59,0h4m59s,0,0,0,13,0:19,17.87,SonicBoom,SCREECH,TACKLE,,0,859,58,8,11,44,41,23,4,1788,Flareon, ,Electric,Electric,2364,Electrode1,Electrode,,00:04:41.49,00:04:59.36,00:19:08.21,13,0,0,4,59,36,SonicBoom,SCREECH,TACKLE,,0,40,28,0,0,0,0,0,34,43,22,28,30,30,46,775,686,894,480,480,838,15,15,15,15,0,0,0,0,-2,0,0,24,28,30,30,23,70865,31953,35994,926,1992,0,0,0,859,859,0,0,58,19,8,11,7,0,716,522,45,45,40,3,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2239,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
