ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Electrode10,Electrode,Rival (Lab),00:00:33.72,00:00:40.86,00:02:08.10,6,0,0,0,40,86,SonicBoom,SCREECH,TACKLE,,12,15,16,16,23,0,0,0,0,0,0,0,12,15,16,16,23,9669,4729,2933,0,2007,0,0,0,71,71,0,0,1,2,1,1,0,0,24,21,5,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,10,0,Jolteon
Electrode10,Electrode,Brock,00:02:40.93,00:02:51.18,00:10:42.36,10,0,0,2,51,18,SonicBoom,SCREECH,TACKLE,,18,22,24,24,36,0,0,0,0,0,0,0,18,22,24,24,36,40535,24004,14178,346,2007,0,0,0,731,731,0,0,24,7,4,3,0,0,235,174,40,40,14,3,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1003,0,0,0,0,1,13,0,1,1,0,0,10,0,Flareon
Electrode10,Electrode,Rival (Nugget Bridge),00:06:13.20,00:06:42.72,00:25:56.44,17,0,0,6,42,72,SonicBoom,SCREECH,TACKLE,,28,35,38,38,59,-3,-2,0,0,0,-3,0,13,17,38,38,59,95383,43469,47945,1962,2007,1,0,0,1422,1422,0,0,37,15,12,3,0,0,1207,948,117,117,68,17,38,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5393,0,0,0,0,3,13,0,1,1,0,0,10,0,Flareon
Electrode10,Electrode,Oddish Lass,00:10:02.27,00:10:17.67,00:40:05.07,21,0,0,10,17,67,SonicBoom,SCREECH,THUNDER WAVE,TACKLE,34,43,47,47,72,0,0,0,0,0,0,0,38,43,47,47,72,146286,56259,83728,4292,2007,1,0,0,1766,1766,0,0,72,25,22,3,0,0,2166,1768,286,286,121,27,70,0,0,0,0,0,6,0,6,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,50,9493,0,0,0,0,5,13,0,1,1,1,0,10,0,Flareon
Electrode10,Electrode,Misty,00:11:01.19,00:11:15.81,00:43:55.07,22,0,0,11,15,81,SonicBoom,SCREECH,THUNDER WAVE,TACKLE,36,45,49,49,76,0,0,0,0,0,0,0,40,45,49,49,76,160086,63714,90073,4292,2007,1,0,0,1944,1944,0,0,81,27,24,3,0,0,2340,1917,304,304,130,28,75,0,0,0,0,0,7,0,7,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,53,11283,0,0,0,0,6,13,0,1,1,1,0,10,0,Flareon
Electrode10,Electrode,Rocket,00:11:33.17,00:11:45.87,00:45:53.42,22,0,0,11,45,87,SonicBoom,SCREECH,THUNDER WAVE,TACKLE,36,45,49,49,76,0,0,0,0,0,0,0,40,45,49,49,76,167201,67192,93710,4292,2007,1,0,0,2033,2033,0,0,88,28,25,3,0,0,2460,2020,339,339,136,29,80,0,0,0,0,0,7,0,7,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,55,11972,0,0,0,0,6,13,0,1,1,1,0,10,0,Flareon
Electrode10,Electrode,Rival (SS Anne),00:14:45.37,00:15:10.20,00:57:10.20,25,1,0,15,10,20,SonicBoom,SCREECH,THUNDER WAVE,TACKLE,41,51,55,55,86,-1,-2,0,0,0,-4,0,41,25,55,55,86,207805,79734,115696,10210,2165,4,1,0,2446,2446,0,0,124,33,30,3,0,0,3203,2598,471,471,174,37,107,0,0,0,0,0,10,0,13,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,68,16006,0,0,0,0,11,21,0,1,1,1,0,10,1,Flareon
Electrode10,Electrode,Lt. Surge,00:15:57.29,00:16:10.73,01:01:09.40,25,1,0,16,10,73,SonicBoom,SCREECH,THUNDER WAVE,TACKLE,41,51,55,55,86,0,0,0,0,0,0,0,46,51,55,55,86,222165,86253,119412,14335,2165,5,1,0,2623,2623,0,0,129,34,31,3,0,0,3294,2674,491,491,181,38,108,0,0,0,0,0,11,0,13,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,4,0,0,0,69,16738,0,0,0,0,11,21,0,1,1,3,0,10,1,Flareon
Electrode10,Electrode,RTG1 - Wrapping Lass,00:17:05.15,00:17:28.62,01:06:16.57,26,1,0,17,28,62,THUNDERBOLT,SonicBoom,THUNDER WAVE,TACKLE,42,53,58,58,89,0,0,0,0,0,0,0,47,59,58,58,89,240602,94101,125569,18767,2165,6,1,0,2812,2760,52,0,145,35,32,3,0,0,3550,2866,520,520,190,39,111,0,0,0,0,0,13,0,13,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,9,4,0,0,0,73,17986,0,0,0,0,11,21,0,1,1,4,0,10,1,Flareon
Electrode10,Electrode,RTG4 - Status Jr Trainer,00:18:41.27,00:18:51.14,01:11:42.06,27,1,0,18,51,14,THUNDERBOLT,SonicBoom,THUNDER WAVE,TACKLE,44,54,60,60,93,0,0,0,0,0,0,0,49,60,60,60,93,260111,99073,135217,23656,2165,8,1,0,2999,2786,213,0,168,39,36,3,0,0,4428,3356,595,595,202,40,116,0,0,0,0,0,16,0,13,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,9,4,0,0,0,81,20866,0,0,0,0,12,21,0,1,1,4,0,10,1,Flareon
