date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
11-24,13:51:49,NINTEN,Exeggutor,Rival1-Lab,1,Pallet Town - Oak's Lab,1,45.95,45,0h0m45s,0,1,1,5,0:02,9.922,BARRAGE,HYPNOSIS,,,0,77,2,1,1,3,3,2,1,3000,Jolteon, ,Grass,Psychic,253,Exeggutor6,Exeggutor,Rival (Lab),00:00:36.04,00:00:45.95,00:02:26.42,5,0,0,0,45,95,BARRAGE,HYPNOSIS,,,17,20,0,0,0,0,0,0,16,26,16,15,19,19,12,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,16,15,19,19,12,10883,5163,3611,0,2109,0,0,0,77,77,0,0,2,2,1,1,0,0,22,21,10,10,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,1,6,1,Jolteon
11-24,13:54:00,NINTEN,Exeggutor,Lass,19,Viridian Forest,2,2:57.05,2:57,0h2m57s,0,1,1,6,0:11,31.5,BARRAGE,HYPNOSIS,,,0,562,31,2,4,31,28,16,2,175,Flareon, ,Grass,Psychic,404,Exeggutor6,Exeggutor,,00:02:25.55,00:02:57.05,00:11:05.14,6,0,0,2,57,5,BARRAGE,HYPNOSIS,,,5,10,0,0,0,0,0,0,19,29,18,17,21,21,13,156,159,142,145,145,146,15,15,15,15,-1,-4,0,0,0,0,0,11,5,21,21,13,41995,21172,18279,435,2109,0,0,0,562,562,0,0,31,6,2,4,1,3,84,82,36,36,18,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,248,0,0,0,0,3,10,0,1,1,0,1,6,1,Flareon
11-24,13:56:17,NINTEN,Exeggutor,Bug Catcher,3,Viridian Forest,1,5:14.20,5:14,0h5m14s,0,1,1,9,0:20,10.171,BARRAGE,HYPNOSIS,,,0,783,39,3,16,72,69,35,2,265,Flareon, ,Grass,Psychic,1004,Exeggutor6,Exeggutor,,00:05:04.03,00:05:14.20,00:20:05.51,9,0,0,5,14,20,BARRAGE,HYPNOSIS,,,0,0,0,0,0,0,0,0,19,39,25,23,30,30,18,756,534,732,480,480,674,15,15,15,15,0,0,0,0,0,0,0,25,23,30,30,18,74432,26425,42894,3004,2109,0,0,0,783,783,0,0,39,19,3,16,1,3,382,339,162,162,53,8,20,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,848,0,0,0,0,6,10,0,1,1,0,1,6,1,Flareon
11-24,13:56:59,NINTEN,Exeggutor,Jr Trainer M,1,Pewter City - Gym,2,5:56.10,5:56,0h5m56s,0,1,1,10,0:22,20.19,BARRAGE,HYPNOSIS,,,0,897,45,4,17,81,78,43,2,365,Flareon, ,Grass,Psychic,1338,Exeggutor6,Exeggutor,,00:05:35.91,00:05:56.10,00:22:51.03,10,0,0,5,56,10,BARRAGE,HYPNOSIS,,,11,20,0,0,0,0,0,0,18,42,27,25,33,33,19,816,664,842,555,555,809,15,15,15,15,0,0,0,0,0,0,0,27,25,33,33,19,84344,29843,48984,3408,2109,0,0,0,897,897,0,0,45,21,4,17,2,3,436,390,186,186,60,12,26,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,18,1182,0,0,0,0,6,10,0,1,1,0,1,6,1,Flareon
11-24,13:58:04,NINTEN,Exeggutor,Bug Catcher,15,Viridian Forest,2,7:00.75,7:00,0h7m0s,0,1,1,11,0:27,17.141,BARRAGE,HYPNOSIS,,,0,1060,51,5,22,99,96,54,2,545,Flareon, ,Grass,Psychic,1716,Exeggutor6,Exeggutor,,00:06:43.61,00:07:00.75,00:27:05.56,11,0,0,7,0,75,BARRAGE,HYPNOSIS,,,2,20,0,0,0,0,0,0,37,46,29,27,36,36,21,1141,859,1152,725,725,1090,15,15,15,15,0,0,0,0,-1,0,0,29,27,36,36,13,99637,33797,60323,3408,2109,0,0,0,1060,1060,0,0,51,27,5,22,2,3,586,529,195,195,75,15,34,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,25,1560,0,0,0,0,6,10,0,1,1,0,1,6,1,Flareon
11-24,13:58:46,NINTEN,Exeggutor,Bug Catcher,2,Viridian Forest,3,7:42.53,7:42,0h7m42s,0,1,1,11,0:29,34.674,BARRAGE,HYPNOSIS,,,0,1095,68,6,22,126,123,56,2,625,Flareon, ,Grass,Psychic,1965,Exeggutor6,Exeggutor,,00:07:07.86,00:07:42.53,00:29:51.27,11,0,0,7,42,53,BARRAGE,HYPNOSIS,,,0,0,0,0,0,0,0,0,18,46,29,27,36,36,21,1286,929,1297,795,795,1195,15,15,15,15,0,0,0,0,0,0,0,29,27,36,36,21,109568,34679,68984,3796,2109,0,0,0,1095,1095,0,0,68,28,6,22,2,3,665,595,223,223,85,16,34,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,28,1809,0,0,0,0,6,10,0,1,1,0,1,6,1,Flareon
11-24,13:59:02,NINTEN,Exeggutor,Bug Catcher,1,Viridian Forest,2,7:58.64,7:58,0h7m58s,0,1,1,11,0:30,10.579,BARRAGE,HYPNOSIS,,,0,1111,69,7,22,130,127,59,2,685,Flareon, ,Grass,Psychic,2123,Exeggutor6,Exeggutor,,00:07:48.06,00:07:58.64,00:30:54.52,11,0,0,7,58,64,BARRAGE,HYPNOSIS,,,0,0,0,0,0,0,0,0,14,46,29,27,36,36,21,1376,989,1367,835,835,1285,15,15,15,15,0,0,0,0,-1,0,0,29,27,36,36,13,113373,35123,71925,4216,2109,0,0,0,1111,1111,0,0,69,29,7,22,2,3,724,643,247,247,89,17,35,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,30,1967,0,0,0,0,6,10,0,1,1,0,1,6,1,Flareon
11-24,14:09:58,NINTEN,Exeggutor,Brock,1,Pewter City - Gym,2,18:54.86,18:54,0h18m54s,2,2,4,15,1:06,78.673,BARRAGE,HYPNOSIS,,,2,2439,114,8,82,260,256,99,1,755,Flareon, ,Grass,Psychic,4681,Exeggutor6,Exeggutor,Brock,00:17:36.19,00:18:54.86,01:06:10.05,15,2,0,18,54,86,BARRAGE,HYPNOSIS,,,0,0,0,0,0,0,0,0,9,60,40,37,48,48,28,3971,3737,3980,2680,2680,4585,15,15,15,15,0,-6,0,0,0,0,0,40,9,48,48,28,240296,66571,164435,6867,2423,2,2,0,2439,2439,0,0,114,90,8,82,2,3,2257,1791,439,439,189,39,68,0,0,0,0,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,92,4525,0,0,0,0,6,10,0,1,1,0,2,6,4,Flareon
11-24,14:10:30,NINTEN,Exeggutor,Bug Catcher,4,Route 3,3,19:27.03,19:27,0h19m27s,2,2,4,15,1:08,12.329,BARRAGE,HYPNOSIS,,,2,2552,116,9,82,264,260,100,2,1943,Flareon, ,Grass,Psychic,5016,Exeggutor6,Exeggutor,,00:19:14.70,00:19:27.03,01:08:17.09,15,2,0,19,27,3,BARRAGE,HYPNOSIS,,,16,20,0,0,0,0,0,0,58,60,40,37,48,48,28,4101,3832,4080,2740,2740,4725,15,15,15,15,0,0,0,0,0,0,0,45,37,48,48,28,247920,70275,168355,6867,2423,2,2,0,2552,2552,0,0,116,91,9,82,2,3,2355,1880,441,441,193,39,69,0,0,0,0,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,95,4860,0,0,0,0,6,10,0,1,1,0,2,6,4,Flareon
11-24,14:10:46,NINTEN,Exeggutor,Youngster,1,Route 3,2,19:42.85,19:42,0h19m42s,2,2,4,16,1:09,12.578,BARRAGE,HYPNOSIS,,,2,2556,116,10,82,269,265,103,2,2043,Flareon, ,Grass,Psychic,5294,Exeggutor6,Exeggutor,,00:19:30.26,00:19:42.85,01:09:19.35,16,2,0,19,42,85,BARRAGE,HYPNOSIS,,,11,20,0,0,0,0,0,0,56,63,42,39,51,51,30,4166,3948,4159,2805,2805,4852,15,15,15,15,0,-2,0,0,0,0,0,58,19,51,51,30,251666,70535,171841,6867,2423,2,2,0,2556,2556,0,0,116,92,10,82,2,3,2431,1939,446,446,196,41,72,0,0,0,0,0,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,97,5138,0,0,0,0,6,10,0,1,1,0,2,6,4,Flareon
11-24,14:10:59,NINTEN,Exeggutor,Lass,2,Route 3,2,19:55.95,19:55,0h19m55s,2,2,4,16,1:10,9.252,BARRAGE,HYPNOSIS,,,2,2562,117,11,82,272,268,104,2,2208,Flareon, ,Grass,Psychic,5542,Exeggutor6,Exeggutor,,00:19:46.70,00:19:55.95,01:10:11.16,16,2,0,19,55,95,BARRAGE,HYPNOSIS,,,8,20,0,0,0,0,0,0,54,63,42,39,51,51,30,4242,4061,4234,2870,2870,4974,15,15,15,15,0,0,0,0,0,0,0,47,39,51,51,30,254767,70967,174510,6867,2423,2,2,0,2562,2562,0,0,117,93,11,82,2,3,2496,1996,448,448,199,41,73,0,0,0,0,0,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,99,5386,0,0,0,0,6,10,0,1,1,0,2,6,4,Flareon
11-24,14:11:18,NINTEN,Exeggutor,Bug Catcher,6,Route 3,2,20:14.41,20:14,0h20m14s,2,2,4,16,1:11,11.671,BARRAGE,HYPNOSIS,,,2,2618,119,12,82,276,272,106,2,2358,Flareon, ,Grass,Psychic,5835,Exeggutor6,Exeggutor,,00:20:02.73,00:20:14.41,01:11:24.09,16,2,0,20,14,41,BARRAGE,HYPNOSIS,,,4,20,0,0,0,0,0,0,54,63,42,39,51,51,30,4337,4111,4324,2915,2915,5049,15,15,15,15,0,0,0,0,0,0,0,47,39,51,51,30,259140,72105,177745,6867,2423,2,2,0,2618,2618,0,0,119,94,12,82,2,3,2562,2061,448,448,202,42,73,0,0,0,0,0,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,101,5679,0,0,0,0,6,10,0,1,1,0,2,6,4,Flareon
11-24,14:11:52,NINTEN,Exeggutor,Super Nerd,1,Mt Moon - 1,2,20:49.28,20:49,0h20m49s,2,2,4,17,1:13,10.969,BARRAGE,HYPNOSIS,BIDE,,2,2779,123,13,82,279,275,107,1,2468,Flareon, ,Grass,Psychic,6284,Exeggutor6,Exeggutor,,00:20:38.31,00:20:49.28,01:13:41.59,17,2,0,20,49,28,BARRAGE,HYPNOSIS,BIDE,,17,20,10,0,0,0,0,0,67,67,45,41,54,54,31,4402,4176,4444,3065,3065,5194,15,15,15,15,0,0,0,0,0,0,0,50,41,54,54,31,267410,76324,180753,7910,2423,2,2,0,2779,2779,0,0,123,95,13,82,2,3,2629,2120,448,448,205,43,73,0,0,0,0,0,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,103,6128,0,0,0,0,6,10,0,1,1,1,2,6,4,Flareon
11-24,14:12:13,NINTEN,Exeggutor,Bug Catcher,8,Mt Moon - 1,3,21:09.48,21:09,0h21m9s,2,2,4,17,1:15,13.86,BARRAGE,HYPNOSIS,BIDE,,2,2811,129,14,82,285,281,110,3,2743,Flareon, ,Grass,Psychic,6661,Exeggutor6,Exeggutor,,00:20:55.63,00:21:09.48,01:15:01.48,17,2,0,21,9,48,BARRAGE,HYPNOSIS,BIDE,,11,20,10,0,0,0,0,0,67,67,45,41,54,54,31,4542,4256,4569,3130,3130,5314,15,15,15,15,0,0,0,0,0,0,0,50,41,54,54,31,272199,77424,184442,7910,2423,2,2,0,2811,2811,0,0,129,96,14,82,2,3,2726,2211,448,448,211,44,73,0,0,0,0,0,24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,106,6505,0,0,0,0,8,10,0,1,1,1,2,6,4,Flareon
11-24,14:12:31,NINTEN,Exeggutor,Lass,5,Mt Moon - 1,2,21:27.81,21:27,0h21m27s,2,2,4,17,1:16,13.767,BARRAGE,HYPNOSIS,BIDE,,2,2834,129,15,82,290,286,113,3,2843,Flareon, ,Grass,Psychic,7042,Exeggutor6,Exeggutor,,00:21:14.05,00:21:27.81,01:16:14.12,17,2,0,21,27,81,BARRAGE,HYPNOSIS,BIDE,,6,20,10,0,0,0,0,0,64,67,45,41,54,54,31,4637,4381,4659,3275,3275,5384,15,15,15,15,0,0,0,0,0,0,0,50,41,54,54,31,276543,78102,188108,7910,2423,2,2,0,2834,2834,0,0,129,97,15,82,2,3,2806,2279,451,451,215,45,76,0,0,0,0,0,24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,108,6886,0,0,0,0,8,10,0,1,1,1,2,6,4,Flareon
