date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
12-07,19:59:11,NINTEN,Exeggutor,Rival1-Lab,1,Pallet Town - Oak's Lab,1,46.31,46,0h0m46s,0,0,0,5,0:02,9.937,BARRAGE,HYPNOSIS,,,0,77,3,1,1,3,3,2,1,3000,Jolteon, ,Grass,Psychic,253,Exeggutor16,Exeggutor,Rival (Lab),00:00:36.36,00:00:46.31,00:02:28.37,5,0,0,0,46,31,BARRAGE,HYPNOSIS,,,17,20,0,0,0,0,0,0,26,26,16,15,19,19,12,55,55,50,65,65,55,15,15,15,15,0,-2,0,0,0,0,0,16,7,19,19,12,10969,5273,3616,0,2080,0,0,0,77,77,0,0,3,2,1,1,0,0,22,21,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,16,0,Jolteon
12-07,20:00:51,NINTEN,Exeggutor,Bug Catcher,1,Viridian Forest,2,2:26.34,2:26,0h2m26s,0,0,0,6,0:09,29.405,BARRAGE,HYPNOSIS,,,0,534,36,2,2,19,19,7,2,75,Flareon, ,Grass,Psychic,411,Exeggutor16,Exeggutor,,00:01:56.92,00:02:26.34,00:09:04.16,6,0,0,2,26,34,BARRAGE,HYPNOSIS,,,7,17,0,0,0,0,0,0,23,29,18,17,21,21,13,145,115,120,105,105,145,15,15,15,15,0,0,0,0,-2,0,0,18,17,21,21,6,34708,20645,11983,0,2080,0,0,0,534,534,0,0,36,4,2,2,0,0,72,69,6,6,15,3,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,255,0,0,0,0,1,11,0,0,0,0,0,16,0,Flareon
12-07,20:01:41,NINTEN,Exeggutor,Bug Catcher,2,Viridian Forest,3,3:16.50,3:16,0h3m16s,0,0,0,8,0:12,46.374,BARRAGE,HYPNOSIS,,,0,552,37,3,2,49,49,17,2,145,Flareon, ,Grass,Psychic,660,Exeggutor16,Exeggutor,,00:02:30.12,00:03:16.50,00:12:23.23,8,0,0,3,16,50,BARRAGE,HYPNOSIS,,,0,0,0,0,0,0,0,0,11,35,22,21,27,27,16,290,185,265,175,175,250,15,15,15,15,0,0,0,0,-3,0,0,22,21,27,27,6,46655,21115,23460,0,2080,0,0,0,552,552,0,0,37,5,3,2,0,0,141,135,24,24,33,5,11,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,6,504,0,0,0,0,1,11,0,0,0,0,0,16,0,Flareon
12-07,20:03:38,NINTEN,Exeggutor,Lass,19,Viridian Forest,2,5:14.10,5:14,0h5m14s,0,0,0,9,0:20,15.501,BARRAGE,HYPNOSIS,,,0,740,42,4,15,74,74,30,2,205,Flareon, ,Grass,Psychic,1089,Exeggutor16,Exeggutor,,00:04:58.60,00:05:14.10,00:20:06.03,9,0,0,5,14,10,BARRAGE,HYPNOSIS,,,0,0,0,0,0,0,0,0,15,39,25,23,30,30,18,846,579,727,460,460,776,15,15,15,15,-2,-1,0,0,0,0,0,12,15,30,30,18,74415,25435,44476,2424,2080,0,0,0,740,740,0,0,42,19,4,15,2,0,456,361,143,143,58,7,21,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,18,933,0,0,0,0,4,11,0,1,1,0,0,16,0,Flareon
12-07,20:05:16,NINTEN,Exeggutor,Bug Catcher,15,Viridian Forest,2,6:51.52,6:51,0h6m51s,0,0,0,11,0:26,15.343,BARRAGE,HYPNOSIS,,,0,851,49,5,25,98,98,43,2,295,Flareon, ,Grass,Psychic,1665,Exeggutor16,Exeggutor,,00:06:36.17,00:06:51.52,00:26:29.21,11,0,0,6,51,52,BARRAGE,HYPNOSIS,,,0,0,0,0,0,0,0,0,17,46,29,27,36,36,21,1391,939,1217,745,745,1293,15,15,15,15,0,0,0,0,-2,0,0,29,27,36,36,10,97413,28117,62402,4814,2080,0,0,0,851,851,0,0,49,30,5,25,2,0,806,600,268,268,82,9,29,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,30,1509,0,0,0,0,4,11,0,1,1,0,0,16,0,Flareon
12-07,20:06:17,NINTEN,Exeggutor,Bug Catcher,3,Viridian Forest,1,7:52.85,7:52,0h7m52s,0,0,0,11,0:30,8,BARRAGE,HYPNOSIS,,,0,941,55,6,31,108,108,46,1,375,Flareon, ,Grass,Psychic,2009,Exeggutor16,Exeggutor,,00:07:44.85,00:07:52.85,00:30:30.29,11,0,0,7,52,85,BARRAGE,HYPNOSIS,,,0,0,0,0,0,0,0,0,25,46,29,27,36,36,21,1721,1119,1522,900,900,1563,15,15,15,15,0,0,0,0,0,0,0,29,27,36,36,21,111881,31036,71468,7297,2080,0,0,0,941,941,0,0,55,37,6,31,2,0,973,742,340,340,92,9,31,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,37,1853,0,0,0,0,6,11,0,1,1,0,0,16,0,Flareon
12-07,20:07:01,NINTEN,Exeggutor,Jr Trainer M,1,Pewter City - Gym,2,8:37.06,8:37,0h8m37s,0,0,0,12,0:33,15.766,BARRAGE,HYPNOSIS,,,0,1075,57,7,33,117,117,52,1,475,Flareon, ,Grass,Psychic,2427,Exeggutor16,Exeggutor,,00:08:21.30,00:08:37.06,00:33:24.43,12,0,0,8,37,6,BARRAGE,HYPNOSIS,,,14,20,0,0,0,0,0,0,32,49,32,30,39,39,23,1866,1324,1707,1030,1030,1799,15,15,15,15,0,0,0,0,0,0,0,32,30,39,39,23,122335,34717,78241,7297,2080,0,0,0,1075,1075,0,0,57,40,7,33,2,0,1078,833,376,376,100,10,37,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,41,2271,0,0,0,0,6,11,0,1,1,0,0,16,0,Flareon
12-07,20:10:01,NINTEN,Exeggutor,Brock,1,Pewter City - Gym,2,11:36.71,11:36,0h11m36s,0,0,0,13,0:45,80.78,BARRAGE,HYPNOSIS,,,0,1412,64,8,45,178,177,74,1,655,Flareon, ,Grass,Psychic,3208,Exeggutor16,Exeggutor,Brock,00:10:15.95,00:11:36.71,00:45:14.40,13,0,0,11,36,71,BARRAGE,HYPNOSIS,,,0,0,0,0,0,0,0,0,1,53,34,32,42,42,24,2433,1848,2367,1365,1365,2405,15,15,15,15,0,-6,0,0,0,0,0,34,8,42,42,24,164932,43153,112402,7297,2080,0,0,0,1412,1412,0,0,64,53,8,45,3,0,1386,1097,434,434,139,18,56,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,54,3052,0,0,0,0,6,11,0,1,1,0,0,16,0,Flareon
12-07,20:10:37,NINTEN,Exeggutor,Bug Catcher,4,Route 3,3,12:12.83,12:12,0h12m12s,0,0,0,14,0:47,16.564,BARRAGE,HYPNOSIS,,,0,1523,65,9,45,183,182,78,2,1843,Flareon, ,Grass,Psychic,3543,Exeggutor16,Exeggutor,,00:11:56.26,00:12:12.83,00:47:37.24,14,0,0,12,12,83,BARRAGE,HYPNOSIS,,,15,20,0,0,0,0,0,0,56,56,37,34,45,45,26,2563,1943,2467,1425,1425,2545,15,15,15,15,0,0,0,0,-4,0,0,51,34,45,45,8,173496,46785,117334,7297,2080,0,0,0,1523,1523,0,0,65,54,9,45,3,0,1492,1186,434,434,144,18,60,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,57,3387,0,0,0,0,6,11,0,1,1,0,0,16,0,Flareon
12-07,20:10:51,NINTEN,Exeggutor,Youngster,1,Route 3,2,12:27.08,12:27,0h12m27s,0,0,0,14,0:48,10.985,BARRAGE,HYPNOSIS,,,0,1527,65,10,45,187,186,80,2,1943,Flareon, ,Grass,Psychic,3821,Exeggutor16,Exeggutor,,00:12:16.09,00:12:27.08,00:48:33.37,14,0,0,12,27,8,BARRAGE,HYPNOSIS,,,11,20,0,0,0,0,0,0,51,56,37,34,45,45,26,2628,2059,2546,1490,1490,2672,15,15,15,15,0,0,0,0,0,0,0,41,34,45,45,26,176869,47057,120435,7297,2080,0,0,0,1527,1527,0,0,65,55,10,45,3,0,1557,1245,439,439,148,19,61,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,59,3665,0,0,0,0,6,11,0,1,1,0,0,16,0,Flareon
12-07,20:11:05,NINTEN,Exeggutor,Lass,2,Route 3,2,12:40.66,12:40,0h12m40s,0,0,0,14,0:49,9.688,BARRAGE,HYPNOSIS,,,0,1533,66,11,45,190,189,82,2,2108,Flareon, ,Grass,Psychic,4069,Exeggutor16,Exeggutor,,00:12:30.98,00:12:40.66,00:49:27.10,14,0,0,12,40,66,BARRAGE,HYPNOSIS,,,8,20,0,0,0,0,0,0,41,56,37,34,45,45,26,2704,2172,2621,1555,1555,2794,15,15,15,15,0,0,0,0,0,0,0,41,34,45,45,26,180082,47479,123226,7297,2080,0,0,0,1533,1533,0,0,66,56,11,45,3,0,1618,1302,449,449,151,19,63,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,61,3913,0,0,0,0,6,11,0,1,1,0,0,16,0,Flareon
12-07,20:11:57,NINTEN,Exeggutor,Bug Catcher,5,Route 3,4,13:33.06,13:33,0h13m33s,0,0,0,15,0:52,33.406,BARRAGE,HYPNOSIS,,,0,1675,83,12,45,208,207,88,2,2258,Flareon, ,Grass,Psychic,4544,Exeggutor16,Exeggutor,,00:12:59.66,00:13:33.06,00:52:54.44,15,0,0,13,33,6,BARRAGE,HYPNOSIS,,,8,14,0,0,0,0,0,0,54,59,39,36,48,48,27,2884,2282,2791,1645,1645,2954,15,15,15,15,0,0,0,0,-1,0,0,48,36,48,48,17,192536,51521,131638,7297,2080,0,0,0,1675,1675,0,0,83,57,12,45,3,0,1745,1414,454,454,163,22,65,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,65,4388,0,0,0,0,6,11,0,1,1,0,0,16,0,Flareon
12-07,20:12:16,NINTEN,Exeggutor,Bug Catcher,6,Route 3,2,13:52.04,13:52,0h13m52s,0,0,0,15,0:54,15.843,BARRAGE,HYPNOSIS,,,0,1679,84,13,45,216,215,90,2,2348,Flareon, ,Grass,Psychic,4837,Exeggutor16,Exeggutor,,00:13:36.21,00:13:52.04,00:54:09.48,15,0,0,13,52,4,BARRAGE,HYPNOSIS,,,1,13,0,0,0,0,0,0,52,59,39,36,48,48,27,2979,2332,2881,1690,1690,3029,15,15,15,15,0,0,0,0,0,0,0,43,36,48,48,27,197040,51709,135954,7297,2080,0,0,0,1679,1679,0,0,84,58,13,45,3,0,1814,1479,456,456,169,25,66,0,0,0,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,67,4681,0,0,0,0,6,11,0,1,1,0,0,16,0,Flareon
12-07,20:12:45,NINTEN,Exeggutor,Lass,3,Route 3,1,14:20.41,14:20,0h14m20s,0,0,0,15,0:56,10.188,BARRAGE,HYPNOSIS,,,0,1834,91,14,45,221,220,92,2,2458,Flareon, ,Grass,Psychic,5065,Exeggutor16,Exeggutor,,00:14:10.23,00:14:20.41,00:56:02.01,15,0,0,14,20,41,BARRAGE,HYPNOSIS,,,17,18,0,0,0,0,0,0,52,59,39,36,48,48,27,3094,2377,2901,1715,1715,3049,15,15,15,15,0,0,0,0,0,0,0,43,36,48,48,27,203773,55523,138873,7297,2080,0,0,0,1834,1834,0,0,91,59,14,45,3,0,1876,1537,463,463,173,25,67,0,0,0,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,68,4909,0,0,0,0,6,11,0,1,1,0,0,16,0,Flareon
12-07,20:13:09,NINTEN,Exeggutor,Bug Catcher,7,Mt Moon - 1,2,14:44.46,14:44,0h14m44s,0,0,0,16,0:57,14.906,BARRAGE,HYPNOSIS,,,0,1918,94,15,45,228,227,93,2,2668,Flareon, ,Grass,Psychic,5352,Exeggutor16,Exeggutor,,00:14:29.54,00:14:44.46,00:57:37.07,16,0,0,14,44,46,BARRAGE,HYPNOSIS,,,11,17,0,0,0,0,0,0,51,63,42,39,51,51,29,3179,2437,2981,1760,1760,3134,15,15,15,15,0,0,0,0,0,0,0,47,39,51,51,29,209479,57301,142801,7297,2080,0,0,0,1918,1918,0,0,94,60,15,45,3,0,1940,1600,468,468,179,26,68,0,0,0,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,70,5196,0,0,0,0,6,11,0,1,1,0,0,16,0,Flareon
