date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
4-25,12:32:58,NINTEN,Fearow,Rival1-Lab,1,Pallet Town - Oak's Lab,1,42.84,42,0h0m42s,0,0,0,6,0:02,7.88,PECK,GROWL,LEER,,0,71,10,1,1,3,3,2,0,3000,Jolteon, ,Normal,Flying,222,Fearow4,Fearow,Rival (Lab),00:00:34.96,00:00:42.84,00:02:13.23,6,0,0,0,42,84,PECK,GROWL,LEER,,32,40,30,0,0,0,0,0,19,25,17,14,14,14,18,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,17,9,14,14,18,10137,4847,3128,0,2162,0,0,0,71,71,0,0,10,2,1,1,0,0,26,21,6,6,3,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,4,0,Jolteon
4-25,12:34:18,NINTEN,Fearow,Bug Catcher,1,Viridian Forest,2,2:02.66,2:02,0h2m2s,0,0,0,7,0:07,10.5,PECK,GROWL,LEER,,0,517,32,2,2,7,7,4,4,475,Flareon, ,Normal,Flying,380,Fearow4,Fearow,,00:01:52.16,00:02:02.66,00:07:28.38,7,0,0,2,2,66,PECK,GROWL,LEER,,31,40,30,0,0,0,0,0,22,28,19,16,15,15,21,145,115,120,105,105,145,15,15,15,15,0,0,0,0,0,0,0,19,16,15,15,21,29052,19843,7047,0,2162,0,0,0,517,517,0,0,32,4,2,2,0,0,90,69,12,12,7,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,11,0,0,0,0,0,4,0,Flareon
4-25,12:34:35,NINTEN,Fearow,Bug Catcher,2,Viridian Forest,3,2:19.74,2:19,0h2m19s,0,0,0,8,0:08,13.208,PECK,GROWL,LEER,,0,535,33,3,2,12,12,6,4,545,Flareon, ,Normal,Flying,629,Fearow4,Fearow,,00:02:06.53,00:02:19.74,00:08:36.03,8,0,0,2,19,74,PECK,GROWL,LEER,,26,40,30,0,0,0,0,0,25,31,22,18,17,17,23,290,185,265,175,175,250,15,15,15,15,0,0,0,0,-1,0,0,22,18,17,17,15,33097,20320,10615,0,2162,0,0,0,535,535,0,0,33,5,3,2,0,0,187,135,12,12,12,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,11,0,0,0,0,0,4,0,Flareon
4-25,12:35:00,NINTEN,Fearow,Bug Catcher,15,Viridian Forest,2,2:45.21,2:45,0h2m45s,0,0,0,9,0:10,10.335,PECK,GROWL,LEER,,0,578,40,4,3,17,17,9,3,605,Flareon, ,Normal,Flying,842,Fearow4,Fearow,,00:02:34.86,00:02:45.21,00:10:16.37,9,0,0,2,45,21,PECK,GROWL,LEER,,21,40,30,0,0,0,0,0,24,33,24,19,18,18,26,385,235,355,220,220,325,15,15,15,15,0,0,0,0,0,0,0,24,19,18,18,26,39131,21575,15394,0,2162,0,0,0,578,578,0,0,40,7,4,3,0,0,290,202,15,15,17,1,6,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,717,0,0,0,0,1,11,0,1,1,0,0,4,0,Flareon
4-25,12:35:12,NINTEN,Fearow,Bug Catcher,3,Viridian Forest,1,2:56.87,2:56,0h2m56s,0,0,0,9,0:11,5.743,PECK,GROWL,LEER,,0,628,42,5,3,19,19,10,3,685,Flareon, ,Normal,Flying,954,Fearow4,Fearow,,00:02:51.13,00:02:56.87,00:11:02.44,9,0,0,2,56,87,PECK,GROWL,LEER,,19,40,30,0,0,0,0,0,21,33,24,19,18,18,26,430,265,390,240,240,370,15,15,15,15,0,0,0,0,0,0,0,24,19,18,18,26,41898,22555,17181,0,2162,0,0,0,628,628,0,0,42,8,5,3,0,0,334,232,18,18,19,1,7,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,829,0,0,0,0,1,11,0,1,1,0,0,4,0,Flareon
4-25,12:35:55,NINTEN,Fearow,Lass,19,Viridian Forest,2,3:40.51,3:40,0h3m40s,0,0,0,10,0:13,9.715,PECK,GROWL,LEER,,0,926,75,6,3,23,23,12,4,235,Flareon, ,Normal,Flying,1105,Fearow4,Fearow,,00:03:30.79,00:03:40.51,00:13:55.01,10,0,0,3,40,51,PECK,GROWL,LEER,,31,40,30,0,0,0,0,0,34,36,26,21,20,20,28,531,369,482,320,320,461,15,15,15,15,0,0,0,0,0,0,0,26,21,20,20,28,52235,30148,19925,0,2162,0,0,0,926,926,0,0,75,9,6,3,0,0,401,277,20,20,23,2,8,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,980,0,0,0,0,1,12,0,1,1,0,0,4,0,Flareon
4-25,12:36:21,NINTEN,Fearow,Rival1a-Route 22,2,Route 22,2,4:05.59,4:05,0h4m5s,0,0,0,11,0:15,11.708,PECK,GROWL,LEER,,0,1044,79,7,3,28,28,15,4,325,Flareon, ,Normal,Flying,1373,Fearow4,Fearow,Rival (Optional),00:03:53.88,00:04:05.59,00:15:34.07,11,0,0,4,5,59,PECK,GROWL,LEER,,26,40,30,0,0,0,0,0,29,39,28,23,22,22,30,626,484,562,416,416,586,15,15,15,15,0,-1,0,0,0,-1,0,28,15,22,22,30,58181,32828,23191,0,2162,0,0,0,1044,1044,0,0,79,10,7,3,0,0,477,332,28,28,28,2,11,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1248,0,0,0,0,1,12,0,1,1,0,0,4,0,Flareon
4-25,12:37:01,NINTEN,Fearow,Jr Trainer M,1,Pewter City - Gym,2,4:46.37,4:46,0h4m46s,0,0,0,11,0:18,12.545,PECK,GROWL,LEER,,0,1221,84,8,3,34,34,19,3,605,Jolteon, ,Normal,Flying,1707,Fearow4,Fearow,,00:04:33.82,00:04:46.37,00:18:15.07,11,0,0,4,46,37,PECK,GROWL,LEER,,29,40,30,0,0,0,0,0,21,39,28,23,22,22,30,686,614,672,491,491,721,15,15,15,15,0,0,0,0,0,0,0,28,23,22,22,30,67841,38337,26679,663,2162,0,0,0,1221,1221,0,0,84,11,8,3,0,0,550,383,46,46,34,2,15,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1582,0,0,0,0,1,12,0,1,1,0,0,4,0,Jolteon
4-25,12:37:55,NINTEN,Fearow,Brock,1,Pewter City - Gym,2,5:40.25,5:40,0h5m40s,0,0,0,12,0:21,47.169,PECK,GROWL,LEER,,0,1225,84,9,3,65,57,36,3,785,Jolteon, ,Normal,Flying,2167,Fearow4,Fearow,Brock,00:04:53.08,00:05:40.25,00:21:48.52,12,0,0,5,40,25,PECK,GROWL,LEER,,17,35,24,0,0,0,0,0,2,41,30,25,23,23,33,761,739,932,551,551,811,15,15,15,15,0,0,0,0,0,0,0,30,25,23,23,33,80666,38906,38516,1082,2162,0,0,0,1225,1225,0,0,84,12,9,3,0,0,615,444,85,85,56,9,26,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2042,0,0,0,0,1,12,0,1,1,0,0,4,0,Jolteon
4-25,12:38:24,NINTEN,Fearow,Bug Catcher,4,Route 3,3,6:09.11,6:09,0h6m9s,0,0,0,13,0:23,9.772,PECK,GROWL,LEER,,0,1330,85,10,3,68,60,36,4,1973,Jolteon, ,Normal,Flying,2502,Fearow4,Fearow,,00:05:59.33,00:06:09.11,00:23:42.23,13,0,0,6,9,11,PECK,GROWL,LEER,,14,35,24,0,0,0,0,0,44,44,33,26,25,25,35,891,834,1032,611,611,951,15,15,15,15,0,0,0,0,0,0,0,37,26,25,25,35,87477,41735,41860,1720,2162,0,0,0,1330,1330,0,0,85,13,10,3,0,0,730,533,85,85,59,9,26,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2377,0,0,0,0,1,12,0,1,1,0,0,4,0,Jolteon
