ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Fearow5,Fearow,Rival (Lab),00:00:34.46,00:00:42.28,00:02:13.30,6,0,0,0,42,28,PECK,GROWL,LEER,,17,14,14,14,18,0,-1,0,0,0,0,0,17,9,14,14,18,10003,4870,3112,0,2021,0,0,0,71,71,0,0,2,2,1,1,0,0,26,21,6,6,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,5,0,Jolteon
Fearow5,Fearow,Rival (Optional),00:03:55.33,00:04:06.62,00:15:40.37,11,0,0,4,6,62,PECK,GROWL,LEER,,28,23,22,22,30,0,-2,0,0,0,0,0,28,11,22,22,30,58430,33627,22782,0,2021,0,0,0,1063,1063,0,0,96,10,7,3,0,0,472,332,14,14,27,4,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1248,0,0,0,0,1,12,0,1,1,0,0,5,0,Flareon
Fearow5,Fearow,Brock,00:04:52.73,00:05:27.05,00:20:58.50,12,0,0,5,27,5,PECK,GROWL,LEER,,30,25,23,23,33,0,-2,0,0,0,0,0,30,12,23,23,33,77523,39267,35483,752,2021,0,0,0,1265,1265,0,0,102,13,9,4,1,0,606,444,51,51,52,8,22,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2042,0,0,0,0,1,12,0,1,1,0,0,5,0,Jolteon
Fearow5,Fearow,Rival (Nugget Bridge),00:08:55.56,00:09:23.00,00:36:30.33,19,0,0,9,23,0,PECK,GROWL,LEER,FURY ATTACK,46,37,35,35,50,0,-2,0,0,0,-1,0,64,18,35,35,50,133426,58605,71128,1672,2021,1,0,0,1902,1902,0,0,125,23,19,4,1,0,1937,1374,106,106,94,22,34,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,7190,0,0,0,0,3,12,0,1,1,1,0,5,0,Jolteon
Fearow5,Fearow,Oddish Lass,00:12:05.56,00:12:15.70,00:47:51.57,22,0,0,12,15,70,PECK,GROWL,LEER,FURY ATTACK,54,43,41,41,58,0,0,0,0,0,0,0,60,43,41,41,58,174310,65841,102294,4154,2021,1,0,0,2024,2024,0,0,147,33,29,4,1,0,3167,2190,173,173,129,30,51,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,11290,0,0,0,0,4,12,0,1,1,1,0,5,0,Jolteon
Fearow5,Fearow,Rocket,00:12:51.37,00:12:59.54,00:50:45.17,22,0,0,12,59,54,PECK,GROWL,LEER,FURY ATTACK,54,43,41,41,58,0,0,0,0,0,0,0,60,43,41,41,58,184710,73811,104724,4154,2021,1,0,0,2221,2221,0,0,165,34,30,4,1,0,3296,2293,178,178,132,30,52,0,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,11979,0,0,0,0,5,12,0,1,1,1,0,5,0,Jolteon
Fearow5,Fearow,Misty,00:13:22.95,00:13:40.17,00:53:26.01,24,0,0,13,40,17,PECK,GROWL,LEER,FURY ATTACK,58,47,44,44,63,0,0,0,0,0,0,0,65,47,44,44,63,194354,75673,111384,5276,2021,2,0,0,2261,2261,0,0,172,36,32,4,1,0,3464,2442,211,211,140,30,56,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,13769,0,0,0,0,5,12,0,1,1,1,0,5,0,Jolteon
Fearow5,Fearow,Rival (SS Anne),00:15:53.24,00:16:13.06,01:03:29.16,26,0,0,16,13,6,PECK,GROWL,MIRROR MOVE,FURY ATTACK,63,50,48,48,68,0,0,0,0,0,0,0,70,50,48,48,68,230549,91471,129746,7311,2021,4,0,0,2756,2756,0,0,197,41,37,4,1,0,4335,3040,291,291,164,31,68,0,0,0,0,0,27,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,17803,0,0,0,0,9,20,0,1,1,2,0,5,0,Jolteon
Fearow5,Fearow,Lt. Surge,00:17:01.89,00:17:10.16,01:07:15.01,26,0,0,17,10,16,PECK,GROWL,MIRROR MOVE,FURY ATTACK,63,50,48,48,68,0,0,0,0,0,0,0,70,50,48,48,68,244094,98302,132292,11479,2021,5,0,0,2935,2935,0,0,205,42,38,4,1,0,4429,3116,291,291,166,32,68,0,0,0,0,0,27,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,18535,0,0,0,0,9,20,0,1,1,4,0,5,0,Jolteon
Fearow5,Fearow,RTG1 - Wrapping Lass,00:17:54.89,00:18:07.37,01:11:00.19,27,0,0,18,7,37,PECK,GROWL,MIRROR MOVE,FURY ATTACK,66,52,50,50,71,0,0,0,0,0,0,0,74,58,50,50,71,257612,106593,135832,13166,2021,5,0,0,3128,3076,52,0,228,43,39,4,1,0,4724,3306,291,291,170,32,68,0,0,0,0,0,27,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,19783,0,0,0,0,9,20,0,1,1,4,0,5,0,Jolteon
