player_name,pokemon,trainer_name,real_time_hmmss,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4
NINTEN,Fearow,Rival1-Lab,42,0,0,6,0:02,7.812,PECK,GROWL,LEER,
NINTEN,Fearow,Rival1a-Route 22,4:06,0,0,11,0:15,11.294,PECK,GROWL,LEER,
NINTEN,Fearow,Brock,5:27,0,0,12,0:20,34.32,PECK,GROWL,LEER,
NINTEN,Fearow,Rival2-Nugget Bridge,9:23,0,0,19,0:36,27.429,PECK,GROWL,LEER,FURY ATTACK
NINTEN,Fearow,Cerulean Rocket,12:59,0,0,22,0:50,8.169,PECK,GROWL,LEER,FURY ATTACK
NINTEN,Fearow,Misty,13:40,0,0,24,0:53,17.219,PECK,GROWL,LEER,FURY ATTACK
NINTEN,Fearow,Rival3-SS Anne,16:13,0,0,26,1:03,19.821,PECK,GROWL,MIRROR MOVE,FURY ATTACK
NINTEN,Fearow,Surge,17:10,0,0,26,1:07,8.273,PECK,GROWL,MIRROR MOVE,FURY ATTACK
NINTEN,Fearow,Rival4-Pkmn Tower,24:59,0,0,31,1:38,18.529,PECK,DOUBLE-EDGE,MIRROR MOVE,FURY ATTACK
NINTEN,Fearow,Erika,27:39,0,0,33,1:48,14.621,PECK,DOUBLE-EDGE,MIRROR MOVE,FURY ATTACK
NINTEN,Fearow,Koga,32:43,0,0,40,2:08,13.377,DRILL PECK,DOUBLE-EDGE,PECK,FURY ATTACK
NINTEN,Fearow,Rival5-Silph,38:42,0,0,46,2:32,29.058,DRILL PECK,DOUBLE-EDGE,PECK,AGILITY
NINTEN,Fearow,Sabrina,40:13,0,0,48,2:38,11.024,DRILL PECK,DOUBLE-EDGE,PECK,AGILITY
NINTEN,Fearow,Blaine,41:21,0,0,49,2:42,20.763,DRILL PECK,DOUBLE-EDGE,PECK,AGILITY
NINTEN,Fearow,Giovanni,43:24,0,0,60,2:50,23.75,DRILL PECK,DOUBLE-EDGE,MIMIC,AGILITY
NINTEN,Fearow,Rival6-Route 22,45:00,0,0,61,2:57,31.478,DRILL PECK,DOUBLE-EDGE,MIMIC,AGILITY
NINTEN,Fearow,Lorelei,49:24,0,0,64,3:14,62.175,DRILL PECK,REST,MIMIC,AGILITY
NINTEN,Fearow,Bruno,50:04,0,0,64,3:17,26.591,DRILL PECK,REST,MIMIC,AGILITY
NINTEN,Fearow,Agatha,50:36,0,0,65,3:19,19.797,DRILL PECK,REST,MIMIC,AGILITY
NINTEN,Fearow,Lance,51:21,0,0,66,3:22,27.725,DRILL PECK,REST,MIMIC,AGILITY
NINTEN,Fearow,Champion,52:34,0,0,67,3:27,56.405,DRILL PECK,REST,MIMIC,AGILITY
NINTEN,Fearow,Champion,52:34,0,0,67,3:28,78.956,DRILL PECK,REST,MIMIC,AGILITY
