date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
4-25,12:43:56,NINTEN,Fearow,Rival1-Lab,1,Pallet Town - Oak's Lab,1,42.28,42,0h0m42s,0,0,0,6,0:02,7.812,PECK,GROWL,LEER,,0,71,2,1,1,3,3,2,0,3000,Jolteon, ,Normal,Flying,222,Fearow5,Fearow,Rival (Lab),00:00:34.46,00:00:42.28,00:02:13.30,6,0,0,0,42,28,PECK,GROWL,LEER,,32,40,30,0,0,0,0,0,19,25,17,14,14,14,18,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,17,9,14,14,18,10003,4870,3112,0,2021,0,0,0,71,71,0,0,2,2,1,1,0,0,26,21,6,6,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,5,0,Jolteon
4-25,12:45:16,NINTEN,Fearow,Bug Catcher,1,Viridian Forest,2,2:01.90,2:01,0h2m1s,0,0,0,7,0:07,10.036,PECK,GROWL,LEER,,0,518,23,2,2,7,7,4,4,675,Flareon, ,Normal,Flying,380,Fearow5,Fearow,,00:01:51.87,00:02:01.90,00:07:27.58,7,0,0,2,1,90,PECK,GROWL,LEER,,31,40,30,0,0,0,0,0,28,28,19,16,15,15,21,145,115,120,105,105,145,15,15,15,15,0,0,0,0,0,0,0,19,16,15,15,21,28871,19957,6893,0,2021,0,0,0,518,518,0,0,23,4,2,2,0,0,91,69,6,6,7,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,11,0,0,0,0,0,5,0,Flareon
4-25,12:45:32,NINTEN,Fearow,Bug Catcher,2,Viridian Forest,3,2:17.92,2:17,0h2m17s,0,0,0,8,0:08,12.097,PECK,GROWL,LEER,,0,536,24,3,2,11,11,5,4,745,Flareon, ,Normal,Flying,629,Fearow5,Fearow,,00:02:05.82,00:02:17.92,00:08:31.12,8,0,0,2,17,92,PECK,GROWL,LEER,,27,40,30,0,0,0,0,0,31,31,22,18,17,17,23,290,185,265,175,175,250,15,15,15,15,0,0,0,0,-1,0,0,22,18,17,17,15,32665,20449,10195,0,2021,0,0,0,536,536,0,0,24,5,3,2,0,0,189,135,6,6,11,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,11,0,0,0,0,0,5,0,Flareon
4-25,12:45:49,NINTEN,Fearow,Bug Catcher,15,Viridian Forest,2,2:34.73,2:34,0h2m34s,0,0,0,9,0:09,10.644,PECK,GROWL,LEER,,0,575,25,4,2,15,15,7,4,805,Flareon, ,Normal,Flying,842,Fearow5,Fearow,,00:02:24.09,00:02:34.73,00:09:37.42,9,0,0,2,34,73,PECK,GROWL,LEER,,23,40,30,0,0,0,0,0,33,33,24,19,18,18,26,385,235,355,220,220,325,15,15,15,15,0,0,0,0,-1,0,0,24,19,18,18,17,36655,21473,13161,0,2021,0,0,0,575,575,0,0,25,6,4,2,0,0,268,188,6,6,15,2,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,717,0,0,0,0,1,11,0,0,0,0,0,5,0,Flareon
4-25,12:46:09,NINTEN,Fearow,Bug Catcher,3,Viridian Forest,1,2:54.69,2:54,0h2m54s,0,0,0,9,0:10,5.811,PECK,GROWL,LEER,,0,625,27,5,3,18,18,9,3,885,Flareon, ,Normal,Flying,954,Fearow5,Fearow,,00:02:48.88,00:02:54.69,00:10:56.26,9,0,0,2,54,69,PECK,GROWL,LEER,,20,40,30,0,0,0,0,0,27,33,24,19,18,18,26,430,265,390,240,240,370,15,15,15,15,0,0,0,0,0,0,0,24,19,18,18,26,41379,22530,16828,0,2021,0,0,0,625,625,0,0,27,8,5,3,0,0,334,232,12,12,18,2,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,829,0,0,0,0,1,11,0,1,1,0,0,5,0,Flareon
4-25,12:46:51,NINTEN,Fearow,Lass,19,Viridian Forest,2,3:36.93,3:36,0h3m36s,0,0,0,10,0:13,9.79,PECK,GROWL,LEER,,0,929,47,6,3,22,22,11,4,435,Flareon, ,Normal,Flying,1105,Fearow5,Fearow,,00:03:27.14,00:03:36.93,00:13:43.09,10,0,0,3,36,93,PECK,GROWL,LEER,,31,40,30,0,0,0,0,0,34,36,26,21,20,20,28,531,369,482,320,320,461,15,15,15,15,0,0,0,0,0,0,0,26,21,20,20,28,51382,29751,19610,0,2021,0,0,0,929,929,0,0,47,9,6,3,0,0,398,277,14,14,22,3,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,980,0,0,0,0,1,12,0,1,1,0,0,5,0,Flareon
4-25,12:47:21,NINTEN,Fearow,Rival1a-Route 22,2,Route 22,2,4:06.62,4:06,0h4m6s,0,0,0,11,0:15,11.294,PECK,GROWL,LEER,,0,1063,96,7,3,27,27,14,4,525,Flareon, ,Normal,Flying,1373,Fearow5,Fearow,Rival (Optional),00:03:55.33,00:04:06.62,00:15:40.37,11,0,0,4,6,62,PECK,GROWL,LEER,,26,40,30,0,0,0,0,0,37,39,28,23,22,22,30,626,484,562,416,416,586,15,15,15,15,0,-2,0,0,0,0,0,28,11,22,22,30,58430,33627,22782,0,2021,0,0,0,1063,1063,0,0,96,10,7,3,0,0,472,332,14,14,27,4,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1248,0,0,0,0,1,12,0,1,1,0,0,5,0,Flareon
4-25,12:48:00,NINTEN,Fearow,Jr Trainer M,1,Pewter City - Gym,2,4:46.01,4:46,0h4m46s,0,0,0,11,0:18,11.193,PECK,GROWL,LEER,,0,1261,102,8,4,32,32,17,3,805,Jolteon, ,Normal,Flying,1707,Fearow5,Fearow,,00:04:34.82,00:04:46.01,00:18:16.11,11,0,0,4,46,1,PECK,GROWL,LEER,,21,40,30,0,0,0,0,0,26,39,28,23,22,22,30,686,614,672,491,491,721,15,15,15,15,0,0,0,0,0,0,0,28,23,22,22,30,67764,38715,26719,309,2021,0,0,0,1261,1261,0,0,102,12,8,4,1,0,538,383,25,25,32,4,12,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1582,0,0,0,0,1,12,0,1,1,0,0,5,0,Jolteon
4-25,12:48:41,NINTEN,Fearow,Brock,1,Pewter City - Gym,2,5:27.05,5:27,0h5m27s,0,0,0,12,0:20,34.32,PECK,GROWL,LEER,,0,1265,102,9,4,52,52,32,3,985,Jolteon, ,Normal,Flying,2167,Fearow5,Fearow,Brock,00:04:52.73,00:05:27.05,00:20:58.50,12,0,0,5,27,5,PECK,GROWL,LEER,,11,37,23,0,0,0,0,0,15,41,30,25,23,23,33,761,739,932,551,551,811,15,15,15,15,0,-2,0,0,0,0,0,30,12,23,23,33,77523,39267,35483,752,2021,0,0,0,1265,1265,0,0,102,13,9,4,1,0,606,444,51,51,52,8,22,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2042,0,0,0,0,1,12,0,1,1,0,0,5,0,Jolteon
4-25,12:49:06,NINTEN,Fearow,Bug Catcher,4,Route 3,3,5:51.85,5:51,0h5m51s,0,0,0,13,0:22,9.987,PECK,GROWL,LEER,,0,1336,103,10,4,55,55,32,4,2173,Jolteon, ,Normal,Flying,2502,Fearow5,Fearow,,00:05:41.86,00:05:51.85,00:22:36.41,13,0,0,5,51,85,PECK,GROWL,LEER,,8,37,23,0,0,0,0,0,38,44,33,26,25,25,35,891,834,1032,611,611,951,15,15,15,15,0,0,0,0,0,0,0,37,26,25,25,35,83394,41415,38834,1124,2021,0,0,0,1336,1336,0,0,103,14,10,4,1,0,744,533,51,51,55,8,22,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2377,0,0,0,0,1,12,0,1,1,0,0,5,0,Jolteon
