date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
2-29,11:59:51,NINTEN,Flareon,Rival1-Lab,1,Pallet Town - Oak's Lab,1,42.69,42,0h0m42s,0,0,0,6,0:02,7.655,EMBER,TAIL WHIP,QUICK ATTACK,TACKLE,0,73,12,1,1,3,3,2,0,3000,Jolteon, ,Fire,Fire,222,Flareon6,Flareon,Rival (Lab),00:00:35.03,00:00:42.69,00:02:15.32,6,0,0,0,42,69,EMBER,TAIL WHIP,QUICK ATTACK,TACKLE,22,30,30,35,0,0,0,0,20,25,22,14,20,20,14,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,22,9,20,20,14,10100,5052,3052,0,1996,0,0,0,73,73,0,0,12,2,1,1,0,0,23,21,5,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,6,0,Jolteon
2-29,12:01:05,NINTEN,Flareon,Bug Catcher,1,Viridian Forest,2,1:57.31,1:57,0h1m57s,0,0,0,7,0:07,6.746,EMBER,TAIL WHIP,QUICK ATTACK,TACKLE,0,516,37,2,2,5,5,2,4,75,Flareon, ,Fire,Fire,380,Flareon6,Flareon,,00:01:50.57,00:01:57.31,00:07:10.11,7,0,0,1,57,31,EMBER,TAIL WHIP,QUICK ATTACK,TACKLE,23,30,30,35,0,0,0,0,28,28,25,15,22,22,16,145,115,120,105,105,145,15,15,15,15,0,0,0,0,0,0,0,25,15,22,22,16,27779,19773,6010,0,1996,0,0,0,516,516,0,0,37,4,2,2,0,0,80,69,5,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,13,0,0,0,0,0,6,0,Flareon
2-29,12:01:22,NINTEN,Flareon,Bug Catcher,2,Viridian Forest,3,2:14.36,2:14,0h2m14s,0,0,0,8,0:08,12.965,EMBER,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,0,534,42,3,2,8,8,2,4,145,Flareon, ,Fire,Fire,629,Flareon6,Flareon,,00:02:01.39,00:02:14.36,00:08:17.29,8,0,0,2,14,36,EMBER,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,20,30,30,15,0,0,0,0,31,31,28,17,25,25,18,290,185,265,175,175,250,15,15,15,15,0,0,0,0,0,0,0,28,17,25,25,18,31817,20316,9505,0,1996,0,0,0,534,534,0,0,42,5,3,2,0,0,172,135,5,5,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,13,0,0,0,1,0,6,0,Flareon
2-29,12:01:43,NINTEN,Flareon,Bug Catcher,15,Viridian Forest,2,2:34.83,2:34,0h2m34s,0,0,0,9,0:09,6.909,EMBER,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,0,571,44,4,3,11,11,3,3,205,Flareon, ,Fire,Fire,842,Flareon6,Flareon,,00:02:27.92,00:02:34.83,00:09:38.14,9,0,0,2,34,83,EMBER,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,17,30,30,15,0,0,0,0,27,33,31,18,27,27,19,385,235,355,220,220,325,15,15,15,15,0,0,0,0,0,0,0,31,18,27,27,19,36662,21244,13422,0,1996,0,0,0,571,571,0,0,44,7,4,3,0,0,250,202,11,11,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,717,0,0,0,0,1,13,0,1,1,1,0,6,0,Flareon
2-29,12:01:53,NINTEN,Flareon,Bug Catcher,3,Viridian Forest,1,2:44.79,2:44,0h2m44s,0,0,0,9,0:10,3.989,EMBER,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,0,621,44,5,3,12,12,3,3,285,Flareon, ,Fire,Fire,954,Flareon6,Flareon,,00:02:40.81,00:02:44.79,00:10:17.34,9,0,0,2,44,79,EMBER,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,16,30,30,15,0,0,0,0,27,33,31,18,27,27,19,430,265,390,240,240,370,15,15,15,15,0,0,0,0,0,0,0,31,18,27,27,19,39022,22257,14769,0,1996,0,0,0,621,621,0,0,44,8,5,3,0,0,307,232,11,11,12,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,829,0,0,0,0,1,13,0,1,1,1,0,6,0,Flareon
2-29,12:02:14,NINTEN,Flareon,Jr Trainer M,1,Pewter City - Gym,2,3:05.90,3:05,0h3m5s,0,0,0,10,0:11,10.006,EMBER,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,0,717,44,6,3,16,16,6,3,385,Flareon, ,Fire,Fire,1288,Flareon6,Flareon,,00:02:55.89,00:03:05.90,00:11:40.38,10,0,0,3,5,90,EMBER,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,12,30,30,15,0,0,0,0,16,36,34,20,30,30,21,490,395,500,315,315,505,15,15,15,15,0,0,0,0,0,0,0,34,20,30,30,21,44006,24353,17657,0,1996,0,0,0,717,717,0,0,44,9,6,3,0,0,371,283,25,25,16,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1163,0,0,0,0,1,13,0,1,1,1,0,6,0,Flareon
2-29,12:02:41,NINTEN,Flareon,Brock,1,Pewter City - Gym,2,3:32.44,3:32,0h3m32s,0,0,0,12,0:13,20.465,EMBER,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,0,721,45,7,3,26,26,13,3,565,Flareon, ,Fire,Fire,1748,Flareon6,Flareon,Brock,00:03:11.98,00:03:32.44,00:13:25.34,12,0,0,3,32,44,EMBER,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,4,30,30,13,0,0,0,0,10,41,40,23,35,35,24,565,520,760,375,375,595,15,15,15,15,0,-2,0,0,0,0,0,40,11,35,35,24,50302,24854,23099,353,1996,0,0,0,721,721,0,0,45,10,7,3,0,0,442,344,56,56,26,2,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1623,0,0,0,0,1,13,0,1,1,1,0,6,0,Flareon
2-29,12:03:09,NINTEN,Flareon,Bug Catcher,4,Route 3,3,4:00.69,4:00,0h4m0s,0,0,0,12,0:15,8.362,EMBER,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,0,832,46,8,3,29,29,13,4,1753,Flareon, ,Fire,Fire,2083,Flareon6,Flareon,,00:03:52.33,00:04:00.69,00:15:17.07,12,0,0,4,0,69,EMBER,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,22,30,30,15,0,0,0,0,41,41,40,23,35,35,24,695,615,860,435,435,735,15,15,15,15,0,0,0,0,0,0,0,45,23,35,35,24,56995,28562,26084,353,1996,0,0,0,832,832,0,0,46,11,8,3,0,0,587,433,56,56,29,2,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1958,0,0,0,0,1,13,0,1,1,1,0,6,0,Flareon
2-29,12:03:23,NINTEN,Flareon,Youngster,1,Route 3,2,4:15.24,4:15,0h4m15s,0,0,0,13,0:16,11.333,EMBER,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,0,836,46,9,3,33,33,16,4,1853,Flareon,Poisoned,Fire,Fire,2361,Flareon6,Flareon,,00:04:03.91,00:04:15.24,00:16:14.31,13,0,0,4,15,24,EMBER,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,18,30,30,15,0,0,0,0,31,44,43,25,38,38,26,760,731,939,500,500,862,15,15,15,15,0,-1,0,0,0,0,0,48,16,38,38,26,60439,28826,29264,353,1996,0,0,0,836,836,0,0,46,12,9,3,0,0,685,492,69,69,33,2,13,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2236,0,0,0,0,1,13,0,1,1,1,0,6,0,Flareon
2-29,12:03:40,NINTEN,Flareon,Bug Catcher,5,Route 3,4,4:31.44,4:31,0h4m31s,0,0,0,14,0:17,11.459,EMBER,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,0,840,47,10,3,37,37,16,4,2018,Flareon, ,Fire,Fire,2836,Flareon6,Flareon,,00:04:19.98,00:04:31.44,00:17:18.08,14,0,0,4,31,44,EMBER,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,14,30,30,15,0,0,0,0,34,47,46,27,40,40,28,940,841,1109,590,590,1022,15,15,15,15,0,0,0,0,0,0,0,51,27,40,40,28,64256,29050,32465,745,1996,0,0,0,840,840,0,0,47,13,10,3,0,0,947,604,69,69,37,2,13,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2711,0,0,0,0,1,13,0,1,1,1,0,6,0,Flareon
