ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Flareon7,Flareon,Rival (Lab),00:00:34.53,00:00:42.13,00:02:13.41,6,0,0,0,42,13,EMBER,TAIL WHIP,QUICK ATTACK,TACKLE,22,14,20,20,14,0,0,0,0,0,0,0,22,14,20,20,14,9967,4957,3036,0,1974,0,0,0,71,71,0,0,1,2,1,1,0,0,24,21,10,10,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,7,0,Jolteon
Flareon7,Flareon,Brock,00:03:20.29,00:03:38.04,00:13:47.56,12,0,0,3,38,4,EMBER,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,40,23,35,35,24,0,-2,0,0,0,0,0,40,11,35,35,24,51622,24737,24306,605,1974,0,0,0,721,721,0,0,25,11,7,4,0,0,460,362,47,47,25,0,11,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1654,0,0,0,0,1,13,0,1,1,1,1,7,1,Flareon
Flareon7,Flareon,Rival (Nugget Bridge),00:06:57.67,00:07:15.59,00:28:06.09,19,0,0,7,15,59,EMBER,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,62,35,54,54,37,0,0,0,0,0,-1,0,69,35,54,54,37,103115,44659,54691,1791,1974,1,0,0,1402,1402,0,0,47,21,17,4,0,0,2021,1292,114,114,68,2,25,0,0,0,0,0,5,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,6802,0,0,0,0,3,13,0,1,1,1,1,7,1,Flareon
Flareon7,Flareon,Oddish Lass,00:09:28.58,00:09:37.38,00:37:25.05,22,0,0,9,37,38,EMBER,TAIL WHIP,SAND-ATTACK,QUICK ATTACK,71,40,62,62,43,0,0,0,0,0,0,0,79,40,62,62,43,136651,51088,81175,2414,1974,1,0,0,1522,1522,0,0,67,31,27,4,0,0,3299,2109,153,153,100,2,35,0,0,0,0,0,11,0,3,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,10902,0,0,0,0,4,13,0,1,1,1,1,7,1,Flareon
Flareon7,Flareon,Rocket,00:10:07.70,00:10:17.49,00:40:03.26,22,0,0,10,17,49,EMBER,TAIL WHIP,SAND-ATTACK,QUICK ATTACK,71,40,62,62,43,0,0,0,0,0,0,0,79,40,62,62,43,146152,56686,83980,3512,1974,1,0,0,1661,1661,0,0,79,32,28,4,0,0,3447,2212,168,168,104,2,37,0,0,0,0,0,12,0,3,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65,11591,0,0,0,0,5,13,0,1,1,1,1,7,1,Flareon
Flareon7,Flareon,Rival (SS Anne),00:12:24.35,00:12:37.28,00:49:13.28,25,0,0,12,37,28,EMBER,BODY SLAM,SAND-ATTACK,QUICK ATTACK,81,46,70,70,49,0,0,0,0,0,0,0,91,46,70,70,49,179154,70262,100083,6835,1974,1,0,0,2135,2135,0,0,113,38,34,4,0,0,4406,2843,231,231,123,7,46,0,0,0,0,0,13,0,4,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79,15895,0,0,0,0,11,16,0,1,1,2,1,7,1,Flareon
Flareon7,Flareon,Misty,00:13:31.92,00:13:41.67,00:53:27.42,26,0,0,13,41,67,EMBER,BODY SLAM,SAND-ATTACK,QUICK ATTACK,84,48,73,73,50,0,0,0,0,0,0,0,94,48,73,73,50,194408,77670,104458,10306,1974,2,0,0,2324,2324,0,0,122,40,36,4,0,0,4656,2992,267,267,127,7,48,0,0,0,0,0,14,0,4,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82,17685,0,0,0,0,11,16,0,1,1,4,1,7,1,Flareon
Flareon7,Flareon,Lt. Surge,00:14:14.76,00:14:20.51,00:56:00.30,26,0,0,14,20,51,EMBER,BODY SLAM,SAND-ATTACK,QUICK ATTACK,84,48,73,73,50,0,0,0,0,0,0,0,94,48,73,73,50,203576,82793,106442,12367,1974,3,0,0,2534,2534,0,0,130,41,37,4,0,0,4742,3068,267,267,129,8,48,0,0,0,0,0,14,0,4,0,0,1,1,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,83,18417,0,0,0,0,11,16,0,1,1,4,1,7,1,Flareon
Flareon7,Flareon,RTG1 - Wrapping Lass,00:15:06.31,00:15:17.95,00:59:46.44,27,0,0,15,17,95,EMBER,BODY SLAM,SAND-ATTACK,QUICK ATTACK,87,49,76,76,52,0,0,0,0,0,0,0,97,55,76,76,52,217150,91390,109790,13996,1974,3,0,0,2727,2675,52,0,160,42,38,4,0,0,4987,3258,267,267,133,8,48,0,0,0,0,0,14,0,4,0,0,1,1,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,87,19665,0,0,0,0,11,16,0,1,1,4,1,7,1,Flareon
Flareon7,Flareon,RTG4 - Status Jr Trainer,00:16:16.47,00:16:22.81,01:04:02.44,28,0,0,16,22,81,EMBER,BODY SLAM,SAND-ATTACK,QUICK ATTACK,90,51,79,79,54,0,0,0,0,0,0,0,101,57,79,79,54,232510,94863,119673,16000,1974,4,0,0,2921,2675,246,0,173,46,42,4,0,0,5716,3746,311,311,145,8,52,0,0,0,0,0,14,0,4,0,0,2,1,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,95,22545,0,0,0,0,11,16,0,1,1,4,1,7,1,Flareon
