ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Girafarig5,Girafarig,Rival (Lab),00:00:33.81,00:00:41.08,00:02:09.09,6,0,0,0,41,8,CONFUSION,GROWL,TACKLE,STOMP,16,14,17,17,17,0,0,0,0,0,0,0,16,14,17,17,17,9719,4741,2980,0,1998,0,0,0,71,71,0,0,1,2,1,1,0,0,21,21,5,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,5,0,Jolteon
Girafarig5,Girafarig,Brock,00:02:44.19,00:02:58.93,00:11:13.25,10,0,0,2,58,93,CONFUSION,GROWL,TACKLE,STOMP,24,21,26,26,25,0,-2,0,0,0,0,0,24,10,26,26,25,42375,24581,15457,339,1998,0,0,0,736,736,0,0,60,7,4,3,0,0,236,195,34,34,17,0,9,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,918,0,0,0,0,1,13,0,1,1,0,0,5,0,Flareon
Girafarig5,Girafarig,Rival (Nugget Bridge),00:05:43.29,00:06:02.25,00:23:17.09,17,0,0,6,2,25,CONFUSION,GROWL,TACKLE,STOMP,38,33,42,42,40,0,0,0,0,0,-1,0,42,33,42,42,40,85799,42336,40759,706,1998,0,0,0,1407,1407,0,0,82,15,12,3,0,0,1327,914,89,89,51,1,22,0,0,0,0,0,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,28,5081,0,0,0,0,3,13,0,1,1,0,0,5,0,Flareon
Girafarig5,Girafarig,Oddish Lass,00:07:59.98,00:08:08.80,00:31:35.42,21,0,0,8,8,80,CONFUSION,GROWL,TACKLE,STOMP,47,41,51,51,49,0,0,0,0,0,0,0,52,41,51,51,49,115712,48902,63486,1326,1998,0,0,0,1527,1527,0,0,92,25,22,3,0,0,2765,1730,122,122,74,3,26,0,0,0,0,0,10,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,49,9181,0,0,0,0,4,13,0,1,1,0,0,5,0,Flareon
Girafarig5,Girafarig,Misty,00:08:51.21,00:09:02.85,00:35:09.24,22,0,0,9,2,85,CONFUSION,GROWL,TACKLE,STOMP,49,43,53,53,51,0,0,0,0,0,0,0,55,43,53,53,51,128534,56679,68531,1326,1998,0,0,0,1710,1710,0,0,103,27,24,3,0,0,2967,1879,141,141,81,3,29,0,0,0,0,0,12,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,52,10971,0,0,0,0,5,13,0,1,1,0,0,5,0,Flareon
Girafarig5,Girafarig,Rocket,00:09:15.53,00:09:23.96,00:36:32.39,22,0,0,9,23,96,CONFUSION,GROWL,TACKLE,STOMP,49,43,53,53,51,0,0,0,0,0,0,0,55,43,53,53,51,133529,59054,71151,1326,1998,0,0,0,1789,1789,0,0,109,28,25,3,0,0,3186,1982,145,145,84,3,30,0,0,0,0,0,13,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,54,11660,0,0,0,0,5,13,0,1,1,0,0,5,0,Flareon
Girafarig5,Girafarig,Rival (SS Anne),00:11:14.33,00:11:26.18,00:44:33.30,25,0,0,11,26,18,CONFUSION,BODY SLAM,TACKLE,STOMP,56,48,60,60,58,0,0,0,0,0,0,0,63,48,60,60,58,162380,71387,85335,3660,1998,0,0,0,2214,2214,0,0,133,34,31,3,0,0,4156,2613,164,164,100,4,32,0,0,0,0,0,15,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,68,15964,0,0,0,0,11,16,0,1,1,1,0,5,0,Flareon
Girafarig5,Girafarig,Lt. Surge,00:12:05.23,00:12:11.80,00:47:33.40,25,0,0,12,11,80,CONFUSION,BODY SLAM,TACKLE,STOMP,56,48,60,60,58,0,0,0,0,0,0,0,63,48,60,60,58,173190,77919,87408,5865,1998,0,0,0,2391,2391,0,0,143,35,32,3,0,0,4249,2689,199,199,102,4,33,0,0,0,0,0,15,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,69,16696,0,0,0,0,11,16,0,1,1,3,0,5,0,Flareon
Girafarig5,Girafarig,RTG1 - Wrapping Lass,00:13:03.39,00:13:15.70,00:51:45.28,26,0,0,13,15,70,CONFUSION,BODY SLAM,THUNDERBOLT,STOMP,58,50,63,63,61,0,0,0,0,0,0,0,65,56,63,63,61,188298,86092,90915,9293,1998,0,0,0,2580,2530,50,0,155,36,33,3,0,0,4510,2879,199,199,106,5,33,0,0,0,0,0,15,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,73,17944,0,0,0,0,11,16,0,1,1,4,0,5,0,Flareon
Girafarig5,Girafarig,RTG4 - Status Jr Trainer,00:14:01.97,00:14:08.75,00:55:14.37,27,0,0,14,8,75,CONFUSION,BODY SLAM,THUNDERBOLT,STOMP,60,52,65,65,63,0,0,0,0,0,0,0,67,58,65,65,63,200847,89458,99187,10204,1998,0,0,0,2780,2530,250,0,175,40,37,3,0,0,5264,3367,199,199,115,6,33,0,0,0,0,0,16,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,81,20824,0,0,0,0,11,16,0,1,1,4,0,5,0,Flareon
