date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
11-12,14:48:30,NINTEN,Girafarig,Rival1-Lab,1,Pallet Town - Oak's Lab,1,41.08,41,0h0m41s,0,0,0,6,0:02,7.267,CONFUSION,GROWL,TACKLE,STOMP,0,71,1,1,1,2,2,1,0,3000,Jolteon, ,Normal,Psychic,222,Girafarig5,Girafarig,Rival (Lab),00:00:33.81,00:00:41.08,00:02:09.09,6,0,0,0,41,8,CONFUSION,GROWL,TACKLE,STOMP,24,40,35,19,0,0,0,0,21,26,16,14,17,17,17,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,16,14,17,17,17,9719,4741,2980,0,1998,0,0,0,71,71,0,0,1,2,1,1,0,0,21,21,5,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,5,0,Jolteon
11-12,14:49:52,NINTEN,Girafarig,Bug Catcher,2,Viridian Forest,3,2:03.31,2:03,0h2m3s,0,0,0,7,0:07,11.502,CONFUSION,GROWL,TACKLE,STOMP,0,541,53,2,2,7,7,3,4,75,Flareon, ,Normal,Psychic,471,Girafarig5,Girafarig,,00:01:51.81,00:02:03.31,00:07:33.54,7,0,0,2,3,31,CONFUSION,GROWL,TACKLE,STOMP,20,40,35,20,0,0,0,0,27,29,18,16,19,19,19,200,125,195,135,135,160,15,15,15,15,0,0,0,0,0,0,0,18,16,19,19,19,29204,20138,7068,0,1998,0,0,0,541,541,0,0,53,4,2,2,0,0,98,87,7,7,7,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,346,0,0,0,0,0,13,0,0,0,0,0,5,0,Flareon
11-12,14:50:19,NINTEN,Girafarig,Bug Catcher,3,Viridian Forest,1,2:30.31,2:30,0h2m30s,0,0,0,8,0:09,7.414,CONFUSION,GROWL,TACKLE,STOMP,0,630,60,3,3,11,11,6,3,135,Flareon, ,Normal,Psychic,583,Girafarig5,Girafarig,,00:02:22.90,00:02:30.31,00:09:20.36,8,0,0,2,30,31,CONFUSION,GROWL,TACKLE,STOMP,17,40,34,20,0,0,0,0,18,31,20,18,22,22,21,245,155,230,155,155,205,15,15,15,15,0,0,0,0,0,0,0,20,18,22,22,21,35606,22138,11470,0,1998,0,0,0,630,630,0,0,60,6,3,3,0,0,157,134,18,18,11,0,5,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,458,0,0,0,0,1,13,0,1,1,0,0,5,0,Flareon
11-12,14:50:48,NINTEN,Girafarig,Brock,1,Pewter City - Gym,2,2:58.93,2:58,0h2m58s,0,0,0,10,0:11,14.739,CONFUSION,GROWL,TACKLE,STOMP,0,736,60,4,3,19,17,11,3,235,Flareon, ,Normal,Psychic,1043,Girafarig5,Girafarig,Brock,00:02:44.19,00:02:58.93,00:11:13.25,10,0,0,2,58,93,CONFUSION,GROWL,TACKLE,STOMP,11,40,34,20,0,0,0,0,21,37,24,21,26,26,25,320,280,490,215,215,295,15,15,15,15,0,-2,0,0,0,0,0,24,10,26,26,25,42375,24581,15457,339,1998,0,0,0,736,736,0,0,60,7,4,3,0,0,236,195,34,34,17,0,9,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,918,0,0,0,0,1,13,0,1,1,0,0,5,0,Flareon
11-12,14:51:13,NINTEN,Girafarig,Bug Catcher,4,Route 3,3,3:24.52,3:24,0h3m24s,0,0,0,11,0:12,12.228,CONFUSION,GROWL,TACKLE,STOMP,0,809,64,5,3,24,22,13,4,1423,Flareon, ,Normal,Psychic,1378,Girafarig5,Girafarig,,00:03:12.30,00:03:24.52,00:12:54.35,11,0,0,3,24,52,CONFUSION,GROWL,TACKLE,STOMP,10,40,34,16,0,0,0,0,21,40,26,23,28,28,27,450,375,590,275,275,435,15,15,15,15,0,0,0,0,-1,0,0,29,23,28,28,17,48445,26750,19358,339,1998,0,0,0,809,809,0,0,64,8,5,3,0,0,385,284,37,37,22,0,11,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1253,0,0,0,0,1,13,0,1,1,0,0,5,0,Flareon
11-12,14:51:27,NINTEN,Girafarig,Youngster Ben,1,Route 3,2,3:38.44,3:38,0h3m38s,0,0,0,11,0:13,8.481,CONFUSION,GROWL,TACKLE,STOMP,0,813,64,6,3,27,25,15,4,1523,Flareon, ,Normal,Psychic,1656,Girafarig5,Girafarig,,00:03:29.95,00:03:38.44,00:13:49.18,11,0,0,3,38,44,CONFUSION,GROWL,TACKLE,STOMP,9,40,34,14,0,0,0,0,28,40,26,23,28,28,27,515,491,669,340,340,562,15,15,15,15,0,0,0,0,0,0,0,29,23,28,28,27,51728,27162,21862,706,1998,0,0,0,813,813,0,0,64,9,6,3,0,0,469,343,49,49,25,0,13,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1531,0,0,0,0,1,13,0,1,1,0,0,5,0,Flareon
11-12,14:51:39,NINTEN,Girafarig,Lass,2,Route 3,2,3:50.02,3:50,0h3m50s,0,0,0,12,0:14,7.77,CONFUSION,GROWL,TACKLE,STOMP,0,819,64,7,3,29,27,16,4,1688,Flareon, ,Normal,Psychic,1904,Girafarig5,Girafarig,,00:03:42.25,00:03:50.02,00:14:34.53,12,0,0,3,50,2,CONFUSION,GROWL,TACKLE,STOMP,8,40,34,13,0,0,0,0,25,43,28,24,30,30,29,591,604,744,405,405,684,15,15,15,15,0,0,0,0,0,0,0,31,24,30,30,29,54463,27573,24186,706,1998,0,0,0,819,819,0,0,64,10,7,3,0,0,535,400,55,55,27,0,14,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,1779,0,0,0,0,1,13,0,1,1,0,0,5,0,Flareon
11-12,14:51:55,NINTEN,Girafarig,Bug Catcher,6,Route 3,2,4:06.07,4:06,0h4m6s,0,0,0,13,0:15,9.141,CONFUSION,GROWL,TACKLE,STOMP,0,875,65,8,3,33,31,17,4,1838,Flareon, ,Normal,Psychic,2197,Girafarig5,Girafarig,,00:03:56.93,00:04:06.07,00:15:38.14,13,0,0,4,6,7,CONFUSION,GROWL,TACKLE,STOMP,6,40,34,11,0,0,0,0,27,45,30,26,32,32,31,686,654,834,450,450,759,15,15,15,15,0,0,0,0,0,0,0,33,26,32,32,31,58264,28739,26821,706,1998,0,0,0,875,875,0,0,65,11,8,3,0,0,648,465,55,55,31,0,14,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,2072,0,0,0,0,1,13,0,1,1,0,0,5,0,Flareon
11-12,14:52:21,NINTEN,Girafarig,Super Nerd,1,Mt Moon - 1,2,4:32.48,4:32,0h4m32s,0,0,0,13,0:17,9.217,CONFUSION,GROWL,TACKLE,STOMP,0,1020,70,9,3,37,35,19,4,1948,Flareon, ,Normal,Psychic,2646,Girafarig5,Girafarig,,00:04:23.26,00:04:32.48,00:17:22.29,13,0,0,4,32,48,CONFUSION,GROWL,TACKLE,STOMP,25,40,35,16,0,0,0,0,41,45,30,26,32,32,31,751,719,954,600,600,904,15,15,15,15,0,-2,0,0,0,0,0,37,13,32,32,31,64519,32400,29415,706,1998,0,0,0,1020,1020,0,0,70,12,9,3,0,0,753,524,59,59,35,0,16,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,2521,0,0,0,0,1,13,0,1,1,0,0,5,0,Flareon
11-12,14:52:55,NINTEN,Girafarig,Fossil Nerd,2,Mt Moon - 3,3,5:06.15,5:06,0h5m6s,0,0,0,15,0:19,13.161,CONFUSION,GROWL,TACKLE,STOMP,0,1239,77,10,3,42,40,21,5,2223,Flareon, ,Normal,Psychic,3433,Girafarig5,Girafarig,,00:04:52.99,00:05:06.15,00:19:35.48,15,0,0,5,6,15,CONFUSION,GROWL,TACKLE,STOMP,23,40,35,13,0,0,0,0,47,51,34,30,37,37,36,911,894,1149,755,755,1064,15,15,15,15,0,-4,0,0,0,0,0,38,9,37,37,36,72518,36882,32932,706,1998,0,0,0,1239,1239,0,0,77,13,10,3,0,0,922,633,59,59,39,1,18,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,3308,0,0,0,0,2,13,0,1,1,0,0,5,0,Flareon
