player_name,pokemon,trainer_name,real_time_hmmss,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4
NINTEN,Golduck,Rival1-Lab,44,0,0,6,0:02,10.5,SCRATCH,TAIL WHIP,DISABLE,
NINTEN,Golduck,Brock,8:08,0,0,13,0:31,46.456,SCRATCH,TAIL WHIP,DISABLE,
NINTEN,Golduck,Rival2-Nugget Bridge,12:05,0,0,19,0:47,17.012,MEGA PUNCH,TAIL WHIP,SCRATCH,WATER GUN
NINTEN,Golduck,Misty,13:37,0,0,21,0:53,14.589,MEGA PUNCH,BIDE,SCRATCH,WATER GUN
NINTEN,Golduck,Cerulean Rocket,16:09,0,0,24,1:03,9.623,BUBBLEBEAM,MEGA PUNCH,SCRATCH,WATER GUN
NINTEN,Golduck,Rival3-SS Anne,18:17,0,0,26,1:11,14.401,BUBBLEBEAM,BODY SLAM,DIG,WATER GUN
NINTEN,Golduck,Surge,19:04,0,0,26,1:14,6.027,BUBBLEBEAM,BODY SLAM,DIG,WATER GUN
NINTEN,Golduck,Rival4-Pkmn Tower,25:16,0,0,31,1:39,21.631,BUBBLEBEAM,BODY SLAM,DIG,ICE BEAM
NINTEN,Golduck,Erika,27:31,0,0,34,1:48,12.981,BUBBLEBEAM,BODY SLAM,DIG,ICE BEAM
NINTEN,Golduck,Rival5-Silph,34:10,0,0,41,2:14,23.227,SURF,BODY SLAM,DIG,ICE BEAM
NINTEN,Golduck,Koga,36:43,0,0,45,2:24,20.553,SURF,BODY SLAM,DIG,ICE BEAM
NINTEN,Golduck,Blaine,39:08,0,0,47,2:33,18.682,SURF,BODY SLAM,DIG,ICE BEAM
NINTEN,Golduck,Sabrina,39:57,0,0,47,2:37,15.835,SURF,BODY SLAM,DIG,ICE BEAM
NINTEN,Golduck,Giovanni,41:41,0,0,50,2:43,22.252,SURF,BODY SLAM,DIG,ICE BEAM
NINTEN,Golduck,Rival6-Route 22,42:33,0,0,51,2:47,24.496,SURF,BODY SLAM,DIG,ICE BEAM
NINTEN,Golduck,Lorelei,46:09,0,0,63,3:01,42.779,SURF,BODY SLAM,DIG,MIMIC
NINTEN,Golduck,Bruno,46:38,0,0,64,3:03,17.642,SURF,BODY SLAM,DIG,MIMIC
NINTEN,Golduck,Agatha,47:20,0,0,65,3:06,20.109,SURF,BLIZZARD,DIG,MIMIC
NINTEN,Golduck,Lance,47:56,0,0,66,3:08,21.35,SURF,BLIZZARD,DIG,MIMIC
NINTEN,Golduck,Champion,49:37,0,0,67,3:15,73.763,SURF,BLIZZARD,DIG,REST
NINTEN,Golduck,Hall of Fame,49:37,0,0,67,3:16,96.175,SURF,BLIZZARD,DIG,REST
