ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Golduck 2,Golduck,Rival (Lab),00:00:33.74,00:00:44.13,00:02:21.42,6,0,0,0,44,13,SCRATCH,TAIL WHIP,DISABLE,,16,16,16,16,17,0,-2,0,0,0,0,0,16,8,16,16,17,10447,4752,3722,0,1973,0,0,0,71,71,0,0,11,2,1,1,0,0,25,21,5,5,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,3,0,Jolteon
Golduck 2,Golduck,Brock,00:04:02.19,00:04:47.71,00:18:25.15,12,0,0,4,47,71,SCRATCH,TAIL WHIP,DISABLE,,28,28,28,28,29,0,0,0,0,0,0,0,28,28,28,28,29,68260,26861,38321,1105,1973,1,0,0,807,807,0,0,72,9,7,2,0,0,370,330,92,92,75,11,32,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1623,0,0,0,0,1,0,0,0,0,0,0,3,0,Flareon
Golduck 2,Golduck,Rival (Nugget Bridge),00:08:46.12,00:09:05.79,00:35:25.13,17,0,0,9,5,79,MEGA PUNCH,BIDE,SCRATCH,WATER GUN,39,38,38,38,40,-1,-2,0,0,0,0,0,28,19,38,38,40,129458,50883,72191,4411,1973,1,0,0,1616,1616,0,0,119,17,15,2,0,0,1300,1056,172,172,125,19,57,0,0,0,0,0,26,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,34,5634,0,0,0,0,5,6,0,0,0,3,0,3,0,Flareon
Golduck 2,Golduck,Misty,00:09:40.54,00:09:56.03,00:38:43.37,19,0,0,9,56,3,MEGA PUNCH,BIDE,SCRATCH,WATER GUN,43,42,42,42,45,0,0,0,0,0,0,0,48,42,42,42,45,141362,54895,78923,5571,1973,2,0,0,1707,1707,0,0,132,19,17,2,0,0,1468,1205,210,210,132,21,63,0,0,0,0,0,27,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,37,7424,0,0,0,0,5,11,0,0,0,3,0,3,0,Flareon
Golduck 2,Golduck,Oddish Lass,00:12:22.08,00:12:32.79,00:49:01.55,23,0,0,12,32,79,BUBBLEBEAM,WATER GUN,SCRATCH,MEGA PUNCH,52,51,51,51,54,0,0,0,0,0,0,0,58,51,51,51,54,178460,64263,105105,7119,1973,2,0,0,1917,1917,0,0,154,30,28,2,0,0,3343,2169,229,229,159,21,65,0,0,0,0,0,35,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,62,12482,0,0,0,0,7,11,0,0,0,4,0,3,0,Flareon
Golduck 2,Golduck,Rocket,00:12:58.39,00:13:05.15,00:51:09.48,23,0,0,13,5,15,BUBBLEBEAM,WATER GUN,SCRATCH,MEGA PUNCH,52,51,51,51,54,0,0,0,0,0,0,0,58,51,51,51,54,186133,69848,107193,7119,1973,2,0,0,2056,2056,0,0,158,31,29,2,0,0,3509,2272,229,229,161,21,65,0,0,0,0,0,37,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,64,13171,0,0,0,0,8,11,0,0,0,4,0,3,0,Flareon
Golduck 2,Golduck,Rival (SS Anne),00:14:37.84,00:14:52.01,00:58:11.05,25,0,0,14,52,1,BUBBLEBEAM,WATER GUN,BODY SLAM,DIG,57,55,55,55,58,0,0,0,0,0,0,0,64,55,55,55,58,211410,79521,119244,10672,1973,2,0,0,2384,2384,0,0,176,36,34,2,0,0,4447,2817,242,242,175,22,67,0,0,0,0,0,38,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,76,16662,0,0,0,0,11,14,0,0,0,6,0,3,0,Flareon
Golduck 2,Golduck,Lt. Surge,00:15:58.44,00:16:04.44,01:02:56.58,26,0,0,16,4,44,BUBBLEBEAM,WATER GUN,BODY SLAM,DIG,59,57,58,58,61,0,0,0,0,0,0,0,66,57,58,58,61,228563,88391,123574,14625,1973,3,0,0,2650,2650,0,0,197,38,36,2,0,0,4717,2979,274,274,178,24,68,0,0,0,0,0,38,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,79,18207,0,0,0,0,12,14,0,0,0,7,0,3,0,Flareon
Golduck 2,Golduck,RTG1 - Wrapping Lass,00:16:52.49,00:17:05.51,01:06:57.31,26,0,0,17,5,51,BUBBLEBEAM,WATER GUN,BODY SLAM,DIG,59,57,58,58,61,0,0,0,0,0,0,0,66,64,58,58,61,242996,96627,127246,17150,1973,3,0,0,2839,2790,49,0,223,39,37,2,0,0,4957,3169,274,274,182,25,68,0,0,0,0,0,38,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,83,19455,0,0,0,0,12,14,0,0,0,7,0,3,0,Flareon
Golduck 2,Golduck,RTG4 - Status Jr Trainer,00:17:52.52,00:18:06.40,01:10:57.47,28,0,0,18,6,40,BUBBLEBEAM,WATER GUN,BODY SLAM,DIG,64,61,62,62,65,0,0,0,0,0,0,0,72,68,62,62,65,257412,99504,138429,17506,1973,3,0,0,3034,2790,244,0,240,43,41,2,0,0,5746,3662,344,344,195,27,73,0,0,0,0,0,40,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,91,22335,0,0,0,0,12,14,0,0,0,7,0,3,0,Flareon
