date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
9-16,14:01:48,NINTEN,Golduck,Rival1-Lab,1,Pallet Town - Oak's Lab,1,44.12,44,0h0m44s,0,0,0,6,0:02,10.393,SCRATCH,TAIL WHIP,DISABLE,,0,71,11,1,1,5,5,4,0,3000,Jolteon, ,Water,Water,222,Golduck 2,Golduck,Rival (Lab),00:00:33.74,00:00:44.13,00:02:21.42,6,0,0,0,44,13,SCRATCH,TAIL WHIP,DISABLE,,30,30,20,0,0,0,0,0,22,27,16,16,16,16,17,55,55,50,65,65,55,15,15,15,15,0,-2,0,0,0,0,0,16,8,16,16,17,10447,4752,3722,0,1973,0,0,0,71,71,0,0,11,2,1,1,0,0,25,21,5,5,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,3,0,Jolteon
9-16,14:03:05,NINTEN,Golduck,Bug Catcher,1,Viridian Forest,2,2:01.55,2:01,0h2m1s,0,0,0,7,0:07,17.434,SCRATCH,TAIL WHIP,DISABLE,,0,484,55,2,2,14,14,11,0,3175,Flareon, ,Water,Water,380,Golduck 2,Golduck,,00:01:44.11,00:02:01.55,00:07:27.31,7,0,0,2,1,55,SCRATCH,TAIL WHIP,DISABLE,,26,30,20,0,0,0,0,0,18,30,18,18,18,18,19,145,115,120,105,105,145,15,15,15,15,0,0,0,0,0,0,0,18,18,18,18,19,28796,17591,9232,0,1973,0,0,0,484,484,0,0,55,4,2,2,0,0,76,69,17,17,14,2,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,0,0,0,0,0,0,3,0,Flareon
9-16,14:03:32,NINTEN,Golduck,Bug Catcher,2,Viridian Forest,3,2:28.65,2:28,0h2m28s,0,0,0,8,0:09,23.263,SCRATCH,TAIL WHIP,DISABLE,,0,498,55,3,2,26,26,20,0,3245,Flareon, ,Water,Water,629,Golduck 2,Golduck,,00:02:05.40,00:02:28.66,00:09:14.48,8,0,0,2,28,66,SCRATCH,TAIL WHIP,DISABLE,,16,28,20,0,0,0,0,0,13,33,20,20,20,20,21,290,185,265,175,175,250,15,15,15,15,0,0,0,0,0,0,0,20,20,20,20,21,35233,18080,15180,0,1973,0,0,0,498,498,0,0,55,5,3,2,0,0,145,135,25,25,26,2,12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,0,0,0,0,0,0,3,0,Flareon
9-16,14:04:00,NINTEN,Golduck,Bug Catcher,15,Viridian Forest,2,2:55.81,2:55,0h2m55s,0,0,0,9,0:11,19.307,SCRATCH,TAIL WHIP,DISABLE,,0,531,57,4,2,36,36,28,0,3305,Flareon, ,Water,Water,842,Golduck 2,Golduck,,00:02:36.50,00:02:55.81,00:11:02.13,9,0,0,2,55,81,SCRATCH,TAIL WHIP,DISABLE,,8,26,20,0,0,0,0,0,30,36,22,22,22,22,23,385,235,355,220,220,325,15,15,15,15,0,0,0,0,-1,0,0,22,22,22,22,15,41678,19143,20200,362,1973,0,0,0,531,531,0,0,57,6,4,2,0,0,202,188,31,31,36,3,16,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,717,0,0,0,0,1,0,0,0,0,0,0,3,0,Flareon
9-16,14:04:15,NINTEN,Golduck,Bug Catcher,3,Viridian Forest,1,3:10.73,3:10,0h3m10s,0,0,0,9,0:12,9.577,SCRATCH,TAIL WHIP,DISABLE,,0,577,57,5,2,41,41,32,0,3385,Flareon, ,Water,Water,954,Golduck 2,Golduck,,00:03:01.16,00:03:10.74,00:12:01.18,9,0,0,3,10,74,SCRATCH,TAIL WHIP,DISABLE,,5,24,20,0,0,0,0,0,27,36,22,22,22,22,23,430,265,390,240,240,370,15,15,15,15,0,0,0,0,0,0,0,22,22,22,22,23,45223,20005,22883,362,1973,0,0,0,577,577,0,0,57,7,5,2,0,0,246,218,34,34,41,6,17,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,829,0,0,0,0,1,0,0,0,0,0,0,3,0,Flareon
9-16,14:04:46,NINTEN,Golduck,Jr Trainer M,1,Pewter City - Gym,2,3:42.22,3:42,0h3m42s,0,0,0,10,0:14,14.757,SCRATCH,TAIL WHIP,DISABLE,,0,697,65,6,2,48,48,37,0,3485,Flareon, ,Water,Water,1288,Golduck 2,Golduck,,00:03:27.47,00:03:42.23,00:14:05.32,10,0,0,3,42,23,SCRATCH,TAIL WHIP,DISABLE,,28,30,20,0,0,0,0,0,20,39,24,24,24,24,25,490,395,500,315,315,505,15,15,15,15,0,0,0,0,0,0,0,24,24,24,24,25,52677,23430,26912,362,1973,0,0,0,697,697,0,0,65,8,6,2,0,0,303,269,53,53,48,6,22,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1163,0,0,0,0,1,0,0,0,0,0,0,3,0,Flareon
9-16,14:05:52,NINTEN,Golduck,Brock,1,Pewter City - Gym,2,4:47.71,4:47,0h4m47s,0,0,0,12,0:18,45.522,SCRATCH,TAIL WHIP,DISABLE,,1,807,72,7,2,76,76,52,0,3665,Flareon, ,Water,Water,1748,Golduck 2,Golduck,Brock,00:04:02.19,00:04:47.71,00:18:25.15,12,0,0,4,47,71,SCRATCH,TAIL WHIP,DISABLE,,20,19,18,0,0,0,0,0,6,45,28,28,28,28,29,565,520,760,375,375,595,15,15,15,15,0,0,0,0,0,0,0,28,28,28,28,29,68260,26861,38321,1105,1973,1,0,0,807,807,0,0,72,9,7,2,0,0,370,330,92,92,75,11,32,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1623,0,0,0,0,1,0,0,0,0,0,0,3,0,Flareon
9-16,14:06:33,NINTEN,Golduck,Bug Catcher,4,Route 3,3,5:29.48,5:29,0h5m29s,0,0,0,12,0:21,16.193,SCRATCH,TAIL WHIP,DISABLE,,1,926,90,8,2,84,84,58,3,3953,Flareon, ,Water,Water,2083,Golduck 2,Golduck,,00:05:13.28,00:05:29.48,00:21:10.20,12,0,0,5,29,48,SCRATCH,TAIL WHIP,DISABLE,,27,30,20,0,0,0,0,0,43,45,28,28,28,28,29,695,615,860,435,435,735,15,15,15,15,0,0,0,0,-2,0,0,38,28,28,28,14,78165,31921,43166,1105,1973,1,0,0,926,926,0,0,90,10,8,2,0,0,482,419,94,94,83,14,35,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1958,0,0,0,0,1,6,0,0,0,0,0,3,0,Flareon
9-16,14:06:52,NINTEN,Golduck,Youngster Ben,1,Route 3,2,5:48.18,5:48,0h5m48s,0,0,0,13,0:22,15.772,SCRATCH,TAIL WHIP,DISABLE,,1,930,91,9,2,93,90,62,3,4053,Flareon, ,Water,Water,2361,Golduck 2,Golduck,,00:05:32.41,00:05:48.18,00:22:24.17,13,0,0,5,48,18,SCRATCH,TAIL WHIP,DISABLE,,21,30,20,0,0,0,0,0,30,48,31,30,30,30,31,760,731,939,500,500,862,15,15,15,15,0,-1,0,0,0,0,0,34,19,30,30,31,82602,32118,47406,1105,1973,1,0,0,930,930,0,0,91,11,9,2,0,0,562,478,110,110,89,14,39,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2236,0,0,0,0,1,6,0,0,0,0,0,3,0,Flareon
9-16,14:07:07,NINTEN,Golduck,Lass,2,Route 3,2,6:02.95,6:02,0h6m2s,0,0,0,13,0:23,10.781,SCRATCH,TAIL WHIP,DISABLE,,1,938,91,10,2,98,95,65,3,4218,Flareon, ,Water,Water,2609,Golduck 2,Golduck,,00:05:52.17,00:06:02.95,00:23:22.35,13,0,0,6,2,95,SCRATCH,TAIL WHIP,DISABLE,,16,30,20,0,0,0,0,0,17,48,31,30,30,30,31,836,844,1014,565,565,984,15,15,15,15,0,-1,0,0,0,0,0,38,19,30,30,31,86100,32577,50445,1105,1973,1,0,0,938,938,0,0,91,12,10,2,0,0,634,535,123,123,94,14,42,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2484,0,0,0,0,1,6,0,0,0,0,0,3,0,Flareon
