ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Graveler 3,Graveler,Rival (Lab),00:00:33.60,00:00:43.83,00:02:20.56,6,0,0,0,43,83,TACKLE,DEFENSE CURL,,,18,20,12,12,11,0,-1,0,0,0,0,0,18,13,12,12,11,10376,4758,3670,0,1948,0,0,0,71,71,0,0,1,2,1,1,0,0,23,21,3,3,4,1,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,5,0,Jolteon
Graveler 3,Graveler,Brock,00:06:24.46,00:07:21.52,00:28:31.08,15,0,0,7,21,52,TACKLE,DEFENSE CURL,,,39,45,24,24,21,0,-6,0,0,0,0,0,39,11,24,24,21,104589,35471,66920,250,1948,0,0,0,1055,1055,0,0,47,30,8,22,1,0,891,711,60,60,95,17,56,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2370,0,0,0,0,1,12,0,0,0,0,0,5,0,Flareon
Graveler 3,Graveler,Rival (Nugget Bridge),00:10:30.52,00:10:48.22,00:42:07.36,20,0,0,10,48,22,TACKLE,DEFENSE CURL,ROCK THROW,MEGA PUNCH,51,59,31,31,27,-1,0,0,0,0,0,0,37,59,31,31,27,153576,57489,92774,1365,1948,0,0,0,1846,1846,0,0,77,37,15,22,1,0,1979,1371,74,74,120,30,73,0,0,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,6084,0,0,0,0,4,12,0,0,0,2,0,5,0,Flareon
Graveler 3,Graveler,Oddish Lass,00:13:43.13,00:13:53.34,00:54:19.07,24,0,0,13,53,34,MEGA PUNCH,DEFENSE CURL,ROCK THROW,TACKLE,61,70,36,36,32,0,0,0,0,0,0,0,68,70,36,36,32,197467,66676,126279,2564,1948,0,0,0,2030,2030,0,0,105,47,25,22,1,0,3182,2187,110,110,154,51,94,0,0,0,0,0,13,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,10184,0,0,0,0,5,12,0,0,0,2,0,5,0,Flareon
Graveler 3,Graveler,Rocket,00:14:26.51,00:14:40.51,00:57:25.44,24,0,0,14,40,51,MEGA PUNCH,DEFENSE CURL,ROCK THROW,TACKLE,61,70,36,36,32,0,0,0,0,0,0,0,68,70,36,36,32,208664,74043,130109,2564,1948,0,0,0,2224,2224,0,0,112,48,26,22,1,0,3320,2290,118,118,158,53,98,0,0,0,0,0,13,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,10873,0,0,0,0,6,12,0,0,0,2,0,5,0,Flareon
Graveler 3,Graveler,Rival (SS Anne),00:16:46.58,00:16:58.66,01:06:30.10,27,0,0,16,58,66,BODY SLAM,DEFENSE CURL,ROCK THROW,DIG,68,79,41,41,36,0,0,0,0,0,0,0,76,79,41,41,36,241330,85791,148009,5582,1948,0,0,0,2574,2574,0,0,151,55,33,22,1,0,4881,3067,128,128,175,60,102,0,0,0,0,0,16,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,16454,0,0,0,0,10,20,0,0,0,4,0,5,0,Flareon
Graveler 3,Graveler,Misty,00:18:34.04,00:18:44.57,01:12:32.12,30,1,0,18,44,57,BODY SLAM,HARDEN,ROCK THROW,DIG,76,87,45,45,40,0,0,0,0,0,0,0,85,87,45,45,40,263057,96135,154848,9971,2103,2,1,0,2851,2851,0,0,162,58,36,22,1,0,5213,3302,248,248,181,61,104,0,0,0,0,0,16,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,19057,0,0,0,0,11,20,0,0,0,5,0,5,1,Flareon
Graveler 3,Graveler,Lt. Surge,00:19:20.51,00:19:25.94,01:15:15.02,30,1,0,19,25,94,BODY SLAM,HARDEN,ROCK THROW,DIG,76,87,45,45,40,0,0,0,0,0,0,0,85,87,45,45,40,272827,102403,156752,11569,2103,2,1,0,3073,3073,0,0,171,59,37,22,1,0,5392,3378,248,248,182,62,105,0,0,0,0,0,16,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,19789,0,0,0,0,11,20,0,0,0,6,0,5,1,Flareon
Graveler 3,Graveler,RTG1 - Wrapping Lass,00:20:12.96,00:20:24.11,01:19:04.07,31,1,0,20,24,11,BODY SLAM,HARDEN,ROCK THROW,DIG,78,90,46,46,41,0,0,0,0,0,0,0,87,101,46,46,41,286572,110253,159977,14239,2103,2,1,0,3262,3211,51,0,184,60,38,22,1,0,5754,3568,248,248,186,62,105,0,0,0,0,0,17,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,21037,0,0,0,0,11,20,0,0,0,6,0,5,1,Flareon
Graveler 3,Graveler,RTG4 - Status Jr Trainer,00:21:08.32,00:21:14.58,01:22:23.00,32,1,0,21,14,58,BODY SLAM,HARDEN,ROCK THROW,DIG,81,93,48,48,43,0,0,0,0,0,0,0,91,104,48,48,43,298505,113412,168376,14614,2103,2,1,0,3460,3211,249,0,199,64,42,22,1,0,6375,4056,248,248,194,65,105,0,0,0,0,0,17,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,23917,0,0,0,0,11,20,0,0,0,6,0,5,1,Flareon
