ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Groudon1,Groudon,Rival (Lab),00:00:25.02,00:00:30.95,00:01:37.34,5,0,0,0,30,95,BONE CLUB,STRING SHOT,,,21,20,19,19,15,0,0,0,0,0,0,0,21,20,19,19,15,7304,3393,2433,0,1478,0,0,0,71,71,0,0,13,2,1,1,0,0,32,21,6,6,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
Groudon1,Groudon,Brock,00:03:29.44,00:03:43.81,00:14:18.28,8,0,0,3,43,81,BONE CLUB,STRING SHOT,,,31,30,27,27,22,0,-4,0,0,0,0,0,31,9,27,27,22,52958,30288,20245,947,1478,2,0,0,1130,1130,0,0,99,17,4,13,11,0,168,137,51,49,13,12,16,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,669,0,0,0,0,2,13,0,1,0,0,1,1,1,Flareon
Groudon1,Groudon,Rival (Nugget Bridge),00:06:25.52,00:06:44.48,00:26:11.30,15,0,0,6,44,48,BONE CLUB,STRING SHOT,MEGA PUNCH,ROCK THROW,55,52,48,48,37,-1,0,0,0,0,-4,0,40,52,48,48,37,95740,50698,41339,2225,1478,3,0,0,1919,1919,0,0,124,24,11,13,11,0,1115,797,84,82,43,23,35,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,4383,0,0,0,0,5,13,0,1,0,1,1,1,1,Flareon
Groudon1,Groudon,Oddish Lass,00:08:56.10,00:09:08.68,00:35:40.26,19,0,0,9,8,68,BONE CLUB,STRING SHOT,ROCK THROW,MEGA PUNCH,69,65,60,60,47,0,0,0,0,0,0,0,77,65,60,60,47,129876,60274,65252,2872,1478,3,0,0,2047,2047,0,0,148,34,21,13,11,0,2996,1613,133,131,67,28,44,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,8483,0,0,0,0,6,13,0,1,0,2,1,1,1,Flareon
Groudon1,Groudon,Misty,00:09:52.78,00:10:01.67,00:39:09.42,22,0,0,10,1,67,SLASH,BONE CLUB,ROCK THROW,MEGA PUNCH,80,75,69,69,53,0,0,0,0,0,0,0,90,75,69,69,53,142432,66621,69163,5170,1478,4,0,0,2228,2228,0,0,158,36,23,13,11,0,3202,1762,167,165,71,28,45,0,0,0,0,0,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,10273,0,0,0,0,6,13,0,1,0,3,1,1,1,Flareon
Groudon1,Groudon,Rocket,00:10:16.54,00:10:22.55,00:40:31.47,22,0,0,10,22,55,SLASH,BONE CLUB,ROCK THROW,MEGA PUNCH,80,75,69,69,53,0,0,0,0,0,0,0,90,75,69,69,53,147357,69655,71054,5170,1478,4,0,0,2315,2315,0,0,168,37,24,13,11,0,3374,1865,167,165,73,28,45,0,0,0,0,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,10962,0,0,0,0,6,13,0,1,0,3,1,1,1,Flareon
Groudon1,Groudon,Rival (SS Anne),00:11:21.03,00:11:31.28,00:45:02.22,23,0,0,11,31,28,SLASH,BONE CLUB,ROCK THROW,MEGA PUNCH,83,79,71,71,56,0,0,0,0,0,0,0,93,79,71,71,56,163592,78873,78071,5170,1478,4,0,0,2673,2673,0,0,184,40,27,13,11,0,4177,2263,173,171,82,28,46,0,0,0,0,0,28,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,13299,0,0,0,0,8,16,0,1,0,3,1,1,1,Flareon
Groudon1,Groudon,Lt. Surge,00:12:13.31,00:12:18.12,00:48:07.26,23,0,0,12,18,12,SLASH,DIG,ROCK THROW,MEGA PUNCH,83,79,71,71,56,0,0,0,0,0,0,0,93,79,71,71,56,174696,85086,79633,8499,1478,5,0,0,2854,2854,0,0,214,41,28,13,11,0,4329,2339,173,171,83,28,46,0,0,0,0,0,28,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,14031,0,0,0,0,8,16,0,1,0,5,1,1,1,Flareon
Groudon1,Groudon,RTG1 - Wrapping Lass,00:12:56.64,00:13:07.22,00:51:20.28,24,0,0,13,7,22,SLASH,DIG,ROCK THROW,MEGA PUNCH,87,82,75,75,58,0,0,0,0,0,0,0,97,92,75,75,58,186278,91945,82597,10258,1478,5,0,0,3054,3004,50,0,236,42,29,13,11,0,4720,2529,173,171,87,28,46,0,0,0,0,0,32,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,15279,0,0,0,0,8,16,0,1,0,5,1,1,1,Flareon
Groudon1,Groudon,RTG4 - Status Jr Trainer,00:13:53.40,00:13:59.24,00:54:45.27,25,0,0,13,59,24,SLASH,DIG,ROCK THROW,MEGA PUNCH,91,86,78,78,61,0,0,0,0,0,0,0,102,96,78,78,61,198577,95420,90490,11189,1478,5,0,0,3263,3004,259,0,257,46,33,13,11,0,5545,3017,187,185,98,29,48,0,0,0,0,0,43,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,18159,0,0,0,0,8,16,0,1,0,5,1,1,1,Flareon
