date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
1-21,15:13:43,NINTEN,Growlithe,Rival1-Lab,1,Pallet Town - Oak's Lab,1,40.80,40,0h0m40s,0,0,0,5,0:02,7.986,BITE,ROAR,,,0,71,2,1,1,4,4,3,0,3000,Jolteon, ,Fire,Fire,253,Growlithe3,Growlithe,Rival (Lab),00:00:32.81,00:00:40.80,00:02:09.01,5,0,0,0,40,80,BITE,ROAR,,,21,20,0,0,0,0,0,0,15,22,13,11,11,11,12,55,55,50,65,65,55,15,15,15,15,0,-2,0,0,0,0,0,13,5,11,11,12,9656,4583,3130,0,1943,0,0,0,71,71,0,0,2,2,1,1,0,0,29,21,7,7,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Jolteon
1-21,15:15:50,NINTEN,Growlithe,Bug Catcher,3,Viridian Forest,1,2:47.98,2:47,0h2m47s,0,0,0,7,0:10,9.238,BITE,ROAR,,,0,621,30,2,9,28,28,17,1,3175,Flareon, ,Fire,Fire,608,Growlithe3,Growlithe,,00:02:38.74,00:02:47.98,00:10:30.47,7,0,0,2,47,98,BITE,ROAR,,,9,20,0,0,0,0,0,0,6,27,17,13,14,14,15,410,315,360,260,260,422,15,15,15,15,0,0,0,0,0,0,0,17,13,14,14,15,39762,21071,16748,0,1943,0,0,0,621,621,0,0,30,11,2,9,0,0,218,177,41,41,25,4,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,340,0,0,0,0,1,0,0,0,0,0,0,3,0,Flareon
1-21,15:20:35,NINTEN,Growlithe,Jr Trainer M,1,Pewter City - Gym,2,7:32.59,7:32,0h7m32s,0,12,12,13,0:29,11.544,BITE,ROAR,,,0,1303,35,15,10,122,122,106,1,0,Flareon, ,Fire,Fire,2855,Growlithe3,Growlithe,,00:07:21.04,00:07:32.59,00:29:15.10,13,0,0,7,32,59,BITE,ROAR,,,21,19,0,0,0,0,0,0,27,41,28,21,22,22,25,640,1125,825,900,900,1727,15,15,15,15,0,0,0,0,0,0,0,28,21,22,22,25,107225,37599,67683,0,1943,0,0,0,1303,1303,0,0,35,25,15,10,0,0,680,522,502,478,58,4,101,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,2699,0,0,0,0,1,0,0,0,0,0,12,3,12,Flareon
1-21,15:23:21,NINTEN,Growlithe,Brock,1,Pewter City - Gym,2,10:18.26,10:18,0h10m18s,0,15,15,14,0:40,56.407,BITE,ROAR,,,1,1460,37,19,10,214,206,155,0,22,Flareon, ,Fire,Fire,3864,Growlithe3,Growlithe,Brock,00:09:21.86,00:10:18.26,00:40:12.10,14,0,0,10,18,26,BITE,ROAR,,,4,0,0,0,0,0,0,0,10,44,30,22,24,24,27,835,1490,1385,1050,1050,1877,15,15,15,15,0,-2,0,0,0,0,0,30,11,24,24,27,146645,42228,101544,930,1943,1,0,0,1460,1460,0,0,37,29,19,10,0,0,879,709,667,635,117,21,132,0,0,0,0,0,15,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,29,3708,0,0,0,0,1,0,0,0,0,0,15,3,15,Flareon
1-21,15:23:58,NINTEN,Growlithe,Bug Catcher,4,Route 3,3,10:55.84,10:55,0h10m55s,0,15,15,14,0:42,14.287,BITE,ROAR,,,1,1583,41,20,10,220,212,160,1,1210,Flareon,Poisoned,Fire,Fire,4199,Growlithe3,Growlithe,,00:10:41.55,00:10:55.84,00:42:40.35,14,0,0,10,55,84,BITE,ROAR,,,19,20,0,0,0,0,0,0,35,44,30,22,24,24,27,965,1585,1485,1110,1110,2017,15,15,15,15,0,0,0,0,-2,0,0,41,22,24,24,13,155550,46721,105956,930,1943,1,0,0,1583,1583,0,0,41,30,20,10,0,0,1020,798,676,644,123,22,136,0,0,0,0,0,15,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,32,4043,0,0,0,0,1,0,0,0,0,0,15,3,15,Flareon
1-21,15:24:32,NINTEN,Growlithe,Youngster Ben,1,Route 3,2,11:29.48,11:29,0h11m29s,0,15,15,15,0:44,8.751,BITE,ROAR,,,1,1709,48,21,10,224,216,161,3,810,Flareon, ,Fire,Fire,4477,Growlithe3,Growlithe,,00:11:20.73,00:11:29.48,00:44:53.28,15,0,0,11,29,48,BITE,ROAR,,,21,20,0,0,0,0,0,0,47,47,32,24,25,25,29,1030,1701,1564,1175,1175,2144,15,15,15,15,0,-1,0,0,0,0,0,40,15,25,25,29,163523,52130,108520,930,1943,1,0,0,1709,1709,0,0,48,31,21,10,0,0,1102,857,676,644,127,22,137,0,0,0,0,0,15,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,34,4321,0,0,0,0,1,4,0,0,0,0,15,3,15,Flareon
1-21,15:24:47,NINTEN,Growlithe,Bug Catcher,5,Route 3,4,11:45.06,11:45,0h11m45s,0,15,15,15,0:45,12.699,BITE,ROAR,,,1,1713,48,22,10,230,222,163,3,975,Flareon, ,Fire,Fire,4952,Growlithe3,Growlithe,,00:11:32.37,00:11:45.06,00:45:54.51,15,0,0,11,45,6,BITE,ROAR,,,15,20,0,0,0,0,0,0,47,47,32,24,25,25,29,1210,1811,1734,1265,1265,2304,15,15,15,15,0,0,0,0,0,0,0,36,24,25,25,29,167206,52295,112038,930,1943,1,0,0,1713,1713,0,0,48,32,22,10,0,0,1254,969,676,644,133,23,137,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,38,4796,0,0,0,0,1,4,0,0,0,0,15,3,15,Flareon
1-21,15:25:02,NINTEN,Growlithe,Bug Catcher,6,Route 3,2,11:59.34,11:59,0h11m59s,0,15,15,16,0:46,9.407,BITE,ROAR,,,1,1721,49,23,10,234,226,165,3,1065,Flareon, ,Fire,Fire,5245,Growlithe3,Growlithe,,00:11:49.93,00:11:59.34,00:46:51.09,16,0,0,11,59,34,BITE,ROAR,,,11,20,0,0,0,0,0,0,46,49,33,25,27,27,30,1305,1861,1824,1310,1310,2379,15,15,15,15,0,0,0,0,0,0,0,37,25,27,27,30,170584,52902,114809,930,1943,1,0,0,1721,1721,0,0,49,33,23,10,0,0,1348,1034,679,647,137,23,138,0,0,0,0,0,17,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,40,5089,0,0,0,0,1,4,0,0,0,0,15,3,15,Flareon
1-21,15:25:43,NINTEN,Growlithe,Super Nerd,1,Mt Moon - 1,2,12:40.30,12:40,0h12m40s,0,15,15,16,0:49,9.192,BITE,ROAR,,,1,1878,54,24,13,239,231,167,3,1175,Flareon, ,Fire,Fire,5760,Growlithe3,Growlithe,,00:12:31.12,00:12:40.30,00:49:32.33,16,0,0,12,40,30,BITE,ROAR,,,21,20,0,0,0,0,0,0,46,49,33,25,27,27,30,1410,1986,1974,1491,1491,2594,15,15,15,15,0,-2,0,0,0,0,0,41,12,27,27,30,180268,56769,120626,930,1943,1,0,0,1878,1878,0,0,54,37,24,13,2,0,1462,1119,682,650,142,23,140,0,0,0,0,0,18,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,43,5604,0,0,0,0,1,4,0,0,0,0,15,3,15,Flareon
1-21,15:26:05,NINTEN,Growlithe,Bug Catcher,8,Mt Moon - 1,3,13:03.01,13:03,0h13m3s,0,15,15,16,0:51,11.416,BITE,ROAR,,,1,1898,57,25,15,245,237,169,4,1450,Flareon, ,Fire,Fire,6137,Growlithe3,Growlithe,,00:12:51.60,00:13:03.01,00:51:01.55,16,0,0,13,3,1,BITE,ROAR,,,15,20,0,0,0,0,0,0,43,49,33,25,27,27,30,1550,2066,2099,1556,1556,2714,15,15,15,15,0,0,0,0,0,0,0,37,25,27,27,30,185630,57542,125215,930,1943,1,0,0,1898,1898,0,0,57,40,25,15,4,0,1602,1210,685,653,148,23,141,0,0,0,0,0,18,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,46,5981,0,0,0,0,2,4,0,0,0,0,15,3,15,Flareon
