ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Ho-oh4,Ho-oh,Rival (Lab),00:00:34.02,00:00:37.90,00:01:56.40,5,0,0,0,37,90,SACRED FIRE,GUST,,,19,15,21,21,15,0,0,0,0,0,0,0,19,15,21,21,15,8959,4808,2164,0,1987,0,0,0,71,71,0,0,20,2,1,1,0,0,22,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Jolteon
Ho-oh4,Ho-oh,Brock,00:02:27.52,00:02:41.12,00:10:03.26,8,0,0,2,41,12,SACRED FIRE,GUST,,,28,22,32,32,22,0,0,0,0,0,0,0,28,22,32,32,22,38165,25317,10861,0,1987,0,0,0,749,749,0,0,53,6,3,3,0,0,153,128,16,16,9,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
Ho-oh4,Ho-oh,Rival (Nugget Bridge),00:05:45.61,00:05:58.41,00:23:02.30,15,0,0,5,58,41,SACRED FIRE,GUST,,,49,37,56,56,37,0,0,0,0,0,0,0,55,37,56,56,37,84909,49087,33166,669,1987,0,0,0,1622,1622,0,0,87,13,10,3,0,0,1554,788,54,54,36,5,14,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4383,0,0,0,0,3,13,0,1,1,0,0,4,0,Flareon
Ho-oh4,Ho-oh,Oddish Lass,00:08:25.03,00:08:34.27,00:33:17.08,19,0,0,8,34,27,SACRED FIRE,GUST,THUNDER WAVE,,62,46,71,71,47,0,0,0,0,0,0,0,69,46,71,71,47,121787,60722,56960,2118,1987,0,0,0,1900,1900,0,0,107,23,20,3,0,0,3737,1605,74,74,63,5,21,0,0,0,0,0,18,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,8483,0,0,0,0,5,13,0,1,1,1,0,4,0,Flareon
Ho-oh4,Ho-oh,Rocket,00:09:08.81,00:09:16.31,00:36:03.16,19,0,0,9,16,31,SACRED FIRE,GUST,THUNDER WAVE,,62,46,71,71,47,0,0,0,0,0,0,0,69,46,71,71,47,131755,68433,59217,2118,1987,0,0,0,2096,2096,0,0,126,24,21,3,0,0,3886,1709,74,74,65,5,21,0,0,0,0,0,18,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,9172,0,0,0,0,6,13,0,1,1,1,0,4,0,Flareon
Ho-oh4,Ho-oh,Rival (SS Anne),00:10:33.41,00:10:46.88,00:42:00.08,21,0,0,10,46,88,SACRED FIRE,GUST,THUNDER WAVE,,68,51,78,78,51,0,0,0,0,0,0,0,76,51,78,78,51,153167,77698,70503,2979,1987,0,0,0,2414,2414,0,0,147,28,25,3,0,0,4929,2201,89,89,80,5,24,0,0,0,0,0,19,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,12393,0,0,0,0,8,16,0,1,1,1,0,4,0,Flareon
Ho-oh4,Ho-oh,Misty,00:11:48.29,00:12:04.15,00:47:05.17,22,0,0,12,4,15,SACRED FIRE,GUST,THUNDER WAVE,,71,54,82,82,54,0,0,0,0,-1,0,0,88,54,82,82,35,171476,86345,76773,6371,1987,1,0,0,2609,2609,0,0,154,30,27,3,0,0,5147,2350,163,163,88,5,28,0,0,0,0,0,21,0,3,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,60,14183,0,0,0,0,8,16,0,1,1,3,0,4,0,Flareon
Ho-oh4,Ho-oh,Lt. Surge,00:12:51.72,00:12:59.22,00:49:50.20,22,1,0,12,59,22,SACRED FIRE,GUST,THUNDER WAVE,,71,54,82,82,54,-1,0,0,0,0,0,0,51,54,82,82,13,181384,92899,79135,7206,2144,2,1,0,2833,2833,0,0,165,31,28,3,0,0,5225,2426,212,212,90,5,30,0,0,0,0,0,21,0,3,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,61,14915,0,0,0,0,8,16,0,1,1,3,0,4,1,Flareon
Ho-oh4,Ho-oh,RTG1 - Wrapping Lass,00:13:44.15,00:13:55.74,00:53:32.35,23,1,0,13,55,74,SACRED FIRE,GUST,THUNDER WAVE,THUNDERBOLT,74,56,85,85,56,0,0,0,0,0,0,0,83,63,85,85,56,194719,100732,82469,9374,2144,2,1,0,3021,2971,50,0,179,32,29,3,0,0,5971,2616,212,212,94,5,30,0,0,0,0,0,22,0,3,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,65,16163,0,0,0,0,8,16,0,1,1,4,0,4,1,Flareon
Ho-oh4,Ho-oh,RTG4 - Status Jr Trainer,00:14:45.94,00:14:55.78,00:57:29.19,24,1,0,14,55,78,SACRED FIRE,GUST,THUNDER WAVE,THUNDERBOLT,78,58,89,89,59,0,0,0,0,0,0,0,87,65,89,89,59,208923,105054,91157,10568,2144,2,1,0,3237,2980,257,0,195,36,33,3,0,0,6902,3109,217,217,104,5,31,0,0,0,0,0,23,0,3,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,73,19043,0,0,0,0,8,16,0,1,1,4,0,4,1,Flareon
