ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Hoothoot1,Hoothoot,Rival (Lab),00:00:38.97,00:00:48.44,00:02:38.37,6,0,0,0,48,44,TACKLE,GROWL,,,10,10,13,13,12,0,0,0,0,0,0,0,10,10,13,13,12,11475,6008,3481,0,1986,0,0,0,71,71,0,0,3,2,1,1,0,0,21,21,15,15,4,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
Hoothoot1,Hoothoot,Brock,00:16:43.37,00:17:58.98,00:58:36.46,16,3,0,17,58,98,PECK,GROWL,TACKLE,HYPNOSIS,21,21,29,29,28,0,-6,0,0,0,0,0,21,5,29,29,28,212969,59959,146454,4413,2143,5,1,0,2087,2087,0,0,86,72,14,58,5,0,2235,1549,458,428,213,22,112,0,0,0,0,0,22,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,71,4467,0,0,0,0,1,13,0,1,1,2,7,1,10,Flareon
Hoothoot1,Hoothoot,Rival (Nugget Bridge),00:25:08.16,00:25:51.77,01:29:42.09,22,3,0,25,51,77,PECK,REFLECT,TACKLE,HYPNOSIS,28,28,39,39,37,-6,-1,0,0,0,0,0,7,18,39,39,37,324892,84006,226355,12388,2143,13,1,0,2822,2822,0,0,121,103,31,72,16,0,4071,3004,673,643,314,27,156,0,0,0,0,0,29,0,23,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,7,115,11803,0,0,0,0,4,13,0,1,1,3,7,1,10,Flareon
Hoothoot1,Hoothoot,Oddish Lass,00:29:42.10,00:29:53.35,01:45:36.21,25,3,0,29,53,35,PECK,REFLECT,TACKLE,HYPNOSIS,32,32,44,44,42,0,0,0,0,0,0,0,36,32,44,44,42,382144,95853,266759,17389,2143,15,1,0,3048,3048,0,0,158,113,41,72,16,0,5143,3822,836,806,375,29,180,0,0,0,0,0,36,0,26,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,7,136,15903,0,0,0,0,5,26,0,1,1,3,7,1,10,Flareon
Hoothoot1,Hoothoot,Rocket,00:30:31.73,00:30:42.07,01:48:48.49,25,3,0,30,42,7,PECK,REFLECT,TACKLE,HYPNOSIS,32,32,44,44,42,0,0,0,0,0,0,0,36,32,44,44,42,393692,103909,269691,17949,2143,16,1,0,3254,3254,0,0,167,114,42,72,16,0,5274,3925,856,826,379,29,182,0,0,0,0,0,37,0,26,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,7,138,16592,0,0,0,0,6,26,0,1,1,3,7,1,10,Flareon
Hoothoot1,Hoothoot,Rival (SS Anne),00:34:02.75,00:34:43.68,02:04:42.16,28,3,0,34,43,68,PECK,REFLECT,TAKE DOWN,HYPNOSIS,35,35,49,49,47,-1,-1,0,0,0,0,0,25,23,49,49,47,450899,119123,303141,26492,2143,22,1,0,3679,3679,0,0,204,122,49,73,17,0,6176,4693,1055,1025,427,35,209,0,0,0,0,0,39,0,29,0,0,4,0,1,0,0,0,0,0,3,0,0,0,0,9,5,1,0,0,0,0,0,0,0,7,155,22499,0,0,0,0,11,33,0,1,1,4,7,1,10,Flareon
Hoothoot1,Hoothoot,Misty,00:35:47.16,00:36:07.33,02:10:12.40,29,3,0,36,7,33,PECK,REFLECT,TAKE DOWN,HYPNOSIS,36,37,51,51,49,0,0,0,0,0,0,0,40,37,51,51,49,470723,127552,310724,30304,2143,23,1,0,3872,3872,0,0,213,124,51,73,17,0,6359,4842,1120,1090,435,37,214,0,0,0,0,0,42,0,30,0,0,4,0,1,0,0,0,0,0,3,0,0,0,0,9,5,1,0,0,0,0,0,0,0,7,158,24289,0,0,0,0,11,33,0,1,1,6,7,1,10,Flareon
Hoothoot1,Hoothoot,RTG1 - Wrapping Lass,00:36:35.88,00:36:52.13,02:13:09.23,29,3,0,36,52,13,PECK,REFLECT,TAKE DOWN,HYPNOSIS,36,37,51,51,49,0,0,0,0,0,0,0,40,37,51,51,49,481326,132165,315196,31822,2143,23,1,0,3999,3999,0,0,233,125,52,73,17,0,6633,5033,1122,1092,441,37,215,0,0,0,0,0,42,0,30,0,0,4,0,1,0,0,0,0,0,3,0,0,0,0,9,5,1,0,0,0,0,0,0,0,7,162,25537,0,0,0,0,11,33,0,1,1,6,7,1,10,Flareon
Hoothoot1,Hoothoot,RTG4 - Status Jr Trainer,00:38:37.76,00:38:48.67,02:20:50.42,30,3,0,38,48,67,TAKE DOWN,HYPNOSIS,REFLECT,PECK,38,38,53,53,50,0,0,0,0,0,0,0,42,38,53,53,50,509005,137312,333252,36298,2143,26,1,0,4205,4205,0,0,250,129,56,73,17,0,7331,5522,1209,1179,463,46,228,0,0,0,0,0,45,0,30,0,0,4,0,1,0,0,0,0,0,4,0,0,0,0,9,5,1,0,0,0,0,0,0,0,7,170,28417,0,0,0,0,11,33,0,1,1,6,7,1,10,Flareon
Hoothoot1,Hoothoot,RTG6 - Finisher,00:40:30.52,00:40:42.67,02:28:22.25,31,3,0,40,42,67,TAKE DOWN,HYPNOSIS,REFLECT,PECK,39,39,55,55,52,0,0,0,0,0,0,0,43,39,55,55,52,536108,143730,348833,41402,2143,28,1,0,4379,4379,0,0,278,131,58,73,17,0,7687,5779,1303,1273,490,47,232,0,0,0,0,0,47,0,31,0,0,4,0,1,0,0,0,0,0,5,0,0,0,0,9,5,1,0,0,0,0,0,0,0,7,176,30657,0,0,0,0,11,33,0,1,1,6,7,1,10,Flareon
Hoothoot1,Hoothoot,Erika,00:48:01.55,00:48:39.20,02:59:47.16,35,3,0,48,39,20,CONFUSION,DOUBLE-EDGE,HYPNOSIS,FLY,44,44,62,62,62,0,0,0,0,-1,0,0,49,44,62,62,40,649199,197278,395249,54529,2143,31,1,0,5623,5623,0,0,400,142,69,73,17,0,10283,7416,1555,1525,526,62,249,0,0,0,0,0,51,0,31,0,0,4,0,1,0,0,0,0,0,5,0,0,0,0,9,5,1,0,0,0,0,0,0,0,7,201,44261,0,0,0,0,23,53,13,1,1,10,7,1,10,Flareon
Hoothoot1,Hoothoot,Lt. Surge,00:51:48.01,00:51:56.78,03:12:48.01,37,3,0,51,56,78,CONFUSION,DOUBLE-EDGE,HYPNOSIS,FLY,47,47,66,66,66,0,0,0,0,0,0,0,52,47,66,66,66,696044,216601,417904,59396,2143,34,1,0,6133,6133,0,0,452,148,75,73,17,0,11669,8428,1784,1754,545,74,257,0,0,0,0,0,54,0,33,0,0,4,0,1,0,0,0,0,0,5,0,0,0,0,9,5,1,0,0,0,0,0,0,0,7,213,53985,0,0,0,0,23,77,14,1,1,10,7,1,10,Flareon
Hoothoot1,Hoothoot,Rival (Pokemon Tower),00:52:37.34,00:52:59.72,03:16:56.11,38,3,0,52,59,72,CONFUSION,DOUBLE-EDGE,HYPNOSIS,FLY,49,48,67,67,68,0,0,0,0,0,0,0,55,54,67,67,68,710934,223356,423724,61711,2143,35,1,0,6272,6272,0,0,461,149,76,73,17,0,12043,8714,1855,1825,551,74,258,0,0,0,0,0,55,0,33,0,0,4,0,1,0,0,0,0,0,5,0,0,0,0,9,5,1,0,0,0,0,0,0,0,7,218,56635,0,0,0,0,23,77,14,1,1,10,7,1,10,Flareon
Hoothoot1,Hoothoot,Rival (Silph Co.),01:08:41.24,01:09:16.11,04:15:11.55,49,6,1,9,16,11,DREAM EATER,DOUBLE-EDGE,HYPNOSIS,FLY,67,64,90,90,89,0,0,0,0,0,0,0,75,72,90,90,89,920688,288411,534280,95446,2551,52,3,0,8314,7701,613,0,734,187,109,78,21,0,20859,14797,2831,2801,672,92,290,0,0,0,0,0,69,0,37,0,3,5,0,1,0,0,0,0,0,8,0,0,0,0,10,5,1,0,3,0,0,0,0,0,7,301,118020,0,0,0,0,41,77,14,1,1,12,7,1,13,Flareon
Hoothoot1,Hoothoot,Giovanni (Silph),01:09:55.75,01:10:22.87,04:19:35.45,50,6,1,10,22,87,DREAM EATER,DOUBLE-EDGE,HYPNOSIS,FLY,68,66,92,92,91,-1,0,0,0,0,0,0,49,74,92,92,91,936518,291006,544649,98312,2551,54,3,0,8337,7724,613,0,736,189,111,78,21,0,22031,15473,3010,2980,686,92,294,0,0,0,0,0,71,0,38,0,3,5,0,1,0,0,0,0,0,8,0,0,0,0,10,5,1,0,3,0,0,0,0,0,7,308,125419,0,0,0,0,41,77,14,1,1,12,7,1,13,Flareon
Hoothoot1,Hoothoot,Koga,01:13:52.89,01:14:39.22,04:32:46.15,51,7,1,14,39,22,DREAM EATER,DOUBLE-EDGE,HYPNOSIS,FLY,70,67,94,94,93,0,0,0,0,0,0,0,78,75,94,94,93,983954,299890,578258,103055,2751,59,4,0,8523,7910,613,0,761,194,116,78,21,0,24081,16942,3600,3570,715,102,308,0,0,0,0,0,72,0,39,0,3,6,0,1,0,0,0,0,0,10,0,1,0,0,13,7,1,0,3,0,0,0,0,0,7,323,139532,0,0,0,0,41,77,14,1,1,12,7,1,14,Flareon
Hoothoot1,Hoothoot,Sabrina,01:17:13.55,01:17:29.86,04:44:00.18,52,7,1,17,29,86,DREAM EATER,DOUBLE-EDGE,HYPNOSIS,FLY,71,68,96,96,94,0,0,0,0,0,0,0,79,76,96,96,105,1024397,322161,587335,112150,2751,60,4,0,9193,8479,613,101,829,196,118,78,21,0,25132,17594,3780,3750,724,107,309,0,0,0,0,0,74,0,39,0,3,6,0,1,0,0,0,0,0,10,0,1,0,0,13,7,1,0,3,0,0,0,0,0,7,330,147583,0,0,0,0,47,77,14,1,1,13,7,1,14,Flareon
Hoothoot1,Hoothoot,Blaine,01:21:18.07,01:22:02.09,04:53:25.58,53,11,1,22,2,9,DREAM EATER,DOUBLE-EDGE,HYPNOSIS,FLY,73,71,99,99,97,0,0,0,0,0,0,0,82,79,99,99,109,1058343,334736,601986,118712,2909,61,5,0,9433,8719,613,101,871,198,120,78,21,0,26051,18293,4030,4000,743,110,314,0,0,0,0,0,75,0,39,0,3,6,0,1,0,0,0,0,0,10,0,1,0,0,13,7,1,0,3,0,0,0,0,0,7,336,156277,0,0,0,0,47,77,14,1,1,13,7,1,18,Flareon
Hoothoot1,Hoothoot,Giovanni,01:25:35.85,01:26:13.00,05:09:57.19,66,11,1,26,13,0,DREAM EATER,DOUBLE-EDGE,HYPNOSIS,FLY,90,88,123,123,119,0,-2,0,0,0,0,0,113,49,155,155,149,1117824,355881,627696,131338,2909,63,5,0,10170,9425,613,132,942,204,126,78,21,0,28587,20071,4156,4126,772,115,317,0,0,0,0,0,77,0,40,0,3,6,0,1,0,0,0,0,0,10,0,1,0,0,13,7,1,0,3,0,0,0,0,0,7,350,176719,0,0,0,0,48,77,14,1,1,13,7,1,18,Flareon
Hoothoot1,Hoothoot,Rival (Final),01:26:45.50,01:27:28.25,05:14:55.12,67,11,1,27,28,25,DREAM EATER,DOUBLE-EDGE,HYPNOSIS,FLY,92,90,125,125,122,0,0,0,0,0,0,0,51,101,140,140,137,1135697,361519,638571,132698,2909,64,5,0,10316,9571,613,132,955,205,127,78,21,0,29631,20788,4396,4366,786,116,320,0,0,0,0,0,77,0,41,0,3,6,0,1,0,1,0,0,0,10,0,1,0,0,13,7,1,0,3,0,0,0,0,0,7,356,186683,0,0,0,0,48,77,14,1,1,13,7,1,18,Flareon
Hoothoot1,Hoothoot,Lorelei,01:33:16.64,01:33:57.78,05:33:59.35,68,14,1,33,57,78,DREAM EATER,DOUBLE-EDGE,HYPNOSIS,FLY,94,92,127,127,124,0,0,0,0,0,0,0,105,103,142,142,139,1204365,398497,657790,145012,3066,67,6,0,11174,9905,1101,168,1158,209,130,79,22,0,31809,22344,4621,4591,806,122,321,0,0,0,0,0,80,0,41,0,3,6,0,1,0,1,0,0,0,10,0,1,0,0,13,7,1,0,3,0,0,0,0,0,7,367,204613,0,0,0,0,50,82,14,1,1,13,8,1,22,Flareon
Hoothoot1,Hoothoot,Bruno,01:34:10.79,01:34:42.94,05:36:58.22,69,14,1,34,42,94,DREAM EATER,DOUBLE-EDGE,HYPNOSIS,FLY,95,93,129,129,126,0,0,0,0,0,0,0,106,104,145,145,141,1215092,399425,665932,146669,3066,68,6,0,11185,9916,1101,168,1160,210,131,79,22,0,32798,23003,4621,4591,816,124,322,0,0,0,0,0,80,0,41,0,3,6,0,1,0,1,0,0,0,10,0,1,0,0,13,7,1,0,3,0,0,0,0,0,7,372,212820,0,0,0,0,50,82,14,1,1,13,8,1,22,Flareon
Hoothoot1,Hoothoot,Agatha,01:34:54.63,01:35:36.81,05:40:31.25,70,14,1,35,36,81,DREAM EATER,DOUBLE-EDGE,HYPNOSIS,FLY,97,95,131,131,128,0,0,0,0,0,0,0,109,106,147,147,144,1227875,400446,676461,147902,3066,69,6,0,11196,9927,1101,168,1162,211,132,79,22,0,33777,23723,4771,4741,829,126,324,0,0,0,0,0,81,0,42,0,3,6,0,1,0,1,0,0,0,10,0,1,0,0,13,7,1,0,3,0,0,0,0,0,7,377,222906,0,0,0,0,50,82,14,1,1,13,8,1,22,Flareon
Hoothoot1,Hoothoot,Lance,01:36:59.44,01:38:02.09,05:45:41.00,70,15,1,38,2,9,DREAM EATER,DOUBLE-EDGE,HYPNOSIS,FLY,97,95,131,131,128,0,-2,0,0,0,0,0,137,52,185,185,182,1246456,402215,691804,149214,3223,70,7,0,11246,9977,1101,168,1163,212,133,79,22,0,35368,24920,4961,4931,855,126,328,0,0,0,0,0,81,0,42,0,3,6,0,1,0,1,0,0,0,10,0,1,0,0,13,7,1,0,3,0,0,0,0,0,7,382,234512,0,0,0,0,50,82,14,1,1,13,8,1,23,Flareon
Hoothoot1,Hoothoot,Champion,01:39:35.05,01:41:02.25,05:52:34.38,71,16,1,41,2,25,DREAM EATER,DOUBLE-EDGE,HYPNOSIS,FLY,98,96,134,134,129,0,0,0,0,0,0,0,110,108,150,150,145,1271279,403864,713154,150881,3380,71,8,0,11254,9985,1101,168,1163,213,134,79,22,0,36901,26077,5377,5347,877,127,334,0,0,0,0,0,84,0,43,0,3,6,0,1,0,1,0,0,0,10,0,1,0,0,13,7,1,0,3,0,0,0,0,0,7,388,249363,0,0,0,0,50,82,14,1,1,13,8,1,24,Flareon
Hoothoot1,Hoothoot,Champion,01:39:35.05,01:41:02.26,05:53:55.40,71,16,1,41,2,26,DREAM EATER,DOUBLE-EDGE,HYPNOSIS,FLY,98,96,134,134,129,0,0,0,0,0,0,0,110,108,150,150,145,1276141,408260,713620,150881,3380,71,8,0,11263,9994,1101,168,1164,213,134,79,22,0,36901,26077,5377,5347,877,127,334,0,0,0,0,0,84,0,43,0,3,6,0,1,0,1,0,0,0,10,0,1,0,0,13,7,1,0,3,0,0,0,0,0,7,388,249363,0,0,0,0,50,82,14,1,1,13,8,1,24,Flareon
