date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
6-15,08:48:52,NINTEN,Houndoom,Rival1-Lab,1,Pallet Town - Oak's Lab,1,47.55,47,0h0m47s,0,0,0,5,0:02,6.561,EMBER,LEER,,,0,72,1,1,1,3,3,2,0,3000,Jolteon, ,Dark,Fire,253,Houndoom3,Houndoom,Rival (Lab),00:00:41.00,00:00:47.55,00:02:34.54,5,0,0,0,47,55,EMBER,LEER,,,22,30,0,0,0,0,0,0,17,24,15,11,17,17,16,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,15,7,17,17,16,11264,6463,2803,0,1998,0,0,0,72,72,0,0,1,2,1,1,0,0,23,21,7,7,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Jolteon
6-15,08:50:14,NINTEN,Houndoom,Bug Catcher,1,Viridian Forest,2,2:09.38,2:09,0h2m9s,0,0,0,6,0:07,8.495,EMBER,LEER,,,0,519,23,2,3,6,6,3,4,75,Flareon, ,Dark,Fire,411,Houndoom3,Houndoom,,00:02:00.88,00:02:09.38,00:07:57.56,6,0,0,2,9,38,EMBER,LEER,,,22,30,0,0,0,0,0,0,23,26,17,12,20,20,18,145,115,120,105,105,145,15,15,15,15,0,0,0,0,0,0,0,17,12,20,20,18,30646,21451,7197,0,1998,0,0,0,519,519,0,0,23,5,2,3,1,0,100,69,10,10,6,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,13,0,0,0,0,0,3,0,Flareon
6-15,08:50:30,NINTEN,Houndoom,Bug Catcher,2,Viridian Forest,3,2:25.06,2:25,0h2m25s,0,0,0,8,0:08,11.014,EMBER,LEER,ROAR,,0,539,24,3,3,9,9,3,4,145,Flareon, ,Dark,Fire,660,Houndoom3,Houndoom,,00:02:14.04,00:02:25.06,00:08:59.50,8,0,0,2,25,6,EMBER,LEER,ROAR,,19,30,20,0,0,0,0,0,29,32,22,15,25,25,22,290,185,265,175,175,250,15,15,15,15,0,0,0,0,0,0,0,22,15,25,25,22,34360,22112,10250,0,1998,0,0,0,539,539,0,0,24,6,3,3,1,0,195,135,10,10,9,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,13,0,0,0,1,0,3,0,Flareon
6-15,08:50:51,NINTEN,Houndoom,Bug Catcher,15,Viridian Forest,2,2:46.47,2:46,0h2m46s,0,0,0,8,0:10,6.474,EMBER,LEER,ROAR,,0,572,26,4,6,11,11,3,4,205,Flareon, ,Dark,Fire,873,Houndoom3,Houndoom,,00:02:40.00,00:02:46.47,00:10:23.58,8,0,0,2,46,47,EMBER,LEER,ROAR,,17,30,20,0,0,0,0,0,29,32,22,15,25,25,22,385,235,355,220,220,325,15,15,15,15,0,0,0,0,0,0,0,22,15,25,25,22,39408,23068,14342,0,1998,0,0,0,572,572,0,0,26,10,4,6,4,0,281,188,10,10,11,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,717,0,0,0,0,1,13,0,0,0,1,0,3,0,Flareon
6-15,08:51:19,NINTEN,Houndoom,Bug Catcher,3,Viridian Forest,1,3:14.72,3:14,0h3m14s,0,0,0,9,0:12,4.012,EMBER,LEER,ROAR,,0,620,26,5,10,14,14,4,3,285,Flareon, ,Dark,Fire,1026,Houndoom3,Houndoom,,00:03:10.71,00:03:14.72,00:12:15.02,9,0,0,3,14,72,EMBER,LEER,ROAR,,14,30,20,0,0,0,0,0,32,35,24,17,27,27,25,480,285,445,265,265,400,15,15,15,15,0,0,0,0,0,0,0,24,17,27,27,25,46072,23980,20094,0,1998,0,0,0,620,620,0,0,26,15,5,10,6,0,374,252,10,10,14,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,870,0,0,0,0,1,13,0,1,1,1,0,3,0,Flareon
6-15,08:51:41,NINTEN,Houndoom,Jr Trainer M,1,Pewter City - Gym,2,3:36.04,3:36,0h3m36s,0,0,0,10,0:13,10.305,EMBER,LEER,ROAR,,0,716,27,6,10,18,18,6,3,385,Flareon, ,Dark,Fire,1360,Houndoom3,Houndoom,,00:03:25.74,00:03:36.04,00:13:39.04,10,0,0,3,36,4,EMBER,LEER,ROAR,,10,30,20,0,0,0,0,0,25,38,26,18,30,30,27,540,415,555,340,340,535,15,15,15,15,0,0,0,0,0,0,0,26,18,30,30,27,51114,26044,23072,0,1998,0,0,0,716,716,0,0,27,16,6,10,6,0,427,303,20,20,18,0,6,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1204,0,0,0,0,1,13,0,1,1,1,0,3,0,Flareon
6-15,08:52:07,NINTEN,Houndoom,Brock,1,Pewter City - Gym,2,4:02.69,4:02,0h4m2s,0,0,0,11,0:15,19.937,EMBER,LEER,ROAR,,0,720,28,7,10,29,29,11,3,565,Flareon, ,Dark,Fire,1820,Houndoom3,Houndoom,Brock,00:03:42.75,00:04:02.69,00:15:24.29,11,0,0,4,2,69,EMBER,LEER,ROAR,,2,30,17,0,0,0,0,0,27,41,28,20,33,33,29,615,540,815,400,400,625,15,15,15,15,0,-2,0,0,0,0,0,28,10,33,33,29,57439,26593,28408,440,1998,0,0,0,720,720,0,0,28,17,7,10,6,0,497,364,34,34,26,2,9,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1664,0,0,0,0,1,13,0,1,1,1,0,3,0,Flareon
6-15,08:52:36,NINTEN,Houndoom,Bug Catcher,4,Route 3,3,4:31.38,4:31,0h4m31s,0,0,0,11,0:17,8.595,EMBER,LEER,ROAR,,0,831,31,8,10,32,32,11,4,1753,Flareon, ,Dark,Fire,2155,Houndoom3,Houndoom,,00:04:22.79,00:04:31.38,00:17:17.47,11,0,0,4,31,38,EMBER,LEER,ROAR,,22,30,20,0,0,0,0,0,41,41,28,20,33,33,29,745,635,915,460,460,765,15,15,15,15,0,0,0,0,0,0,0,31,20,33,33,29,64237,30358,31441,440,1998,0,0,0,831,831,0,0,31,18,8,10,6,0,633,453,34,34,29,2,9,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1999,0,0,0,0,1,13,0,1,1,1,0,3,0,Flareon
6-15,08:52:49,NINTEN,Houndoom,Youngster Ben,1,Route 3,2,4:44.81,4:44,0h4m44s,0,0,0,12,0:18,9.872,EMBER,LEER,ROAR,,0,835,31,9,10,36,36,13,4,1853,Flareon, ,Dark,Fire,2433,Houndoom3,Houndoom,,00:04:34.93,00:04:44.81,00:18:10.45,12,0,0,4,44,81,EMBER,LEER,ROAR,,18,30,20,0,0,0,0,0,39,44,30,21,35,35,32,810,751,994,525,525,892,15,15,15,15,0,-1,0,0,0,0,0,33,13,35,35,32,67415,30678,34299,440,1998,0,0,0,835,835,0,0,31,19,9,10,6,0,745,512,39,39,33,2,11,0,0,0,0,0,7,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2277,0,0,0,0,1,13,0,1,1,1,0,3,0,Flareon
6-15,08:53:05,NINTEN,Houndoom,Bug Catcher,5,Route 3,4,5:00.23,5:00,0h5m0s,0,0,0,13,0:19,12.56,EMBER,LEER,ROAR,SMOG,0,839,32,10,10,40,40,13,4,2018,Flareon, ,Dark,Fire,2908,Houndoom3,Houndoom,,00:04:47.68,00:05:00.23,00:19:11.32,13,0,0,5,0,23,EMBER,LEER,ROAR,SMOG,14,30,20,20,0,0,0,0,42,47,33,22,38,38,34,990,861,1164,615,615,1052,15,15,15,15,0,0,0,0,0,0,0,37,22,38,38,34,71062,30846,37778,440,1998,0,0,0,839,839,0,0,32,20,10,10,6,0,990,624,39,39,37,2,11,0,0,0,0,0,8,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2752,0,0,0,0,1,13,0,1,1,2,0,3,0,Flareon
6-15,08:53:16,NINTEN,Houndoom,Bug Catcher,6,Route 3,2,5:10.96,5:10,0h5m10s,0,0,0,13,0:19,6.471,EMBER,LEER,ROAR,SMOG,0,847,33,11,10,42,42,13,4,2108,Flareon, ,Dark,Fire,3201,Houndoom3,Houndoom,,00:05:04.49,00:05:10.96,00:19:53.47,13,0,0,5,10,96,EMBER,LEER,ROAR,SMOG,12,30,20,20,0,0,0,0,42,47,33,22,38,38,34,1085,911,1254,660,660,1127,15,15,15,15,0,0,0,0,0,0,0,37,22,38,38,34,73597,31302,39857,440,1998,0,0,0,847,847,0,0,33,21,11,10,6,0,1095,689,39,39,39,2,11,0,0,0,0,0,8,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3045,0,0,0,0,1,13,0,1,1,2,0,3,0,Flareon
6-15,08:53:43,NINTEN,Houndoom,Super Nerd,1,Mt Moon - 1,2,5:38.84,5:38,0h5m38s,0,0,0,14,0:21,9.914,EMBER,LEER,ROAR,SMOG,0,992,37,12,10,46,46,15,4,2218,Flareon, ,Dark,Fire,3650,Houndoom3,Houndoom,,00:05:28.93,00:05:38.84,00:21:43.52,14,0,0,5,38,84,EMBER,LEER,ROAR,SMOG,21,30,20,20,0,0,0,0,47,50,35,24,40,40,37,1150,976,1374,810,810,1272,15,15,15,15,0,-2,0,0,0,0,0,39,12,40,40,37,80202,35140,42624,440,1998,0,0,0,992,992,0,0,37,22,12,10,6,0,1158,748,42,42,43,2,13,0,0,0,0,0,9,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3494,0,0,0,0,1,13,0,1,1,2,0,3,0,Flareon
6-15,08:54:03,NINTEN,Houndoom,Bug Catcher,8,Mt Moon - 1,3,5:58.65,5:58,0h5m58s,0,0,0,14,0:23,8.749,EMBER,LEER,ROAR,SMOG,0,1010,38,13,12,49,49,15,5,2493,Flareon, ,Dark,Fire,4027,Houndoom3,Houndoom,,00:05:49.90,00:05:58.65,00:23:01.44,14,0,0,5,58,65,EMBER,LEER,ROAR,SMOG,18,30,20,20,0,0,0,0,47,50,35,24,40,40,37,1290,1056,1499,875,875,1392,15,15,15,15,0,0,0,0,0,0,0,39,24,40,40,37,84874,35892,46544,440,1998,0,0,0,1010,1010,0,0,38,25,13,12,8,0,1356,839,42,42,46,2,13,0,0,0,0,0,9,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3871,0,0,0,0,2,13,0,1,1,2,0,3,0,Flareon
6-15,08:54:21,NINTEN,Houndoom,Lass,5,Mt Moon - 1,2,6:16.62,6:16,0h6m16s,0,0,0,15,0:24,10.703,EMBER,LEER,ROAR,SMOG,0,1031,38,14,13,53,53,17,5,2593,Flareon, ,Dark,Fire,4408,Houndoom3,Houndoom,,00:06:05.92,00:06:16.62,00:24:12.35,15,0,0,6,16,62,EMBER,LEER,ROAR,SMOG,16,30,20,18,0,0,0,0,48,53,37,26,43,43,39,1385,1181,1589,1020,1020,1462,15,15,15,15,0,0,0,0,0,0,0,41,26,43,43,39,89125,36511,50176,440,1998,0,0,0,1031,1031,0,0,38,27,14,13,9,0,1455,904,44,44,49,3,14,0,0,0,0,0,10,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4252,0,0,0,0,2,13,0,1,1,2,0,3,0,Flareon
6-15,08:54:42,NINTEN,Houndoom,Rocket,3,Mt Moon - 3,2,6:37.51,6:37,0h6m37s,0,0,0,15,0:25,8.098,EMBER,LEER,ROAR,SMOG,0,1073,40,15,15,56,56,18,5,2758,Flareon, ,Dark,Fire,4705,Houndoom3,Houndoom,,00:06:29.41,00:06:37.51,00:25:34.36,15,0,0,6,37,51,EMBER,LEER,ROAR,SMOG,13,30,20,18,0,0,0,0,45,53,37,26,43,43,39,1460,1286,1668,1100,1100,1572,15,15,15,15,0,0,0,0,0,0,0,41,26,43,43,39,94046,37673,53935,440,1998,0,0,0,1073,1073,0,0,40,30,15,15,11,0,1557,970,47,47,52,3,15,0,0,0,0,0,11,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4549,0,0,0,0,2,13,0,1,1,2,0,3,0,Flareon
6-15,08:55:08,NINTEN,Houndoom,Youngster,3,Mt Moon - 1,3,7:02.97,7:02,0h7m2s,0,0,0,15,0:27,11.552,EMBER,LEER,ROAR,SMOG,0,1113,42,16,17,60,60,20,6,3118,Flareon, ,Dark,Fire,5062,Houndoom3,Houndoom,,00:06:51.42,00:07:02.97,00:27:14.48,15,0,0,7,2,97,EMBER,LEER,ROAR,SMOG,10,30,20,17,0,0,0,0,36,53,37,26,43,43,39,1560,1443,1773,1190,1190,1771,15,15,15,15,0,0,0,0,0,0,0,41,26,43,43,39,100058,39134,58486,440,1998,0,0,0,1113,1113,0,0,42,33,16,17,13,0,1714,1054,56,56,56,3,17,0,0,0,0,0,14,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4906,0,0,0,0,3,13,0,1,1,2,0,3,0,Flareon
6-15,08:55:25,NINTEN,Houndoom,Hiker,1,Mt Moon - 1,3,7:20.52,7:20,0h7m20s,0,0,0,16,0:28,13.849,EMBER,LEER,ROAR,SMOG,0,1130,42,17,17,65,65,22,6,3268,Flareon, ,Dark,Fire,5659,Houndoom3,Houndoom,,00:07:06.67,00:07:20.52,00:28:24.04,16,0,0,7,20,52,EMBER,LEER,ROAR,SMOG,5,30,20,17,0,0,0,0,33,56,40,27,46,46,41,1675,1648,2133,1280,1280,1881,15,15,15,15,0,0,0,0,0,0,0,45,27,46,46,41,104214,39596,62180,440,1998,0,0,0,1130,1130,0,0,42,34,17,17,13,0,1814,1140,62,62,61,3,19,0,0,0,0,0,15,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5503,0,0,0,0,3,13,0,1,1,2,0,3,0,Flareon
6-15,08:55:42,NINTEN,Houndoom,Rocket,1,Mt Moon - 3,2,7:37.04,7:37,0h7m37s,0,0,0,16,0:29,9.927,EMBER,LEER,ROAR,SMOG,0,1173,44,18,17,69,68,25,6,3618,Flareon, ,Dark,Fire,5966,Houndoom3,Houndoom,,00:07:27.12,00:07:37.04,00:29:29.07,16,0,0,7,37,4,EMBER,LEER,ROAR,SMOG,2,30,20,17,0,0,0,0,10,56,40,27,46,46,41,1745,1749,2203,1345,1345,2008,15,15,15,15,0,0,0,0,0,0,0,45,27,46,46,41,108117,40741,64938,440,1998,0,0,0,1173,1173,0,0,44,35,18,17,13,0,1925,1207,85,85,64,4,22,0,0,0,0,0,16,0,5,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,42,5810,0,0,0,0,3,13,0,1,1,2,0,3,0,Flareon
6-15,08:56:16,NINTEN,Houndoom,Fossil Nerd,2,Mt Moon - 3,3,8:11.37,8:11,0h8m11s,0,0,0,17,0:31,14.07,EMBER,LEER,ROAR,SMOG,0,1249,44,19,19,75,74,28,5,4008,Flareon, ,Dark,Fire,6753,Houndoom3,Houndoom,,00:07:57.30,00:08:11.37,00:31:44.08,17,0,0,8,11,37,EMBER,LEER,ROAR,SMOG,8,30,20,15,0,0,0,0,45,59,42,29,49,49,44,1905,1924,2398,1500,1500,2168,15,15,15,15,0,-2,0,0,0,0,0,52,14,49,49,44,116218,42330,70204,1686,1998,0,0,0,1249,1249,0,0,44,38,19,19,15,0,2049,1316,93,93,69,5,25,0,0,0,0,0,17,0,5,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,45,6597,0,0,0,0,3,13,0,1,1,2,0,3,0,Flareon
6-15,08:56:40,NINTEN,Houndoom,Rocket,42,Mt Moon - 3,3,8:35.66,8:35,0h8m35s,0,0,0,18,0:33,13.303,EMBER,LEER,ROAR,SMOG,0,1265,45,20,20,81,80,31,6,4308,Flareon, ,Dark,Fire,7488,Houndoom3,Houndoom,,00:08:22.36,00:08:35.66,00:33:19.55,18,0,0,8,35,66,EMBER,LEER,ROAR,SMOG,2,30,20,15,0,0,0,0,27,62,44,30,51,51,46,2020,2094,2572,1640,1640,2348,15,15,15,15,0,0,0,0,0,0,0,49,30,51,51,46,121965,43783,74498,1686,1998,0,0,0,1265,1265,0,0,45,40,20,20,16,0,2194,1426,114,114,75,5,28,0,0,0,0,0,17,0,6,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,48,7332,0,0,0,0,3,13,0,1,1,2,0,3,0,Flareon
6-15,08:57:26,NINTEN,Houndoom,Rival2-Nugget Bridge,3,Cerulean City,4,9:21.73,9:21,0h9m21s,0,0,0,18,0:36,18.061,EMBER,LEER,ROAR,SMOG,1,1447,49,21,20,90,89,36,6,4728,Flareon, ,Dark,Fire,8526,Houndoom3,Houndoom,Rival (Nugget Bridge),00:09:03.67,00:09:21.73,00:36:21.42,18,0,0,9,21,73,EMBER,LEER,ROAR,SMOG,16,30,20,20,0,0,0,0,47,62,44,30,51,51,46,2195,2340,2772,1791,1791,2585,15,15,15,15,-1,-1,0,0,0,-1,0,32,19,51,51,46,132872,49317,79281,2276,1998,1,0,0,1447,1447,0,0,49,41,21,20,16,0,2416,1597,129,129,83,7,32,0,0,0,0,0,17,0,6,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,52,8370,0,0,0,0,4,13,0,1,1,2,0,3,0,Flareon
6-15,08:57:41,NINTEN,Houndoom,Bug Catcher,9,Route 24,2,9:36.59,9:36,0h9m36s,0,0,0,19,0:37,7.114,EMBER,LEER,ROAR,SMOG,1,1458,49,22,20,92,91,36,6,5323,Flareon, ,Dark,Fire,8841,Houndoom3,Houndoom,,00:09:29.48,00:09:36.59,00:37:20.22,19,0,0,9,36,59,EMBER,LEER,ROAR,SMOG,14,30,20,20,0,0,0,0,50,65,47,32,54,54,49,2280,2405,2837,1831,1831,2680,15,15,15,15,0,0,0,0,0,0,0,52,32,54,54,49,136392,50632,81486,2276,1998,1,0,0,1458,1458,0,0,49,42,22,20,16,0,2606,1672,129,129,85,7,32,0,0,0,0,0,17,0,6,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,54,8685,0,0,0,0,4,13,0,1,1,2,0,3,0,Flareon
6-15,08:57:52,NINTEN,Houndoom,Lass,8,Route 24,2,9:47.35,9:47,0h9m47s,0,0,0,19,0:38,7.988,EMBER,LEER,ROAR,SMOG,1,1460,49,23,20,95,94,38,6,5463,Flareon, ,Dark,Fire,9183,Houndoom3,Houndoom,,00:09:39.36,00:09:47.35,00:38:02.44,19,0,0,9,47,35,EMBER,LEER,ROAR,SMOG,11,30,20,20,0,0,0,0,38,65,47,32,54,54,49,2375,2497,2929,1906,1906,2777,15,15,15,15,0,0,0,0,0,0,0,52,32,54,54,49,138934,50757,83903,2276,1998,1,0,0,1460,1460,0,0,49,43,23,20,16,0,2735,1750,141,141,88,7,34,0,0,0,0,0,18,0,6,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,56,9027,0,0,0,0,4,13,0,1,1,2,0,3,0,Flareon
6-15,08:58:06,NINTEN,Houndoom,Youngster,4,Route 24,3,10:01.12,10:01,0h10m1s,0,0,0,19,0:38,10.879,EMBER,LEER,ROAR,SMOG,1,1464,52,24,20,99,98,40,6,5673,Flareon, ,Dark,Fire,9702,Houndoom3,Houndoom,,00:09:50.24,00:10:01.12,00:38:56.59,19,0,0,10,1,12,EMBER,LEER,ROAR,SMOG,7,30,20,20,0,0,0,0,28,65,47,32,54,54,49,2480,2658,3043,2011,2011,2959,15,15,15,15,0,0,0,0,0,0,0,52,32,54,54,49,142189,50947,86968,2276,1998,1,0,0,1464,1464,0,0,52,44,24,20,16,0,2895,1858,151,151,92,7,36,0,0,0,0,0,19,0,6,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,59,9546,0,0,0,0,4,13,0,1,1,2,0,3,0,Flareon
