date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
6-16,15:29:34,NINTEN,Houndoom,Rival1-Lab,1,Pallet Town - Oak's Lab,1,39.98,39,0h0m39s,0,0,0,5,0:02,5.962,EMBER,LEER,,,0,71,11,1,1,3,3,2,0,3000,Jolteon, ,Dark,Fire,253,Houndoom8,Houndoom,Rival (Lab),00:00:34.01,00:00:39.98,00:02:05.14,5,0,0,0,39,98,EMBER,LEER,,,22,30,0,0,0,0,0,0,19,24,15,11,17,17,16,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,15,11,17,17,16,9454,4831,2655,0,1968,0,0,0,71,71,0,0,11,2,1,1,0,0,23,21,5,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,8,0,Jolteon
6-16,15:30:53,NINTEN,Houndoom,Bug Catcher,1,Viridian Forest,2,1:58.99,1:58,0h1m58s,0,0,0,6,0:07,9.33,EMBER,LEER,,,0,517,38,2,2,6,6,5,4,175,Flareon, ,Dark,Fire,411,Houndoom8,Houndoom,,00:01:49.66,00:01:58.99,00:07:17.20,6,0,0,1,58,99,EMBER,LEER,,,22,30,0,0,0,0,0,0,23,26,17,12,20,20,18,145,115,120,105,105,145,15,15,15,15,0,0,0,0,-1,0,0,17,12,20,20,11,28180,19932,6280,0,1968,0,0,0,517,517,0,0,38,4,2,2,0,0,104,69,8,8,6,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,176,0,0,0,0,0,13,0,0,0,0,0,8,0,Flareon
6-16,15:31:07,NINTEN,Houndoom,Bug Catcher,2,Viridian Forest,3,2:13.35,2:13,0h2m13s,0,0,0,8,0:08,10.539,EMBER,LEER,ROAR,,0,535,39,3,2,9,9,5,4,245,Flareon, ,Dark,Fire,660,Houndoom8,Houndoom,,00:02:02.81,00:02:13.35,00:08:14.00,8,0,0,2,13,35,EMBER,LEER,ROAR,,19,30,20,0,0,0,0,0,29,32,22,15,25,25,22,290,185,265,175,175,250,15,15,15,15,0,0,0,0,0,0,0,22,15,25,25,22,31580,20376,9236,0,1968,0,0,0,535,535,0,0,39,5,3,2,0,0,186,135,8,8,9,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,13,0,0,0,1,0,8,0,Flareon
6-16,15:31:31,NINTEN,Houndoom,Bug Catcher,15,Viridian Forest,2,2:37.33,2:37,0h2m37s,0,0,0,8,0:09,6.342,EMBER,LEER,ROAR,,0,570,40,4,4,13,13,6,4,305,Flareon, ,Dark,Fire,904,Houndoom8,Houndoom,,00:02:30.98,00:02:37.33,00:09:48.23,8,0,0,2,37,33,EMBER,LEER,ROAR,,15,30,20,0,0,0,0,0,24,32,22,15,25,25,22,425,280,395,255,255,381,15,15,15,15,0,0,0,0,0,0,0,22,15,25,25,22,37243,21262,14013,0,1968,0,0,0,570,570,0,0,40,8,4,4,0,0,288,220,13,13,13,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,748,0,0,0,0,1,13,0,1,1,1,0,8,0,Flareon
6-16,15:31:42,NINTEN,Houndoom,Bug Catcher,3,Viridian Forest,1,2:47.94,2:47,0h2m47s,0,0,0,9,0:10,4.62,EMBER,LEER,ROAR,,0,620,41,5,4,14,14,6,4,385,Flareon, ,Dark,Fire,1016,Houndoom8,Houndoom,,00:02:43.31,00:02:47.94,00:10:30.19,9,0,0,2,47,94,EMBER,LEER,ROAR,,14,30,20,0,0,0,0,0,27,35,24,17,27,27,25,470,310,430,275,275,426,15,15,15,15,0,0,0,0,0,0,0,24,17,27,27,25,39759,22263,15528,0,1968,0,0,0,620,620,0,0,41,9,5,4,0,0,320,250,13,13,14,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,860,0,0,0,0,1,13,0,1,1,1,0,8,0,Flareon
6-16,15:32:02,NINTEN,Houndoom,Jr Trainer M,1,Pewter City - Gym,2,3:08.20,3:08,0h3m8s,0,0,0,10,0:11,9.39,EMBER,LEER,ROAR,,0,714,42,6,4,18,18,8,4,485,Flareon, ,Dark,Fire,1350,Houndoom8,Houndoom,,00:02:58.82,00:03:08.20,00:11:50.09,10,0,0,3,8,20,EMBER,LEER,ROAR,,10,30,20,0,0,0,0,0,21,38,26,18,30,30,27,530,440,540,350,350,561,15,15,15,15,0,0,0,0,0,0,0,26,18,30,30,27,44549,24299,18282,0,1968,0,0,0,714,714,0,0,42,10,6,4,0,0,390,301,22,22,18,2,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1194,0,0,0,0,1,13,0,1,1,1,0,8,0,Flareon
6-16,15:32:28,NINTEN,Houndoom,Brock,1,Pewter City - Gym,2,3:34.40,3:34,0h3m34s,0,0,0,11,0:13,16.297,EMBER,LEER,ROAR,,0,718,43,7,4,26,26,13,3,665,Flareon, ,Dark,Fire,1810,Houndoom8,Houndoom,Brock,00:03:18.11,00:03:34.40,00:13:33.33,11,0,0,3,34,40,EMBER,LEER,ROAR,,2,30,20,0,0,0,0,0,23,41,28,20,33,33,29,605,565,800,410,410,651,15,15,15,15,0,-2,0,0,0,0,0,28,10,33,33,29,50753,24894,22739,1152,1968,0,0,0,718,718,0,0,43,11,7,4,0,0,475,362,40,40,26,3,10,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1654,0,0,0,0,1,13,0,1,1,1,0,8,0,Flareon
6-16,15:32:57,NINTEN,Houndoom,Bug Catcher,4,Route 3,3,4:03.26,4:03,0h4m3s,0,0,0,11,0:15,8.422,EMBER,LEER,ROAR,,0,831,48,8,4,29,29,13,4,1853,Flareon, ,Dark,Fire,2145,Houndoom8,Houndoom,,00:03:54.84,00:04:03.26,00:15:27.32,11,0,0,4,3,26,EMBER,LEER,ROAR,,22,30,20,0,0,0,0,0,41,41,28,20,33,33,29,735,660,900,470,470,791,15,15,15,15,0,0,0,0,0,0,0,31,20,33,33,29,57592,28737,25735,1152,1968,0,0,0,831,831,0,0,48,12,8,4,0,0,639,451,40,40,29,3,10,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1989,0,0,0,0,1,13,0,1,1,1,0,8,0,Flareon
6-16,15:33:10,NINTEN,Houndoom,Youngster Ben,1,Route 3,2,4:15.85,4:15,0h4m15s,0,0,0,12,0:16,9.229,EMBER,LEER,ROAR,,0,835,48,9,4,33,33,15,4,1953,Flareon, ,Dark,Fire,2423,Houndoom8,Houndoom,,00:04:06.62,00:04:15.85,00:16:17.08,12,0,0,4,15,85,EMBER,LEER,ROAR,,18,30,20,0,0,0,0,0,44,44,30,21,35,35,32,800,776,979,535,535,918,15,15,15,15,0,-2,0,0,0,0,0,37,10,35,35,32,60568,29021,28427,1152,1968,0,0,0,835,835,0,0,48,13,9,4,0,0,713,510,40,40,33,3,12,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2267,0,0,0,0,1,13,0,1,1,1,0,8,0,Flareon
6-16,15:33:25,NINTEN,Houndoom,Bug Catcher,5,Route 3,4,4:30.80,4:30,0h4m30s,0,0,0,13,0:17,12.098,EMBER,LEER,ROAR,SMOG,0,839,48,10,4,37,37,15,4,2118,Flareon, ,Dark,Fire,2898,Houndoom8,Houndoom,,00:04:18.70,00:04:30.80,00:17:15.59,13,0,0,4,30,80,EMBER,LEER,ROAR,SMOG,14,30,20,20,0,0,0,0,47,47,33,22,38,38,34,980,886,1149,625,625,1078,15,15,15,15,0,0,0,0,0,0,0,37,22,38,38,34,64099,29192,31787,1152,1968,0,0,0,839,839,0,0,48,14,10,4,0,0,929,622,40,40,37,3,12,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2742,0,0,0,0,1,13,0,1,1,2,0,8,0,Flareon
