player_name,pokemon,trainer_name,real_time_hmmss,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4
NINTEN,Iron Hands,Rival1-Lab,38,0,0,5,0:01,4.653,LOW KICK,TACKLE,FOCUS ENERGY,SAND-ATTACK
NINTEN,Iron Hands,Brock,2:33,0,0,8,0:09,12.99,LOW KICK,TACKLE,FOCUS ENERGY,SAND-ATTACK
NINTEN,Iron Hands,Rival2-Nugget Bridge,7:00,0,0,15,0:27,23.896,LOW KICK,TACKLE,SAND-ATTACK,MEGA PUNCH
NINTEN,Iron Hands,Cerulean Rocket,10:17,0,0,19,0:40,9.979,LOW KICK,TACKLE,SAND-ATTACK,MEGA PUNCH
NINTEN,Iron Hands,Misty,11:06,0,0,20,0:43,16.433,LOW KICK,TACKLE,DIG,MEGA PUNCH
NINTEN,Iron Hands,Rival3-SS Anne,13:26,0,0,23,0:52,15.518,LOW KICK,ThunderPunch,DIG,BODY SLAM
NINTEN,Iron Hands,Surge,14:14,0,0,23,0:55,6.331,LOW KICK,ThunderPunch,DIG,BODY SLAM
NINTEN,Iron Hands,Rival4-Pkmn Tower,20:19,0,0,27,1:19,20.578,LOW KICK,THUNDERBOLT,DIG,BODY SLAM
NINTEN,Iron Hands,Erika,26:27,0,0,32,1:43,13.936,SWORDS DANCE,THUNDERBOLT,EARTHQUAKE,ROCK SLIDE
NINTEN,Iron Hands,Rival5-Silph,30:43,1,0,41,1:58,28.977,SWORDS DANCE,THUNDERBOLT,EARTHQUAKE,ROCK SLIDE
NINTEN,Iron Hands,Koga,33:17,2,0,43,2:07,17.516,SWORDS DANCE,THUNDERBOLT,EARTHQUAKE,ROCK SLIDE
NINTEN,Iron Hands,Blaine,36:20,4,0,44,2:16,17.087,SWORDS DANCE,THUNDERBOLT,EARTHQUAKE,ROCK SLIDE
NINTEN,Iron Hands,Sabrina,37:38,5,0,45,2:19,16.099,SWORDS DANCE,THUNDERBOLT,EARTHQUAKE,ROCK SLIDE
NINTEN,Iron Hands,Giovanni,40:15,7,0,51,2:28,25.451,EARTHQUAKE,SWORDS DANCE,THUNDERBOLT,ROCK SLIDE
NINTEN,Iron Hands,Rival6-Route 22,41:10,7,1,52,2:31,25.886,EARTHQUAKE,SWORDS DANCE,THUNDERBOLT,ROCK SLIDE
NINTEN,Iron Hands,Lorelei,43:47,7,1,53,2:42,28.183,EARTHQUAKE,SWORDS DANCE,THUNDERBOLT,ROCK SLIDE
NINTEN,Iron Hands,Bruno,44:24,7,1,53,2:44,20.792,EARTHQUAKE,SWORDS DANCE,THUNDERBOLT,ROCK SLIDE
NINTEN,Iron Hands,Agatha,45:03,7,1,54,2:47,28.839,EARTHQUAKE,SWORDS DANCE,THUNDERBOLT,ROCK SLIDE
NINTEN,Iron Hands,Lance,45:43,7,1,55,2:49,24.19,EARTHQUAKE,SWORDS DANCE,THUNDERBOLT,ROCK SLIDE
NINTEN,Iron Hands,Champion,46:48,7,1,59,2:54,39.784,EARTHQUAKE,SWORDS DANCE,THUNDERBOLT,ROCK SLIDE
NINTEN,Iron Hands,Champion,46:48,7,1,59,2:55,62.214,EARTHQUAKE,SWORDS DANCE,THUNDERBOLT,ROCK SLIDE
