ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Iron Hands1,Iron Hands,Rival (Lab),00:00:34.06,00:00:38.72,00:01:59.39,5,0,0,0,38,72,LOW KICK,TACKLE,FOCUS ENERGY,SAND-ATTACK,20,17,13,13,11,0,0,0,0,0,0,0,20,17,13,13,11,9153,4800,2351,0,2002,0,0,0,71,71,0,0,1,2,1,1,0,0,28,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
Iron Hands1,Iron Hands,Brock,00:02:20.24,00:02:33.23,00:09:32.12,8,0,0,2,33,23,LOW KICK,TACKLE,FOCUS ENERGY,SAND-ATTACK,30,25,18,18,15,0,0,0,0,0,0,0,30,25,18,18,15,36306,23009,11295,0,2002,0,0,0,701,701,0,0,32,6,3,3,1,0,139,112,21,21,13,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,0,0,0,0,0,0,1,0,Flareon
Iron Hands1,Iron Hands,Rival (Nugget Bridge),00:06:36.73,00:07:00.62,00:27:09.02,15,0,0,7,0,62,LOW KICK,TACKLE,SAND-ATTACK,MEGA PUNCH,52,43,30,30,25,0,-2,0,0,0,-3,0,58,21,30,30,25,99716,47522,45627,4565,2002,1,0,0,1549,1549,0,0,68,13,10,3,1,0,1116,772,146,146,57,12,42,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4383,0,0,0,0,4,16,0,0,0,1,0,1,0,Flareon
Iron Hands1,Iron Hands,Oddish Lass,00:09:31.54,00:09:42.47,00:37:47.57,19,0,0,9,42,47,LOW KICK,TACKLE,SAND-ATTACK,MEGA PUNCH,66,53,38,38,31,0,0,0,0,0,0,0,74,53,38,38,31,138051,59317,72167,4565,2002,1,0,0,1797,1797,0,0,107,23,20,3,1,0,2439,1588,210,210,84,15,52,0,0,0,0,0,15,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,8483,0,0,0,0,5,23,0,0,0,1,0,1,0,Flareon
Iron Hands1,Iron Hands,Rocket,00:10:07.06,00:10:17.04,00:40:04.33,19,0,0,10,17,4,LOW KICK,TACKLE,SAND-ATTACK,MEGA PUNCH,66,53,38,38,31,0,0,0,0,0,0,0,74,53,38,38,31,146247,64660,75020,4565,2002,1,0,0,1937,1937,0,0,112,24,21,3,1,0,2563,1691,220,220,87,16,53,0,0,0,0,0,16,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,9172,0,0,0,0,5,23,0,0,0,1,0,1,0,Flareon
Iron Hands1,Iron Hands,Misty,00:10:49.96,00:11:06.39,00:43:19.41,20,0,0,11,6,39,LOW KICK,TACKLE,DIG,MEGA PUNCH,69,56,40,40,33,0,0,0,0,0,0,0,77,56,40,40,33,157955,68253,81307,6393,2002,2,0,0,2017,2017,0,0,124,26,23,3,1,0,2749,1840,258,258,94,21,56,0,0,0,0,0,16,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,10962,0,0,0,0,5,23,0,0,0,2,0,1,0,Flareon
Iron Hands1,Iron Hands,Rival (SS Anne),00:13:10.73,00:13:26.25,00:52:31.21,23,0,0,13,26,25,LOW KICK,ThunderPunch,DIG,BODY SLAM,79,64,46,46,38,0,0,0,0,0,0,0,88,64,46,46,38,191055,82625,98473,7955,2002,2,0,0,2511,2511,0,0,172,32,29,3,1,0,4049,2471,296,296,110,25,62,0,0,0,0,0,17,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,15266,0,0,0,0,9,23,0,0,0,4,0,1,0,Flareon
Iron Hands1,Iron Hands,Lt. Surge,00:14:07.98,00:14:14.32,00:55:40.59,23,0,0,14,14,32,LOW KICK,ThunderPunch,DIG,BODY SLAM,79,64,46,46,38,0,0,0,0,0,0,0,88,64,46,46,38,202433,89582,100509,10340,2002,3,0,0,2694,2694,0,0,182,33,30,3,1,0,4138,2547,316,316,111,26,63,0,0,0,0,0,17,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,15998,0,0,0,0,9,23,0,0,0,5,0,1,0,Flareon
Iron Hands1,Iron Hands,RTG1 - Wrapping Lass,00:15:04.68,00:15:15.72,00:59:42.59,24,0,0,15,15,72,LOW KICK,ThunderPunch,DIG,BODY SLAM,83,67,47,47,39,0,0,0,0,0,0,0,93,75,47,47,39,216953,97580,103703,13668,2002,3,0,0,2897,2845,52,0,202,34,31,3,1,0,4409,2737,316,316,115,26,63,0,0,0,0,0,17,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,17246,0,0,0,0,9,30,0,0,0,5,0,1,0,Flareon
Iron Hands1,Iron Hands,RTG4 - Status Jr Trainer,00:16:01.15,00:16:15.72,01:03:39.38,25,0,0,16,15,72,LOW KICK,ThunderPunch,DIG,BODY SLAM,86,70,50,50,41,0,0,0,0,0,0,0,96,78,50,50,41,231152,100559,114628,13963,2002,3,0,0,3098,2845,253,0,217,38,35,3,1,0,5108,3243,354,354,126,30,69,0,0,0,0,0,18,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,20126,0,0,0,0,9,30,0,0,0,5,0,1,0,Flareon
