ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Ivysaur31,Ivysaur,Rival (Lab),00:00:33.87,00:00:45.88,00:02:28.39,6,0,0,0,45,88,TACKLE,GROWL,LEECH SEED,,14,14,16,16,14,0,-1,0,0,0,0,0,14,9,16,16,14,10857,4796,4095,0,1966,0,0,0,71,71,0,0,14,2,1,1,0,0,24,21,18,18,6,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,31,0,Jolteon
Ivysaur31,Ivysaur,Brock,00:02:56.02,00:04:00.27,00:15:18.10,11,0,0,4,0,27,TACKLE,GROWL,LEECH SEED,,22,22,26,26,21,0,0,0,0,0,0,0,22,22,26,26,21,57028,24910,29458,694,1966,0,0,0,761,761,0,0,47,6,3,3,0,0,132,128,101,101,44,9,34,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,3,11,0,1,1,0,1,31,1,Flareon
Ivysaur31,Ivysaur,Misty,00:08:40.61,00:08:55.19,00:34:43.46,21,0,0,8,55,19,TACKLE,GROWL,LEECH SEED,VINE WHIP,39,39,46,46,38,0,0,0,0,0,0,0,43,39,46,46,38,126964,44955,77488,2555,1966,0,0,0,1463,1463,0,0,70,16,13,3,0,0,1320,928,298,298,115,16,85,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6346,0,0,0,0,4,11,0,1,1,1,1,31,1,Flareon
Ivysaur31,Ivysaur,Rival (Nugget Bridge),00:09:24.75,00:09:41.73,00:37:47.17,23,0,0,9,41,73,TACKLE,GROWL,LEECH SEED,VINE WHIP,42,43,50,50,41,-1,-1,0,0,0,0,0,30,28,50,50,41,137975,49523,82134,4352,1966,0,0,0,1565,1565,0,0,74,17,14,3,0,0,1532,1099,308,308,122,17,88,0,0,0,0,0,14,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7384,0,0,0,0,5,11,0,1,1,1,1,31,1,Flareon
Ivysaur31,Ivysaur,Oddish Lass,00:12:25.12,00:12:37.85,00:49:22.03,26,0,0,12,37,85,TACKLE,GROWL,LEECH SEED,VINE WHIP,48,48,57,57,47,0,0,0,0,0,0,0,54,48,57,57,47,179661,56478,114991,6226,1966,0,0,0,1683,1683,0,0,88,27,24,3,0,0,3200,1995,401,401,166,22,111,0,0,0,0,0,19,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,54,12085,0,0,0,0,6,11,0,1,1,1,1,31,1,Flareon
Ivysaur31,Ivysaur,Rocket,00:13:10.77,00:13:22.06,00:52:16.52,27,0,0,13,22,6,TACKLE,GROWL,LEECH SEED,VINE WHIP,50,50,59,59,49,0,0,0,0,0,0,0,56,50,59,59,49,190150,62396,118146,7642,1966,1,0,0,1824,1824,0,0,97,28,25,3,0,0,3360,2098,428,428,170,22,113,0,0,0,0,0,21,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,56,12774,0,0,0,0,7,11,0,1,1,1,1,31,1,Flareon
Ivysaur31,Ivysaur,Rival (SS Anne),00:15:24.05,00:15:36.52,01:01:07.15,28,0,0,15,36,52,BODY SLAM,TACKLE,LEECH SEED,VINE WHIP,52,52,61,61,50,0,-1,0,0,0,0,0,65,34,61,61,50,221973,74144,134093,11770,1966,2,0,0,2150,2150,0,0,113,33,30,3,0,0,4076,2643,495,495,192,24,126,0,0,0,0,0,22,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,68,16265,0,0,0,0,10,22,0,1,1,2,1,31,1,Flareon
Ivysaur31,Ivysaur,Lt. Surge,00:16:22.06,00:16:30.06,01:04:38.47,29,0,0,16,30,6,BODY SLAM,TACKLE,LEECH SEED,VINE WHIP,54,54,63,63,52,0,0,0,0,0,0,0,60,54,63,63,52,234665,80899,136551,15249,1966,3,0,0,2327,2327,0,0,119,34,31,3,0,0,4171,2719,576,576,195,25,128,0,0,0,0,0,22,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,69,16997,0,0,0,0,10,22,0,1,1,4,1,31,1,Flareon
Ivysaur31,Ivysaur,RTG1 - Wrapping Lass,00:17:21.08,00:17:32.56,01:08:44.55,30,0,0,17,32,56,BODY SLAM,TACKLE,VINE WHIP,RAZOR LEAF,55,56,65,65,54,0,0,0,0,0,0,0,61,63,65,65,54,249433,88859,139859,18749,1966,3,0,0,2517,2467,50,0,136,35,32,3,0,0,4438,2909,576,576,199,25,128,0,0,0,0,0,23,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,73,18245,0,0,0,0,10,22,0,1,1,5,1,31,1,Flareon
Ivysaur31,Ivysaur,RTG4 - Status Jr Trainer,00:18:16.06,00:18:26.98,01:12:19.32,31,0,0,18,26,98,BODY SLAM,TACKLE,VINE WHIP,RAZOR LEAF,57,58,68,68,56,0,0,0,0,0,0,0,64,65,68,68,56,262310,91959,149289,19096,1966,3,0,0,2718,2467,251,0,156,39,36,3,0,0,5349,3397,576,576,210,27,129,0,0,0,0,0,26,0,13,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,1,0,0,0,81,21125,0,0,0,0,10,22,0,1,1,5,1,31,1,Flareon
