ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Ivysaur29,Ivysaur,Rival (Lab),00:00:33.71,00:00:43.90,00:02:20.55,6,0,0,0,43,90,TACKLE,GROWL,LEECH SEED,,14,14,16,16,14,0,0,0,0,0,0,0,14,14,16,16,14,10389,4769,3658,0,1962,0,0,0,71,71,0,0,2,2,1,1,0,0,23,21,20,20,5,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,29,0,Jolteon
Ivysaur29,Ivysaur,Brock,00:02:52.98,00:04:00.27,00:15:18.17,11,0,0,4,0,27,TACKLE,GROWL,LEECH SEED,,22,22,26,26,21,0,-2,0,0,0,0,0,22,11,26,26,21,57031,25074,29053,942,1962,0,0,0,757,757,0,0,29,6,3,3,0,0,127,124,98,98,45,4,35,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,3,11,0,1,1,0,0,29,0,Flareon
Ivysaur29,Ivysaur,Misty,00:08:32.68,00:08:45.65,00:34:06.20,21,0,0,8,45,65,TACKLE,GROWL,LEECH SEED,VINE WHIP,39,39,46,46,38,0,0,0,0,0,0,0,43,39,46,46,38,124714,45377,74906,2469,1962,0,0,0,1461,1461,0,0,70,16,13,3,0,0,1285,924,267,267,115,8,78,0,0,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6346,0,0,0,0,4,11,0,1,1,1,0,29,0,Flareon
Ivysaur29,Ivysaur,Rival (Nugget Bridge),00:09:15.20,00:09:32.07,00:37:09.20,23,0,0,9,32,7,TACKLE,GROWL,LEECH SEED,VINE WHIP,42,43,50,50,41,-1,0,0,0,0,0,0,30,43,50,50,41,135694,49653,79518,4561,1962,1,0,0,1563,1563,0,0,77,17,14,3,0,0,1512,1095,273,273,123,10,80,0,0,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7384,0,0,0,0,5,11,0,1,1,1,0,29,0,Flareon
Ivysaur29,Ivysaur,Oddish Lass,00:12:29.15,00:12:44.73,00:49:50.16,26,0,0,12,44,73,TACKLE,GROWL,LEECH SEED,VINE WHIP,48,48,57,57,47,0,0,0,0,0,0,0,54,48,57,57,47,181350,61322,113111,4955,1962,1,0,0,1854,1854,0,0,106,27,24,3,0,0,3273,1991,363,363,168,14,108,0,0,0,0,0,18,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,54,12085,0,0,0,0,6,16,0,1,1,1,0,29,0,Flareon
Ivysaur29,Ivysaur,Rocket,00:13:09.67,00:13:22.85,00:52:21.00,27,0,0,13,22,85,TACKLE,GROWL,LEECH SEED,VINE WHIP,50,50,59,59,49,0,0,0,0,0,0,0,56,50,59,59,49,190394,66758,116719,4955,1962,1,0,0,1992,1992,0,0,112,28,25,3,0,0,3397,2094,369,369,173,14,110,0,0,0,0,0,18,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,56,12774,0,0,0,0,7,16,0,1,1,1,0,29,0,Flareon
Ivysaur29,Ivysaur,Rival (SS Anne),00:15:19.55,00:15:31.90,01:00:49.30,28,0,0,15,31,90,BODY SLAM,TACKLE,LEECH SEED,VINE WHIP,52,52,61,61,50,-1,0,0,0,0,0,0,38,52,61,61,50,220904,77653,132070,9219,1962,1,0,0,2325,2325,0,0,149,33,30,3,0,0,4184,2639,413,413,194,17,119,0,0,0,0,0,21,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,68,16265,0,0,0,0,10,24,0,1,1,3,0,29,0,Flareon
Ivysaur29,Ivysaur,Lt. Surge,00:16:16.70,00:16:23.25,01:04:12.27,29,0,0,16,23,25,BODY SLAM,TACKLE,LEECH SEED,VINE WHIP,54,54,63,63,52,0,0,0,0,0,0,0,60,54,63,63,52,233081,84243,134180,12696,1962,2,0,0,2504,2504,0,0,155,34,31,3,0,0,4267,2715,413,413,196,17,119,0,0,0,0,0,22,0,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,69,16997,0,0,0,0,10,24,0,1,1,4,0,29,0,Flareon
Ivysaur29,Ivysaur,RTG1 - Wrapping Lass,00:17:16.95,00:17:27.21,01:08:24.25,30,0,0,17,27,21,BODY SLAM,TACKLE,LEECH SEED,RAZOR LEAF,55,56,65,65,54,0,0,0,0,0,0,0,61,63,65,65,54,248199,92402,137193,16642,1962,2,0,0,2696,2644,52,0,182,35,32,3,0,0,4525,2905,413,413,200,17,119,0,0,0,0,0,23,0,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,73,18245,0,0,0,0,10,24,0,1,1,5,0,29,0,Flareon
Ivysaur29,Ivysaur,RTG4 - Status Jr Trainer,00:18:10.96,00:18:23.39,01:12:06.03,31,0,0,18,23,39,BODY SLAM,TACKLE,LEECH SEED,RAZOR LEAF,57,58,68,68,56,0,0,0,0,0,0,0,64,65,68,68,56,261497,95438,147126,16971,1962,2,0,0,2893,2644,249,0,198,39,36,3,0,0,5357,3394,423,423,211,17,121,0,0,0,0,0,25,0,7,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,1,0,0,0,81,21125,0,0,0,0,10,24,0,1,1,5,0,29,0,Flareon
