date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
11-21,15:45:26,NINTEN,Ivysaur,Rival1-Lab,1,Pallet Town - Oak's Lab,1,45.66,45,0h0m45s,0,0,0,6,0:02,11.67,TACKLE,GROWL,LEECH SEED,,0,72,6,1,1,6,6,5,0,3000,Jolteon, ,Grass,Poison,232,Ivysaur33,Ivysaur,Rival (Lab),00:00:33.99,00:00:45.66,00:02:27.23,6,0,0,0,45,66,TACKLE,GROWL,LEECH SEED,,29,40,10,0,0,0,0,0,17,25,14,14,16,16,14,55,55,50,65,65,55,15,15,15,15,0,-2,0,0,0,0,0,14,7,16,16,14,10810,4803,4012,0,1995,0,0,0,72,72,0,0,6,2,1,1,0,0,24,21,8,8,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,33,0,Jolteon
11-21,15:47:17,NINTEN,Ivysaur,Bug Catcher,3,Viridian Forest,1,2:35.90,2:35,0h2m35s,0,0,0,8,0:09,21.623,TACKLE,GROWL,LEECH SEED,,0,626,51,2,3,17,17,16,2,75,Flareon, ,Grass,Poison,344,Ivysaur33,Ivysaur,,00:02:14.28,00:02:35.90,00:09:43.18,8,0,0,2,35,90,TACKLE,GROWL,LEECH SEED,,27,38,9,0,0,0,0,0,30,30,17,17,20,20,17,100,85,85,85,85,100,15,15,15,15,0,0,0,0,-6,0,0,17,17,20,20,4,36965,21851,12756,363,1995,0,0,0,626,626,0,0,51,5,2,3,0,0,66,61,20,20,17,3,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,2,11,0,1,1,0,0,33,0,Flareon
11-21,15:48:35,NINTEN,Ivysaur,Brock,1,Pewter City - Gym,2,3:53.82,3:53,0h3m53s,0,0,0,11,0:14,64.441,TACKLE,GROWL,LEECH SEED,,0,730,51,3,3,50,44,40,2,175,Flareon, ,Grass,Poison,804,Ivysaur33,Ivysaur,Brock,00:02:49.38,00:03:53.82,00:14:52.19,11,0,0,3,53,82,TACKLE,GROWL,LEECH SEED,,11,29,7,0,0,0,0,0,17,37,22,22,26,26,21,175,210,345,145,145,190,15,15,15,15,0,-2,0,0,0,0,0,22,11,26,26,21,55506,24287,28606,618,1995,0,0,0,730,730,0,0,51,6,3,3,0,0,128,123,85,85,44,7,32,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,2,11,0,1,1,0,0,33,0,Flareon
11-21,15:49:18,NINTEN,Ivysaur,Bug Catcher,4,Route 3,3,4:36.91,4:36,0h4m36s,0,0,0,12,0:17,23.249,TACKLE,GROWL,LEECH SEED,,0,841,52,4,3,63,57,50,3,1363,Flareon, ,Grass,Poison,1139,Ivysaur33,Ivysaur,,00:04:13.66,00:04:36.91,00:17:42.49,12,0,0,4,36,91,TACKLE,GROWL,LEECH SEED,,22,40,10,0,0,0,0,0,19,40,23,24,28,28,23,305,305,445,205,205,330,15,15,15,15,0,0,0,0,0,0,0,25,24,28,28,23,65736,27991,35132,618,1995,0,0,0,841,841,0,0,52,7,4,3,0,0,228,212,106,106,56,11,39,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1004,0,0,0,0,2,11,0,1,1,0,0,33,0,Flareon
11-21,15:49:45,NINTEN,Ivysaur,Youngster Ben,1,Route 3,2,5:04.14,5:04,0h5m4s,0,0,0,13,0:19,22.088,TACKLE,GROWL,LEECH SEED,VINE WHIP,0,845,52,5,3,75,66,57,3,1463,Flareon, ,Grass,Poison,1417,Ivysaur33,Ivysaur,,00:04:42.05,00:05:04.14,00:19:30.27,13,0,0,5,4,14,TACKLE,GROWL,LEECH SEED,VINE WHIP,15,38,10,10,0,0,0,0,18,43,25,25,30,30,25,370,421,524,270,270,457,15,15,15,15,0,-3,0,0,0,0,0,31,10,30,30,25,72194,28317,40878,1004,1995,0,0,0,845,845,0,0,52,8,5,3,0,0,295,271,130,130,65,12,45,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1282,0,0,0,0,2,11,0,1,1,1,0,33,0,Flareon
11-21,15:50:04,NINTEN,Ivysaur,Lass,2,Route 3,2,5:23.08,5:23,0h5m23s,0,0,0,14,0:20,13.252,TACKLE,GROWL,LEECH SEED,VINE WHIP,0,851,53,6,3,81,72,61,3,1628,Flareon, ,Grass,Poison,1665,Ivysaur33,Ivysaur,,00:05:09.83,00:05:23.08,00:20:45.07,14,0,0,5,23,8,TACKLE,GROWL,LEECH SEED,VINE WHIP,11,38,10,8,0,0,0,0,27,45,27,27,32,32,26,446,534,599,335,335,579,15,15,15,15,0,0,0,0,0,0,0,30,27,32,32,26,76674,28796,44508,1375,1995,0,0,0,851,851,0,0,53,9,6,3,0,0,373,328,143,143,71,13,48,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1530,0,0,0,0,2,11,0,1,1,1,0,33,0,Flareon
11-21,15:50:25,NINTEN,Ivysaur,Bug Catcher,6,Route 3,2,5:44.47,5:44,0h5m44s,0,0,0,14,0:22,13.2,TACKLE,GROWL,LEECH SEED,VINE WHIP,0,913,57,7,3,87,78,65,3,1778,Flareon, ,Grass,Poison,1958,Ivysaur33,Ivysaur,,00:05:31.26,00:05:44.47,00:22:09.41,14,0,0,5,44,47,TACKLE,GROWL,LEECH SEED,VINE WHIP,8,38,10,5,0,0,0,0,20,45,27,27,32,32,26,541,584,689,380,380,654,15,15,15,15,0,0,0,0,0,0,0,30,27,32,32,26,81748,30265,48113,1375,1995,0,0,0,913,913,0,0,57,10,7,3,0,0,447,393,150,150,77,13,50,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1823,0,0,0,0,2,11,0,1,1,1,0,33,0,Flareon
11-21,15:51:02,NINTEN,Ivysaur,Hiker,1,Mt Moon - 1,3,6:21.18,6:21,0h6m21s,0,0,0,16,0:24,11.027,TACKLE,GROWL,LEECH SEED,VINE WHIP,0,1154,67,8,3,90,81,65,4,1888,Flareon, ,Grass,Poison,2555,Ivysaur33,Ivysaur,,00:06:10.15,00:06:21.18,00:24:34.54,16,0,0,6,21,18,TACKLE,GROWL,LEECH SEED,VINE WHIP,35,40,10,7,0,0,0,0,50,50,30,31,36,36,30,656,789,1049,470,470,764,15,15,15,15,0,0,0,0,0,0,0,33,31,36,36,30,90461,35950,51141,1375,1995,0,0,0,1154,1154,0,0,67,11,8,3,0,0,706,479,150,150,80,13,50,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2420,0,0,0,0,3,11,0,1,1,1,0,33,0,Flareon
11-21,15:51:38,NINTEN,Ivysaur,Fossil Nerd,2,Mt Moon - 3,3,6:56.82,6:56,0h6m56s,0,0,0,17,0:26,23.561,TACKLE,GROWL,LEECH SEED,VINE WHIP,0,1275,67,9,3,101,92,74,4,2238,Flareon, ,Grass,Poison,3342,Ivysaur33,Ivysaur,,00:06:33.27,00:06:56.82,00:26:55.58,17,0,0,6,56,82,TACKLE,GROWL,LEECH SEED,VINE WHIP,30,40,10,1,0,0,0,0,9,53,32,33,38,38,31,816,964,1244,625,625,924,15,15,15,15,0,-2,0,0,0,0,0,36,16,38,38,31,98925,38424,57131,1375,1995,0,0,0,1275,1275,0,0,67,12,9,3,0,0,826,588,194,194,91,14,58,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3207,0,0,0,0,3,11,0,1,1,1,0,33,0,Flareon
11-21,15:52:18,NINTEN,Ivysaur,Rocket,42,Mt Moon - 3,3,7:37.30,7:37,0h7m37s,0,0,0,18,0:29,29.262,TACKLE,GROWL,LEECH SEED,VINE WHIP,0,1291,70,10,3,114,105,85,5,2538,Flareon, ,Grass,Poison,4077,Ivysaur33,Ivysaur,,00:07:08.04,00:07:37.30,00:29:35.54,18,0,0,7,37,30,TACKLE,GROWL,LEECH SEED,VINE WHIP,21,38,9,0,0,0,0,0,24,56,34,34,40,40,33,931,1134,1418,765,765,1104,15,15,15,15,0,-1,0,0,0,0,0,38,22,40,40,33,108521,39872,64498,2156,1995,0,0,0,1291,1291,0,0,70,13,10,3,0,0,949,698,236,236,104,17,66,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3942,0,0,0,0,3,11,0,1,1,1,0,33,0,Flareon
