player_name,pokemon,trainer_name,real_time_hmmss,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4
NINTEN,Jigglypuff,Rival1-Lab,56,0,0,6,0:03,22.285,SING,,,
NINTEN,Jigglypuff,Rival1a-Route 22,7:16,0,0,12,0:28,12.507,POUND,SING,,
NINTEN,Jigglypuff,Brock,11:12,0,0,16,0:43,76.632,POUND,SING,DISABLE,
NINTEN,Jigglypuff,Misty,18:10,1,0,23,1:09,19.064,MEGA PUNCH,POUND,DEFENSE CURL,WATER GUN
NINTEN,Jigglypuff,Rival2-Nugget Bridge,19:03,1,0,24,1:12,23.215,MEGA PUNCH,POUND,DEFENSE CURL,BUBBLEBEAM
NINTEN,Jigglypuff,Cerulean Rocket,22:20,1,0,27,1:25,8.818,MEGA PUNCH,POUND,DEFENSE CURL,BUBBLEBEAM
NINTEN,Jigglypuff,Rival3-SS Anne,24:44,1,0,29,1:35,13.242,BODY SLAM,REST,DEFENSE CURL,BUBBLEBEAM
NINTEN,Jigglypuff,Surge,25:37,1,0,30,1:38,8.705,BODY SLAM,REST,DEFENSE CURL,BUBBLEBEAM
NINTEN,Jigglypuff,Rival4-Pkmn Tower,31:07,1,0,34,2:00,20.835,BODY SLAM,REST,DEFENSE CURL,BUBBLEBEAM
NINTEN,Jigglypuff,Erika,43:37,3,1,43,2:45,17.644,BODY SLAM,REST,DEFENSE CURL,PSYCHIC
NINTEN,Jigglypuff,Koga,47:25,4,1,47,2:58,24.995,BODY SLAM,REST,DEFENSE CURL,PSYCHIC
NINTEN,Jigglypuff,Rival5-Silph,53:26,6,1,51,3:18,57.401,BODY SLAM,REST,DEFENSE CURL,PSYCHIC
NINTEN,Jigglypuff,Sabrina,55:32,6,1,53,3:27,11.952,BODY SLAM,REST,DEFENSE CURL,PSYCHIC
NINTEN,Jigglypuff,Blaine,58:01,7,1,53,3:34,89.503,BODY SLAM,REST,DEFENSE CURL,PSYCHIC
NINTEN,Jigglypuff,Giovanni,1:01:34,9,1,56,3:45,33.127,BODY SLAM,REST,DEFENSE CURL,PSYCHIC
NINTEN,Jigglypuff,Rival6-Route 22,1:07:14,11,2,65,4:00,78.736,BODY SLAM,REST,DEFENSE CURL,PSYCHIC
NINTEN,Jigglypuff,Lorelei,1:11:32,12,2,67,4:13,50.329,BODY SLAM,REST,DEFENSE CURL,PSYCHIC
NINTEN,Jigglypuff,Bruno,1:12:32,13,2,67,4:16,21.092,BODY SLAM,REST,DEFENSE CURL,PSYCHIC
NINTEN,Jigglypuff,Agatha,1:14:15,13,2,68,4:22,90.352,BODY SLAM,REST,DEFENSE CURL,PSYCHIC
NINTEN,Jigglypuff,Lance,1:15:33,13,2,70,4:28,36.572,BODY SLAM,REST,DEFENSE CURL,ICE BEAM
NINTEN,Jigglypuff,Champion,1:17:10,14,2,73,4:33,52.625,BODY SLAM,REST,DEFENSE CURL,ICE BEAM
