ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Jigglypuff6,Jigglypuff,Rival (Lab),00:00:33.86,00:00:55.18,00:03:05.58,6,0,0,0,55,18,SING,,,,12,9,9,9,9,0,-1,0,0,0,0,0,12,5,9,9,9,13089,4818,6312,0,1959,0,0,0,74,74,0,0,0,2,1,1,0,0,25,21,10,10,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,6,0,Jolteon
Jigglypuff6,Jigglypuff,Brock,00:08:59.17,00:10:07.62,00:39:24.52,16,0,0,10,7,62,POUND,SING,DISABLE,,25,18,19,19,18,0,0,0,0,0,0,0,25,18,19,19,18,143823,40441,98399,3024,1959,0,0,0,1419,1419,0,0,61,53,8,45,0,0,1513,1159,255,255,141,11,43,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,3244,0,0,0,0,3,13,0,1,1,2,0,6,0,Flareon
Jigglypuff6,Jigglypuff,Misty,00:14:13.06,00:14:36.99,00:57:09.12,22,0,0,14,36,99,MEGA PUNCH,SING,DEFENSE CURL,WATER GUN,34,23,25,25,23,0,4,0,0,0,0,0,38,69,25,25,23,207683,62059,137447,6218,1959,1,0,0,2143,2143,0,0,100,63,18,45,0,0,2685,1997,385,385,193,20,68,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,8983,0,0,0,0,6,13,0,1,1,5,0,6,0,Flareon
Jigglypuff6,Jigglypuff,Rival (Nugget Bridge),00:15:00.04,00:15:20.28,01:00:00.03,23,0,0,15,20,28,MEGA PUNCH,SING,DEFENSE CURL,WATER GUN,35,24,26,26,24,0,-3,0,0,0,0,0,48,9,26,26,24,217934,66337,142861,6777,1959,2,0,0,2245,2245,0,0,104,64,19,45,0,0,2944,2168,446,446,199,21,74,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,10021,0,0,0,0,7,13,0,1,1,5,0,6,0,Flareon
Jigglypuff6,Jigglypuff,Oddish Lass,00:17:37.41,00:17:50.92,01:09:54.00,26,0,0,17,50,92,MEGA PUNCH,SING,DEFENSE CURL,WATER GUN,40,27,29,29,27,0,0,0,0,0,-1,0,50,27,29,29,27,253571,75001,169430,7181,1959,2,0,0,2427,2427,0,0,117,75,30,45,0,0,4432,3103,499,499,226,23,81,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,15115,0,0,0,0,8,13,0,1,1,5,0,6,0,Flareon
Jigglypuff6,Jigglypuff,Rocket,00:18:24.95,00:18:34.36,01:12:45.46,27,0,0,18,34,36,MEGA PUNCH,SING,DEFENSE CURL,WATER GUN,41,29,30,30,28,0,0,0,0,0,0,0,46,29,30,30,28,263877,82593,172144,7181,1959,2,0,0,2622,2622,0,0,132,76,31,45,0,0,4548,3206,510,510,229,23,82,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,15804,0,0,0,0,9,13,0,1,1,5,0,6,0,Flareon
Jigglypuff6,Jigglypuff,Rival (SS Anne),00:20:44.88,00:21:05.84,01:22:42.49,29,0,0,21,5,84,BODY SLAM,MEGA PUNCH,DEFENSE CURL,WATER GUN,45,31,32,32,30,-1,0,0,0,0,-1,0,36,31,32,32,30,299700,96588,190811,10342,1959,2,0,0,3086,3086,0,0,168,82,37,45,0,0,5469,3837,658,658,247,25,96,0,0,0,0,0,10,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,126,20108,0,0,0,0,15,21,0,1,1,6,0,6,0,Flareon
Jigglypuff6,Jigglypuff,Lt. Surge,00:21:51.55,00:21:58.96,01:26:12.39,29,0,0,21,58,96,BODY SLAM,MEGA PUNCH,DEFENSE CURL,WATER GUN,45,31,32,32,30,0,0,0,0,0,0,0,50,31,32,32,30,312290,103166,193121,14044,1959,3,0,0,3263,3263,0,0,177,83,38,45,0,0,5580,3913,727,727,250,25,97,0,0,0,0,0,10,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,127,20840,0,0,0,0,15,21,0,1,1,8,0,6,0,Flareon
Jigglypuff6,Jigglypuff,RTG1 - Wrapping Lass,00:22:53.24,00:23:03.99,01:30:28.56,30,0,0,23,3,99,BODY SLAM,THUNDERBOLT,DEFENSE CURL,WATER GUN,46,32,34,34,32,0,0,0,0,0,0,0,51,36,34,34,32,327667,111651,196243,17814,1959,4,0,0,3458,3406,52,0,197,84,39,45,0,0,5852,4103,727,727,254,25,97,0,0,0,0,0,10,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,131,22088,0,0,0,0,15,21,0,1,1,9,0,6,0,Flareon
Jigglypuff6,Jigglypuff,RTG4 - Status Jr Trainer,00:23:58.27,00:24:04.60,01:34:28.10,31,0,0,24,4,60,BODY SLAM,THUNDERBOLT,DEFENSE CURL,WATER GUN,48,33,35,35,32,0,0,0,0,0,0,0,54,37,35,35,32,342021,115225,205832,19005,1959,4,0,0,3661,3406,255,0,212,88,43,45,0,0,6544,4591,753,753,266,26,100,0,0,0,0,0,10,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,139,24968,0,0,0,0,15,21,0,1,1,9,0,6,0,Flareon
Jigglypuff6,Jigglypuff,RTG6 - Finisher,00:24:40.67,00:24:49.31,01:37:24.32,32,0,0,24,49,31,BODY SLAM,THUNDERBOLT,DEFENSE CURL,WATER GUN,49,34,36,36,33,0,0,0,0,0,0,0,55,38,36,36,33,352603,119119,211098,20427,1959,4,0,0,3829,3406,423,0,235,90,45,45,0,0,6979,4899,767,767,272,26,101,0,0,0,0,0,10,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,145,27208,0,0,0,0,15,21,0,1,1,9,0,6,0,Flareon
Jigglypuff6,Jigglypuff,Rival (Pokemon Tower),00:27:43.13,00:28:01.02,01:50:00.47,34,0,0,28,1,2,BODY SLAM,THUNDERBOLT,DEFENSE CURL,PSYCHIC,55,36,38,38,35,0,-1,0,0,0,0,0,61,25,38,38,35,397978,149794,220161,26064,1959,4,0,0,4645,4067,578,0,314,93,48,45,0,0,7661,5409,804,804,282,28,105,0,0,0,0,0,11,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,154,31377,0,0,0,0,21,37,3,1,1,11,0,6,0,Flareon
