date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
11-14,11:04:19,NINTEN,Jigglypuff,Rival1-Lab,1,Pallet Town - Oak's Lab,1,55.18,55,0h0m55s,0,0,0,6,0:03,21.318,SING,,,,0,74,0,1,1,18,18,2,0,3000,Jolteon, ,Normal,Normal,197,Jigglypuff6,Jigglypuff,Rival (Lab),00:00:33.86,00:00:55.18,00:03:05.58,6,0,0,0,55,18,SING,,,,0,0,0,0,0,0,0,0,21,31,12,9,9,9,9,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,12,5,9,9,9,13089,4818,6312,0,1959,0,0,0,74,74,0,0,0,2,1,1,0,0,25,21,10,10,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,6,0,Jolteon
11-14,11:06:15,NINTEN,Jigglypuff,Bug Catcher,2,Viridian Forest,3,2:50.33,2:50,0h2m50s,0,0,0,8,0:10,44.866,SING,,,,0,539,43,2,2,49,49,18,4,75,Flareon, ,Normal,Normal,446,Jigglypuff6,Jigglypuff,,00:02:05.47,00:02:50.33,00:10:41.42,8,0,0,2,50,33,SING,,,,0,0,0,0,0,0,0,0,8,39,14,10,11,11,10,200,125,195,135,135,160,15,15,15,15,0,0,0,0,0,0,0,14,10,11,11,10,40433,20124,18350,0,1959,0,0,0,539,539,0,0,43,4,2,2,0,0,98,87,41,41,28,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,4,346,0,0,0,0,0,13,0,0,0,0,0,6,0,Flareon
11-14,11:06:38,NINTEN,Jigglypuff,Bug Catcher,1,Viridian Forest,2,3:13.67,3:13,0h3m13s,0,0,0,9,0:12,16.466,SING,POUND,,,0,553,44,3,2,55,55,24,4,135,Flareon, ,Normal,Normal,604,Jigglypuff6,Jigglypuff,,00:02:57.20,00:03:13.67,00:12:13.43,9,0,0,3,13,67,SING,POUND,,,0,35,0,0,0,0,0,0,13,42,16,11,12,12,11,290,185,265,175,175,250,15,15,15,15,0,0,0,0,-3,0,0,16,11,12,12,4,45954,20589,22698,708,1959,0,0,0,553,553,0,0,44,5,3,2,0,0,169,135,70,70,34,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,6,504,0,0,0,0,0,13,0,0,0,0,0,6,0,Flareon
11-14,11:07:01,NINTEN,Jigglypuff,Lass,19,Viridian Forest,2,3:36.90,3:36,0h3m36s,0,0,0,9,0:13,14.062,POUND,SING,,,0,597,47,4,2,62,62,29,4,205,Flareon, ,Normal,Normal,755,Jigglypuff6,Jigglypuff,,00:03:22.84,00:03:36.90,00:13:45.20,9,0,0,3,36,90,POUND,SING,,,28,0,0,0,0,0,0,0,39,42,16,11,12,12,11,391,289,357,255,255,341,15,15,15,15,-1,-2,0,0,0,0,0,10,5,12,12,11,51451,21626,26458,1408,1959,0,0,0,597,597,0,0,47,6,4,2,0,0,219,180,73,73,41,5,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,8,655,0,0,0,0,0,13,0,0,0,1,0,6,0,Flareon
11-14,11:07:43,NINTEN,Jigglypuff,Bug Catcher,15,Viridian Forest,2,4:18.98,4:18,0h4m18s,0,0,0,11,0:16,14.488,POUND,SING,,,0,672,49,5,6,74,74,37,4,295,Flareon, ,Normal,Normal,1096,Jigglypuff6,Jigglypuff,,00:04:04.50,00:04:18.98,00:16:31.18,11,0,0,4,18,98,POUND,SING,,,16,0,0,0,0,0,0,0,35,50,18,13,14,14,13,661,474,592,395,395,607,15,15,15,15,0,0,0,0,-3,0,0,18,13,14,14,5,61409,23433,34609,1408,1959,0,0,0,672,672,0,0,49,11,5,6,0,0,373,305,85,85,53,6,18,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,14,996,0,0,0,0,1,13,0,0,0,1,0,6,0,Flareon
11-14,11:08:24,NINTEN,Jigglypuff,Bug Catcher,3,Viridian Forest,1,4:59.62,4:59,0h4m59s,0,0,0,11,0:19,7.607,POUND,SING,,,0,740,50,6,10,83,83,43,3,375,Flareon, ,Normal,Normal,1327,Jigglypuff6,Jigglypuff,,00:04:52.02,00:04:59.62,00:19:11.20,11,0,0,4,59,62,POUND,SING,,,7,0,0,0,0,0,0,0,40,50,18,13,14,14,13,851,574,772,485,485,757,15,15,15,15,0,0,0,0,-1,0,0,18,13,14,14,8,71011,25184,42123,1745,1959,0,0,0,740,740,0,0,50,16,6,10,0,0,496,408,100,100,62,6,23,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,18,1227,0,0,0,0,3,13,0,1,1,1,0,6,0,Flareon
11-14,11:12:16,NINTEN,Jigglypuff,Jr Trainer M,1,Pewter City - Gym,2,8:51.76,8:51,0h8m51s,0,0,0,15,0:34,12.224,POUND,SING,DISABLE,,0,1415,60,7,45,132,132,57,3,475,Flareon, ,Normal,Normal,2884,Jigglypuff6,Jigglypuff,,00:08:39.54,00:08:51.76,00:34:23.47,15,0,0,8,51,76,POUND,SING,DISABLE,,30,15,20,0,0,0,0,0,41,65,24,17,18,18,17,2491,1789,2352,1445,1445,2416,15,15,15,15,0,0,0,0,0,0,0,24,17,18,18,17,125758,39912,81510,2377,1959,0,0,0,1415,1415,0,0,60,52,7,45,0,0,1448,1098,193,193,111,7,33,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,55,2784,0,0,0,0,3,13,0,1,1,2,0,6,0,Flareon
11-14,11:13:32,NINTEN,Jigglypuff,Brock,1,Pewter City - Gym,2,10:07.62,10:07,0h10m7s,0,0,0,16,0:39,68.443,POUND,SING,DISABLE,,0,1419,61,8,45,170,170,71,3,655,Flareon, ,Normal,Normal,3344,Jigglypuff6,Jigglypuff,Brock,00:08:59.17,00:10:07.62,00:39:24.52,16,0,0,10,7,62,POUND,SING,DISABLE,,6,4,17,0,0,0,0,0,7,69,25,18,19,19,18,2566,1914,2612,1505,1505,2506,15,15,15,15,0,0,0,0,0,0,0,25,18,19,19,18,143823,40441,98399,3024,1959,0,0,0,1419,1419,0,0,61,53,8,45,0,0,1513,1159,255,255,141,11,43,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,57,3244,0,0,0,0,3,13,0,1,1,2,0,6,0,Flareon
11-14,11:14:09,NINTEN,Jigglypuff,Bug Catcher,4,Route 3,3,10:44.75,10:44,0h10m44s,0,0,0,16,0:41,12.68,POUND,SING,DISABLE,,0,1538,70,9,45,176,176,74,4,1843,Flareon, ,Normal,Normal,3679,Jigglypuff6,Jigglypuff,,00:10:32.07,00:10:44.75,00:41:51.28,16,0,0,10,44,75,POUND,SING,DISABLE,,29,15,20,0,0,0,0,0,63,69,25,18,19,19,18,2696,2009,2712,1565,1565,2646,15,15,15,15,0,0,0,0,0,0,0,28,18,19,19,18,152619,45221,102415,3024,1959,0,0,0,1538,1538,0,0,70,54,9,45,0,0,1636,1248,261,261,147,12,45,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,60,3579,0,0,0,0,3,13,0,1,1,2,0,6,0,Flareon
11-14,11:14:23,NINTEN,Jigglypuff,Youngster Ben,1,Route 3,2,10:58.75,10:58,0h10m58s,0,0,0,17,0:42,10.766,POUND,SING,DISABLE,,0,1542,70,10,45,180,180,77,4,1943,Flareon, ,Normal,Normal,3957,Jigglypuff6,Jigglypuff,,00:10:47.98,00:10:58.75,00:42:46.40,17,0,0,10,58,75,POUND,SING,DISABLE,,25,15,20,0,0,0,0,0,48,73,27,19,20,20,19,2761,2125,2791,1630,1630,2773,15,15,15,15,0,-1,0,0,0,0,0,30,12,20,20,19,155931,45481,105467,3024,1959,0,0,0,1542,1542,0,0,70,55,10,45,0,0,1709,1307,280,280,151,12,48,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,62,3857,0,0,0,0,3,13,0,1,1,2,0,6,0,Flareon
