ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Jirachi1,Jirachi,Rival (Lab),00:00:37.51,00:00:42.97,00:02:15.21,5,0,0,0,42,97,CONFUSION,REST,,,16,16,16,16,16,0,-1,0,0,0,0,0,16,10,16,16,16,10169,5554,2539,0,2076,0,0,0,71,71,0,0,6,2,1,1,0,0,27,21,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
Jirachi1,Jirachi,Brock,00:02:56.73,00:03:14.34,00:12:12.25,8,0,0,3,14,34,CONFUSION,REST,,,23,23,23,23,23,0,-4,0,0,0,0,0,23,7,23,23,23,45993,24682,18685,550,2076,1,0,0,739,739,0,0,28,14,3,11,8,0,147,130,19,19,13,1,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,10,0,1,1,0,0,1,0,Flareon
Jirachi1,Jirachi,Rival (Nugget Bridge),00:06:43.64,00:07:01.71,00:27:09.09,15,0,0,7,1,71,CONFUSION,REST,SWIFT,WHIRLWIND,40,40,40,40,40,-1,-1,0,0,0,0,0,32,26,40,40,40,99797,44716,51874,1131,2076,2,0,0,1446,1446,0,0,60,32,11,21,18,0,1103,849,30,30,46,2,26,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,4832,0,0,0,0,3,10,0,1,1,2,0,1,0,Flareon
Jirachi1,Jirachi,Oddish Lass,00:09:02.28,00:09:14.35,00:35:52.29,19,0,0,9,14,35,CONFUSION,REST,WHIRLWIND,SWIFT,50,50,50,50,50,0,0,0,0,0,0,0,56,50,50,50,50,131197,51697,76293,1131,2076,2,0,0,1572,1572,0,0,84,42,21,21,18,0,2568,1665,42,42,65,2,33,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46,8932,0,0,0,0,4,10,0,1,1,2,0,1,0,Flareon
Jirachi1,Jirachi,Rocket,00:09:48.65,00:10:08.89,00:39:28.26,19,0,0,10,8,89,CONFUSION,REST,WHIRLWIND,SWIFT,50,50,50,50,50,0,0,0,0,0,0,0,56,50,50,50,50,144154,59340,81607,1131,2076,2,0,0,1769,1769,0,0,97,43,22,21,18,0,2746,1768,49,49,69,3,40,0,0,0,0,0,21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,48,9621,0,0,0,0,5,10,0,1,1,2,0,1,0,Flareon
Jirachi1,Jirachi,Misty,00:10:36.88,00:10:53.36,00:42:24.08,20,0,0,10,53,36,PSYCHIC,REST,CONFUSION,SWIFT,53,53,53,53,53,0,0,0,0,-1,0,0,66,53,53,53,34,154696,61369,88927,2324,2076,3,0,0,1811,1811,0,0,107,45,24,21,18,0,2946,1917,121,121,76,4,44,0,0,0,0,0,23,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,51,11411,0,0,0,0,5,10,0,1,1,3,0,1,0,Flareon
Jirachi1,Jirachi,Rival (SS Anne),00:13:08.29,00:13:24.33,00:52:19.09,23,0,0,13,24,33,PSYCHIC,BUBBLEBEAM,REST,BODY SLAM,61,61,60,60,61,0,0,0,0,0,0,0,68,61,60,60,61,190397,77320,105341,5660,2076,3,0,0,2335,2335,0,0,159,51,30,21,18,0,3992,2548,129,129,90,5,48,0,0,0,0,0,27,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65,15715,0,0,0,0,11,13,0,1,1,5,0,1,0,Flareon
Jirachi1,Jirachi,Lt. Surge,00:14:12.01,00:14:18.37,00:55:52.38,23,0,0,14,18,37,PSYCHIC,BUBBLEBEAM,REST,BODY SLAM,61,61,60,60,61,0,0,0,0,0,0,0,68,61,60,60,61,203206,84331,107380,9419,2076,4,0,0,2516,2516,0,0,174,52,31,21,18,0,4068,2624,138,138,92,5,49,0,0,0,0,0,27,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,66,16447,0,0,0,0,11,13,0,1,1,7,0,1,0,Flareon
Jirachi1,Jirachi,RTG1 - Wrapping Lass,00:15:13.14,00:15:26.63,01:00:21.51,24,0,0,15,26,63,PSYCHIC,THUNDERBOLT,BUBBLEBEAM,BODY SLAM,63,63,63,63,63,0,0,0,0,0,0,0,70,70,63,63,63,219359,92612,111168,13503,2076,4,0,0,2709,2655,54,0,191,53,32,21,18,0,4462,2814,138,138,96,5,49,0,0,0,0,0,27,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,70,17695,0,0,0,0,11,13,0,1,1,8,0,1,0,Flareon
Jirachi1,Jirachi,RTG4 - Status Jr Trainer,00:16:15.74,00:16:22.24,01:04:01.14,25,0,0,16,22,24,PSYCHIC,THUNDERBOLT,BUBBLEBEAM,BODY SLAM,66,66,66,66,66,0,0,0,0,0,0,0,74,74,66,66,66,232522,96115,119952,14379,2076,4,0,0,2915,2655,260,0,212,57,36,21,18,0,5291,3302,138,138,104,5,49,0,0,0,0,0,28,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78,20575,0,0,0,0,11,13,0,1,1,8,0,1,0,Flareon
Jirachi1,Jirachi,RTG6 - Finisher,00:16:55.24,00:17:04.80,01:06:49.12,26,0,0,17,4,80,PSYCHIC,THUNDERBOLT,BUBBLEBEAM,BODY SLAM,68,68,68,68,68,0,0,0,0,0,0,0,76,76,68,68,68,242600,99968,125464,15092,2076,4,0,0,3081,2655,426,0,242,59,38,21,18,0,6368,3610,140,140,110,5,50,0,0,0,0,0,30,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,84,22815,0,0,0,0,11,13,0,1,1,8,0,1,0,Flareon
Jirachi1,Jirachi,Rival (Pokemon Tower),00:20:20.17,00:20:37.88,01:20:50.39,28,0,0,20,37,88,PSYCHIC,THUNDERBOLT,BUBBLEBEAM,BODY SLAM,74,74,77,77,74,0,0,0,0,0,0,0,83,83,77,77,74,293087,134838,137395,18778,2076,4,0,0,4017,3443,574,0,326,63,42,21,18,0,7787,4246,166,166,125,6,52,0,0,0,0,0,33,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,95,27776,0,0,0,0,22,30,15,1,1,9,0,1,0,Flareon
Jirachi1,Jirachi,Erika,00:24:41.80,00:24:52.62,01:37:36.08,31,0,0,24,52,62,PSYCHIC,THUNDERBOLT,BUBBLEBEAM,BODY SLAM,83,82,85,85,83,0,0,0,0,0,0,0,93,92,85,85,83,353416,163628,158717,28995,2076,5,0,0,5041,3912,1129,0,407,74,49,25,21,0,10146,5442,177,177,144,6,53,0,0,0,0,0,37,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,113,40797,0,0,0,0,31,30,15,1,1,10,0,1,0,Flareon
Jirachi1,Jirachi,Rival (Silph Co.),00:28:39.15,00:28:58.81,01:51:27.06,41,1,0,28,58,81,PSYCHIC,THUNDERBOLT,BUBBLEBEAM,BODY SLAM,109,108,112,112,109,0,0,0,0,0,0,0,122,121,112,112,109,403280,182990,183901,34158,2231,6,1,0,5551,4422,1129,0,488,82,57,25,21,0,13538,7226,253,253,173,9,60,0,0,0,0,0,42,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,1,0,0,0,0,135,60401,0,0,0,0,37,30,15,1,1,10,0,1,1,Flareon
Jirachi1,Jirachi,Giovanni (Silph),00:29:23.03,00:29:36.85,01:53:57.11,42,1,0,29,36,85,PSYCHIC,THUNDERBOLT,BUBBLEBEAM,BODY SLAM,112,111,115,115,112,0,0,0,0,0,0,0,126,124,115,115,112,412285,185514,190382,34158,2231,6,1,0,5574,4445,1129,0,489,84,59,25,21,0,15057,7902,253,253,180,9,60,0,0,0,0,0,44,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,1,0,0,0,0,142,67800,0,0,0,0,37,30,15,1,1,10,0,1,1,Flareon
Jirachi1,Jirachi,Koga,00:30:53.96,00:31:08.60,01:59:58.53,44,1,0,31,8,60,PSYCHIC,THUNDERBOLT,BUBBLEBEAM,BODY SLAM,118,116,121,121,118,0,0,0,0,0,0,0,132,130,121,121,118,433987,190846,205308,35602,2231,7,1,0,5645,4516,1129,0,509,89,64,25,21,0,17659,9375,261,261,197,9,61,0,0,0,0,0,46,0,5,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,2,0,0,0,0,157,81913,0,0,0,0,37,30,15,1,1,10,0,1,1,Flareon
Jirachi1,Jirachi,Sabrina,00:33:44.64,00:33:56.97,02:11:03.17,45,1,0,33,56,97,PSYCHIC,THUNDERBOLT,BUBBLEBEAM,BODY SLAM,121,119,125,125,123,0,0,0,0,0,0,0,136,133,125,125,138,473851,211242,217261,43117,2231,8,1,0,6268,5038,1129,101,547,92,67,25,21,0,19508,10179,290,290,209,9,64,0,0,0,0,0,49,0,5,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,2,0,0,0,0,166,92010,0,0,0,0,43,30,15,1,1,11,0,1,1,Flareon
Jirachi1,Jirachi,Blaine,00:35:05.20,00:35:24.30,02:15:14.08,46,2,0,35,24,30,PSYCHIC,THUNDERBOLT,BUBBLEBEAM,BODY SLAM,123,122,127,127,125,0,-2,0,0,0,0,0,138,68,127,127,140,488907,219979,222442,44101,2385,9,2,0,6396,5166,1129,101,591,93,68,25,21,0,20171,10616,417,417,217,10,69,0,0,0,0,0,52,0,5,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,2,0,0,0,0,169,98360,0,0,0,0,43,30,15,1,1,11,0,1,2,Flareon
Jirachi1,Jirachi,Giovanni,00:36:17.79,00:36:40.78,02:20:15.49,48,2,0,36,40,78,PSYCHIC,THUNDERBOLT,BUBBLEBEAM,BODY SLAM,129,127,133,133,131,0,0,0,0,0,0,0,145,142,149,149,147,507008,226289,232796,45538,2385,10,2,0,6553,5323,1129,101,611,96,71,25,21,0,22569,11839,512,512,228,11,70,0,0,0,0,0,53,0,5,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,2,0,0,0,0,178,112915,0,0,0,0,43,30,15,1,1,11,0,1,2,Flareon
Jirachi1,Jirachi,Rival (Final),00:37:10.07,00:37:42.97,02:24:22.02,49,2,0,37,42,97,PSYCHIC,THUNDERBOLT,BUBBLEBEAM,BODY SLAM,132,130,136,136,134,0,0,0,0,0,0,0,148,146,153,153,37,521781,231369,241345,46682,2385,11,2,0,6695,5465,1129,101,629,97,72,25,21,0,23613,12578,661,661,238,12,76,0,0,0,0,0,55,0,5,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,4,2,4,0,1,0,2,0,0,0,0,184,122879,0,0,0,0,43,30,15,1,1,11,0,1,2,Flareon
