date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
7-15,11:24:57,NINTEN,Jirachi,Rival1-Lab,1,Pallet Town - Oak's Lab,1,41.13,41,0h0m41s,0,0,0,5,0:02,6.235,CONFUSION,REST,,,0,73,10,1,1,3,3,2,0,3000,Jolteon, ,Steel,Psychic,253,Jirachi3,Jirachi,Rival (Lab),00:00:34.90,00:00:41.13,00:02:09.02,5,0,0,0,41,13,CONFUSION,REST,,,22,10,0,0,0,0,0,0,25,26,16,16,16,16,16,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,16,16,16,16,16,9732,4972,2742,0,2018,0,0,0,73,73,0,0,10,2,1,1,0,0,30,21,1,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Jolteon
7-15,11:26:25,NINTEN,Jirachi,Bug Catcher,3,Viridian Forest,1,2:09.64,2:09,0h2m9s,0,0,0,6,0:07,6.253,CONFUSION,REST,,,0,633,33,2,3,6,6,3,1,2075,Flareon, ,Steel,Psychic,365,Jirachi3,Jirachi,,00:02:03.38,00:02:09.64,00:07:58.38,6,0,0,2,9,64,CONFUSION,REST,,,22,10,0,0,0,0,0,0,29,29,18,18,18,18,18,100,85,85,85,85,100,15,15,15,15,0,0,0,0,0,0,0,18,18,18,18,18,30708,21226,7464,0,2018,0,0,0,633,633,0,0,33,5,2,3,0,0,72,63,1,1,6,1,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,209,0,0,0,0,1,4,0,1,1,0,0,3,0,Flareon
7-15,11:26:55,NINTEN,Jirachi,Brock,1,Pewter City - Gym,2,2:38.83,2:38,0h2m38s,0,0,0,8,0:09,16.578,CONFUSION,REST,,,0,739,37,3,3,15,12,9,1,2175,Flareon, ,Steel,Psychic,825,Jirachi3,Jirachi,Brock,00:02:22.25,00:02:38.83,00:09:54.00,8,0,0,2,38,83,CONFUSION,REST,,,16,10,0,0,0,0,0,0,25,36,23,23,23,23,23,175,210,345,145,145,190,15,15,15,15,0,0,0,0,0,0,0,23,23,23,23,23,37630,23695,11917,0,2018,0,0,0,739,739,0,0,37,6,3,3,0,0,136,124,12,12,12,1,7,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,669,0,0,0,0,1,4,0,1,1,0,0,3,0,Flareon
7-15,11:27:20,NINTEN,Jirachi,Bug Catcher,4,Route 3,3,3:03.95,3:03,0h3m3s,0,0,0,9,0:11,11.942,CONFUSION,REST,,,0,810,37,4,3,20,17,11,2,3363,Flareon, ,Steel,Psychic,1160,Jirachi3,Jirachi,,00:02:52.00,00:03:03.95,00:11:33.18,9,0,0,3,3,95,CONFUSION,REST,,,11,10,0,0,0,0,0,0,27,39,26,26,25,25,26,305,305,445,205,205,330,15,15,15,15,0,0,0,0,-1,0,0,32,26,25,25,17,43588,25807,15763,0,2018,0,0,0,810,810,0,0,37,7,4,3,0,0,268,213,13,13,17,1,9,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,1004,0,0,0,0,1,4,0,1,1,0,0,3,0,Flareon
7-15,11:27:33,NINTEN,Jirachi,Youngster Ben,1,Route 3,2,3:16.92,3:16,0h3m16s,0,0,0,10,0:12,9.652,CONFUSION,REST,SWIFT,,0,814,37,5,3,23,20,13,2,3463,Flareon, ,Steel,Psychic,1438,Jirachi3,Jirachi,,00:03:07.27,00:03:16.92,00:12:24.27,10,0,0,3,16,92,CONFUSION,REST,SWIFT,,8,10,20,0,0,0,0,0,27,43,28,28,28,28,28,370,421,524,270,270,457,15,15,15,15,0,0,0,0,0,0,0,31,28,28,28,28,46657,26080,18559,0,2018,0,0,0,814,814,0,0,37,8,5,3,0,0,336,272,17,17,20,1,11,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9,1282,0,0,0,0,1,4,0,1,1,1,0,3,0,Flareon
7-15,11:27:46,NINTEN,Jirachi,Lass,2,Route 3,2,3:29.77,3:29,0h3m29s,0,0,0,11,0:13,9.007,CONFUSION,REST,SWIFT,,0,820,38,6,3,26,23,15,2,3628,Flareon, ,Steel,Psychic,1686,Jirachi3,Jirachi,,00:03:20.76,00:03:29.77,00:13:15.06,11,0,0,3,29,77,CONFUSION,REST,SWIFT,,5,10,20,0,0,0,0,0,26,46,30,30,30,30,30,446,534,599,335,335,579,15,15,15,15,0,0,0,0,0,0,0,33,30,30,30,30,49696,26485,21193,0,2018,0,0,0,820,820,0,0,38,9,6,3,0,0,440,329,21,21,23,1,13,0,0,0,0,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,1530,0,0,0,0,1,4,0,1,1,1,0,3,0,Flareon
7-15,11:28:02,NINTEN,Jirachi,Bug Catcher,6,Route 3,2,3:46.50,3:46,0h3m46s,0,0,0,11,0:14,9.299,CONFUSION,REST,SWIFT,,0,880,44,7,3,30,27,15,2,3778,Flareon, ,Steel,Psychic,1979,Jirachi3,Jirachi,,00:03:37.21,00:03:46.50,00:14:21.08,11,0,0,3,46,50,CONFUSION,REST,SWIFT,,1,10,20,0,0,0,0,0,26,46,30,30,30,30,30,541,584,689,380,380,654,15,15,15,15,0,0,0,0,0,0,0,33,30,30,30,30,53658,27769,23871,0,2018,0,0,0,880,880,0,0,44,10,7,3,0,0,543,394,21,21,27,1,13,0,0,0,0,0,5,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,13,1823,0,0,0,0,1,4,0,1,1,1,0,3,0,Flareon
7-15,11:28:45,NINTEN,Jirachi,Hiker,1,Mt Moon - 1,3,4:29.13,4:29,0h4m29s,0,0,0,12,0:17,10.568,CONFUSION,REST,SWIFT,WATER GUN,0,1145,55,8,3,33,30,15,3,3888,Flareon, ,Steel,Psychic,2576,Jirachi3,Jirachi,,00:04:18.56,00:04:29.13,00:17:09.49,12,0,0,4,29,13,CONFUSION,REST,SWIFT,WATER GUN,25,10,20,22,0,0,0,0,50,50,33,33,33,33,33,656,789,1049,470,470,764,15,15,15,15,0,0,0,0,0,0,0,37,33,33,33,33,63779,34231,26795,735,2018,0,0,0,1145,1145,0,0,55,11,8,3,0,0,709,480,21,21,30,1,13,0,0,0,0,0,5,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,16,2420,0,0,0,0,3,4,0,1,1,2,0,3,0,Flareon
7-15,11:29:09,NINTEN,Jirachi,Fossil Nerd,2,Mt Moon - 3,3,4:53.42,4:53,0h4m53s,0,0,0,13,0:18,12.415,CONFUSION,REST,SWIFT,WATER GUN,0,1264,55,9,3,38,35,17,3,4238,Flareon, ,Steel,Psychic,3363,Jirachi3,Jirachi,,00:04:41.01,00:04:53.42,00:18:45.44,13,0,0,4,53,42,CONFUSION,REST,SWIFT,WATER GUN,20,10,20,22,0,0,0,0,52,53,35,35,35,35,35,816,964,1244,625,625,924,15,15,15,15,0,-2,0,0,0,0,0,43,17,35,35,35,69534,36627,30154,735,2018,0,0,0,1264,1264,0,0,55,12,9,3,0,0,885,589,22,22,35,1,15,0,0,0,0,0,6,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,19,3207,0,0,0,0,3,4,0,1,1,2,0,3,0,Flareon
7-15,11:29:29,NINTEN,Jirachi,Rocket,42,Mt Moon - 3,3,5:13.12,5:13,0h5m13s,0,0,0,14,0:20,12.226,CONFUSION,REST,SWIFT,WATER GUN,0,1280,57,10,3,43,40,19,4,4538,Flareon, ,Steel,Psychic,4098,Jirachi3,Jirachi,,00:05:00.90,00:05:13.12,00:20:03.37,14,0,0,5,13,12,CONFUSION,REST,SWIFT,WATER GUN,15,10,20,22,0,0,0,0,51,57,38,38,38,38,38,931,1134,1418,765,765,1104,15,15,15,15,0,0,0,0,0,0,0,42,38,38,38,38,74207,37974,33480,735,2018,0,0,0,1280,1280,0,0,57,13,10,3,0,0,1040,699,27,27,40,1,17,0,0,0,0,0,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,22,3942,0,0,0,0,3,4,0,1,1,2,0,3,0,Flareon
