ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Jirachi3,Jirachi,Rival (Lab),00:00:34.90,00:00:41.13,00:02:09.02,5,0,0,0,41,13,CONFUSION,REST,,,16,16,16,16,16,0,0,0,0,0,0,0,16,16,16,16,16,9732,4972,2742,0,2018,0,0,0,73,73,0,0,10,2,1,1,0,0,30,21,1,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Jolteon
Jirachi3,Jirachi,Brock,00:02:22.25,00:02:38.83,00:09:54.00,8,0,0,2,38,83,CONFUSION,REST,,,23,23,23,23,23,0,0,0,0,0,0,0,23,23,23,23,23,37630,23695,11917,0,2018,0,0,0,739,739,0,0,37,6,3,3,0,0,136,124,12,12,12,1,7,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,669,0,0,0,0,1,4,0,1,1,0,0,3,0,Flareon
Jirachi3,Jirachi,Rival (Nugget Bridge),00:05:31.36,00:05:56.41,00:22:54.34,16,0,0,5,56,41,CONFUSION,REST,SWIFT,WATER GUN,43,43,42,42,43,-1,0,0,0,0,-1,0,31,43,42,42,43,84464,41821,39890,735,2018,0,0,0,1424,1424,0,0,59,14,11,3,0,0,1248,870,44,44,43,3,23,0,0,0,0,0,7,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,26,4980,0,0,0,0,4,4,0,1,1,2,0,3,0,Flareon
Jirachi3,Jirachi,Oddish Lass,00:07:56.23,00:08:04.49,00:31:19.21,19,0,0,8,4,49,CONFUSION,REST,SWIFT,WATER GUN,50,50,50,50,50,0,0,0,0,0,0,0,56,50,50,50,50,114751,48799,62670,1264,2018,0,0,0,1544,1544,0,0,79,24,21,3,0,0,2689,1686,56,56,65,3,28,0,0,0,0,0,12,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,47,9080,0,0,0,0,5,4,0,1,1,2,0,3,0,Flareon
Jirachi3,Jirachi,Rocket,00:08:33.66,00:08:43.03,00:33:51.18,19,0,0,8,43,3,CONFUSION,REST,SWIFT,WATER GUN,50,50,50,50,50,0,0,0,0,0,0,0,56,50,50,50,50,123868,54556,65383,1911,2018,0,0,0,1687,1687,0,0,101,25,22,3,0,0,2832,1789,59,59,66,4,29,0,0,0,0,0,12,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,49,9769,0,0,0,0,6,4,0,1,1,2,0,3,0,Flareon
Jirachi3,Jirachi,Misty,00:09:11.80,00:09:23.35,00:36:30.29,21,0,0,9,23,35,PSYCHIC,REST,SWIFT,WATER GUN,56,56,55,55,56,0,0,0,0,0,0,0,63,56,55,55,56,133419,56406,72471,2524,2018,0,0,0,1727,1727,0,0,104,27,24,3,0,0,3039,1938,118,118,72,6,33,0,0,0,0,0,13,0,8,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,4,3,0,0,0,0,0,52,11559,0,0,0,0,6,4,0,1,1,3,0,3,0,Flareon
Jirachi3,Jirachi,Rival (SS Anne),00:11:12.33,00:11:26.92,00:44:37.13,23,0,0,11,26,92,PSYCHIC,BUBBLEBEAM,SWIFT,WATER GUN,61,61,60,60,61,-1,0,0,0,0,0,0,45,61,60,60,61,162623,71316,85463,3826,2018,0,0,0,2222,2222,0,0,148,32,29,3,0,0,4060,2516,123,123,84,7,36,0,0,0,0,0,15,0,9,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,4,3,0,0,0,0,0,65,15593,0,0,0,0,10,7,0,1,1,4,0,3,0,Flareon
Jirachi3,Jirachi,Lt. Surge,00:12:08.49,00:12:17.07,00:47:55.29,23,0,0,12,17,7,PSYCHIC,BUBBLEBEAM,SWIFT,WATER GUN,61,61,60,60,61,0,0,0,0,0,0,0,68,61,60,60,61,174519,78236,88052,6213,2018,0,0,0,2407,2407,0,0,157,33,30,3,0,0,4138,2592,163,163,87,7,38,0,0,0,0,0,15,0,10,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,4,3,0,0,0,0,0,66,16325,0,0,0,0,10,7,0,1,1,6,0,3,0,Flareon
Jirachi3,Jirachi,RTG1 - Wrapping Lass,00:13:10.52,00:13:21.97,00:52:11.02,24,0,0,13,21,97,PSYCHIC,BUBBLEBEAM,SWIFT,THUNDERBOLT,63,63,63,63,63,0,0,0,0,0,0,0,70,70,63,63,63,189852,86175,91351,10308,2018,0,0,0,2596,2544,52,0,174,34,31,3,0,0,4659,2782,163,163,91,7,38,0,0,0,0,0,16,0,10,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,4,3,0,0,0,0,0,70,17573,0,0,0,0,10,7,0,1,1,7,0,3,0,Flareon
Jirachi3,Jirachi,RTG4 - Status Jr Trainer,00:14:10.25,00:14:16.76,00:55:47.08,25,0,0,14,16,76,PSYCHIC,BUBBLEBEAM,SWIFT,THUNDERBOLT,66,66,66,66,66,0,0,0,0,0,0,0,74,74,66,66,66,202818,89413,100127,11260,2018,0,0,0,2792,2544,248,0,190,38,35,3,0,0,5652,3270,163,163,99,7,38,0,0,0,0,0,19,0,10,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,4,3,0,0,0,0,0,78,20453,0,0,0,0,10,7,0,1,1,7,0,3,0,Flareon
