ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Jolteon8,Jolteon,Rival (Lab),00:00:34.63,00:00:42.58,00:02:13.51,6,0,0,0,42,58,THUNDERSHOCK,TAIL WHIP,QUICK ATTACK,TACKLE,14,14,20,20,22,0,0,0,0,0,0,0,14,14,20,20,22,10072,4889,3114,0,2069,0,0,0,71,71,0,0,1,2,1,1,0,0,24,21,11,11,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,8,0,Jolteon
Jolteon8,Jolteon,Brock,00:04:20.23,00:05:30.22,00:21:12.17,11,0,0,5,30,22,QUICK ATTACK,TAIL WHIP,SAND-ATTACK,THUNDERSHOCK,23,22,32,32,37,0,-2,0,0,0,0,0,23,11,32,32,37,78378,30775,44963,571,2069,0,0,0,912,912,0,0,44,10,7,3,0,0,313,287,171,165,82,33,36,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1471,0,0,0,0,1,13,0,1,1,1,3,8,3,Flareon
Jolteon8,Jolteon,Misty,00:08:23.87,00:08:34.94,00:33:21.46,18,0,0,8,34,94,THUNDERSHOCK,TAIL WHIP,SAND-ATTACK,QUICK ATTACK,35,33,51,51,59,0,0,0,0,0,0,0,39,33,51,51,59,122147,48027,70575,1476,2069,1,0,0,1530,1530,0,0,76,18,15,3,0,0,1263,980,249,243,118,34,52,0,0,0,0,0,22,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,29,6164,0,0,0,0,2,13,0,1,1,1,3,8,3,Flareon
Jolteon8,Jolteon,Rival (Nugget Bridge),00:09:01.10,00:09:23.66,00:36:34.12,19,0,0,9,23,66,THUNDERSHOCK,TAIL WHIP,SAND-ATTACK,QUICK ATTACK,37,35,54,54,62,0,-2,0,0,0,-1,0,51,17,54,54,62,133693,53057,76549,2018,2069,2,0,0,1634,1634,0,0,88,19,16,3,0,0,1510,1151,263,257,127,38,57,0,0,0,0,0,26,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,33,7202,0,0,0,0,3,13,0,1,1,1,3,8,3,Flareon
Jolteon8,Jolteon,Oddish Lass,00:11:46.25,00:12:02.43,00:47:00.56,22,0,0,12,2,43,THUNDERSHOCK,TAIL WHIP,SAND-ATTACK,QUICK ATTACK,42,40,62,62,71,0,0,0,0,0,0,0,47,40,62,62,71,171297,59780,106880,2568,2069,2,0,0,1754,1754,0,0,119,29,26,3,0,0,2927,1971,329,323,172,42,69,0,0,0,0,0,35,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,54,11302,0,0,0,0,4,13,0,1,1,1,3,8,3,Flareon
Jolteon8,Jolteon,Rocket,00:12:33.27,00:12:45.05,00:49:49.00,22,0,0,12,45,5,THUNDERSHOCK,TAIL WHIP,SAND-ATTACK,QUICK ATTACK,42,40,62,62,71,0,0,0,0,0,0,0,47,40,62,62,71,181381,65484,110162,3666,2069,2,0,0,1897,1897,0,0,127,30,27,3,0,0,3058,2074,346,340,176,44,72,0,0,0,0,0,36,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,56,11991,0,0,0,0,5,13,0,1,1,1,3,8,3,Flareon
Jolteon8,Jolteon,Rival (SS Anne),00:14:52.47,00:15:05.31,00:59:01.22,25,0,0,15,5,31,THUNDERSHOCK,TAIL WHIP,SAND-ATTACK,BODY SLAM,48,46,70,70,81,0,0,0,0,0,0,0,54,46,70,70,81,214523,78319,126384,7751,2069,2,0,0,2332,2332,0,0,167,36,33,3,0,0,4175,2705,392,386,197,45,79,0,0,0,0,0,42,0,6,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,70,16295,0,0,0,0,11,16,0,1,1,2,3,8,3,Flareon
Jolteon8,Jolteon,Lt. Surge,00:15:55.42,00:16:03.08,01:02:49.50,25,0,0,16,3,8,THUNDERSHOCK,REST,SAND-ATTACK,BODY SLAM,48,46,70,70,81,-1,0,0,0,0,0,0,34,46,70,70,81,228231,85086,128721,12355,2069,3,0,0,2513,2513,0,0,183,37,34,3,0,0,4277,2781,392,386,200,45,80,0,0,0,0,0,44,0,6,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,71,17027,0,0,0,0,11,16,0,1,1,5,3,8,3,Flareon
Jolteon8,Jolteon,RTG1 - Wrapping Lass,00:16:57.21,00:17:11.49,01:07:19.29,26,0,0,17,11,49,THUNDERBOLT,REST,SAND-ATTACK,BODY SLAM,50,47,73,73,84,0,0,0,0,0,0,0,56,52,73,73,1,244410,93067,132702,16572,2069,4,0,0,2704,2652,52,0,215,38,35,3,0,0,4556,2971,392,386,205,45,81,0,0,0,0,0,46,0,6,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0,3,75,18275,0,0,0,0,11,16,0,1,1,6,3,8,3,Flareon
Jolteon8,Jolteon,RTG4 - Status Jr Trainer,00:18:15.78,00:18:31.49,01:12:34.32,27,0,0,18,31,49,THUNDERBOLT,REST,SAND-ATTACK,BODY SLAM,52,49,76,76,87,0,0,0,0,0,0,0,58,55,76,76,87,263313,97115,145347,18782,2069,5,0,0,2910,2652,258,0,238,44,39,5,2,0,5511,3461,490,484,218,45,89,0,0,0,0,0,47,0,7,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,5,1,0,0,3,83,21155,0,0,0,0,12,16,0,1,1,6,3,8,3,Flareon
Jolteon8,Jolteon,RTG6 - Finisher,00:19:15.86,00:19:26.91,01:16:13.36,28,0,0,19,26,91,THUNDERBOLT,REST,SAND-ATTACK,BODY SLAM,54,51,79,79,90,0,0,0,0,0,0,0,60,57,79,79,90,276457,101328,153189,19871,2069,6,0,0,3076,2652,424,0,274,46,41,5,2,0,6163,3610,582,576,226,47,93,0,0,0,0,0,49,0,7,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,5,1,0,0,3,89,23395,0,0,0,0,12,16,0,1,1,6,3,8,3,Flareon
Jolteon8,Jolteon,Rival (Pokemon Tower),00:23:25.40,00:23:45.35,01:33:13.54,31,0,0,23,45,35,THUNDERBOLT,REST,DOUBLE KICK,BODY SLAM,64,58,87,87,100,0,0,0,0,0,0,0,72,65,87,87,100,8039,1845497096,4847,1391,0,39168,256,0,6192,620760624,117452032,83950592,61698,8721,17,8704,11520,4096,713,318768926,419466269,29,7,0,19971,0,0,0,0,0,1,0,1,0,0,0,769,1280,256,256,1024,0,768,25088,152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2650,0,1000000,2000000,700800,30,32512,2,24064,12032,19201,3,8,3,Flareon
Jolteon8,Jolteon,Erika,00:28:53.66,00:29:17.62,01:55:04.44,37,0,0,29,17,62,THUNDERBOLT,REST,DOUBLE KICK,BODY SLAM,77,69,104,104,120,0,0,0,0,0,0,0,86,77,104,104,120,86689,1845527258,43385,11341,0,39169,256,0,7274,620761169,117452569,83950592,61792,8735,29,8706,11521,4096,4434,318771159,419466421,181,53,0,19983,0,0,0,0,0,15,0,1,0,0,0,775,1280,256,256,1024,0,768,25089,152,0,0,0,0,0,0,0,2,1,7,4,0,0,0,36,25102,0,1000000,2000000,700800,38,32513,2,24064,12032,19202,3,8,3,Flareon
Jolteon8,Jolteon,Rival (Silph Co.),00:33:15.87,00:33:39.39,02:12:16.20,43,0,0,33,39,39,THUNDERBOLT,REST,DOUBLE KICK,BODY SLAM,90,81,122,122,140,0,0,0,0,0,-1,0,101,91,122,122,140,148585,1845548258,82054,13568,0,39170,256,0,7826,620761721,117452569,83950592,61854,8746,40,8706,11521,4096,9844,318773763,419466634,394,95,7,20001,0,0,0,0,0,25,0,4,0,0,1,778,1280,256,256,1024,0,768,25089,152,0,0,0,2,2,0,0,2,1,16,5,0,0,0,71,54134,0,1000000,2000000,700800,45,32513,2,24064,12032,19202,3,8,3,Flareon
