date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
7-23,11:36:11,NINTEN,Kabutops,Rival1-Lab,1,Pallet Town - Oak's Lab,1,41.99,41,0h0m41s,0,0,0,6,0:02,7.915,SCRATCH,HARDEN,ABSORB,,0,71,3,1,1,3,3,2,0,3000,Jolteon, ,Rock,Water,222,Kabutops 1,Kabutops,Rival (Lab),00:00:34.08,00:00:41.99,00:02:13.48,6,0,0,0,41,99,SCRATCH,HARDEN,ABSORB,,32,30,20,0,0,0,0,0,23,25,20,19,15,15,16,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,20,19,15,15,16,9936,4877,3123,0,1936,0,0,0,71,71,0,0,3,2,1,1,0,0,22,21,2,2,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
7-23,11:37:30,NINTEN,Kabutops,Bug Catcher,3,Viridian Forest,1,2:00.26,2:00,0h2m0s,0,0,0,6,0:07,11.998,SCRATCH,HARDEN,ABSORB,,0,581,19,2,2,9,9,8,1,3175,Flareon, ,Rock,Water,334,Kabutops 1,Kabutops,,00:01:48.26,00:02:00.26,00:07:23.13,6,0,0,2,0,26,SCRATCH,HARDEN,ABSORB,,29,30,20,0,0,0,0,0,21,25,20,19,15,15,16,100,85,85,85,85,100,15,15,15,15,0,0,0,0,-1,0,0,20,19,15,15,10,28501,19201,7364,0,1936,0,0,0,581,581,0,0,19,4,2,2,0,0,55,51,6,6,9,2,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,1,0,0,0,0,0,0,1,0,Flareon
7-23,11:37:55,NINTEN,Kabutops,Brock,1,Pewter City - Gym,2,2:25.70,2:25,0h2m25s,0,0,0,9,0:09,13.041,SCRATCH,HARDEN,ABSORB,,0,687,19,3,2,13,13,11,1,3275,Flareon, ,Rock,Water,794,Kabutops 1,Kabutops,Brock,00:02:12.65,00:02:25.70,00:09:03.38,9,0,0,2,25,70,SCRATCH,HARDEN,ABSORB,,29,30,16,0,0,0,0,0,32,32,28,26,20,20,22,175,210,345,145,145,190,15,15,15,15,0,-2,0,0,0,0,0,28,13,20,20,22,34526,21636,10954,0,1936,0,0,0,687,687,0,0,19,5,3,2,0,0,121,112,9,9,13,2,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,0,0,0,0,0,0,1,0,Flareon
7-23,11:38:39,NINTEN,Kabutops,Bug Catcher,4,Route 3,3,3:09.63,3:09,0h3m9s,0,0,0,10,0:11,22.654,SCRATCH,HARDEN,ABSORB,,0,773,30,4,2,22,22,20,4,1963,Flareon,Poisoned,Rock,Water,1129,Kabutops 1,Kabutops,,00:02:46.97,00:03:09.63,00:11:57.35,10,0,0,3,9,63,SCRATCH,HARDEN,ABSORB,,20,30,16,0,0,0,0,0,26,35,31,29,22,22,24,305,305,445,205,205,330,15,15,15,15,0,0,0,0,-3,0,0,42,29,22,22,9,44963,25686,17341,0,1936,0,0,0,773,773,0,0,30,6,4,2,0,0,239,201,18,18,22,3,17,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1004,0,0,0,0,1,11,0,0,0,0,0,1,0,Flareon
7-23,11:39:02,NINTEN,Kabutops,Youngster Ben,1,Route 3,2,3:32.55,3:32,0h3m32s,0,0,0,11,0:13,15.846,SCRATCH,HARDEN,ABSORB,,0,777,30,5,2,30,28,25,4,2063,Flareon, ,Rock,Water,1407,Kabutops 1,Kabutops,,00:03:16.70,00:03:32.55,00:13:27.54,11,0,0,3,32,55,SCRATCH,HARDEN,ABSORB,,14,30,16,0,0,0,0,0,30,38,34,31,24,24,26,370,421,524,270,270,457,15,15,15,15,0,-2,0,0,0,0,0,38,15,24,24,26,50382,25964,21606,876,1936,0,0,0,777,777,0,0,30,7,5,2,0,0,312,260,26,26,28,3,22,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1282,0,0,0,0,1,11,0,0,0,0,0,1,0,Flareon
7-23,11:39:17,NINTEN,Kabutops,Lass,2,Route 3,2,3:47.85,3:47,0h3m47s,0,0,0,11,0:14,11.179,SCRATCH,HARDEN,ABSORB,,0,785,32,6,2,35,33,28,4,2228,Flareon, ,Rock,Water,1655,Kabutops 1,Kabutops,,00:03:36.67,00:03:47.85,00:14:28.17,11,0,0,3,47,85,SCRATCH,HARDEN,ABSORB,,10,30,15,0,0,0,0,0,28,38,34,31,24,24,26,446,534,599,335,335,579,15,15,15,15,0,0,0,0,0,0,0,38,31,24,24,26,54005,26444,24749,876,1936,0,0,0,785,785,0,0,32,8,6,2,0,0,379,317,29,29,33,4,24,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1530,0,0,0,0,1,11,0,0,0,0,0,1,0,Flareon
7-23,11:39:39,NINTEN,Kabutops,Bug Catcher,6,Route 3,2,4:09.45,4:09,0h4m9s,0,0,0,12,0:15,14.66,SCRATCH,HARDEN,ABSORB,,0,843,34,7,2,42,40,33,4,2378,Flareon, ,Rock,Water,1948,Kabutops 1,Kabutops,,00:03:54.79,00:04:09.45,00:15:53.42,12,0,0,4,9,45,SCRATCH,HARDEN,ABSORB,,3,30,15,0,0,0,0,0,28,40,36,34,25,25,28,541,584,689,380,380,654,15,15,15,15,0,0,0,0,0,0,0,40,34,25,25,28,59130,27616,28702,876,1936,0,0,0,843,843,0,0,34,9,7,2,0,0,465,382,31,31,40,4,26,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1823,0,0,0,0,1,11,0,0,0,0,0,1,0,Flareon
7-23,11:40:21,NINTEN,Kabutops,Hiker,1,Mt Moon - 1,3,4:51.16,4:51,0h4m51s,0,0,0,13,0:18,10.338,SCRATCH,HARDEN,ABSORB,WATER GUN,0,1108,47,8,2,45,43,33,5,2488,Flareon, ,Rock,Water,2545,Kabutops 1,Kabutops,,00:04:40.82,00:04:51.16,00:18:38.42,13,0,0,4,51,16,SCRATCH,HARDEN,ABSORB,WATER GUN,35,30,20,22,0,0,0,0,43,43,39,37,27,27,30,656,789,1049,470,470,764,15,15,15,15,0,0,0,0,0,0,0,43,37,27,27,30,69030,33917,31568,1609,1936,0,0,0,1108,1108,0,0,47,10,8,2,0,0,677,468,31,31,43,4,26,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2420,0,0,0,0,3,11,0,0,0,1,0,1,0,Flareon
7-23,11:40:54,NINTEN,Kabutops,Fossil Nerd,2,Mt Moon - 3,3,5:24.60,5:24,0h5m24s,0,0,0,14,0:20,21.415,SCRATCH,HARDEN,ABSORB,WATER GUN,0,1229,48,9,2,55,53,40,5,2838,Flareon,Poisoned,Rock,Water,3332,Kabutops 1,Kabutops,,00:05:03.18,00:05:24.60,00:20:51.04,14,0,0,5,24,60,SCRATCH,HARDEN,ABSORB,WATER GUN,32,30,20,15,0,0,0,0,41,45,42,39,29,29,32,816,964,1244,625,625,924,15,15,15,15,0,-2,0,0,0,0,0,52,19,29,29,32,76972,36370,37057,1609,1936,0,0,0,1229,1229,0,0,48,11,9,2,0,0,819,577,35,35,53,7,30,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3207,0,0,0,0,3,11,0,0,0,1,0,1,0,Flareon
7-23,11:41:23,NINTEN,Kabutops,Rocket,42,Mt Moon - 3,3,5:53.27,5:53,0h5m53s,0,0,0,15,0:22,18.872,SCRATCH,HARDEN,ABSORB,WATER GUN,0,1245,49,10,2,63,61,45,6,3138,Flareon, ,Rock,Water,4067,Kabutops 1,Kabutops,,00:05:34.40,00:05:53.27,00:22:44.25,15,0,0,5,53,27,SCRATCH,HARDEN,ABSORB,WATER GUN,29,30,20,10,0,0,0,0,33,48,45,42,31,31,34,931,1134,1418,765,765,1104,15,15,15,15,0,-1,0,0,0,0,0,50,27,31,31,34,83773,37813,41954,2070,1936,0,0,0,1245,1245,0,0,49,12,10,2,0,0,946,687,46,46,61,7,35,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3942,0,0,0,0,3,11,0,0,0,1,0,1,0,Flareon
