date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
7-25,14:03:26,NINTEN,Kabutops,Rival1-Lab,1,Pallet Town - Oak's Lab,1,42.89,42,0h0m42s,0,0,0,6,0:02,9.331,SCRATCH,HARDEN,ABSORB,,0,71,2,1,1,4,4,3,0,3000,Jolteon, ,Rock,Water,222,Kabutops 4,Kabutops,Rival (Lab),00:00:33.55,00:00:42.89,00:02:17.02,6,0,0,0,42,89,SCRATCH,HARDEN,ABSORB,,31,30,20,0,0,0,0,0,24,25,20,19,15,15,16,55,55,50,65,65,55,15,15,15,15,0,-2,0,0,0,0,0,20,9,15,15,16,10148,4738,3456,0,1954,0,0,0,71,71,0,0,2,2,1,1,0,0,26,21,1,1,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,5,0,Jolteon
7-25,14:04:45,NINTEN,Kabutops,Bug Catcher,3,Viridian Forest,1,2:01.94,2:01,0h2m1s,0,0,0,6,0:07,12.3,SCRATCH,HARDEN,ABSORB,,0,580,22,2,2,10,10,9,1,3175,Flareon, ,Rock,Water,334,Kabutops 4,Kabutops,,00:01:49.64,00:02:01.94,00:07:29.36,6,0,0,2,1,94,SCRATCH,HARDEN,ABSORB,,29,30,20,0,0,0,0,0,24,25,20,19,15,15,16,100,85,85,85,85,100,15,15,15,15,0,0,0,0,-4,0,0,20,19,15,15,5,28902,19186,7762,0,1954,0,0,0,580,580,0,0,22,4,2,2,0,0,59,51,2,2,10,1,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,1,0,0,0,0,0,0,5,0,Flareon
7-25,14:05:12,NINTEN,Kabutops,Brock,1,Pewter City - Gym,2,2:28.43,2:28,0h2m28s,0,0,0,9,0:09,13.996,SCRATCH,HARDEN,ABSORB,,0,686,25,3,2,15,15,13,1,3275,Flareon, ,Rock,Water,794,Kabutops 4,Kabutops,Brock,00:02:14.44,00:02:28.43,00:09:14.12,9,0,0,2,28,43,SCRATCH,HARDEN,ABSORB,,29,30,15,0,0,0,0,0,32,32,28,26,20,20,22,175,210,345,145,145,190,15,15,15,15,0,-2,0,0,0,0,0,28,13,20,20,22,35178,21638,11586,0,1954,0,0,0,686,686,0,0,25,5,3,2,0,0,136,112,6,6,15,2,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,0,0,0,0,0,0,5,0,Flareon
7-25,14:05:55,NINTEN,Kabutops,Bug Catcher,4,Route 3,3,3:11.65,3:11,0h3m11s,0,0,0,10,0:12,21.647,SCRATCH,HARDEN,ABSORB,,0,767,31,4,2,24,24,21,4,2063,Flareon,Poisoned,Rock,Water,1129,Kabutops 4,Kabutops,,00:02:50.00,00:03:11.65,00:12:05.19,10,0,0,3,11,65,SCRATCH,HARDEN,ABSORB,,20,30,15,0,0,0,0,0,24,35,31,29,22,22,24,305,305,445,205,205,330,15,15,15,15,0,0,0,0,-1,0,0,34,29,22,22,15,45445,25768,17723,0,1954,0,0,0,767,767,0,0,31,6,4,2,0,0,239,201,17,17,24,4,17,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1004,0,0,0,0,1,12,0,0,0,0,0,5,0,Flareon
7-25,14:06:16,NINTEN,Kabutops,Youngster Ben,1,Route 3,2,3:32.94,3:32,0h3m32s,0,0,0,11,0:13,16.187,SCRATCH,HARDEN,ABSORB,,0,771,32,5,2,32,30,26,4,2163,Flareon, ,Rock,Water,1407,Kabutops 4,Kabutops,,00:03:16.76,00:03:32.94,00:13:29.24,11,0,0,3,32,94,SCRATCH,HARDEN,ABSORB,,14,30,15,0,0,0,0,0,15,38,34,31,24,24,26,370,421,524,270,270,457,15,15,15,15,0,0,0,0,0,0,0,38,31,24,24,26,50490,26012,22077,447,1954,0,0,0,771,771,0,0,32,7,5,2,0,0,311,260,29,29,30,4,22,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1282,0,0,0,0,1,12,0,0,0,0,0,5,0,Flareon
7-25,14:06:33,NINTEN,Kabutops,Lass,2,Route 3,2,3:50.06,3:50,0h3m50s,0,0,0,11,0:14,11.003,SCRATCH,HARDEN,ABSORB,,0,779,33,6,2,37,35,29,4,2328,Flareon, ,Rock,Water,1655,Kabutops 4,Kabutops,,00:03:39.06,00:03:50.06,00:14:36.50,11,0,0,3,50,6,SCRATCH,HARDEN,ABSORB,,9,30,15,0,0,0,0,0,29,38,34,31,24,24,26,446,534,599,335,335,579,15,15,15,15,0,0,0,0,0,0,0,38,31,24,24,26,54536,26519,25184,879,1954,0,0,0,779,779,0,0,33,8,6,2,0,0,380,317,35,35,35,4,25,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1530,0,0,0,0,1,12,0,0,0,0,0,5,0,Flareon
7-25,14:06:56,NINTEN,Kabutops,Bug Catcher,6,Route 3,2,4:12.87,4:12,0h4m12s,0,0,0,12,0:16,15.799,SCRATCH,HARDEN,ABSORB,,0,837,35,7,2,45,43,35,4,2478,Flareon, ,Rock,Water,1948,Kabutops 4,Kabutops,,00:03:57.08,00:04:12.87,00:16:07.08,12,0,0,4,12,87,SCRATCH,HARDEN,ABSORB,,1,30,15,0,0,0,0,0,29,40,36,34,25,25,28,541,584,689,380,380,654,15,15,15,15,0,0,0,0,0,0,0,40,34,25,25,28,59954,27708,29413,879,1954,0,0,0,837,837,0,0,35,9,7,2,0,0,455,382,37,37,43,4,27,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1823,0,0,0,0,1,12,0,0,0,0,0,5,0,Flareon
7-25,14:07:58,NINTEN,Kabutops,Fossil Nerd,2,Mt Moon - 3,3,5:15.17,5:15,0h5m15s,0,0,0,13,0:20,21.99,SCRATCH,HARDEN,ABSORB,WATER GUN,0,1221,52,8,2,55,53,43,5,2588,Flareon,Poisoned,Rock,Water,2735,Kabutops 4,Kabutops,,00:04:53.18,00:05:15.17,00:20:13.51,13,0,0,5,15,17,SCRATCH,HARDEN,ABSORB,WATER GUN,35,30,20,15,0,0,0,0,38,43,39,37,27,27,30,701,759,884,535,535,814,15,15,15,15,0,0,0,0,0,0,0,43,37,27,27,30,74757,36248,35054,1501,1954,0,0,0,1221,1221,0,0,52,10,8,2,0,0,577,491,42,42,53,6,33,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2610,0,0,0,0,3,12,0,0,0,1,0,5,0,Flareon
7-25,14:08:28,NINTEN,Kabutops,Rocket,42,Mt Moon - 3,3,5:44.78,5:44,0h5m44s,0,0,0,15,0:22,20.101,SCRATCH,HARDEN,ABSORB,WATER GUN,0,1237,53,9,2,63,61,48,6,2888,Flareon,Poisoned,Rock,Water,3470,Kabutops 4,Kabutops,,00:05:24.68,00:05:44.78,00:22:10.57,15,0,0,5,44,78,SCRATCH,HARDEN,ABSORB,WATER GUN,32,30,20,10,0,0,0,0,32,48,45,42,31,31,34,816,929,1058,675,675,994,15,15,15,15,0,0,0,0,0,0,0,50,42,31,31,34,81783,37683,40235,1911,1954,0,0,0,1237,1237,0,0,53,11,9,2,0,0,713,601,53,53,61,7,37,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3345,0,0,0,0,3,12,0,0,0,1,0,5,0,Flareon
7-25,14:09:19,NINTEN,Kabutops,Rival2-Nugget Bridge,3,Cerulean City,4,6:35.96,6:35,0h6m35s,0,0,0,16,0:25,24.651,SCRATCH,HARDEN,ABSORB,WATER GUN,0,1417,60,10,2,74,72,55,6,3308,Flareon, ,Rock,Water,4508,Kabutops 4,Kabutops,Rival (Nugget Bridge),00:06:11.30,00:06:35.96,00:25:32.51,16,0,0,6,35,96,SCRATCH,HARDEN,ABSORB,WATER GUN,28,30,19,22,0,0,0,0,46,51,47,44,33,33,36,991,1175,1258,826,826,1231,15,15,15,15,-1,-1,0,0,0,-1,0,42,29,33,33,36,93897,43042,46568,2333,1954,0,0,0,1417,1417,0,0,60,12,10,2,0,0,937,772,60,60,72,8,43,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4383,0,0,0,0,4,12,0,0,0,1,0,5,0,Flareon
