ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Kingler 4,Kingler,Rival (Lab),00:00:33.77,00:00:42.00,00:02:13.03,6,0,0,0,42,0,VICEGRIP,LEER,BUBBLE,,22,20,12,12,15,0,0,0,0,0,0,0,22,20,12,12,15,9939,4750,3205,0,1984,0,0,0,71,71,0,0,18,2,1,1,0,0,25,21,5,5,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,7,0,Jolteon
Kingler 4,Kingler,Brock,00:02:12.19,00:02:23.25,00:08:52.53,9,0,0,2,23,25,VICEGRIP,LEER,BUBBLE,,31,28,16,16,21,0,0,0,0,0,0,0,31,28,16,16,21,33929,21407,10169,369,1984,0,0,0,683,683,0,0,41,5,3,2,0,0,137,112,24,24,12,1,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,0,0,0,0,0,0,7,0,Flareon
Kingler 4,Kingler,Misty,00:05:33.78,00:05:58.13,00:23:02.16,17,0,0,5,58,13,VICEGRIP,LEER,BUBBLE,,55,50,28,28,37,0,0,0,0,0,0,0,61,50,28,28,37,84892,40892,41263,753,1984,0,0,0,1357,1357,0,0,64,13,11,2,0,0,927,750,110,110,60,6,29,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5135,0,0,0,0,2,10,1,0,0,0,0,7,0,Flareon
Kingler 4,Kingler,Rival (Nugget Bridge),00:06:21.51,00:06:41.36,00:25:52.44,18,0,0,6,41,36,VICEGRIP,LEER,BUBBLE,BUBBLEBEAM,58,53,29,29,39,-2,-1,0,0,0,-1,0,32,34,29,29,39,95120,45186,46585,1365,1984,0,0,0,1459,1459,0,0,67,14,12,2,0,0,1176,921,126,126,68,7,34,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6173,0,0,0,0,3,10,1,0,0,1,0,7,0,Flareon
Kingler 4,Kingler,Oddish Lass,00:08:50.84,00:08:59.46,00:34:56.54,21,0,0,8,59,46,VICEGRIP,LEER,BUBBLE,BUBBLEBEAM,68,61,34,34,45,0,0,0,0,0,0,0,76,61,34,34,45,127770,51711,71838,2237,1984,0,0,0,1583,1583,0,0,84,24,22,2,0,0,2376,1738,156,156,98,8,42,0,0,0,0,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,10273,0,0,0,0,4,10,1,0,0,1,0,7,0,Flareon
Kingler 4,Kingler,Rocket,00:09:23.40,00:09:34.23,00:37:14.17,22,0,0,9,34,23,VICEGRIP,LEER,BUBBLE,BUBBLEBEAM,71,64,36,36,47,0,0,0,0,0,0,0,79,64,36,36,47,136013,56899,74893,2237,1984,0,0,0,1721,1721,0,0,89,25,23,2,0,0,2509,1841,164,164,102,8,44,0,0,0,0,0,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,10962,0,0,0,0,4,10,1,0,0,1,0,7,0,Flareon
Kingler 4,Kingler,Rival (SS Anne),00:11:06.35,00:11:20.93,00:44:14.52,24,0,0,11,20,93,BODY SLAM,VICEGRIP,BUBBLE,BUBBLEBEAM,77,70,39,39,51,0,0,0,0,0,0,0,86,70,39,39,51,161248,67631,88130,3503,1984,0,0,0,2071,2071,0,0,147,30,28,2,0,0,3276,2386,179,179,117,9,47,0,0,0,0,0,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,14453,0,0,0,0,7,16,1,0,0,2,0,7,0,Flareon
Kingler 4,Kingler,Lt. Surge,00:12:01.46,00:12:08.54,00:47:22.53,24,0,0,12,8,54,BODY SLAM,VICEGRIP,BUBBLE,BUBBLEBEAM,77,70,39,39,51,-1,0,0,0,0,0,0,56,70,39,39,51,172529,74111,90334,6100,1984,1,0,0,2248,2248,0,0,153,31,29,2,0,0,3362,2462,179,179,120,9,48,0,0,0,0,0,16,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,15185,0,0,0,0,7,16,1,0,0,4,0,7,0,Flareon
Kingler 4,Kingler,RTG1 - Wrapping Lass,00:12:51.54,00:13:04.66,00:51:03.50,25,0,0,13,4,66,BODY SLAM,VICEGRIP,BUBBLE,BUBBLEBEAM,81,73,40,40,53,0,0,0,0,0,0,0,91,82,40,40,53,185786,81920,94030,7852,1984,1,0,0,2437,2386,51,0,168,32,30,2,0,0,3683,2652,179,179,124,9,48,0,0,0,0,0,17,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,16433,0,0,0,0,7,16,1,0,0,4,0,7,0,Flareon
Kingler 4,Kingler,RTG4 - Status Jr Trainer,00:13:51.12,00:13:57.35,00:54:31.30,26,0,0,13,57,35,BODY SLAM,VICEGRIP,BUBBLE,BUBBLEBEAM,84,76,42,42,55,0,0,0,0,0,0,0,94,85,42,42,55,198246,84909,102739,8614,1984,1,0,0,2635,2386,249,0,191,36,34,2,0,0,4351,3140,210,210,134,9,50,0,0,0,0,0,20,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,74,19313,0,0,0,0,7,16,1,0,0,4,0,7,0,Flareon
