date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
1-23,20:04:39,NINTEN,Kyogre,Rival1-Lab,1,Pallet Town - Oak's Lab,1,28.86,28,0h0m28s,0,0,0,5,0:01,3.288,BUBBLEBEAM,STRING SHOT,,,0,71,6,1,1,1,1,0,0,3000,Jolteon, ,Water,Water,253,Kyogre2,Kyogre,Rival (Lab),00:00:25.58,00:00:28.86,00:01:29.31,5,0,0,0,28,86,BUBBLEBEAM,STRING SHOT,,,19,40,0,0,0,0,0,0,26,26,16,15,25,25,15,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,16,15,25,25,15,6809,3537,1806,0,1466,0,0,0,71,71,0,0,6,2,1,1,0,0,24,21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,2,0,Jolteon
1-23,20:06:13,NINTEN,Kyogre,Bug Catcher,3,Viridian Forest,1,2:02.94,2:02,0h2m2s,0,0,0,6,0:07,4.598,BUBBLEBEAM,STRING SHOT,,,0,626,38,2,9,3,3,1,4,75,Flareon, ,Water,Water,365,Kyogre2,Kyogre,,00:01:58.34,00:02:02.94,00:07:39.58,6,0,0,2,2,94,BUBBLEBEAM,STRING SHOT,,,18,40,0,0,0,0,0,0,29,29,18,17,29,29,17,100,85,85,85,85,100,15,15,15,15,0,0,0,0,0,0,0,18,17,29,29,17,29036,18667,8903,0,1466,0,0,0,626,626,0,0,38,11,2,9,7,0,62,51,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,1,13,0,0,0,0,0,2,0,Flareon
1-23,20:06:35,NINTEN,Kyogre,Brock,1,Pewter City - Gym,2,2:24.76,2:24,0h2m24s,0,0,0,8,0:09,7.161,BUBBLEBEAM,STRING SHOT,,,0,738,46,3,10,5,5,2,4,175,Flareon, ,Water,Water,825,Kyogre2,Kyogre,Brock,00:02:17.60,00:02:24.76,00:09:05.50,8,0,0,2,24,76,BUBBLEBEAM,STRING SHOT,,,16,40,0,0,0,0,0,0,36,36,23,22,37,37,22,175,210,345,145,145,190,15,15,15,15,0,0,0,0,0,0,0,23,22,37,37,22,34188,21121,11601,0,1466,0,0,0,738,738,0,0,46,13,3,10,8,0,215,112,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,13,0,0,0,0,0,2,0,Flareon
1-23,20:06:53,NINTEN,Kyogre,Bug Catcher,4,Route 3,3,2:42.83,2:42,0h2m42s,0,0,0,9,0:10,7.407,BUBBLEBEAM,STRING SHOT,,,0,811,46,4,10,8,8,2,5,1363,Flareon, ,Water,Water,1160,Kyogre2,Kyogre,,00:02:35.42,00:02:42.83,00:10:17.05,9,0,0,2,42,83,BUBBLEBEAM,STRING SHOT,,,13,40,0,0,0,0,0,0,39,39,26,24,41,41,24,305,305,445,205,205,330,15,15,15,15,0,0,0,0,0,0,0,29,24,41,41,24,38463,22921,14076,0,1466,0,0,0,811,811,0,0,46,14,4,10,8,0,328,201,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1004,0,0,0,0,1,13,0,0,0,0,0,2,0,Flareon
1-23,20:07:03,NINTEN,Kyogre,Youngster,1,Route 3,2,2:52.28,2:52,0h2m52s,0,0,0,10,0:10,5.699,BUBBLEBEAM,STRING SHOT,,,0,822,49,5,10,10,10,2,5,1463,Flareon, ,Water,Water,1438,Kyogre2,Kyogre,,00:02:46.59,00:02:52.28,00:10:54.15,10,0,0,2,52,28,BUBBLEBEAM,STRING SHOT,,,11,40,0,0,0,0,0,0,43,43,28,26,45,45,26,370,421,524,270,270,457,15,15,15,15,0,0,0,0,0,0,0,31,26,45,45,26,40693,23408,15819,0,1466,0,0,0,822,822,0,0,49,15,5,10,8,0,421,260,0,0,10,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1282,0,0,0,0,1,13,0,0,0,0,0,2,0,Flareon
1-23,20:07:15,NINTEN,Kyogre,Bug Catcher,5,Route 3,4,3:04.83,3:04,0h3m4s,0,0,0,11,0:11,9.41,BUBBLEBEAM,STRING SHOT,,,0,829,51,6,10,14,14,2,5,1628,Flareon, ,Water,Water,1913,Kyogre2,Kyogre,,00:02:55.42,00:03:04.83,00:11:43.32,11,0,0,3,4,83,BUBBLEBEAM,STRING SHOT,,,7,40,0,0,0,0,0,0,46,46,30,28,49,49,28,550,531,694,360,360,617,15,15,15,15,0,0,0,0,0,0,0,33,28,49,49,28,43650,23744,18440,0,1466,0,0,0,829,829,0,0,51,16,6,10,8,0,626,372,0,0,14,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1757,0,0,0,0,1,13,0,0,0,0,0,2,0,Flareon
1-23,20:07:26,NINTEN,Kyogre,Bug Catcher,6,Route 3,2,3:15.09,3:15,0h3m15s,0,0,0,12,0:12,5.775,BUBBLEBEAM,STRING SHOT,,,0,837,52,7,10,16,16,2,5,1718,Flareon, ,Water,Water,2206,Kyogre2,Kyogre,,00:03:09.32,00:03:15.09,00:12:23.57,12,0,0,3,15,9,BUBBLEBEAM,STRING SHOT,,,5,40,0,0,0,0,0,0,50,50,33,31,54,54,30,645,581,784,405,405,692,15,15,15,15,0,0,0,0,0,0,0,37,31,54,54,30,46075,24382,20227,0,1466,0,0,0,837,837,0,0,52,17,7,10,8,0,755,437,0,0,16,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2050,0,0,0,0,1,13,0,0,0,0,0,2,0,Flareon
1-23,20:08:43,NINTEN,Kyogre,Super Nerd,2,Mt Moon - 3,3,4:32.79,4:32,0h4m32s,0,0,0,13,0:17,11.597,BUBBLEBEAM,STRING SHOT,,,0,1201,65,8,21,22,22,6,6,1828,Flareon, ,Water,Water,2993,Kyogre2,Kyogre,,00:04:21.19,00:04:32.79,00:17:29.27,13,0,0,4,32,79,BUBBLEBEAM,STRING SHOT,,,14,40,0,0,0,0,0,0,38,53,35,33,58,58,33,805,756,979,560,560,852,15,15,15,15,0,-2,0,0,0,0,0,39,16,58,58,33,64405,32306,30633,0,1466,0,0,0,1201,1201,0,0,65,29,8,21,19,0,975,546,15,15,22,2,3,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2837,0,0,0,0,2,13,0,0,0,0,0,2,0,Flareon
1-23,20:09:02,NINTEN,Kyogre,Rocket,42,Mt Moon - 3,3,4:51.24,4:51,0h4m51s,0,0,0,14,0:18,8.854,BUBBLEBEAM,STRING SHOT,,,0,1217,72,9,22,26,26,7,7,2128,Flareon, ,Water,Water,3728,Kyogre2,Kyogre,,00:04:42.39,00:04:51.24,00:18:42.08,14,0,0,4,51,24,BUBBLEBEAM,STRING SHOT,,,10,40,0,0,0,0,0,0,37,57,38,35,62,62,35,920,926,1153,700,700,1032,15,15,15,15,0,0,0,0,0,0,0,42,35,62,62,35,68766,33577,33723,0,1466,0,0,0,1217,1217,0,0,72,31,9,22,20,0,1156,656,20,20,26,2,4,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3572,0,0,0,0,2,13,0,0,0,0,0,2,0,Flareon
1-23,20:09:36,NINTEN,Kyogre,Rival2-Nugget Bridge,3,Cerulean City,4,5:26.05,5:26,0h5m26s,0,0,0,15,0:20,12.122,BUBBLEBEAM,STRING SHOT,ROCK THROW,,0,1395,80,10,22,32,32,9,7,2548,Flareon, ,Water,Water,4766,Kyogre2,Kyogre,Rival (Nugget Bridge),00:05:13.92,00:05:26.05,00:20:59.05,15,0,0,5,26,5,BUBBLEBEAM,STRING SHOT,ROCK THROW,,14,40,15,0,0,0,0,0,54,60,40,37,66,66,37,1095,1172,1353,851,851,1269,15,15,15,15,-1,0,0,0,0,0,0,29,37,66,66,37,76983,38551,36966,0,1466,0,0,0,1395,1395,0,0,80,32,10,22,20,0,1492,827,26,26,32,2,6,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4610,0,0,0,0,3,13,0,0,0,1,0,2,0,Flareon
