ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Machamp3,Machamp,Rival (Lab),00:00:33.65,00:00:39.57,00:02:03.56,6,0,0,0,39,57,KARATE CHOP,LOW KICK,LEER,,22,16,14,14,13,0,0,0,0,0,0,0,22,16,14,14,13,9364,4747,2661,0,1956,0,0,0,71,71,0,0,5,2,1,1,0,0,23,21,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,3,0,Jolteon
Machamp3,Machamp,Brock,00:02:05.99,00:02:20.39,00:08:42.11,11,0,0,2,20,39,KARATE CHOP,LOW KICK,LEER,,37,26,22,22,20,0,-2,0,0,0,0,0,37,13,22,22,20,33259,21351,9952,0,1956,0,0,0,681,681,0,0,25,5,3,2,0,0,124,112,22,22,9,2,5,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,0,0,0,0,0,0,3,0,Flareon
Machamp3,Machamp,Rival (Nugget Bridge),00:04:52.60,00:05:10.31,00:19:53.34,18,0,0,5,10,31,KARATE CHOP,LOW KICK,LEER,,58,40,35,35,31,0,-1,0,0,0,-1,0,73,26,35,35,31,73542,37790,33796,0,1956,0,0,0,1330,1330,0,0,42,12,10,2,0,0,1173,772,64,64,37,8,15,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4383,0,0,0,0,4,0,0,0,0,0,0,3,0,Flareon
Machamp3,Machamp,Oddish Lass,00:07:20.05,00:07:29.57,00:29:02.51,23,0,0,7,29,57,KARATE CHOP,LOW KICK,LEER,,74,51,44,44,39,0,0,0,0,0,0,0,83,51,44,44,39,106499,46304,58239,0,1956,0,0,0,1508,1508,0,0,56,22,20,2,0,0,2587,1666,81,81,62,8,19,0,0,0,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,9084,0,0,0,0,5,0,0,0,0,0,0,3,0,Flareon
Machamp3,Machamp,Misty,00:08:10.52,00:08:22.30,00:32:31.24,24,0,0,8,22,30,KARATE CHOP,LOW KICK,LEER,,77,53,46,46,41,0,0,0,0,0,0,0,86,53,46,46,41,119012,52781,63418,857,1956,1,0,0,1675,1675,0,0,66,24,22,2,0,0,2796,1815,134,134,68,8,23,0,0,0,0,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,10874,0,0,0,0,6,0,0,0,0,0,0,3,0,Flareon
Machamp3,Machamp,Rocket,00:08:39.17,00:08:45.96,00:34:04.32,24,0,0,8,45,96,KARATE CHOP,LOW KICK,LEER,,77,53,46,46,41,0,0,0,0,0,0,0,86,53,46,46,41,124600,56151,65636,857,1956,1,0,0,1762,1762,0,0,70,25,23,2,0,0,2924,1918,134,134,70,8,23,0,0,0,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,11563,0,0,0,0,6,0,0,0,0,0,0,3,0,Flareon
Machamp3,Machamp,Rival (SS Anne),00:10:30.73,00:10:44.06,00:41:50.04,27,0,0,10,44,6,DIG,LOW KICK,KARATE CHOP,BODY SLAM,87,60,51,51,46,0,0,0,0,0,0,0,97,60,51,51,46,152532,66924,80995,2657,1956,1,0,0,2163,2163,0,0,86,31,29,2,0,0,4227,2549,166,166,85,11,27,0,0,0,0,0,47,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,15867,0,0,0,0,10,0,0,0,0,2,0,3,0,Flareon
Machamp3,Machamp,Lt. Surge,00:11:22.90,00:11:28.51,00:44:45.45,27,0,0,11,28,51,DIG,LOW KICK,KARATE CHOP,BODY SLAM,87,60,51,51,46,0,0,0,0,0,0,0,97,60,51,51,46,163073,73969,82870,4278,1956,2,0,0,2346,2346,0,0,110,32,30,2,0,0,4402,2625,166,166,86,12,27,0,0,0,0,0,48,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,16599,0,0,0,0,10,0,0,0,0,3,0,3,0,Flareon
Machamp3,Machamp,RTG1 - Wrapping Lass,00:12:25.83,00:12:37.60,00:49:18.02,28,0,0,12,37,60,DIG,LOW KICK,KARATE CHOP,BODY SLAM,90,62,53,53,48,0,0,0,0,0,0,0,101,69,53,53,48,179410,84019,86253,7182,1956,2,0,0,2555,2504,51,0,137,33,31,2,0,0,4744,2815,166,166,90,12,27,0,0,0,0,0,49,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,17847,0,0,0,0,10,9,0,0,0,3,0,3,0,Flareon
Machamp3,Machamp,RTG4 - Status Jr Trainer,00:13:24.02,00:13:30.22,00:52:45.29,29,0,0,13,30,22,DIG,LOW KICK,KARATE CHOP,BODY SLAM,93,64,55,55,49,0,0,0,0,0,0,0,104,72,55,55,49,191857,87201,95254,7446,1956,2,0,0,2750,2504,246,0,164,37,35,2,0,0,5437,3303,183,183,100,14,28,0,0,0,0,0,51,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,78,20727,0,0,0,0,10,9,0,0,0,3,0,3,0,Flareon
