date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
3-26,10:45:02,NINTEN,Machamp,Rival1-Lab,1,Pallet Town - Oak's Lab,1,38.85,38,0h0m38s,0,0,0,6,0:02,4.916,KARATE CHOP,LOW KICK,LEER,,0,71,2,1,1,1,1,0,0,3000,Jolteon, ,Fighting,Fighting,232,Machamp6,Machamp,Rival (Lab),00:00:33.93,00:00:38.85,00:02:00.50,6,0,0,0,38,85,KARATE CHOP,LOW KICK,LEER,,25,19,30,0,0,0,0,0,28,28,22,16,14,14,13,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,22,16,14,14,13,9188,4816,2406,0,1966,0,0,0,71,71,0,0,2,2,1,1,0,0,35,21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,6,0,Jolteon
3-26,10:46:16,NINTEN,Machamp,Bug Catcher,3,Viridian Forest,1,1:52.93,1:52,0h1m52s,0,0,0,8,0:06,10.09,KARATE CHOP,LOW KICK,LEER,,0,567,10,2,2,5,5,4,1,3175,Flareon, ,Fighting,Fighting,344,Machamp6,Machamp,,00:01:42.85,00:01:52.93,00:06:53.38,8,0,0,1,52,93,KARATE CHOP,LOW KICK,LEER,,21,20,30,0,0,0,0,0,30,34,28,20,17,17,16,100,85,85,85,85,100,15,15,15,15,0,0,0,0,-2,0,0,28,20,17,17,8,26756,18621,6169,0,1966,0,0,0,567,567,0,0,10,4,2,2,0,0,74,51,4,4,5,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,1,0,0,0,0,0,0,6,0,Flareon
3-26,10:46:38,NINTEN,Machamp,Brock,1,Pewter City - Gym,2,2:15.75,2:15,0h2m15s,0,0,0,11,0:08,10.361,KARATE CHOP,LOW KICK,LEER,,0,675,13,3,2,9,9,6,1,3275,Flareon, ,Fighting,Fighting,804,Machamp6,Machamp,Brock,00:02:05.40,00:02:15.75,00:08:23.36,11,0,0,2,15,75,KARATE CHOP,LOW KICK,LEER,,21,16,30,0,0,0,0,0,40,44,37,26,22,22,20,175,210,345,145,145,190,15,15,15,15,0,0,0,0,0,0,0,37,26,22,22,20,32154,21077,9111,0,1966,0,0,0,675,675,0,0,13,5,3,2,0,0,145,112,4,4,9,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,0,0,0,0,0,0,6,0,Flareon
3-26,10:47:03,NINTEN,Machamp,Bug Catcher,4,Route 3,3,2:40.25,2:40,0h2m40s,0,0,0,12,0:10,11.312,KARATE CHOP,LOW KICK,LEER,,0,748,14,4,2,13,13,7,2,4463,Flareon, ,Fighting,Fighting,1139,Machamp6,Machamp,,00:02:28.93,00:02:40.25,00:10:00.25,12,0,0,2,40,25,KARATE CHOP,LOW KICK,LEER,,17,16,30,0,0,0,0,0,41,47,40,28,24,24,22,305,305,445,205,205,330,15,15,15,15,0,0,0,0,0,0,0,45,28,24,24,22,37963,23206,12791,0,1966,0,0,0,748,748,0,0,14,6,4,2,0,0,262,201,6,6,13,3,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1004,0,0,0,0,1,0,0,0,0,0,0,6,0,Flareon
3-26,10:47:14,NINTEN,Machamp,Youngster Ben,1,Route 3,2,2:51.45,2:51,0h2m51s,0,0,0,13,0:10,8.17,KARATE CHOP,LOW KICK,LEER,,0,752,15,5,2,15,15,8,2,4563,Flareon, ,Fighting,Fighting,1417,Machamp6,Machamp,,00:02:43.28,00:02:51.45,00:10:44.36,13,0,0,2,51,45,KARATE CHOP,LOW KICK,LEER,,16,15,30,0,0,0,0,0,38,50,43,30,26,26,23,370,421,524,270,270,457,15,15,15,15,0,0,0,0,0,0,0,48,30,26,26,23,40614,23424,15224,0,1966,0,0,0,752,752,0,0,15,7,5,2,0,0,356,260,12,12,15,3,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1282,0,0,0,0,1,0,0,0,0,0,0,6,0,Flareon
3-26,10:47:26,NINTEN,Machamp,Lass,2,Route 3,2,3:03.15,3:03,0h3m3s,0,0,0,14,0:11,7.625,KARATE CHOP,LOW KICK,LEER,,0,760,16,6,2,17,17,8,2,4728,Flareon, ,Fighting,Fighting,1665,Machamp6,Machamp,,00:02:55.53,00:03:03.15,00:11:30.44,14,0,0,3,3,15,KARATE CHOP,LOW KICK,LEER,,15,14,30,0,0,0,0,0,42,54,46,32,27,27,25,446,534,599,335,335,579,15,15,15,15,0,0,0,0,0,0,0,51,32,27,27,25,43382,23894,17522,0,1966,0,0,0,760,760,0,0,16,8,6,2,0,0,497,317,12,12,17,3,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1530,0,0,0,0,1,0,0,0,0,0,0,6,0,Flareon
3-26,10:47:40,NINTEN,Machamp,Bug Catcher,6,Route 3,2,3:16.95,3:16,0h3m16s,0,0,0,14,0:12,6.717,KARATE CHOP,LOW KICK,LEER,,0,820,20,7,2,19,19,8,2,4878,Flareon, ,Fighting,Fighting,1958,Machamp6,Machamp,,00:03:10.23,00:03:16.95,00:12:25.08,14,0,0,3,16,95,KARATE CHOP,LOW KICK,LEER,,13,14,30,0,0,0,0,0,42,54,46,32,27,27,25,541,584,689,380,380,654,15,15,15,15,0,0,0,0,0,0,0,51,32,27,27,25,46646,25104,19576,0,1966,0,0,0,820,820,0,0,20,9,7,2,0,0,568,382,12,12,19,3,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1823,0,0,0,0,1,0,0,0,0,0,0,6,0,Flareon
3-26,10:48:25,NINTEN,Machamp,Fossil Nerd,2,Mt Moon - 3,3,4:02.28,4:02,0h4m2s,0,0,0,16,0:15,14.402,KARATE CHOP,LOW KICK,LEER,,0,1176,35,8,2,24,24,11,3,4988,Flareon, ,Fighting,Fighting,2745,Machamp6,Machamp,,00:03:47.88,00:04:02.28,00:15:24.41,16,0,0,4,2,28,KARATE CHOP,LOW KICK,LEER,,9,13,30,0,0,0,0,0,41,60,52,36,31,31,28,701,759,884,535,535,814,15,15,15,15,0,0,0,0,0,0,0,58,36,31,31,28,57419,32055,23398,0,1966,0,0,0,1176,1176,0,0,35,10,8,2,0,0,697,491,19,19,24,4,7,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2610,0,0,0,0,2,0,0,0,0,0,0,6,0,Flareon
3-26,10:48:46,NINTEN,Machamp,Rocket,42,Mt Moon - 3,3,4:23.60,4:23,0h4m23s,0,0,0,17,0:16,13.933,KARATE CHOP,LOW KICK,LEER,,0,1192,37,9,2,29,29,14,4,5288,Flareon, ,Fighting,Fighting,3480,Machamp6,Machamp,,00:04:09.67,00:04:23.60,00:16:48.57,17,0,0,4,23,60,KARATE CHOP,LOW KICK,LEER,,5,12,30,0,0,0,0,0,35,63,55,38,33,33,29,816,929,1058,675,675,994,15,15,15,15,0,0,0,0,0,0,0,61,38,33,33,29,62475,33405,27104,0,1966,0,0,0,1192,1192,0,0,37,11,9,2,0,0,903,601,28,28,29,5,9,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3345,0,0,0,0,2,0,0,0,0,0,0,6,0,Flareon
3-26,10:49:28,NINTEN,Machamp,Rival2-Nugget Bridge,3,Cerulean City,4,5:04.87,5:04,0h5m4s,0,0,0,18,0:19,16.426,KARATE CHOP,LOW KICK,LEER,,0,1372,42,10,2,35,35,17,4,5708,Flareon, ,Fighting,Fighting,4518,Machamp6,Machamp,Rival (Nugget Bridge),00:04:48.44,00:05:04.87,00:19:31.35,18,0,0,5,4,87,KARATE CHOP,LOW KICK,LEER,,23,16,30,0,0,0,0,0,46,67,58,40,35,35,31,991,1175,1258,826,826,1231,15,15,15,15,0,0,0,0,0,0,0,65,40,35,35,31,72233,38789,31478,0,1966,0,0,0,1372,1372,0,0,42,12,10,2,0,0,1191,772,49,49,35,6,11,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4383,0,0,0,0,3,0,0,0,0,0,0,6,0,Flareon
