date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
6-09,17:22:34,NINTEN,Machop,Rival1-Lab,1,Pallet Town - Oak's Lab,1,49.62,49,0h0m49s,0,0,0,6,0:02,9.883,KARATE CHOP,,,,0,71,10,1,1,4,4,4,0,3000,Jolteon, ,Fighting,Fighting,232,Machop1,Machop,Rival (Lab),00:00:39.74,00:00:49.62,00:02:43.53,6,0,0,0,49,62,KARATE CHOP,,,,21,0,0,0,0,0,0,0,11,26,16,12,11,11,11,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,16,12,11,11,11,11759,6231,3574,0,1954,0,0,0,71,71,0,0,10,2,1,1,0,0,26,21,15,15,4,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
6-09,17:24:29,NINTEN,Machop,Rival1-Lab,1,Pallet Town - Oak's Lab,1,48.21,48,0h0m48s,0,0,0,6,0:02,8.672,KARATE CHOP,,,,0,71,8,1,1,3,3,3,0,3000,Jolteon, ,Fighting,Fighting,232,Machop1,Machop,Rival (Lab),00:00:39.54,00:00:48.21,00:02:36.33,6,0,0,0,48,21,KARATE CHOP,,,,22,0,0,0,0,0,0,0,11,26,16,12,11,11,11,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,16,12,11,11,11,11419,6082,3283,0,2054,0,0,0,71,71,0,0,8,2,1,1,0,0,21,21,15,15,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
6-09,17:26:08,NINTEN,Machop,Lass,19,Viridian Forest,2,2:27.20,2:27,0h2m27s,0,0,0,9,0:09,12.402,KARATE CHOP,,,,0,523,37,2,5,13,13,8,4,75,Flareon, ,Fighting,Fighting,446,Machop1,Machop,,00:02:14.80,00:02:27.20,00:09:07.09,9,0,0,2,27,20,KARATE CHOP,,,,15,0,0,0,0,0,0,0,31,34,22,17,14,14,14,256,316,252,230,230,346,15,15,15,15,-2,0,0,0,0,0,0,11,17,14,14,14,34855,21297,11504,0,2054,0,0,0,523,523,0,0,37,7,2,5,0,0,136,110,18,18,13,1,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,311,0,0,0,0,0,13,0,0,0,0,0,1,0,Flareon
6-09,17:26:24,NINTEN,Machop,Bug Catcher,1,Viridian Forest,2,2:42.83,2:42,0h2m42s,0,0,0,10,0:10,10.06,KARATE CHOP,,,,0,561,37,3,5,17,17,10,4,165,Flareon, ,Fighting,Fighting,604,Machop1,Machop,,00:02:32.77,00:02:42.83,00:10:08.54,10,0,0,2,42,83,KARATE CHOP,,,,11,0,0,0,0,0,0,0,32,37,24,18,15,15,15,346,376,322,270,270,436,15,15,15,15,0,0,0,0,0,0,0,24,18,15,15,15,38560,22224,14282,0,2054,0,0,0,561,561,0,0,37,8,3,5,0,0,192,158,20,20,17,2,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,469,0,0,0,0,0,13,0,0,0,0,0,1,0,Flareon
6-09,17:26:42,NINTEN,Machop,Bug Catcher,2,Viridian Forest,3,3:01.16,3:01,0h3m1s,0,0,0,11,0:11,14.225,KARATE CHOP,,,,0,579,38,4,5,23,23,13,4,235,Flareon, ,Fighting,Fighting,853,Machop1,Machop,,00:02:46.94,00:03:01.16,00:11:21.17,11,0,0,3,1,16,KARATE CHOP,,,,5,0,0,0,0,0,0,0,33,40,26,19,16,16,16,491,446,467,340,340,541,15,15,15,15,0,0,0,0,0,0,0,26,19,16,16,16,42903,22751,18098,0,2054,0,0,0,579,579,0,0,38,9,4,5,0,0,271,224,22,22,23,2,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,718,0,0,0,0,0,13,0,0,0,0,0,1,0,Flareon
6-09,17:27:06,NINTEN,Machop,Bug Catcher,15,Viridian Forest,2,3:24.38,3:24,0h3m24s,0,0,0,12,0:12,10.56,KARATE CHOP,,,,0,618,40,5,6,28,27,16,3,295,Flareon, ,Fighting,Fighting,1066,Machop1,Machop,,00:03:13.82,00:03:24.38,00:12:53.02,12,0,0,3,24,38,KARATE CHOP,,,,1,0,0,0,0,0,0,0,27,43,28,21,17,17,17,586,496,557,385,385,616,15,15,15,15,0,0,0,0,0,0,0,28,21,17,17,17,48408,23783,22571,0,2054,0,0,0,618,618,0,0,40,11,5,6,1,0,335,277,31,31,27,2,12,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,931,0,0,0,0,1,13,0,1,0,0,0,1,0,Flareon
6-09,17:27:34,NINTEN,Machop,Bug Catcher,3,Viridian Forest,1,3:53.18,3:53,0h3m53s,0,0,0,12,0:14,6.514,KARATE CHOP,,,,0,670,47,6,10,30,29,18,3,375,Flareon, ,Fighting,Fighting,1178,Machop1,Machop,,00:03:46.67,00:03:53.18,00:14:46.04,12,0,0,3,53,18,KARATE CHOP,,,,0,0,0,0,0,0,0,0,34,43,28,21,17,17,17,631,526,592,405,405,661,15,15,15,15,0,0,0,0,-1,0,0,28,21,17,17,11,55191,24995,27391,751,2054,0,0,0,670,670,0,0,47,16,6,10,5,0,370,307,40,40,29,3,13,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1043,0,0,0,0,1,13,0,1,0,0,0,1,0,Flareon
6-09,17:28:13,NINTEN,Machop,Jr Trainer M,1,Pewter City - Gym,2,4:31.39,4:31,0h4m31s,0,0,0,13,0:17,11.288,KARATE CHOP,,,,0,804,53,7,11,36,35,22,4,75,Flareon, ,Fighting,Fighting,1574,Machop1,Machop,,00:04:20.10,00:04:31.39,00:17:16.34,13,0,0,4,31,39,KARATE CHOP,,,,21,0,0,0,0,0,0,0,33,45,30,22,18,18,18,731,701,742,515,515,852,15,15,15,15,0,0,0,0,0,0,0,30,22,18,18,18,64220,29368,32047,751,2054,0,0,0,804,804,0,0,53,18,7,11,5,0,486,382,64,64,35,3,17,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1439,0,0,0,0,1,15,0,1,0,0,0,1,0,Flareon
6-09,17:36:10,NINTEN,Machop,Brock,1,Pewter City - Gym,2,12:28.96,12:28,0h12m28s,5,0,5,17,0:37,19.961,KARATE CHOP,,,,3,1884,93,8,50,93,90,35,3,255,Flareon, ,Fighting,Fighting,3585,Machop1,Machop,Brock,00:12:08.99,00:12:28.96,00:37:52.57,17,5,0,12,28,96,KARATE CHOP,,,,15,0,0,0,0,0,0,0,9,57,39,29,23,23,24,2541,2101,2612,1595,1595,2705,15,15,15,15,0,-2,0,0,0,0,0,39,14,23,23,24,138413,55498,78411,2070,2434,3,2,0,1884,1884,0,0,93,58,8,50,5,0,2147,1197,127,127,86,9,27,0,0,0,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,3450,0,0,0,0,2,15,0,3,0,0,0,1,5,Flareon
6-09,17:36:45,NINTEN,Machop,Bug Catcher,4,Route 3,3,13:03.96,13:03,0h13m3s,5,0,5,18,0:40,14.107,KARATE CHOP,,,,3,1999,99,9,50,98,95,39,4,1443,Flareon, ,Fighting,Fighting,3920,Machop1,Machop,,00:12:49.85,00:13:03.96,00:40:11.25,18,5,0,13,3,96,KARATE CHOP,,,,20,0,0,0,0,0,0,0,56,60,41,30,24,24,25,2671,2196,2712,1655,1655,2845,15,15,15,15,0,0,0,0,-2,0,0,46,30,24,24,12,146721,59443,82774,2070,2434,3,2,0,1999,1999,0,0,99,59,9,50,5,0,2310,1286,131,131,91,9,31,0,0,0,0,0,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,3785,0,0,0,0,2,15,0,3,0,0,0,1,5,Flareon
