player_name,pokemon,trainer_name,real_time_hmmss,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4
NINTEN,Magneton,Rival1-Lab,54,0,0,6,0:02,6.56,SonicBoom,TACKLE,THUNDERSHOCK,
NINTEN,Magneton,Brock,1:13,0,0,9,0:09,0.158,SonicBoom,TACKLE,THUNDERSHOCK,
NINTEN,Magneton,Rival3-SS Anne,1:22,0,0,24,0:44,0.224,THUNDERSHOCK,TACKLE,SonicBoom,
NINTEN,Magneton,Rival5-Silph,1:38,1,1,41,1:47,0.643,THUNDERBOLT,DOUBLE-EDGE,SonicBoom,REST
NINTEN,Magneton,Erika,1:41,2,1,43,1:57,0.269,THUNDERBOLT,DOUBLE-EDGE,REFLECT,REST
NINTEN,Magneton,Koga,1:42,2,1,45,2:02,0.237,THUNDERBOLT,DOUBLE-EDGE,REFLECT,REST
NINTEN,Magneton,Sabrina,1:45,2,1,57,2:16,0.237,THUNDERBOLT,DOUBLE-EDGE,REFLECT,REST
NINTEN,Magneton,Blaine,1:46,2,1,58,2:20,0.235,THUNDERBOLT,DOUBLE-EDGE,REFLECT,REST
NINTEN,Magneton,Giovanni,1:48,2,1,59,2:28,0.727,THUNDERBOLT,DOUBLE-EDGE,MIMIC,REST
NINTEN,Magneton,Rival6-Route 22,1:50,2,1,60,2:33,0.819,THUNDERBOLT,DOUBLE-EDGE,MIMIC,REST
NINTEN,Magneton,Bruno,1:54,3,2,63,2:49,0.487,THUNDERBOLT,DOUBLE-EDGE,MIMIC,REST
NINTEN,Magneton,Agatha,1:55,4,2,64,2:52,0.268,THUNDERBOLT,DOUBLE-EDGE,MIMIC,REST
NINTEN,Magneton,Champion,1:59,7,3,67,3:03,1.657,THUNDERBOLT,BIDE,REFLECT,REST
NINTEN,Magneton,Champion,1:59,7,3,67,3:05,2.024,THUNDERBOLT,BIDE,REFLECT,REST
