date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
1-28,11:13:42,NINTEN,Magneton,Rival1-Lab,1,Pallet Town - Oak's Lab,1,55.01,55,0h0m55s,0,0,0,6,0:03,8.819,THUNDERSHOCK,TACKLE,SonicBoom,,0,71,2,1,1,2,2,1,0,3000,Jolteon, ,Electric,Electric,222,Magneton1,Magneton,Rival (Lab),00:00:46.19,00:00:55.01,00:03:04.05,6,0,0,0,55,1,THUNDERSHOCK,TACKLE,SonicBoom,,29,35,19,0,0,0,0,0,20,23,14,18,21,21,15,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,14,18,21,21,15,13048,7684,3333,0,2031,0,0,0,71,71,0,0,2,2,1,1,0,0,28,21,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
1-28,11:15:22,NINTEN,Magneton,Bug Catcher,1,Viridian Forest,2,2:35.13,2:35,0h2m35s,0,0,0,8,0:09,9.351,THUNDERSHOCK,TACKLE,SonicBoom,,0,529,49,2,6,8,8,5,4,75,Flareon, ,Electric,Electric,525,Magneton1,Magneton,,00:02:25.78,00:02:35.13,00:09:38.55,8,0,0,2,35,13,THUNDERSHOCK,TACKLE,SonicBoom,,28,35,16,0,0,0,0,0,26,28,17,22,26,26,18,208,175,175,155,155,216,15,15,15,15,0,0,0,0,0,0,0,17,22,26,26,18,36738,23238,10933,536,2031,0,0,0,529,529,0,0,49,8,2,6,3,0,142,101,17,17,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,400,0,0,0,0,0,13,0,0,0,0,0,1,0,Flareon
1-28,11:15:40,NINTEN,Magneton,Bug Catcher,2,Viridian Forest,3,2:53.49,2:53,0h2m53s,0,0,0,9,0:10,13.858,THUNDERSHOCK,TACKLE,SonicBoom,,0,551,49,3,6,14,14,8,4,145,Flareon, ,Electric,Electric,774,Magneton1,Magneton,,00:02:39.64,00:02:53.49,00:10:51.30,9,0,0,2,53,49,THUNDERSHOCK,TACKLE,SonicBoom,,23,35,15,0,0,0,0,0,29,31,18,25,29,29,20,353,245,320,225,225,321,15,15,15,15,0,0,0,0,-1,0,0,18,25,29,29,13,41093,23880,14646,536,2031,0,0,0,551,551,0,0,49,9,3,6,3,0,273,167,17,17,14,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,649,0,0,0,0,0,13,0,0,0,0,0,1,0,Flareon
1-28,11:16:11,NINTEN,Magneton,Bug Catcher,15,Viridian Forest,2,3:24.85,3:24,0h3m24s,0,0,0,10,0:12,9.378,THUNDERSHOCK,TACKLE,SonicBoom,,0,582,52,4,8,22,22,12,3,205,Flareon, ,Electric,Electric,1132,Magneton1,Magneton,,00:03:15.48,00:03:24.85,00:12:55.16,10,0,0,3,24,85,THUNDERSHOCK,TACKLE,SonicBoom,,17,33,15,0,0,0,0,0,28,33,20,27,32,32,22,511,355,465,320,320,467,15,15,15,15,0,0,0,0,0,0,0,20,27,32,32,22,48519,24921,21031,536,2031,0,0,0,582,582,0,0,52,12,4,8,3,0,423,264,20,20,22,4,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,1007,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
1-28,11:16:23,NINTEN,Magneton,Bug Catcher,3,Viridian Forest,1,3:35.95,3:35,0h3m35s,0,0,0,10,0:13,5.347,THUNDERSHOCK,TACKLE,SonicBoom,,0,630,52,5,8,24,24,13,3,285,Flareon, ,Electric,Electric,1244,Magneton1,Magneton,,00:03:30.60,00:03:35.95,00:13:39.05,10,0,0,3,35,95,THUNDERSHOCK,TACKLE,SonicBoom,,15,33,15,0,0,0,0,0,26,33,20,27,32,32,22,556,385,500,340,340,512,15,15,15,15,0,0,0,0,0,0,0,20,27,32,32,22,51148,25878,22703,536,2031,0,0,0,630,630,0,0,52,13,5,8,3,0,467,294,22,22,24,4,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,1119,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
1-28,11:16:49,NINTEN,Magneton,Brock,1,Pewter City - Gym,2,4:01.98,4:01,0h4m1s,0,0,0,11,0:15,10.87,THUNDERSHOCK,TACKLE,SonicBoom,,0,734,54,6,8,29,28,15,3,385,Flareon, ,Electric,Electric,1704,Magneton1,Magneton,Brock,00:03:51.11,00:04:01.98,00:15:21.40,11,0,0,4,1,98,THUNDERSHOCK,TACKLE,SonicBoom,,15,33,11,0,0,0,0,0,27,35,22,29,35,35,24,631,510,760,400,400,602,15,15,15,15,0,0,0,0,0,0,0,22,29,35,35,24,57303,28439,25798,1035,2031,0,0,0,734,734,0,0,54,14,6,8,3,0,547,355,30,30,28,4,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,13,1579,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
1-28,11:17:16,NINTEN,Magneton,Bug Catcher,4,Route 3,3,4:29.45,4:29,0h4m29s,0,0,0,12,0:17,14.451,THUNDERSHOCK,TACKLE,SonicBoom,,0,805,54,7,8,35,34,20,4,1573,Flareon, ,Electric,Electric,2039,Magneton1,Magneton,,00:04:15.00,00:04:29.45,00:17:10.20,12,0,0,4,29,45,THUNDERSHOCK,TACKLE,SonicBoom,,9,33,11,0,0,0,0,0,26,38,23,32,38,38,26,761,605,860,460,460,742,15,15,15,15,0,0,0,0,-2,0,0,28,32,38,38,13,63823,30515,30242,1035,2031,0,0,0,805,805,0,0,54,15,7,8,3,0,705,444,34,34,34,5,13,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,16,1914,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
1-28,11:17:29,NINTEN,Magneton,Youngster,1,Route 3,2,4:42.64,4:42,0h4m42s,0,0,0,13,0:18,9.886,THUNDERSHOCK,TACKLE,SonicBoom,,0,809,54,8,8,39,38,22,4,1673,Flareon, ,Electric,Electric,2317,Magneton1,Magneton,,00:04:32.75,00:04:42.64,00:18:02.20,13,0,0,4,42,64,THUNDERSHOCK,TACKLE,SonicBoom,,5,33,11,0,0,0,0,0,20,40,25,34,40,40,28,826,721,939,525,525,869,15,15,15,15,0,0,0,0,0,0,0,28,34,40,40,28,66943,30796,33081,1035,2031,0,0,0,809,809,0,0,54,16,8,8,3,0,803,503,42,42,38,5,15,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,18,2192,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
1-28,11:17:45,NINTEN,Magneton,Bug Catcher,5,Route 3,4,4:58.40,4:58,0h4m58s,0,0,0,14,0:19,12.938,THUNDERSHOCK,TACKLE,SonicBoom,,0,813,54,9,8,44,43,23,4,1838,Flareon, ,Electric,Electric,2792,Magneton1,Magneton,,00:04:45.46,00:04:58.40,00:19:04.22,14,0,0,4,58,40,THUNDERSHOCK,TACKLE,SonicBoom,,0,33,11,0,0,0,0,0,23,43,26,36,43,43,29,1006,831,1109,615,615,1029,15,15,15,15,0,0,0,0,0,0,0,29,36,43,43,29,70665,30964,36635,1035,2031,0,0,0,813,813,0,0,54,17,9,8,3,0,955,615,42,42,42,6,15,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,22,2667,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
1-28,11:17:59,NINTEN,Magneton,Bug Catcher,6,Route 3,2,5:12.07,5:12,0h5m12s,0,0,0,14,0:19,9.043,THUNDERSHOCK,TACKLE,SonicBoom,,0,821,55,10,8,48,47,25,4,1928,Flareon, ,Electric,Electric,3085,Magneton1,Magneton,,00:05:03.02,00:05:12.07,00:19:58.14,14,0,0,5,12,7,THUNDERSHOCK,TACKLE,SonicBoom,,0,33,7,0,0,0,0,0,21,43,26,36,43,43,29,1101,881,1199,660,660,1104,15,15,15,15,0,0,0,0,0,0,0,29,36,43,43,29,73897,31530,39301,1035,2031,0,0,0,821,821,0,0,55,18,10,8,3,0,1035,680,44,44,46,6,16,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,24,2960,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
1-28,11:18:35,NINTEN,Magneton,Super Nerd,1,Mt Moon - 1,2,5:48.15,5:48,0h5m48s,0,0,0,15,0:22,9.87,THUNDERSHOCK,TACKLE,SonicBoom,,0,964,59,11,11,52,51,27,4,2038,Flareon, ,Electric,Electric,3534,Magneton1,Magneton,,00:05:38.29,00:05:48.15,00:22:20.18,15,0,0,5,48,15,THUNDERSHOCK,TACKLE,SonicBoom,,30,35,16,0,0,0,0,0,41,45,28,39,46,46,31,1166,946,1319,810,810,1249,15,15,15,15,0,0,0,0,0,0,0,31,39,46,46,31,82421,35123,44232,1035,2031,0,0,0,964,964,0,0,59,22,11,11,6,0,1115,739,48,48,50,6,18,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,26,3409,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
1-28,11:19:32,NINTEN,Magneton,Super Nerd,2,Mt Moon - 3,3,6:45.15,6:45,0h6m45s,0,0,0,16,0:26,15.943,THUNDERSHOCK,TACKLE,SonicBoom,,0,1189,70,12,17,58,57,30,5,2313,Flareon, ,Electric,Electric,4321,Magneton1,Magneton,,00:06:29.21,00:06:45.15,00:26:04.59,16,0,0,6,45,15,THUNDERSHOCK,TACKLE,SonicBoom,,27,35,13,0,0,0,0,0,35,48,30,41,49,49,33,1326,1121,1514,965,965,1409,15,15,15,15,0,-2,0,0,0,0,0,33,20,49,49,33,95902,39944,52892,1035,2031,0,0,0,1189,1189,0,0,70,29,12,17,12,0,1248,848,57,57,56,6,21,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,29,4196,0,0,0,0,2,13,0,1,1,0,0,1,0,Flareon
