ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Magneton15,Magneton,Rival (Lab),00:00:33.53,00:00:42.32,00:02:14.29,6,0,0,0,42,32,SonicBoom,TACKLE,THUNDERSHOCK,,14,18,21,21,15,0,-2,0,0,0,0,0,14,9,21,21,15,10017,4714,3327,0,1976,0,0,0,71,71,0,0,2,2,1,1,0,0,28,21,3,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,15,0,Jolteon
Magneton15,Magneton,Brock,00:02:31.38,00:02:42.28,00:10:08.11,9,0,0,2,42,28,SonicBoom,TACKLE,THUNDERSHOCK,,18,25,29,29,20,0,-2,0,0,0,0,0,18,12,29,29,20,38439,24154,12309,0,1976,0,0,0,731,731,0,0,28,7,3,4,0,0,178,142,17,17,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,716,0,0,0,0,1,13,0,1,1,0,0,15,0,Flareon
Magneton15,Magneton,Rival (Nugget Bridge),00:05:31.56,00:05:54.47,00:22:47.06,16,0,0,5,54,47,THUNDERSHOCK,TACKLE,SonicBoom,,30,41,49,49,33,-2,-1,0,0,0,-1,0,18,27,49,49,33,83974,42308,39322,368,1976,0,0,0,1374,1374,0,0,57,14,10,4,0,0,1147,857,72,72,51,10,27,0,0,0,0,0,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,26,4657,0,0,0,0,3,13,0,1,1,0,0,15,0,Flareon
Magneton15,Magneton,Oddish Lass,00:08:01.08,00:08:13.61,00:31:55.30,20,0,0,8,13,61,THUNDERSHOCK,TACKLE,SonicBoom,,37,51,60,60,41,0,0,0,0,0,0,0,41,51,60,60,41,116878,49400,63892,1610,1976,0,0,0,1496,1496,0,0,86,24,20,4,0,0,2298,1675,112,112,81,10,38,0,0,0,0,0,9,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,47,8757,0,0,0,0,4,13,0,1,1,0,0,15,0,Flareon
Magneton15,Magneton,Rocket,00:08:40.71,00:08:52.21,00:34:27.51,21,0,0,8,52,21,THUNDERSHOCK,TACKLE,SonicBoom,,39,53,63,63,43,0,0,0,0,0,0,0,43,53,63,63,43,126019,54960,67108,1975,1976,0,0,0,1636,1636,0,0,95,25,21,4,0,0,2412,1778,131,131,86,10,41,0,0,0,0,0,9,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,49,9446,0,0,0,0,5,13,0,1,1,0,0,15,0,Flareon
Magneton15,Magneton,Misty,00:09:09.85,00:09:19.22,00:36:14.17,22,0,0,9,19,22,THUNDERSHOCK,TACKLE,SonicBoom,,40,56,66,66,45,0,0,0,0,0,0,0,45,56,66,66,45,132405,56780,71333,2316,1976,0,0,0,1676,1676,0,0,98,27,23,4,0,0,2575,1927,141,141,90,10,42,0,0,0,0,0,9,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,52,11236,0,0,0,0,5,13,0,1,1,0,0,15,0,Flareon
Magneton15,Magneton,Rival (SS Anne),00:11:12.80,00:11:34.48,00:45:07.14,24,0,0,11,34,48,THUNDERSHOCK,SonicBoom,TACKLE,REST,44,61,72,72,49,-1,-1,0,0,0,-2,0,40,40,72,72,49,164382,71592,86961,3853,1976,0,0,0,2177,2177,0,0,140,32,28,4,0,0,3667,2525,170,170,111,15,51,0,0,0,0,0,11,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,65,15270,0,0,0,0,10,16,0,1,1,1,0,15,0,Flareon
Magneton15,Magneton,Lt. Surge,00:12:18.50,00:12:29.68,00:48:45.16,25,0,0,12,29,68,THUNDERSHOCK,SonicBoom,TACKLE,REST,46,63,75,75,51,-1,0,0,0,0,0,0,33,63,75,75,51,177464,78066,90143,7279,1976,1,0,0,2354,2354,0,0,145,33,29,4,0,0,3747,2601,233,233,115,16,56,0,0,0,0,0,11,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,66,16002,0,0,0,0,10,16,0,1,1,3,0,15,0,Flareon
Magneton15,Magneton,RTG1 - Wrapping Lass,00:13:21.93,00:13:38.21,00:53:15.18,25,0,0,13,38,21,THUNDERBOLT,SonicBoom,BIDE,REST,46,63,75,75,51,0,0,0,0,0,0,0,51,70,75,75,51,193666,85880,94587,11223,1976,1,0,0,2544,2492,52,0,158,34,30,4,0,0,4002,2791,241,241,122,16,57,0,0,0,0,0,12,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,70,17250,0,0,0,0,10,16,0,1,1,5,0,15,0,Flareon
Magneton15,Magneton,RTG4 - Status Jr Trainer,00:14:40.03,00:14:50.64,00:58:00.55,27,0,0,14,50,64,THUNDERBOLT,SonicBoom,BIDE,REST,49,68,81,81,55,-1,0,0,0,0,0,0,36,85,81,81,55,210803,89368,104448,15011,1976,2,0,0,2747,2492,255,0,192,38,34,4,0,0,5082,3281,293,293,134,18,61,0,0,0,0,0,13,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,78,20130,0,0,0,0,10,16,0,1,1,5,0,15,0,Flareon
Magneton15,Magneton,RTG6 - Finisher,00:15:34.47,00:15:45.53,01:01:37.53,28,0,0,15,45,53,THUNDERBOLT,SonicBoom,BIDE,REST,51,71,84,84,57,0,0,0,0,0,0,0,57,79,84,84,57,223821,93494,111702,16649,1976,4,0,0,2914,2492,422,0,216,40,36,4,0,0,6007,3590,320,320,147,18,65,0,0,0,0,0,15,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,84,22370,0,0,0,0,10,16,0,1,1,5,0,15,0,Flareon
Magneton15,Magneton,Rival (Pokemon Tower),00:19:52.05,00:20:12.09,01:19:10.33,31,0,0,20,12,9,THUNDERBOLT,DOUBLE-EDGE,SonicBoom,REST,57,83,93,93,63,0,0,0,0,0,0,0,64,93,93,93,63,286981,133367,128828,22810,1976,4,0,0,3879,3311,568,0,295,46,42,4,0,0,8537,4617,393,393,166,18,70,0,0,0,0,0,16,0,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,101,30258,0,0,0,0,22,39,12,1,1,7,0,15,0,Flareon
Magneton15,Magneton,Rival (Silph Co.),00:27:14.24,00:27:56.62,01:49:41.26,41,0,0,27,56,62,THUNDERBOLT,DOUBLE-EDGE,SonicBoom,REST,78,110,124,124,86,0,0,0,0,0,0,0,87,123,124,124,86,396834,176355,185228,33275,1976,5,0,0,5321,4207,1114,0,450,66,59,7,2,0,15146,8289,717,717,230,22,84,0,0,0,0,0,24,0,7,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,2,1,0,0,0,152,69091,0,0,0,0,39,41,12,1,1,8,0,15,0,Flareon
Magneton15,Magneton,Giovanni (Silph),00:29:33.00,00:30:04.50,01:54:47.58,42,1,0,30,4,50,THUNDERBOLT,DOUBLE-EDGE,REFLECT,REST,80,112,128,128,88,0,-1,0,0,0,0,0,90,82,128,128,88,415231,178991,195750,38356,2134,7,1,0,5346,4232,1114,0,452,68,61,7,2,0,16014,8965,849,849,245,24,92,0,0,0,0,0,27,0,7,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,2,1,0,0,0,159,76490,0,0,0,0,39,41,12,1,1,9,0,15,1,Flareon
Magneton15,Magneton,Erika,00:31:10.14,00:31:23.79,01:59:59.50,43,1,0,31,23,79,THUNDERBOLT,DOUBLE-EDGE,REFLECT,REST,82,115,130,130,91,0,0,0,0,0,0,0,92,129,130,130,91,433943,186276,202228,43305,2134,8,1,0,5504,4390,1114,0,463,70,63,7,2,0,16667,9422,962,962,253,24,94,0,0,0,0,0,29,0,8,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,2,1,0,0,0,165,81672,0,0,0,0,39,41,12,1,1,9,0,15,1,Flareon
