ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Magneton1,Magneton,Rival (Lab),00:00:46.19,00:00:55.01,00:03:04.05,6,0,0,0,55,1,THUNDERSHOCK,TACKLE,SonicBoom,,14,18,21,21,15,0,0,0,0,0,0,0,14,18,21,21,15,13048,7684,3333,0,2031,0,0,0,71,71,0,0,2,2,1,1,0,0,28,21,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
Magneton1,Magneton,Brock,00:03:51.11,00:04:01.98,00:15:21.40,11,0,0,4,1,98,THUNDERSHOCK,TACKLE,SonicBoom,,22,29,35,35,24,0,0,0,0,0,0,0,22,29,35,35,24,57303,28439,25798,1035,2031,0,0,0,734,734,0,0,54,14,6,8,3,0,547,355,30,30,28,4,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13,1579,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
Magneton1,Magneton,Rival (Nugget Bridge),00:07:33.86,00:07:53.05,00:30:33.01,18,0,0,7,53,5,THUNDERSHOCK,TACKLE,SonicBoom,,33,46,55,55,37,-1,0,0,0,0,0,0,23,46,55,55,37,111984,46768,61598,1587,2031,1,0,0,1385,1385,0,0,77,31,14,17,12,0,1623,1129,89,89,71,7,28,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,36,5969,0,0,0,0,3,13,0,1,1,0,0,1,0,Flareon
Magneton1,Magneton,Oddish Lass,00:10:14.35,00:10:28.30,00:40:45.20,21,0,0,10,28,30,THUNDERSHOCK,SonicBoom,TACKLE,THUNDER WAVE,39,53,63,63,43,0,0,0,0,0,0,0,43,53,63,63,43,148723,54020,89097,3575,2031,1,0,0,1507,1507,0,0,99,41,24,17,12,0,2910,1947,147,147,103,10,41,0,0,0,0,0,8,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,57,10069,0,0,0,0,5,13,0,1,1,1,0,1,0,Flareon
Magneton1,Magneton,Misty,00:11:11.65,00:11:21.24,00:44:14.37,22,0,0,11,21,24,THUNDERSHOCK,SonicBoom,TACKLE,THUNDER WAVE,40,56,66,66,45,0,0,0,0,0,0,0,45,56,66,66,45,161280,61745,93353,4151,2031,2,0,0,1688,1688,0,0,112,43,26,17,12,0,3081,2096,153,153,107,10,42,0,0,0,0,0,8,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,60,11859,0,0,0,0,6,13,0,1,1,1,0,1,0,Flareon
Magneton1,Magneton,Rocket,00:11:33.64,00:11:46.47,00:45:54.15,23,0,0,11,46,47,THUNDERSHOCK,SonicBoom,TACKLE,THUNDER WAVE,42,58,69,69,47,0,0,0,0,0,0,0,47,58,69,69,47,167258,64051,97025,4151,2031,2,0,0,1765,1765,0,0,114,44,27,17,12,0,3228,2199,171,171,113,10,44,0,0,0,0,0,8,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,62,12548,0,0,0,0,6,13,0,1,1,1,0,1,0,Flareon
Magneton1,Magneton,Rival (SS Anne),00:13:36.56,00:13:55.12,00:54:20.46,25,0,0,13,55,12,THUNDERSHOCK,SonicBoom,TACKLE,THUNDER WAVE,46,63,75,75,51,-1,0,0,0,0,0,0,33,63,75,75,51,197649,76497,113840,5281,2031,3,0,0,2185,2185,0,0,145,51,32,19,14,0,4276,2797,213,213,134,12,53,0,0,0,0,0,8,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,75,16582,0,0,0,0,11,19,0,1,1,1,0,1,0,Flareon
Magneton1,Magneton,Lt. Surge,00:14:58.50,00:15:08.71,00:57:56.26,25,1,0,15,8,71,THUNDERSHOCK,SonicBoom,TACKLE,THUNDER WAVE,46,63,75,75,51,-2,0,0,0,0,0,0,25,63,75,75,51,210594,83273,116790,8343,2188,4,1,0,2367,2367,0,0,160,52,33,19,14,0,4356,2873,239,239,139,12,56,0,0,0,0,0,8,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,76,17314,0,0,0,0,11,19,0,1,1,3,0,1,1,Flareon
Magneton1,Magneton,RTG1 - Wrapping Lass,00:16:08.12,00:16:51.20,01:04:41.47,26,1,0,16,51,20,THUNDERBOLT,SonicBoom,THUNDERSHOCK,THUNDER WAVE,47,66,78,78,53,0,0,0,0,0,0,0,52,74,78,78,1,234915,92417,127646,12664,2188,5,1,0,2566,2508,58,0,188,53,34,19,14,0,4686,3065,270,270,150,13,65,0,0,0,0,0,10,0,6,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,14,4,0,0,0,80,18562,0,0,0,0,11,19,0,1,1,4,0,1,1,Flareon
Magneton1,Magneton,RTG4 - Status Jr Trainer,00:18:03.52,00:18:25.28,01:10:52.59,27,1,0,18,25,28,THUNDERBOLT,SonicBoom,THUNDERSHOCK,THUNDER WAVE,49,68,81,81,55,0,0,0,0,0,0,0,55,76,81,81,55,257187,96797,140892,17310,2188,7,1,0,2781,2508,273,0,218,58,38,20,15,0,5877,3568,358,358,164,13,77,0,0,0,0,0,11,0,7,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,12,2,0,0,14,4,0,0,0,88,21442,0,0,0,0,11,19,0,1,1,4,0,1,1,Flareon
Magneton1,Magneton,RTG6 - Finisher,00:19:38.00,00:19:48.89,01:16:23.37,28,1,0,19,48,89,THUNDERBOLT,SonicBoom,BIDE,THUNDER WAVE,51,71,84,84,57,0,0,0,0,0,0,0,57,79,84,84,57,277025,102022,147970,24845,2188,8,1,0,2952,2508,444,0,248,60,40,20,15,0,6812,3828,406,406,171,14,81,0,0,0,0,0,13,0,8,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,12,2,0,0,14,4,0,0,0,94,23682,0,0,0,0,11,19,0,1,1,5,0,1,1,Flareon
Magneton1,Magneton,Rival (Pokemon Tower),00:23:30.31,00:23:49.92,01:32:14.19,31,1,0,23,49,92,THUNDERBOLT,SonicBoom,SWIFT,THUNDER WAVE,57,78,97,97,63,0,0,0,0,0,-2,0,81,109,97,97,63,334067,133107,166405,32367,2188,8,1,0,3770,3226,544,0,331,66,46,20,15,0,9172,4855,443,443,190,14,88,0,0,0,0,0,16,0,9,0,0,0,6,1,0,0,0,0,0,2,0,0,0,0,0,0,12,2,0,0,14,4,0,0,0,111,31570,0,0,0,0,19,35,4,1,1,7,0,1,1,Flareon
Magneton1,Magneton,Rival (Silph Co.),00:33:49.78,00:34:48.18,02:09:17.55,41,4,0,34,48,18,THUNDERBOLT,DOUBLE-EDGE,SWIFT,REST,77,105,129,129,86,0,0,0,0,0,-1,0,86,118,129,129,86,467495,180608,231163,53203,2521,12,3,0,5326,4233,1093,0,437,86,64,22,16,0,15654,8602,850,850,247,23,117,0,0,0,0,0,23,0,10,0,0,1,6,1,0,0,0,0,0,5,0,0,0,0,1,1,12,2,0,0,14,4,0,0,0,162,70706,0,0,0,0,35,35,4,1,1,10,0,1,4,Flareon
Magneton1,Magneton,Koga,00:38:25.57,00:38:40.03,02:18:21.44,44,6,0,38,40,3,THUNDERBOLT,DOUBLE-EDGE,SWIFT,REST,83,112,139,139,93,0,0,0,0,0,0,0,93,126,139,139,93,500135,188939,251217,57142,2837,15,5,0,5491,4398,1093,0,464,91,69,22,16,0,17874,10120,964,964,266,32,133,0,0,0,0,0,26,0,10,0,0,1,6,2,0,0,0,0,0,5,0,1,0,0,1,1,13,2,0,0,14,4,0,0,0,178,85144,0,0,0,0,35,35,4,1,1,10,0,1,6,Flareon
Magneton1,Magneton,Erika,00:39:31.53,00:39:45.44,02:22:39.56,44,6,0,39,45,44,THUNDERBOLT,DOUBLE-EDGE,SWIFT,REST,83,112,139,139,93,0,0,0,0,0,0,0,93,126,139,139,104,515627,196865,255087,60838,2837,16,5,0,5707,4614,1093,0,515,92,70,22,16,0,18193,10380,972,972,272,33,134,0,0,0,0,0,26,0,10,0,0,1,6,2,0,0,0,0,0,5,0,1,0,0,1,1,13,2,0,0,14,4,0,0,0,181,88149,0,0,0,0,35,35,4,1,1,11,0,1,6,Flareon
Magneton1,Magneton,Giovanni (Silph),00:40:58.25,00:41:28.88,02:29:28.23,45,6,0,41,28,88,THUNDERBOLT,DOUBLE-EDGE,TOXIC,REST,85,115,142,142,95,0,-1,0,0,0,0,0,106,84,142,142,119,540134,206368,262971,67958,2837,17,5,0,6027,4934,1093,0,542,93,71,22,16,0,18906,10847,1114,1114,280,33,141,0,0,0,0,0,28,0,11,0,0,1,6,2,0,0,0,0,0,5,1,1,0,0,1,1,13,2,0,0,14,4,0,0,0,185,92966,0,0,0,0,35,35,4,1,1,12,0,1,6,Flareon
