ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Marowak14,Marowak,Rival (Lab),00:00:34.17,00:00:39.86,00:02:04.46,6,0,0,0,39,86,BONE CLUB,TAIL WHIP,,,16,20,12,12,12,0,0,0,0,0,0,0,16,20,12,12,12,9423,4874,2584,0,1965,0,0,0,72,72,0,0,1,2,1,1,0,0,24,21,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,14,0,Jolteon
Marowak14,Marowak,Brock,00:02:51.22,00:03:11.61,00:12:04.23,9,0,0,3,11,61,BONE CLUB,TAIL WHIP,,,22,27,16,16,16,0,0,0,0,0,0,0,22,27,16,16,16,45400,25375,17181,879,1965,0,0,0,767,767,0,0,28,8,4,4,1,0,183,157,31,31,20,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,820,0,0,0,0,1,13,0,2,1,0,0,14,0,Flareon
Marowak14,Marowak,Rival (Nugget Bridge),00:08:19.40,00:08:39.83,00:33:41.06,19,0,0,8,39,83,BONE CLUB,WATER GUN,HEADBUTT,MEGA PUNCH,43,54,31,31,29,0,-1,0,0,0,-2,0,48,35,31,31,29,123203,53074,64499,3665,1965,1,0,0,1724,1724,0,0,75,21,17,4,1,0,1722,1228,118,118,74,22,46,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,6992,0,0,0,0,6,13,0,2,1,3,0,14,0,Flareon
Marowak14,Marowak,Oddish Lass,00:11:02.52,00:11:13.35,00:43:46.46,23,0,0,11,13,35,BONE CLUB,WATER GUN,HEADBUTT,MEGA PUNCH,51,65,37,37,35,0,0,0,0,0,0,0,57,65,37,37,35,159543,60422,93095,4061,1965,1,0,0,1840,1840,0,0,104,32,28,4,1,0,3325,2193,139,139,104,26,52,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,12050,0,0,0,0,7,13,0,2,1,3,0,14,0,Flareon
Marowak14,Marowak,Rocket,00:11:46.65,00:11:56.94,00:46:39.03,23,0,0,11,56,94,BONE CLUB,WATER GUN,HEADBUTT,MEGA PUNCH,51,65,37,37,35,0,0,0,0,0,0,0,57,65,37,37,35,169880,67824,96030,4061,1965,1,0,0,2034,2034,0,0,111,33,29,4,1,0,3452,2296,147,147,108,26,54,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,12739,0,0,0,0,8,13,0,2,1,3,0,14,0,Flareon
Marowak14,Marowak,Rival (SS Anne),00:14:03.72,00:14:15.72,00:55:45.58,25,0,0,14,15,72,BODY SLAM,WATER GUN,HEADBUTT,DIG,56,71,40,40,39,0,0,0,0,0,0,0,63,71,40,40,39,202695,80494,112772,7464,1965,1,0,0,2463,2463,0,0,150,39,35,4,1,0,4743,2927,192,192,123,34,59,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,17043,0,0,0,0,14,16,0,2,1,5,0,14,0,Flareon
Marowak14,Marowak,Misty,00:15:11.59,00:15:21.29,01:00:04.20,26,0,0,15,21,29,BODY SLAM,WATER GUN,HEADBUTT,DIG,58,74,42,42,40,0,0,0,0,0,0,0,65,74,42,42,40,218197,89745,118108,8379,1965,2,0,0,2674,2674,0,0,174,41,37,4,1,0,5026,3128,253,253,129,34,62,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,18865,0,0,0,0,14,16,0,2,1,5,0,14,0,Flareon
Marowak14,Marowak,Lt. Surge,00:16:06.14,00:16:12.56,01:03:26.05,27,0,0,16,12,56,BODY SLAM,BUBBLEBEAM,HEADBUTT,DIG,60,76,44,44,41,0,0,0,0,0,0,0,67,76,44,44,41,230302,95056,120260,13021,1965,2,0,0,2882,2882,0,0,182,42,38,4,1,0,5130,3204,253,253,130,34,62,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,19597,0,0,0,0,14,16,0,2,1,7,0,14,0,Flareon
Marowak14,Marowak,RTG1 - Wrapping Lass,00:16:56.78,00:17:10.08,01:07:12.51,27,0,0,17,10,8,BODY SLAM,BUBBLEBEAM,HEADBUTT,DIG,60,76,44,44,41,0,0,0,0,0,0,0,67,85,44,44,41,243908,101877,124005,16061,1965,2,0,0,3061,3009,52,0,192,43,39,4,1,0,5419,3394,253,253,134,35,62,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,20845,0,0,0,0,14,16,0,2,1,7,0,14,0,Flareon
Marowak14,Marowak,RTG4 - Status Jr Trainer,00:18:00.69,00:18:08.76,01:11:04.25,28,0,0,18,8,76,BODY SLAM,BUBBLEBEAM,HEADBUTT,DIG,63,79,45,45,43,0,0,0,0,0,0,0,70,88,45,45,43,257802,105158,134240,16439,1965,2,0,0,3260,3009,251,0,214,47,43,4,1,0,6142,3882,273,273,145,38,65,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,23725,0,0,0,0,14,16,0,2,1,7,0,14,0,Flareon
Marowak14,Marowak,RTG6 - Finisher,00:18:45.58,00:18:55.09,01:14:07.15,29,0,0,18,55,9,BODY SLAM,BUBBLEBEAM,HEADBUTT,DIG,65,82,47,47,45,0,0,0,0,0,0,0,73,92,47,47,45,268772,108999,139639,18169,1965,2,0,0,3428,3009,419,0,240,49,45,4,1,0,6758,4190,273,273,151,38,65,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,25965,0,0,0,0,14,16,0,2,1,7,0,14,0,Flareon
Marowak14,Marowak,Rival (Pokemon Tower),00:22:35.75,00:23:03.47,01:30:29.07,31,0,0,23,3,47,DIG,BUBBLEBEAM,ICE BEAM,BODY SLAM,71,88,50,50,51,0,-1,0,0,0,0,0,79,65,50,50,51,327684,148259,153996,23464,1965,2,0,0,4382,3816,566,0,324,53,49,4,1,0,8280,4826,301,301,165,45,68,0,0,0,0,0,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,30926,0,0,0,0,26,38,13,2,1,9,0,14,0,Flareon
