date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
5-06,15:30:35,NINTEN,Marowak,Rival1-Lab,1,Pallet Town - Oak's Lab,1,40.02,40,0h0m40s,0,0,0,6,0:02,5.764,BONE CLUB,TAIL WHIP,,,0,71,2,1,1,2,2,1,0,3000,Jolteon, ,Ground,Ground,222,Marowak8,Marowak,Rival (Lab),00:00:34.26,00:00:40.02,00:02:04.59,6,0,0,0,40,2,BONE CLUB,TAIL WHIP,,,18,30,0,0,0,0,0,0,22,25,16,20,12,12,12,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,16,20,12,12,12,9465,4862,2609,0,1994,0,0,0,71,71,0,0,2,2,1,1,0,0,29,21,3,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,8,0,Jolteon
5-06,15:32:08,NINTEN,Marowak,Lass,19,Viridian Forest,2,2:12.93,2:12,0h2m12s,0,0,0,7,0:08,11.784,BONE CLUB,TAIL WHIP,,,0,513,34,2,3,8,8,5,3,75,Flareon, ,Ground,Ground,373,Marowak8,Marowak,,00:02:01.14,00:02:12.93,00:08:12.01,7,0,0,2,12,93,BONE CLUB,TAIL WHIP,,,14,30,0,0,0,0,0,0,25,27,18,22,14,14,13,156,159,142,145,145,146,15,15,15,15,-1,-2,0,0,0,0,0,11,11,14,14,13,31487,20713,8221,559,1994,0,0,0,513,513,0,0,34,5,2,3,0,0,102,66,5,5,6,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,248,0,0,0,0,1,13,0,1,1,0,0,8,0,Flareon
5-06,15:32:36,NINTEN,Marowak,Bug Catcher,3,Viridian Forest,1,2:40.96,2:40,0h2m40s,0,0,0,7,0:10,13.977,BONE CLUB,TAIL WHIP,,,0,660,35,3,3,16,16,13,3,165,Flareon, ,Ground,Ground,485,Marowak8,Marowak,,00:02:26.99,00:02:40.96,00:10:03.16,7,0,0,2,40,96,BONE CLUB,TAIL WHIP,,,7,29,0,0,0,0,0,0,10,27,18,22,14,14,13,201,189,177,165,165,191,15,15,15,15,0,0,0,0,-1,0,0,18,22,14,14,8,38162,23663,11946,559,1994,0,0,0,660,660,0,0,35,6,3,3,0,0,133,96,20,20,11,7,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,360,0,0,0,0,2,13,0,1,1,0,0,8,0,Flareon
5-06,15:33:05,NINTEN,Marowak,Jr Trainer M,1,Pewter City - Gym,2,3:09.42,3:09,0h3m9s,0,0,0,9,0:11,12.147,BONE CLUB,TAIL WHIP,,,0,774,36,4,3,21,21,17,3,265,Flareon, ,Ground,Ground,819,Marowak8,Marowak,,00:02:57.28,00:03:09.42,00:11:55.26,9,0,0,3,9,42,BONE CLUB,TAIL WHIP,,,15,30,0,0,0,0,0,0,15,32,22,27,17,17,16,261,319,287,240,240,326,15,15,15,15,0,0,0,0,0,0,0,22,27,17,17,16,44892,26978,15361,559,1994,0,0,0,774,774,0,0,36,7,4,3,0,0,198,147,37,37,16,7,15,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,694,0,0,0,0,2,13,0,1,1,0,0,8,0,Flareon
5-06,15:33:22,NINTEN,Marowak,Brock,1,Pewter City - Gym,2,3:26.60,3:26,0h3m26s,0,0,0,10,0:13,10.704,BONE CLUB,TAIL WHIP,,,0,778,38,5,3,26,26,20,3,445,Flareon, ,Ground,Ground,1279,Marowak8,Marowak,Brock,00:03:15.90,00:03:26.60,00:13:03.06,10,0,0,3,26,60,BONE CLUB,TAIL WHIP,,,10,30,0,0,0,0,0,0,35,35,24,30,18,18,17,336,444,547,300,300,416,15,15,15,15,0,-2,0,0,0,0,0,24,15,18,18,17,48952,27589,18457,912,1994,0,0,0,778,778,0,0,38,8,5,3,0,0,267,208,37,37,20,9,16,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1154,0,0,0,0,2,13,0,1,1,0,0,8,0,Flareon
5-06,15:34:02,NINTEN,Marowak,Bug Catcher,4,Route 3,3,4:06.34,4:06,0h4m6s,0,0,0,11,0:15,19.356,BONE CLUB,TAIL WHIP,,,0,893,41,6,3,34,34,28,4,1633,Flareon, ,Ground,Ground,1614,Marowak8,Marowak,,00:03:46.99,00:04:06.34,00:15:40.26,11,0,0,4,6,34,BONE CLUB,TAIL WHIP,,,12,30,0,0,0,0,0,0,33,38,26,33,19,19,18,466,539,647,360,360,556,15,15,15,15,0,0,0,0,-4,0,0,36,33,19,19,5,58392,31399,24087,912,1994,0,0,0,893,893,0,0,41,9,6,3,0,0,385,297,42,42,27,11,23,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1489,0,0,0,0,2,13,0,1,1,0,0,8,0,Flareon
5-06,15:34:14,NINTEN,Marowak,Youngster Ben,1,Route 3,2,4:18.43,4:18,0h4m18s,0,0,0,12,0:16,8.796,BONE CLUB,TAIL WHIP,,,0,897,41,7,3,37,37,30,4,1733,Flareon, ,Ground,Ground,1892,Marowak8,Marowak,,00:04:09.63,00:04:18.43,00:16:28.05,12,0,0,4,18,43,BONE CLUB,TAIL WHIP,,,9,30,0,0,0,0,0,0,25,40,28,35,21,21,20,531,655,726,425,425,683,15,15,15,15,0,0,0,0,0,0,0,31,35,21,21,20,61251,31674,26671,912,1994,0,0,0,897,897,0,0,41,10,7,3,0,0,491,356,52,52,30,11,25,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1767,0,0,0,0,2,13,0,1,1,0,0,8,0,Flareon
5-06,15:34:26,NINTEN,Marowak,Lass,2,Route 3,2,4:30.25,4:30,0h4m30s,0,0,0,12,0:17,7.916,BONE CLUB,TAIL WHIP,,,0,903,42,8,3,40,40,32,4,1898,Flareon, ,Ground,Ground,2140,Marowak8,Marowak,,00:04:22.33,00:04:30.25,00:17:14.39,12,0,0,4,30,25,BONE CLUB,TAIL WHIP,,,6,30,0,0,0,0,0,0,20,40,28,35,21,21,20,607,768,801,490,490,805,15,15,15,15,0,-1,0,0,0,0,0,34,23,21,21,20,64045,32090,29049,912,1994,0,0,0,903,903,0,0,42,11,8,3,0,0,598,413,57,57,33,11,27,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2015,0,0,0,0,2,13,0,1,1,0,0,8,0,Flareon
5-06,15:35:07,NINTEN,Marowak,Bug Catcher,6,Route 3,2,5:11.97,5:11,0h5m11s,0,0,0,13,0:19,24.686,BONE CLUB,TAIL WHIP,,,0,1043,47,9,3,55,55,47,4,2048,Flareon, ,Ground,Ground,2433,Marowak8,Marowak,,00:04:47.28,00:05:11.97,00:19:59.59,13,0,0,5,11,97,BONE CLUB,TAIL WHIP,,,5,30,0,0,0,0,0,0,36,43,30,38,22,22,21,702,818,891,535,535,880,15,15,15,15,0,0,0,0,-2,0,0,33,38,22,22,10,73965,35648,35411,912,1994,0,0,0,1043,1043,0,0,47,12,9,3,0,0,672,478,64,64,44,15,32,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2308,0,0,0,0,2,13,0,1,1,0,0,8,0,Flareon
5-06,15:35:33,NINTEN,Marowak,Super Nerd,1,Mt Moon - 1,2,5:37.26,5:37,0h5m37s,0,0,0,14,0:21,7.758,BONE CLUB,TAIL WHIP,,,0,1186,54,10,3,57,57,48,4,2158,Flareon, ,Ground,Ground,2882,Marowak8,Marowak,,00:05:29.50,00:05:37.26,00:21:39.48,14,0,0,5,37,26,BONE CLUB,TAIL WHIP,,,18,30,0,0,0,0,0,0,43,45,32,41,24,24,22,767,883,1011,685,685,1025,15,15,15,15,0,0,0,0,0,0,0,36,41,24,24,22,79954,39376,37672,912,1994,0,0,0,1186,1186,0,0,54,13,10,3,0,0,765,537,66,66,46,15,33,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2757,0,0,0,0,2,13,0,1,1,0,0,8,0,Flareon
