ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Marowak13,Marowak,Rival (Lab),00:00:34.67,00:00:40.37,00:02:06.36,6,0,0,0,40,37,BONE CLUB,TAIL WHIP,,,16,20,12,12,12,0,0,0,0,0,0,0,16,20,12,12,12,9549,4987,2581,0,1981,0,0,0,71,71,0,0,4,2,1,1,0,0,23,21,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,13,0,Jolteon
Marowak13,Marowak,Brock,00:02:47.36,00:03:06.05,00:11:42.18,9,0,0,3,6,5,BONE CLUB,TAIL WHIP,,,22,27,16,16,16,0,-6,0,0,0,0,0,22,6,16,16,16,44091,25304,15887,919,1981,0,0,0,760,760,0,0,35,7,4,3,0,0,194,157,32,32,19,6,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,820,0,0,0,0,1,13,0,1,1,0,0,13,0,Flareon
Marowak13,Marowak,Rival (Nugget Bridge),00:08:10.01,00:08:35.95,00:33:24.43,19,0,0,8,35,95,BONE CLUB,WATER GUN,MEGA PUNCH,HEADBUTT,43,54,31,31,29,-2,-1,0,0,0,0,0,23,35,31,31,29,122236,53482,62880,3893,1981,1,0,0,1721,1721,0,0,84,20,17,3,0,0,1758,1229,156,156,74,22,47,0,0,0,0,0,4,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,38,6992,0,0,0,0,6,13,0,1,1,3,0,13,0,Flareon
Marowak13,Marowak,Oddish Lass,00:10:55.06,00:11:06.04,00:43:16.25,23,0,0,11,6,4,BONE CLUB,WATER GUN,MEGA PUNCH,HEADBUTT,51,65,37,37,35,0,0,0,0,0,0,0,57,65,37,37,35,157738,60607,90655,4495,1981,1,0,0,1836,1836,0,0,103,31,28,3,0,0,3367,2193,190,190,102,24,55,0,0,0,0,0,6,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,63,12050,0,0,0,0,7,13,0,1,1,3,0,13,0,Flareon
Marowak13,Marowak,Rocket,00:11:31.95,00:11:41.71,00:45:37.23,23,0,0,11,41,71,BONE CLUB,WATER GUN,MEGA PUNCH,HEADBUTT,51,65,37,37,35,0,0,0,0,0,0,0,57,65,37,37,35,166196,66261,93459,4495,1981,1,0,0,1977,1977,0,0,109,32,29,3,0,0,3496,2296,190,190,106,24,56,0,0,0,0,0,6,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,65,12739,0,0,0,0,8,13,0,1,1,3,0,13,0,Flareon
Marowak13,Marowak,Rival (SS Anne),00:14:08.42,00:14:22.19,00:56:09.37,26,0,0,14,22,19,DIG,WATER GUN,HEADBUTT,BODY SLAM,58,74,42,42,40,0,0,0,0,0,0,0,65,74,42,42,40,204130,80119,112974,9056,1981,1,0,0,2434,2434,0,0,170,39,36,3,0,0,5079,3028,216,216,122,34,59,0,0,0,0,0,7,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,81,17526,0,0,0,0,14,16,0,1,1,5,0,13,0,Flareon
Marowak13,Marowak,Misty,00:15:19.63,00:15:29.80,00:59:29.10,26,1,0,15,29,80,DIG,WATER GUN,HEADBUTT,BODY SLAM,58,74,42,42,40,0,0,0,0,0,0,0,65,74,42,42,40,216108,88299,115965,9704,2140,2,1,0,2629,2629,0,0,180,40,37,3,0,0,5203,3128,270,270,125,35,60,0,0,0,0,0,7,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,83,18865,0,0,0,0,14,16,0,1,1,5,0,13,1,Flareon
Marowak13,Marowak,Lt. Surge,00:16:10.34,00:16:16.34,01:02:32.38,27,1,0,16,16,34,DIG,WATER GUN,HEADBUTT,BODY SLAM,60,76,44,44,41,0,0,0,0,0,0,0,67,76,44,44,41,227116,95121,118005,11850,2140,2,1,0,2859,2859,0,0,196,41,38,3,0,0,5323,3204,270,270,126,35,61,0,0,0,0,0,7,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,84,19597,0,0,0,0,14,16,0,1,1,6,0,13,1,Flareon
Marowak13,Marowak,RTG1 - Wrapping Lass,00:16:57.53,00:17:10.37,01:06:05.30,27,1,0,17,10,37,DIG,WATER GUN,HEADBUTT,BODY SLAM,60,76,44,44,41,0,0,0,0,0,0,0,67,85,44,44,41,239888,102343,121633,13772,2140,2,1,0,3039,2987,52,0,218,42,39,3,0,0,5636,3394,270,270,130,36,61,0,0,0,0,0,7,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,88,20845,0,0,0,0,14,16,0,1,1,6,0,13,1,Flareon
Marowak13,Marowak,RTG4 - Status Jr Trainer,00:18:10.58,00:18:21.18,01:10:45.04,28,1,0,18,21,18,DIG,BUBBLEBEAM,HEADBUTT,BODY SLAM,63,79,45,45,43,0,0,0,0,0,0,0,70,88,45,45,43,256662,105639,132654,16229,2140,2,1,0,3236,2987,249,0,240,46,43,3,0,0,6334,3882,300,300,141,42,65,0,0,0,0,0,8,0,6,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,3,0,0,0,0,96,23725,0,0,0,0,14,16,0,1,1,7,0,13,1,Flareon
