date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
5-06,14:36:56,NINTEN,Marowak,Rival1-Lab,1,Pallet Town - Oak's Lab,1,41.76,41,0h0m41s,0,0,0,6,0:02,7.271,BONE CLUB,TAIL WHIP,,,0,71,3,1,1,3,3,3,0,3000,Jolteon, ,Ground,Ground,222,Marowak5,Marowak,Rival (Lab),00:00:34.49,00:00:41.76,00:02:11.20,6,0,0,0,41,76,BONE CLUB,TAIL WHIP,,,17,30,0,0,0,0,0,0,22,25,16,20,12,12,12,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,16,13,12,12,12,9879,4895,2957,0,2027,0,0,0,71,71,0,0,3,2,1,1,0,0,24,21,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,5,0,Jolteon
5-06,14:38:23,NINTEN,Marowak,Lass,19,Viridian Forest,2,2:09.32,2:09,0h2m9s,0,0,0,7,0:07,7.826,BONE CLUB,TAIL WHIP,,,0,516,34,2,3,6,6,4,3,75,Flareon, ,Ground,Ground,373,Marowak5,Marowak,,00:02:01.49,00:02:09.32,00:07:57.05,7,0,0,2,9,32,BONE CLUB,TAIL WHIP,,,17,30,0,0,0,0,0,0,25,27,18,22,14,14,13,156,159,142,145,145,146,15,15,15,15,0,0,0,0,0,0,0,18,22,14,14,13,30624,20326,7635,636,2027,0,0,0,516,516,0,0,34,5,2,3,0,0,88,66,5,5,4,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,248,0,0,0,0,0,14,0,1,1,0,0,5,0,Flareon
5-06,14:38:51,NINTEN,Marowak,Bug Catcher,3,Viridian Forest,1,2:37.22,2:37,0h2m37s,0,0,0,7,0:09,13.256,BONE CLUB,TAIL WHIP,,,0,667,41,3,3,12,12,10,3,165,Flareon, ,Ground,Ground,485,Marowak5,Marowak,,00:02:23.96,00:02:37.22,00:09:47.47,7,0,0,2,37,22,BONE CLUB,TAIL WHIP,,,15,26,0,0,0,0,0,0,13,27,18,22,14,14,13,201,189,177,165,165,191,15,15,15,15,0,0,0,0,-2,0,0,18,22,14,14,6,37266,23422,11181,636,2027,0,0,0,667,667,0,0,41,6,3,3,0,0,120,96,17,17,10,3,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,360,0,0,0,0,1,14,0,1,1,0,0,5,0,Flareon
5-06,14:39:26,NINTEN,Marowak,Brock,1,Pewter City - Gym,2,3:12.08,3:12,0h3m12s,0,0,0,9,0:12,20.148,BONE CLUB,TAIL WHIP,,,0,779,42,4,3,23,23,17,3,265,Flareon, ,Ground,Ground,945,Marowak5,Marowak,Brock,00:02:51.93,00:03:12.08,00:12:05.34,9,0,0,3,12,8,BONE CLUB,TAIL WHIP,,,9,21,0,0,0,0,0,0,13,32,22,27,16,16,16,276,314,437,225,225,281,15,15,15,15,0,0,0,0,0,0,0,22,27,16,16,16,45533,26011,16494,1001,2027,0,0,0,779,779,0,0,42,7,4,3,0,0,194,157,36,36,19,8,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,820,0,0,0,0,1,14,0,1,1,0,0,5,0,Flareon
5-06,14:40:12,NINTEN,Marowak,Bug Catcher,4,Route 3,3,3:57.96,3:57,0h3m57s,0,0,0,10,0:15,25.811,BONE CLUB,TAIL WHIP,,,0,890,44,5,3,34,34,28,4,1453,Flareon,Poisoned,Ground,Ground,1280,Marowak5,Marowak,,00:03:32.15,00:03:57.96,00:15:07.13,10,0,0,3,57,96,BONE CLUB,TAIL WHIP,,,11,28,0,0,0,0,0,0,19,35,24,30,18,18,17,406,409,537,285,285,421,15,15,15,15,0,0,0,0,-3,0,0,27,30,18,18,6,56432,29769,23635,1001,2027,0,0,0,890,890,0,0,44,8,5,3,0,0,318,246,52,52,27,12,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1155,0,0,0,0,1,14,0,1,1,0,0,5,0,Flareon
5-06,14:40:32,NINTEN,Marowak,Youngster Ben,1,Route 3,2,4:17.68,4:17,0h4m17s,0,0,0,11,0:16,12.712,BONE CLUB,TAIL WHIP,,,0,894,44,6,3,40,40,33,4,1553,Flareon, ,Ground,Ground,1558,Marowak5,Marowak,,00:04:04.97,00:04:17.68,00:16:24.48,11,0,0,4,17,68,BONE CLUB,TAIL WHIP,,,5,28,0,0,0,0,0,0,24,38,26,33,19,19,18,471,525,616,350,350,548,15,15,15,15,0,-1,0,0,0,0,0,29,21,19,19,18,61087,30108,27170,1782,2027,0,0,0,894,894,0,0,44,9,6,3,0,0,406,305,66,66,30,16,27,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1433,0,0,0,0,1,14,0,1,1,0,0,5,0,Flareon
5-06,14:40:45,NINTEN,Marowak,Lass,2,Route 3,2,4:31.22,4:31,0h4m31s,0,0,0,12,0:17,9.639,BONE CLUB,TAIL WHIP,,,0,900,45,7,3,44,44,36,4,1718,Flareon, ,Ground,Ground,1806,Marowak5,Marowak,,00:04:21.58,00:04:31.22,00:17:18.13,12,0,0,4,31,22,BONE CLUB,TAIL WHIP,,,1,28,0,0,0,0,0,0,11,40,28,35,21,21,20,547,638,691,415,415,670,15,15,15,15,0,0,0,0,0,0,0,31,35,21,21,20,64292,30525,29958,1782,2027,0,0,0,900,900,0,0,45,10,7,3,0,0,502,362,81,81,33,17,30,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1681,0,0,0,0,1,14,0,1,1,0,0,5,0,Flareon
5-06,14:41:24,NINTEN,Marowak,Bug Catcher,6,Route 3,2,5:09.78,5:09,0h5m9s,0,0,0,12,0:19,20.773,BONE CLUB,TAIL WHIP,,,0,1038,52,8,3,56,56,48,4,1868,Flareon, ,Ground,Ground,2099,Marowak5,Marowak,,00:04:49.01,00:05:09.78,00:19:50.55,12,0,0,5,9,78,BONE CLUB,TAIL WHIP,,,8,30,0,0,0,0,0,0,35,40,28,35,21,21,20,642,688,781,460,460,745,15,15,15,15,0,0,0,0,-1,0,0,34,35,21,21,13,73454,34272,35373,1782,2027,0,0,0,1038,1038,0,0,52,11,8,3,0,0,586,427,86,86,44,18,33,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1974,0,0,0,0,1,14,0,1,1,0,0,5,0,Flareon
5-06,14:41:56,NINTEN,Marowak,Super Nerd,1,Mt Moon - 1,2,5:42.01,5:42,0h5m42s,0,0,0,13,0:21,8.879,BONE CLUB,TAIL WHIP,WATER GUN,,0,1207,62,9,3,59,59,50,4,1978,Flareon, ,Ground,Ground,2548,Marowak5,Marowak,,00:05:33.13,00:05:42.01,00:21:58.17,13,0,0,5,42,1,BONE CLUB,TAIL WHIP,WATER GUN,,17,30,25,0,0,0,0,0,43,43,30,38,22,22,21,707,753,901,610,610,890,15,15,15,15,0,-2,0,0,0,0,0,37,19,22,22,21,81096,38653,37896,2520,2027,0,0,0,1207,1207,0,0,62,12,9,3,0,0,676,486,86,86,46,20,34,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2423,0,0,0,0,2,14,0,1,1,1,0,5,0,Flareon
5-06,14:42:18,NINTEN,Marowak,Hiker,1,Mt Moon - 1,3,6:03.54,6:03,0h6m3s,0,0,0,14,0:23,11.375,BONE CLUB,TAIL WHIP,WATER GUN,,0,1301,66,10,3,62,62,50,5,2253,Flareon, ,Ground,Ground,3145,Marowak5,Marowak,,00:05:52.16,00:06:03.54,00:23:23.28,14,0,0,6,3,54,BONE CLUB,TAIL WHIP,WATER GUN,,17,30,22,0,0,0,0,0,45,45,32,41,24,24,22,822,958,1261,700,700,1000,15,15,15,15,0,0,0,0,0,0,0,36,41,24,24,22,86207,40645,41015,2520,2027,0,0,0,1301,1301,0,0,66,13,10,3,0,0,851,572,86,86,49,20,34,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3020,0,0,0,0,3,14,0,1,1,1,0,5,0,Flareon
