player_name,pokemon,trainer_name,real_time_hmmss,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4
NINTEN,Marowak,Rival1-Lab,46,0,0,6,0:02,7.415,BONE CLUB,TAIL WHIP,,
NINTEN,Marowak,Brock,4:27,1,1,9,0:15,15.44,BONE CLUB,TAIL WHIP,,
NINTEN,Marowak,Rival2-Nugget Bridge,10:37,2,2,18,0:35,24.136,BONE CLUB,WATER GUN,HEADBUTT,MEGA PUNCH
NINTEN,Marowak,Cerulean Rocket,14:14,2,2,23,0:49,10.137,BONE CLUB,HEADBUTT,WATER GUN,MEGA PUNCH
NINTEN,Marowak,Rival3-SS Anne,17:33,3,2,25,1:01,13.281,DIG,HEADBUTT,WATER GUN,BODY SLAM
NINTEN,Marowak,Misty,18:27,3,2,26,1:05,12.293,DIG,HEADBUTT,WATER GUN,BODY SLAM
NINTEN,Marowak,Surge,19:26,3,2,26,1:09,5.512,DIG,HEADBUTT,BUBBLEBEAM,BODY SLAM
NINTEN,Marowak,Rival4-Pkmn Tower,27:35,3,2,31,1:41,26.774,DIG,ICE BEAM,BUBBLEBEAM,BODY SLAM
NINTEN,Marowak,Rival5-Silph,38:02,3,2,42,2:22,28.714,DIG,ICE BEAM,BUBBLEBEAM,BODY SLAM
NINTEN,Marowak,Erika,40:16,3,2,45,2:31,13.629,DIG,ICE BEAM,BUBBLEBEAM,BODY SLAM
NINTEN,Marowak,Koga,42:09,3,2,47,2:38,26.756,DIG,ICE BEAM,BUBBLEBEAM,BODY SLAM
NINTEN,Marowak,Sabrina,49:34,6,2,51,3:03,12.227,EARTHQUAKE,ICE BEAM,BUBBLEBEAM,BODY SLAM
NINTEN,Marowak,Blaine,50:40,7,2,52,3:06,14.699,EARTHQUAKE,ICE BEAM,BUBBLEBEAM,BODY SLAM
NINTEN,Marowak,Giovanni,52:29,7,2,54,3:13,25.34,EARTHQUAKE,ICE BEAM,BUBBLEBEAM,BODY SLAM
NINTEN,Marowak,Rival6-Route 22,54:17,7,2,55,3:20,27.333,EARTHQUAKE,ICE BEAM,BUBBLEBEAM,BODY SLAM
NINTEN,Marowak,Lorelei,1:00:05,9,2,69,3:38,38.575,EARTHQUAKE,ICE BEAM,REST,MIMIC
NINTEN,Marowak,Bruno,1:00:45,9,2,70,3:41,19.058,EARTHQUAKE,ICE BEAM,REST,MIMIC
NINTEN,Marowak,Agatha,1:02:07,9,2,70,3:47,71.405,EARTHQUAKE,ICE BEAM,REST,MIMIC
NINTEN,Marowak,Lance,1:03:59,13,2,71,3:50,37.82,EARTHQUAKE,ICE BEAM,REST,MIMIC
NINTEN,Marowak,Champion,1:06:19,14,2,72,3:56,73.893,EARTHQUAKE,ICE BEAM,REST,MIMIC
NINTEN,Marowak,Champion,1:06:19,14,2,72,3:58,96.217,EARTHQUAKE,ICE BEAM,REST,MIMIC
