ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Mew107,Mew,Rival (Lab),00:00:33.37,00:00:42.68,00:02:16.32,6,0,0,0,42,68,POUND,,,,18,18,18,18,18,0,0,0,0,0,0,0,18,18,18,18,18,10103,4730,3434,0,1939,0,0,0,71,71,0,0,2,2,1,1,0,0,24,21,11,11,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,107,0,Jolteon
Mew107,Mew,Brock,00:03:35.25,00:04:27.32,00:17:05.04,13,0,0,4,27,32,POUND,TRANSFORM,,,35,35,35,35,35,0,-4,0,0,0,0,0,17,14,14,14,23,63415,26598,34878,0,1939,0,0,0,825,825,0,0,31,9,6,3,0,0,337,288,76,76,57,8,28,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1410,0,0,0,0,1,5,0,1,1,1,0,107,0,Flareon
Mew107,Mew,Misty,00:07:31.33,00:07:46.45,00:30:11.12,20,0,0,7,46,45,MEGA PUNCH,TRANSFORM,POUND,,52,53,52,52,53,0,0,0,0,0,0,0,58,53,52,52,53,110583,44770,62576,1298,1939,0,0,0,1527,1527,0,0,55,17,14,3,0,0,1180,926,164,164,92,16,46,0,0,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5876,0,0,0,0,3,5,0,1,1,2,0,107,0,Flareon
Mew107,Mew,Rival (Nugget Bridge),00:08:05.89,00:08:19.96,00:32:23.15,21,0,0,8,19,96,BUBBLEBEAM,TRANSFORM,POUND,MEGA PUNCH,55,55,54,54,55,0,0,0,0,0,0,0,61,55,54,54,55,118506,48109,66511,1947,1939,0,0,0,1621,1621,0,0,62,18,15,3,0,0,1418,1097,169,169,97,16,47,0,0,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6914,0,0,0,0,4,5,0,1,1,3,0,107,0,Flareon
Mew107,Mew,Oddish Lass,00:10:17.57,00:10:27.47,00:40:45.27,26,0,0,10,27,47,BUBBLEBEAM,TRANSFORM,POUND,MEGA PUNCH,68,68,67,67,68,0,0,0,0,0,0,0,76,68,67,67,68,148638,54982,88511,3206,1939,0,0,0,1745,1745,0,0,87,28,25,3,0,0,2944,1913,182,182,118,18,51,0,0,0,0,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,11014,0,0,0,0,5,5,0,1,1,3,0,107,0,Flareon
Mew107,Mew,Rocket,00:10:52.73,00:11:01.59,00:43:00.17,26,0,0,11,1,59,BUBBLEBEAM,TRANSFORM,POUND,MEGA PUNCH,68,68,67,67,68,0,0,0,0,0,0,0,76,68,67,67,68,156728,60476,91107,3206,1939,0,0,0,1884,1884,0,0,90,29,26,3,0,0,3120,2016,190,190,121,18,52,0,0,0,0,0,21,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,11703,0,0,0,0,6,5,0,1,1,3,0,107,0,Flareon
Mew107,Mew,Rival (SS Anne),00:12:16.49,00:12:28.54,00:48:42.56,27,0,0,12,28,54,BODY SLAM,BUBBLEBEAM,POUND,MEGA PUNCH,70,70,70,70,70,0,0,0,0,0,0,0,78,70,70,70,70,177287,69466,101407,4475,1939,0,0,0,2203,2203,0,0,112,33,30,3,0,0,3926,2467,207,207,132,19,56,0,0,0,0,0,24,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,14310,0,0,0,0,8,8,0,1,1,4,0,107,0,Flareon
Mew107,Mew,Lt. Surge,00:13:16.05,00:13:22.74,00:52:16.48,28,0,0,13,22,74,BODY SLAM,BUBBLEBEAM,POUND,MEGA PUNCH,73,73,73,73,73,0,0,0,0,0,0,0,82,73,73,73,73,190119,76139,103536,8505,1939,0,0,0,2382,2382,0,0,122,34,31,3,0,0,4029,2543,250,250,134,19,57,0,0,0,0,0,25,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,15042,0,0,0,0,8,8,0,1,1,6,0,107,0,Flareon
Mew107,Mew,RTG1 - Wrapping Lass,00:14:13.07,00:14:23.53,00:56:16.13,28,0,0,14,23,53,BODY SLAM,BUBBLEBEAM,POUND,THUNDERBOLT,73,73,73,73,73,0,0,0,0,0,0,0,82,82,73,73,73,204484,84334,106594,11617,1939,0,0,0,2572,2534,38,0,143,35,32,3,0,0,4424,2733,250,250,138,19,57,0,0,0,0,0,27,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,16290,0,0,0,0,8,8,0,1,1,7,0,107,0,Flareon
Mew107,Mew,RTG4 - Status Jr Trainer,00:15:07.14,00:15:18.11,00:59:51.31,30,0,0,15,18,11,BODY SLAM,BUBBLEBEAM,POUND,THUNDERBOLT,78,78,78,78,78,0,0,0,0,0,0,0,87,87,78,78,78,217402,87372,115723,12368,1939,0,0,0,2773,2534,239,0,159,39,36,3,0,0,5253,3221,250,250,147,19,57,0,0,0,0,0,28,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,79,19170,0,0,0,0,8,8,0,1,1,7,0,107,0,Flareon
