date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
3-05,20:13:31,NINTEN,Mew,Rival1-Lab,1,Pallet Town - Oak's Lab,1,41.45,41,0h0m41s,0,0,0,6,0:02,8.103,POUND,,,,0,71,2,1,1,3,3,2,0,3000,Jolteon, ,Psychic,Psychic,232,Mew68,Mew,Rival (Lab),00:00:33.35,00:00:41.45,00:02:11.18,6,0,0,0,41,45,POUND,,,,32,0,0,0,0,0,0,0,29,29,18,18,18,18,18,55,55,50,65,65,55,15,15,15,15,0,-2,0,0,0,0,0,18,9,18,18,18,9807,4718,3132,0,1957,0,0,0,71,71,0,0,2,2,1,1,0,0,22,21,0,0,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,68,0,Jolteon
3-05,20:14:55,NINTEN,Mew,Bug Catcher,1,Viridian Forest,2,2:05.26,2:05,0h2m5s,0,0,0,8,0:07,18.357,POUND,,,,0,514,18,2,2,11,11,10,3,2175,Flareon, ,Psychic,Psychic,390,Mew68,Mew,,00:01:46.91,00:02:05.26,00:07:42.24,8,0,0,2,5,26,POUND,,,,27,0,0,0,0,0,0,0,34,36,23,23,23,23,23,145,115,120,105,105,145,15,15,15,15,0,0,0,0,-6,0,0,23,23,23,23,5,29673,18829,8887,0,1957,0,0,0,514,514,0,0,18,4,2,2,0,0,79,69,2,2,11,1,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,5,0,0,0,0,0,68,0,Flareon
3-05,20:15:17,NINTEN,Mew,Bug Catcher,2,Viridian Forest,3,2:27.59,2:27,0h2m27s,0,0,0,10,0:09,18.423,POUND,TRANSFORM,,,0,528,18,3,2,19,19,15,3,2245,Flareon, ,Psychic,Psychic,639,Mew68,Mew,,00:02:09.16,00:02:27.59,00:09:10.42,10,0,0,2,27,59,POUND,TRANSFORM,,,19,10,0,0,0,0,0,0,41,43,28,28,28,28,28,290,185,265,175,175,250,15,15,15,15,0,0,0,0,-1,0,0,28,28,28,28,18,34971,19317,13697,0,1957,0,0,0,528,528,0,0,18,5,3,2,0,0,155,135,2,2,19,1,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,5,0,0,0,0,0,68,0,Flareon
3-05,20:15:39,NINTEN,Mew,Bug Catcher,3,Viridian Forest,1,2:48.97,2:48,0h2m48s,0,0,0,11,0:10,7.728,POUND,TRANSFORM,,,0,617,23,4,3,23,23,17,3,2305,Flareon, ,Psychic,Psychic,782,Mew68,Mew,,00:02:41.24,00:02:48.97,00:10:35.14,11,0,0,2,48,97,POUND,TRANSFORM,,,15,10,0,0,0,0,0,0,44,46,30,30,30,30,30,375,260,340,230,230,351,15,15,15,15,0,0,0,0,-1,0,0,30,30,30,30,19,40043,21149,16937,0,1957,0,0,0,617,617,0,0,23,7,4,3,0,0,210,182,2,2,23,2,11,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,647,0,0,0,0,1,5,0,0,0,1,0,68,0,Flareon
3-05,20:16:16,NINTEN,Mew,Jr Trainer M,1,Pewter City - Gym,2,3:26.14,3:26,0h3m26s,0,0,0,12,0:13,14.711,POUND,TRANSFORM,,,0,731,24,5,4,30,30,22,2,2405,Flareon, ,Psychic,Psychic,1116,Mew68,Mew,,00:03:11.42,00:03:26.14,00:13:01.47,12,0,0,3,26,14,POUND,TRANSFORM,,,28,10,0,0,0,0,0,0,34,50,33,33,33,33,33,435,390,450,305,305,486,15,15,15,15,0,0,0,0,0,0,0,33,33,33,33,33,48836,24463,22416,0,1957,0,0,0,731,731,0,0,24,9,5,4,0,0,273,233,18,18,30,2,16,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,981,0,0,0,0,1,5,0,1,1,1,0,68,0,Flareon
3-05,20:17:15,NINTEN,Mew,Brock,1,Pewter City - Gym,2,4:24.96,4:24,0h4m24s,0,0,0,13,0:16,52.776,POUND,TRANSFORM,,,0,735,25,6,4,70,57,43,2,2585,Flareon, ,Psychic,Psychic,1576,Mew68,Mew,Brock,00:03:32.19,00:04:24.96,00:16:55.14,13,0,0,4,24,96,POUND,TRANSFORM,,,13,9,0,0,0,0,0,0,8,53,35,35,35,35,35,510,515,710,365,365,576,15,15,15,15,0,-2,0,0,0,0,0,17,22,14,14,23,62843,24988,35579,319,1957,0,0,0,735,735,0,0,25,10,6,4,0,0,336,294,63,63,55,8,31,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1441,0,0,0,0,1,5,0,1,1,1,0,68,0,Flareon
3-05,20:17:49,NINTEN,Mew,Bug Catcher,4,Route 3,3,4:59.13,4:59,0h4m59s,0,0,0,14,0:19,14.321,POUND,TRANSFORM,,,0,846,26,7,4,76,63,46,3,3773,Flareon, ,Psychic,Psychic,1911,Mew68,Mew,,00:04:44.81,00:04:59.13,00:19:10.13,14,0,0,4,59,13,POUND,TRANSFORM,,,29,10,0,0,0,0,0,0,52,57,38,38,37,37,38,640,610,810,425,425,716,15,15,15,15,0,0,0,0,-1,0,0,47,38,37,37,25,70942,28693,39973,319,1957,0,0,0,846,846,0,0,26,11,7,4,0,0,447,383,68,68,61,8,34,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1776,0,0,0,0,1,5,0,1,1,1,0,68,0,Flareon
3-05,20:18:04,NINTEN,Mew,Youngster Ben,1,Route 3,2,5:14.43,5:14,0h5m14s,0,0,0,15,0:20,11.844,POUND,TRANSFORM,,,0,849,26,8,4,82,67,48,3,3873,Flareon, ,Psychic,Psychic,2189,Mew68,Mew,,00:05:02.60,00:05:14.43,00:20:10.38,15,0,0,5,14,43,POUND,TRANSFORM,,,25,10,0,0,0,0,0,0,47,60,40,40,40,40,40,705,726,889,490,490,843,15,15,15,15,0,0,0,0,0,0,0,45,40,40,40,40,74567,28997,43294,319,1957,0,0,0,849,849,0,0,26,12,8,4,0,0,527,442,76,76,65,8,36,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2054,0,0,0,0,1,5,0,1,1,1,0,68,0,Flareon
3-05,20:18:25,NINTEN,Mew,Bug Catcher,5,Route 3,4,5:34.93,5:34,0h5m34s,0,0,0,16,0:21,17.495,POUND,TRANSFORM,,,0,854,26,9,4,90,75,52,3,4038,Flareon, ,Psychic,Psychic,2664,Mew68,Mew,,00:05:17.43,00:05:34.93,00:21:31.31,16,0,0,5,34,93,POUND,TRANSFORM,,,17,10,0,0,0,0,0,0,48,63,42,43,42,42,43,885,836,1059,580,580,1003,15,15,15,15,0,0,0,0,0,0,0,47,43,42,42,43,79420,29195,47949,319,1957,0,0,0,854,854,0,0,26,13,9,4,0,0,705,554,78,78,73,9,37,0,0,0,0,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2529,0,0,0,0,1,5,0,1,1,1,0,68,0,Flareon
3-05,20:18:40,NINTEN,Mew,Bug Catcher,6,Route 3,2,5:50.06,5:50,0h5m50s,0,0,0,16,0:22,10.843,POUND,TRANSFORM,,,0,862,27,10,4,95,80,55,3,4128,Flareon, ,Psychic,Psychic,2957,Mew68,Mew,,00:05:39.23,00:05:50.06,00:22:31.16,16,0,0,5,50,6,POUND,TRANSFORM,,,12,10,0,0,0,0,0,0,48,63,42,43,42,42,43,980,886,1149,625,625,1078,15,15,15,15,0,0,0,0,0,0,0,47,43,42,42,43,83005,29669,51060,319,1957,0,0,0,862,862,0,0,27,14,10,4,0,0,791,619,78,78,78,10,37,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2822,0,0,0,0,1,5,0,1,1,1,0,68,0,Flareon
