ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Mew 53,Mew,Rival (Lab),00:00:33.62,00:00:41.29,00:02:07.53,6,0,0,0,41,29,POUND,,,,18,18,18,18,18,0,0,0,0,0,0,0,18,18,18,18,18,9763,4606,3039,0,2118,0,0,0,71,71,0,0,2,2,1,1,0,0,22,21,3,3,3,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,332,0,Jolteon
Mew 53,Mew,Brock,00:03:17.78,00:03:56.79,00:15:00.42,13,0,0,3,56,79,POUND,TRANSFORM,,,35,35,35,35,35,0,-2,0,0,0,0,0,17,22,14,14,23,56132,23005,30493,516,2118,0,0,0,700,700,0,0,20,9,6,3,0,0,296,275,59,59,43,10,26,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1374,0,0,0,0,0,6,0,1,1,1,0,332,0,Flareon
Mew 53,Mew,Misty,00:07:01.65,00:07:16.38,00:28:08.51,21,0,0,7,16,38,MEGA PUNCH,TRANSFORM,POUND,,55,55,54,54,55,0,0,0,0,0,0,0,61,55,54,54,55,103421,40357,57759,3187,2118,0,0,0,1370,1370,0,0,62,17,14,3,0,0,1254,968,109,109,79,13,37,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6067,0,0,0,0,2,6,0,1,1,2,0,332,0,Flareon
Mew 53,Mew,Rival (Nugget Bridge),00:07:39.93,00:07:54.92,00:30:40.44,22,0,0,7,54,92,MEGA PUNCH,TRANSFORM,POUND,BUBBLEBEAM,57,57,57,57,57,0,-1,0,0,0,-1,0,64,37,57,57,57,112534,44765,61906,3745,2118,0,0,0,1474,1474,0,0,71,18,15,3,0,0,1511,1139,109,109,84,14,39,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7105,0,0,0,0,3,6,0,1,1,3,0,332,0,Flareon
Mew 53,Mew,Oddish Lass,00:09:44.54,00:09:55.51,00:38:36.09,25,0,0,9,55,51,MEGA PUNCH,TRANSFORM,POUND,BUBBLEBEAM,65,65,65,65,65,0,0,0,0,0,0,0,73,65,65,65,65,141059,51356,83840,3745,2118,0,0,0,1594,1594,0,0,94,28,25,3,0,0,3129,1955,112,112,105,17,40,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,11205,0,0,0,0,4,6,0,1,1,3,0,332,0,Flareon
Mew 53,Mew,Rocket,00:10:19.68,00:10:26.50,00:40:38.36,25,0,0,10,26,50,MEGA PUNCH,TRANSFORM,POUND,BUBBLEBEAM,65,65,65,65,65,0,0,0,0,0,0,0,73,65,65,65,65,148406,56623,85920,3745,2118,0,0,0,1737,1737,0,0,107,29,26,3,0,0,3240,2058,112,112,107,17,40,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,11894,0,0,0,0,4,6,0,1,1,3,0,332,0,Flareon
Mew 53,Mew,Rival (SS Anne),00:11:31.62,00:11:43.83,00:45:43.42,26,0,0,11,43,83,MEGA PUNCH,DIG,POUND,BUBBLEBEAM,68,68,67,67,68,0,0,0,0,0,0,0,76,68,67,67,68,166712,65204,94506,4884,2118,0,0,0,2034,2034,0,0,122,32,29,3,0,0,3827,2456,133,133,116,19,44,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,14231,0,0,0,0,5,13,0,1,1,4,0,332,0,Flareon
Mew 53,Mew,Lt. Surge,00:12:18.18,00:12:24.92,00:48:26.04,27,0,0,12,24,92,MEGA PUNCH,DIG,POUND,BUBBLEBEAM,70,70,70,70,71,0,0,0,0,0,0,0,78,70,70,70,71,176454,71816,96660,5860,2118,0,0,0,2214,2214,0,0,134,33,30,3,0,0,3959,2532,133,133,117,20,44,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,14963,0,0,0,0,5,13,0,1,1,5,0,332,0,Flareon
Mew 53,Mew,RTG1 - Wrapping Lass,00:13:12.31,00:13:26.71,00:52:29.43,27,0,0,13,26,71,THUNDERBOLT,DIG,POUND,BUBBLEBEAM,70,70,70,70,71,0,0,0,0,0,0,0,78,78,70,70,71,191073,78589,100644,9722,2118,0,0,0,2392,2343,49,0,149,34,31,3,0,0,4329,2722,133,133,121,21,44,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,16211,0,0,0,0,5,13,0,1,1,6,0,332,0,Flareon
Mew 53,Mew,RTG4 - Status Jr Trainer,00:14:10.05,00:14:18.95,00:55:55.32,29,0,0,14,18,95,THUNDERBOLT,DIG,POUND,BUBBLEBEAM,76,76,75,75,76,0,0,0,0,0,0,0,85,85,75,75,76,203422,81745,109097,10462,2118,0,0,0,2594,2343,251,0,176,38,35,3,0,0,5158,3210,133,133,129,21,44,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,19091,0,0,0,0,5,13,0,1,1,6,0,332,0,Flareon
