date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
12-08,12:12:02,NINTEN,Mew,Rival1-Lab,1,Pallet Town - Oak's Lab,1,44.63,44,0h0m44s,0,0,0,6,0:02,8.988,POUND,,,,0,73,18,1,1,4,4,3,0,3000,Jolteon, ,Psychic,Psychic,232,Mew 52,Mew,Rival (Lab),00:00:35.64,00:00:44.63,00:02:19.00,6,0,0,0,44,63,POUND,,,,31,0,0,0,0,0,0,0,23,29,18,18,18,18,18,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,18,18,18,18,18,10559,4929,3383,0,2247,0,0,0,73,73,0,0,18,2,1,1,0,0,26,21,6,6,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,346,0,Jolteon
12-08,12:13:35,NINTEN,Mew,Bug Catcher,1,Viridian Forest,2,2:17.44,2:17,0h2m17s,0,0,0,8,0:08,18.165,POUND,,,,0,540,68,2,2,12,12,11,3,175,Flareon, ,Psychic,Psychic,390,Mew 52,Mew,,00:01:59.27,00:02:17.44,00:08:25.56,8,0,0,2,17,44,POUND,,,,27,0,0,0,0,0,0,0,30,36,23,23,23,23,23,145,115,120,105,105,145,15,15,15,15,0,0,0,0,-4,0,0,23,23,23,23,7,32575,21280,9048,0,2247,0,0,0,540,540,0,0,68,4,2,2,0,0,79,69,12,12,12,2,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,15,0,0,0,0,0,346,0,Flareon
12-08,12:14:09,NINTEN,Mew,Bug Catcher,2,Viridian Forest,3,2:51.14,2:51,0h2m51s,0,0,0,10,0:10,21.208,POUND,TRANSFORM,,,0,554,68,3,3,23,23,19,3,245,Flareon, ,Psychic,Psychic,639,Mew 52,Mew,,00:02:29.94,00:02:51.15,00:10:39.12,10,0,0,2,51,15,POUND,TRANSFORM,,,16,10,0,0,0,0,0,0,33,43,28,28,28,28,28,290,185,265,175,175,250,15,15,15,15,0,0,0,0,-1,0,0,28,28,28,28,18,40571,21821,16503,0,2247,0,0,0,554,554,0,0,68,6,3,3,0,0,169,146,16,16,23,2,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,15,0,1,1,0,0,346,0,Flareon
12-08,12:14:27,NINTEN,Mew,Bug Catcher,15,Viridian Forest,2,3:09.85,3:09,0h3m9s,0,0,0,11,0:11,13.09,POUND,TRANSFORM,,,0,581,73,4,3,29,29,23,3,305,Flareon, ,Psychic,Psychic,852,Mew 52,Mew,,00:02:56.77,00:03:09.86,00:11:53.12,11,0,0,3,9,86,POUND,TRANSFORM,,,10,10,0,0,0,0,0,0,32,46,30,30,30,30,30,385,235,355,220,220,325,15,15,15,15,0,0,0,0,0,0,0,30,30,30,30,30,45011,22729,20035,0,2247,0,0,0,581,581,0,0,73,7,4,3,0,0,231,199,20,20,29,2,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,717,0,0,0,0,1,15,0,1,1,1,0,346,0,Flareon
12-08,12:14:40,NINTEN,Mew,Bug Catcher,3,Viridian Forest,1,3:22.30,3:22,0h3m22s,0,0,0,11,0:12,5.716,POUND,TRANSFORM,,,0,640,76,5,3,31,31,24,3,385,Flareon, ,Psychic,Psychic,964,Mew 52,Mew,,00:03:16.59,00:03:22.30,00:12:42.25,11,0,0,3,22,30,POUND,TRANSFORM,,,8,10,0,0,0,0,0,0,30,46,30,30,30,30,30,430,265,390,240,240,370,15,15,15,15,0,0,0,0,0,0,0,30,30,30,30,30,47964,23927,21790,0,2247,0,0,0,640,640,0,0,76,8,5,3,0,0,261,229,22,22,31,2,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,829,0,0,0,0,1,15,0,1,1,1,0,346,0,Flareon
12-08,12:15:11,NINTEN,Mew,Jr Trainer M,1,Pewter City - Gym,2,3:52.95,3:52,0h3m52s,0,0,0,13,0:14,14,POUND,TRANSFORM,,,0,758,79,6,3,37,37,28,3,485,Flareon, ,Psychic,Psychic,1298,Mew 52,Mew,,00:03:38.96,00:03:52.96,00:14:43.23,13,0,0,3,52,96,POUND,TRANSFORM,,,29,10,0,0,0,0,0,0,39,53,35,35,35,35,35,490,395,500,315,315,505,15,15,15,15,0,0,0,0,0,0,0,35,35,35,35,35,55222,27348,25627,0,2247,0,0,0,758,758,0,0,79,9,6,3,0,0,321,280,36,36,37,2,19,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1163,0,0,0,0,1,15,0,1,1,1,0,346,0,Flareon
12-08,12:16:27,NINTEN,Mew,Brock,1,Pewter City - Gym,2,5:09.27,5:09,0h5m9s,0,0,0,14,0:19,65.188,POUND,TRANSFORM,,,1,762,79,7,3,85,67,52,3,665,Flareon, ,Psychic,Psychic,1758,Mew 52,Mew,Brock,00:04:04.09,00:05:09.28,00:19:46.30,14,0,0,5,9,28,POUND,TRANSFORM,,,22,9,0,0,0,0,0,0,16,57,37,38,37,37,38,565,520,760,375,375,595,15,15,15,15,0,-6,0,0,0,0,0,17,11,14,14,23,73409,28019,41735,1408,2247,1,0,0,762,762,0,0,79,10,7,3,0,0,384,341,77,77,57,16,36,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1623,0,0,0,0,1,15,0,1,1,1,0,346,0,Flareon
12-08,12:17:04,NINTEN,Mew,Bug Catcher,4,Route 3,3,5:46.20,5:46,0h5m46s,0,0,0,15,0:22,13.775,POUND,TRANSFORM,,,1,885,87,8,3,91,73,55,4,1853,Flareon, ,Psychic,Psychic,2093,Mew 52,Mew,,00:05:32.43,00:05:46.20,00:22:12.29,15,0,0,5,46,20,POUND,TRANSFORM,,,29,10,0,0,0,0,0,0,56,60,40,40,40,40,40,695,615,860,435,435,735,15,15,15,15,0,0,0,0,0,0,0,45,40,40,40,40,82168,32534,45979,1408,2247,1,0,0,885,885,0,0,87,11,8,3,0,0,488,430,81,81,63,17,38,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1958,0,0,0,0,1,15,0,1,1,1,0,346,0,Flareon
12-08,12:17:16,NINTEN,Mew,Youngster Ben,1,Route 3,2,5:58.82,5:58,0h5m58s,0,0,0,15,0:23,9.353,POUND,TRANSFORM,,,1,888,87,9,3,95,77,57,4,1953,Flareon, ,Psychic,Psychic,2371,Mew 52,Mew,,00:05:49.47,00:05:58.82,00:23:02.14,15,0,0,5,58,82,POUND,TRANSFORM,,,25,10,0,0,0,0,0,0,54,60,40,40,40,40,40,760,731,939,500,500,862,15,15,15,15,0,0,0,0,0,0,0,45,40,40,40,40,85153,32823,48675,1408,2247,1,0,0,888,888,0,0,87,12,9,3,0,0,571,489,83,83,67,18,39,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2236,0,0,0,0,1,15,0,1,1,1,0,346,0,Flareon
12-08,12:17:31,NINTEN,Mew,Lass,2,Route 3,2,6:13.49,6:13,0h6m13s,0,0,0,16,0:24,10.784,POUND,TRANSFORM,,,1,895,89,10,3,99,81,60,4,2118,Flareon, ,Psychic,Psychic,2619,Mew 52,Mew,,00:06:02.72,00:06:13.50,00:24:00.12,16,0,0,6,13,50,POUND,TRANSFORM,,,21,10,0,0,0,0,0,0,47,63,42,43,42,42,43,836,844,1014,565,565,984,15,15,15,15,0,0,0,0,0,0,0,47,43,42,42,43,88631,33266,51710,1408,2247,1,0,0,895,895,0,0,89,13,10,3,0,0,668,546,93,93,71,18,42,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2484,0,0,0,0,1,15,0,1,1,1,0,346,0,Flareon
