ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Mew 52,Mew,Rival (Lab),00:00:34.21,00:00:43.63,00:02:19.05,6,0,0,0,43,63,POUND,,,,18,18,18,18,18,0,-1,0,0,0,0,0,18,11,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,Jolteon
Mew 52,Mew,Brock,00:03:31.93,00:04:23.49,00:16:48.42,13,0,0,4,23,49,POUND,TRANSFORM,,,35,35,35,35,35,0,-4,0,0,0,0,0,17,14,14,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,Flareon
Mew 52,Mew,Rival (Nugget Bridge),00:07:29.73,00:07:53.07,00:30:36.27,20,0,0,7,53,7,MEGA PUNCH,TRANSFORM,WATER GUN,POUND,52,53,52,52,53,-1,-2,0,0,0,-3,0,38,26,52,52,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,Flareon
Mew 52,Mew,Misty,00:08:14.86,00:08:28.22,00:32:55.07,21,0,0,8,28,22,MEGA PUNCH,TRANSFORM,WATER GUN,POUND,55,55,55,55,55,0,0,0,0,0,0,0,61,55,55,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,Flareon
Mew 52,Mew,Oddish Lass,00:10:37.08,00:10:46.22,00:41:59.27,24,0,0,10,46,22,BUBBLEBEAM,MEGA PUNCH,WATER GUN,POUND,63,63,62,62,63,0,0,0,0,0,0,0,70,63,62,62,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,Flareon
Mew 52,Mew,Rocket,00:11:11.76,00:11:22.78,00:44:24.04,25,0,0,11,22,78,POUND,MEGA PUNCH,WATER GUN,BUBBLEBEAM,65,65,65,65,65,0,0,0,0,0,0,0,73,65,65,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,Flareon
Mew 52,Mew,Rival (SS Anne),00:12:29.21,00:12:42.23,00:49:37.37,26,0,0,12,42,23,DIG,MEGA PUNCH,WATER GUN,BUBBLEBEAM,68,68,67,67,68,0,0,0,0,0,0,0,76,68,67,67,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,Flareon
Mew 52,Mew,Lt. Surge,00:13:16.82,00:13:21.87,00:52:14.12,26,0,0,13,21,87,DIG,MEGA PUNCH,WATER GUN,BUBBLEBEAM,68,68,67,67,68,0,0,0,0,0,0,0,76,68,67,67,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,Flareon
Mew 52,Mew,RTG1 - Wrapping Lass,00:14:20.39,00:14:35.00,00:57:02.45,27,0,0,14,35,0,DIG,MEGA PUNCH,THUNDERBOLT,BUBBLEBEAM,71,70,70,70,71,0,0,0,0,0,0,0,79,78,70,70,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,Flareon
Mew 52,Mew,RTG4 - Status Jr Trainer,00:15:16.16,00:15:24.06,01:00:16.03,28,0,0,15,24,6,DIG,MEGA PUNCH,THUNDERBOLT,BUBBLEBEAM,73,73,73,73,73,0,0,0,0,0,0,0,82,82,73,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,Flareon
