ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Mew 51,Mew,Rival (Lab),00:00:33.64,00:00:43.31,00:02:17.56,6,0,0,0,43,31,POUND,,,,18,18,18,18,18,0,-2,0,0,0,0,0,18,9,18,18,18,10255,4729,3519,0,2007,0,0,0,73,73,0,0,10,2,1,1,0,0,24,21,6,6,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,336,0,Jolteon
Mew 51,Mew,Brock,00:03:41.38,00:04:33.89,00:17:30.08,13,0,0,4,33,89,POUND,TRANSFORM,,,35,35,35,35,35,0,-4,0,0,0,0,0,17,14,14,14,23,64987,27520,35460,0,2007,0,0,0,847,847,0,0,68,9,6,3,0,0,332,289,82,82,57,5,30,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1410,0,0,0,0,0,9,0,1,1,1,0,336,0,Flareon
Mew 51,Mew,Misty,00:07:55.32,00:08:19.41,00:32:21.18,20,0,0,8,19,41,MEGA PUNCH,TRANSFORM,POUND,,52,53,52,52,53,0,6,0,0,0,0,0,45,176,50,50,56,118457,46112,67705,2633,2007,1,0,0,1533,1533,0,0,89,17,14,3,0,0,1211,982,137,137,102,14,46,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6103,0,0,0,0,2,9,0,1,1,2,0,336,0,Flareon
Mew 51,Mew,Rival (Nugget Bridge),00:08:44.00,00:08:58.43,00:34:55.07,21,0,0,8,58,43,MEGA PUNCH,TRANSFORM,POUND,BUBBLEBEAM,55,55,54,54,55,0,0,0,0,0,0,0,61,55,54,54,55,127686,50581,71744,3354,2007,1,0,0,1636,1636,0,0,106,18,15,3,0,0,1440,1153,142,142,107,14,47,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,7141,0,0,0,0,3,9,0,1,1,3,0,336,0,Flareon
Mew 51,Mew,Oddish Lass,00:10:58.07,00:11:06.86,00:43:21.41,24,0,0,11,6,86,MEGA PUNCH,TRANSFORM,POUND,BUBBLEBEAM,63,63,62,62,63,0,0,0,0,0,0,0,70,63,62,62,63,158080,57486,95233,3354,2007,1,0,0,1766,1766,0,0,161,28,25,3,0,0,2842,1969,165,165,131,17,53,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,11241,0,0,0,0,4,9,0,1,1,3,0,336,0,Flareon
Mew 51,Mew,Rocket,00:11:37.39,00:11:47.04,00:46:00.36,25,0,0,11,47,4,MEGA PUNCH,TRANSFORM,POUND,BUBBLEBEAM,65,65,65,65,65,0,0,0,0,0,0,0,73,65,65,65,65,167615,63436,98004,4168,2007,1,0,0,1909,1909,0,0,170,29,26,3,0,0,2992,2072,174,174,134,17,54,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,11930,0,0,0,0,5,9,0,1,1,3,0,336,0,Flareon
Mew 51,Mew,Rival (SS Anne),00:13:11.07,00:13:26.12,00:52:31.20,26,0,0,13,26,12,BODY SLAM,DIG,POUND,BUBBLEBEAM,68,68,67,67,68,0,0,0,0,0,-1,0,85,68,67,67,68,191059,73293,108746,7013,2007,1,0,0,2229,2229,0,0,191,33,30,3,0,0,3667,2523,190,190,146,18,58,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,14537,0,0,0,0,7,13,0,1,1,5,0,336,0,Flareon
Mew 51,Mew,Lt. Surge,00:14:02.35,00:14:09.13,00:55:21.18,27,0,0,14,9,13,BODY SLAM,DIG,POUND,BUBBLEBEAM,71,70,70,70,71,0,0,0,0,0,0,0,79,70,70,70,71,201257,80118,110904,8228,2007,1,0,0,2412,2412,0,0,215,34,31,3,0,0,3758,2599,190,190,147,19,58,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,15269,0,0,0,0,7,13,0,1,1,6,0,336,0,Flareon
Mew 51,Mew,RTG1 - Wrapping Lass,00:15:03.19,00:15:13.77,00:59:36.18,27,0,0,15,13,77,BODY SLAM,DIG,THUNDERBOLT,BUBBLEBEAM,71,70,70,70,71,0,0,0,0,0,0,0,79,78,70,70,71,216557,87317,113998,13235,2007,1,0,0,2594,2539,55,0,231,35,32,3,0,0,4070,2789,190,190,151,19,58,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,16517,0,0,0,0,7,13,0,1,1,7,0,336,0,Flareon
Mew 51,Mew,RTG4 - Status Jr Trainer,00:16:04.10,00:16:13.80,01:03:33.14,29,0,0,16,13,80,BODY SLAM,DIG,THUNDERBOLT,BUBBLEBEAM,76,76,75,75,76,0,0,0,0,0,0,0,85,85,75,75,76,230773,91495,123496,13775,2007,1,0,0,2799,2539,260,0,252,39,36,3,0,0,4874,3277,197,197,160,19,59,0,0,0,0,0,18,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,81,19397,0,0,0,0,7,13,0,1,1,7,0,336,0,Flareon
Mew 51,Mew,RTG6 - Finisher,00:16:52.81,00:17:03.68,01:06:50.21,30,0,0,17,3,68,BODY SLAM,DIG,THUNDERBOLT,BUBBLEBEAM,79,79,78,78,78,0,0,0,0,0,0,0,88,88,78,78,78,242600,96563,129334,14696,2007,1,0,0,2973,2539,434,0,280,41,38,3,0,0,5394,3534,197,197,165,20,59,0,0,0,0,0,21,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,87,21637,0,0,0,0,7,13,0,1,1,7,0,336,0,Flareon
Mew 51,Mew,Erika,00:20:04.46,00:20:17.66,01:19:35.50,31,0,0,20,17,66,BODY SLAM,DIG,THUNDERBOLT,PSYCHIC,81,81,80,80,81,0,0,0,0,0,0,0,91,91,80,80,81,288529,123475,137253,25794,2007,2,0,0,3805,2856,949,0,371,44,41,3,0,0,6080,3987,216,216,174,20,62,0,0,0,0,0,22,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,93,25980,0,0,0,0,9,31,5,1,1,9,0,336,0,Flareon
Mew 51,Mew,Rival (Pokemon Tower),00:20:35.09,00:20:50.85,01:21:46.26,32,0,0,20,50,85,BODY SLAM,DIG,THUNDERBOLT,PSYCHIC,84,84,83,83,84,0,0,0,0,0,0,0,94,94,83,83,84,296365,125915,141485,26958,2007,2,0,0,3855,2906,949,0,372,45,42,3,0,0,6611,4273,216,216,179,20,62,0,0,0,0,0,22,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,98,28630,0,0,0,0,9,31,5,1,1,9,0,336,0,Flareon
Mew 51,Mew,Rival (Silph Co.),00:23:26.72,00:23:56.40,01:33:58.44,36,0,0,23,56,40,SWORDS DANCE,DIG,THUNDERBOLT,PSYCHIC,94,94,94,94,94,4,0,0,0,0,0,0,317,105,94,94,94,340303,145963,159958,32375,2007,3,0,0,4321,3336,985,0,425,52,48,4,0,0,8571,5266,277,277,194,26,64,0,0,0,0,0,26,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,111,40735,0,0,0,0,16,31,5,1,1,10,0,336,0,Flareon
Mew 51,Mew,Giovanni (Silph),00:24:26.40,00:24:46.07,01:37:14.52,38,0,0,24,46,7,SWORDS DANCE,DIG,THUNDERBOLT,PSYCHIC,100,100,99,99,100,4,0,0,0,0,0,0,337,112,99,99,100,352071,148755,168109,33200,2007,3,0,0,4348,3363,985,0,428,54,50,4,0,0,9999,5942,289,289,201,31,66,0,0,0,0,0,26,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118,48134,0,0,0,0,16,31,5,1,1,10,0,336,0,Flareon
Mew 51,Mew,Koga,00:27:38.89,00:28:01.61,01:50:07.40,40,0,0,28,1,61,SWORDS DANCE,DIG,THUNDERBOLT,PSYCHIC,105,105,105,105,105,4,0,0,0,0,0,0,354,118,105,105,105,398439,170243,182707,43482,2007,4,0,0,5201,3560,1641,0,496,58,53,5,1,0,11575,6950,369,369,213,34,72,0,0,0,0,0,30,0,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,128,56760,0,0,0,0,19,31,5,1,1,12,0,336,0,Flareon
Mew 51,Mew,Blaine,00:30:06.69,00:30:25.01,01:59:33.21,46,0,0,30,25,1,SWORDS DANCE,DIG,THUNDERBOLT,PSYCHIC,120,120,120,120,120,4,-1,0,0,0,0,0,405,88,120,120,135,432380,189359,192374,48640,2007,5,0,0,5709,3962,1641,106,568,63,55,8,4,0,12798,7563,442,442,218,37,77,0,0,0,0,0,30,0,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,133,64330,0,0,0,0,23,31,5,1,1,12,0,336,0,Flareon
Mew 51,Mew,Sabrina,00:30:51.43,00:31:15.62,02:02:52.51,46,0,0,31,15,62,SWORDS DANCE,DIG,THUNDERBOLT,PSYCHIC,120,120,120,120,120,4,0,0,0,0,0,0,405,169,169,169,169,444350,193260,198635,50448,2007,6,0,0,5794,3981,1707,106,585,64,56,8,4,0,13281,8009,494,494,224,39,80,0,0,0,0,0,30,0,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,136,68655,0,0,0,0,23,31,5,1,1,12,0,336,0,Flareon
Mew 51,Mew,Giovanni,00:32:15.36,00:32:48.68,02:09:00.29,48,0,0,32,48,68,SWORDS DANCE,DIG,THUNDERBOLT,PSYCHIC,126,125,125,125,125,2,-1,0,0,0,0,0,283,92,140,140,140,466408,200131,211807,52463,2007,7,0,0,5954,4083,1765,106,605,67,59,8,4,0,15787,9232,530,530,237,44,82,0,0,0,0,0,30,0,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,145,83210,0,0,0,0,23,31,5,1,1,12,0,336,0,Flareon
Mew 51,Mew,Rival (Final),00:33:15.38,00:33:45.31,02:12:44.42,50,0,0,33,45,31,SWORDS DANCE,DIG,THUNDERBOLT,PSYCHIC,131,131,131,131,131,4,0,0,0,0,0,0,442,147,147,147,147,479861,203525,219605,54724,2007,8,0,0,6062,4126,1830,106,624,68,60,8,4,0,17481,9949,656,656,244,46,84,0,0,0,0,0,32,0,6,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,151,93174,0,0,0,0,23,31,5,1,1,12,0,336,0,Flareon
Mew 51,Mew,Lorelei,00:36:25.96,00:36:56.72,02:25:23.43,51,0,0,36,56,72,SWORDS DANCE,DIG,THUNDERBOLT,PSYCHIC,134,134,134,134,134,4,0,0,0,0,0,0,452,150,150,150,150,525402,233568,227393,62434,2007,9,0,0,6808,4173,2485,150,806,69,61,8,4,0,18618,10784,794,794,252,52,86,0,0,0,0,0,32,0,7,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,156,103683,0,0,0,0,24,36,6,1,1,12,0,336,0,Flareon
Mew 51,Mew,Bruno,00:37:02.68,00:37:20.15,02:26:56.06,52,0,0,37,20,15,SWORDS DANCE,DIG,THUNDERBOLT,PSYCHIC,137,137,136,136,137,0,0,0,0,0,0,0,154,154,153,153,154,530945,234511,231993,62434,2007,9,0,0,6817,4182,2485,150,809,70,62,8,4,0,20220,11443,794,794,258,52,86,0,0,0,0,0,33,0,7,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,161,111890,0,0,0,0,24,36,6,1,1,12,0,336,0,Flareon
Mew 51,Mew,Agatha,00:37:36.94,00:37:58.73,02:29:28.14,56,0,0,37,58,73,SWORDS DANCE,DIG,THUNDERBOLT,PSYCHIC,147,147,147,147,147,2,0,0,0,0,0,0,330,165,165,165,165,540073,235592,237630,64844,2007,10,0,0,6830,4195,2485,150,810,71,63,8,4,0,21570,12163,794,794,263,54,87,0,0,0,0,0,34,0,7,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,166,121976,0,0,0,0,24,36,6,1,1,12,0,336,0,Flareon
Mew 51,Mew,Lance,00:38:11.94,00:38:39.66,02:32:10.06,57,0,0,38,39,66,SWORDS DANCE,DIG,THUNDERBOLT,PSYCHIC,150,150,150,150,150,4,0,0,0,0,0,0,506,168,168,168,168,549785,237399,244647,65732,2007,10,0,0,6880,4245,2485,150,811,72,64,8,4,0,23079,13005,962,962,270,55,91,0,0,0,0,0,36,0,7,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,171,133582,0,0,0,0,24,36,6,1,1,12,0,336,0,Flareon
Mew 51,Mew,Champion,00:39:44.47,00:40:20.65,02:35:40.12,58,1,0,40,20,65,SWORDS DANCE,DIG,THUNDERBOLT,PSYCHIC,153,153,152,152,153,6,0,0,0,0,0,0,688,172,171,171,172,562396,239150,253788,67294,2164,11,1,0,6888,4253,2485,150,811,73,65,8,4,0,25282,13985,1162,1162,277,61,95,0,0,0,0,0,37,0,9,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,177,148433,0,0,0,0,24,36,6,1,1,12,0,336,1,Flareon
Mew 51,Mew,Hall of Fame,00:39:44.47,00:40:20.65,02:37:08.19,58,1,0,40,20,65,SWORDS DANCE,DIG,THUNDERBOLT,PSYCHIC,153,153,152,152,153,6,0,0,0,0,0,0,688,172,171,171,172,567683,243973,254252,67294,2164,11,1,0,6897,4262,2485,150,812,73,65,8,4,0,25282,13985,1162,1162,277,61,95,0,0,0,0,0,37,0,9,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,177,148433,0,0,0,0,24,36,6,1,1,12,0,336,1,Flareon
