date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
12-07,19:17:44,NINTEN,Mew,Rival1-Lab,1,Pallet Town - Oak's Lab,1,43.62,43,0h0m43s,0,0,0,6,0:02,9.118,POUND,,,,0,73,2,1,1,4,4,3,0,3000,Jolteon, ,Psychic,Psychic,232,Mew 49,Mew,Rival (Lab),00:00:34.51,00:00:43.63,00:02:15.23,6,0,0,0,43,63,POUND,,,,31,0,0,0,0,0,0,0,24,29,18,18,18,18,18,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,18,11,18,18,18,10315,4686,3409,0,2220,0,0,0,73,73,0,0,2,2,1,1,0,0,24,21,5,5,4,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,292,0,Jolteon
12-07,19:18:58,NINTEN,Mew,Bug Catcher,1,Viridian Forest,2,1:57.81,1:57,0h1m57s,0,0,0,8,0:07,15.563,POUND,,,,0,478,24,2,2,11,11,8,0,3175,Flareon, ,Psychic,Psychic,390,Mew 49,Mew,,00:01:42.26,00:01:57.82,00:07:08.27,8,0,0,1,57,82,POUND,,,,28,0,0,0,0,0,0,0,27,36,23,23,23,23,23,145,115,120,105,105,145,15,15,15,15,0,0,0,0,-1,0,0,23,23,23,23,15,27899,17229,8450,0,2220,0,0,0,478,478,0,0,24,4,2,2,0,0,74,69,14,14,11,1,7,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,0,0,0,0,0,0,292,0,Flareon
12-07,19:19:21,NINTEN,Mew,Bug Catcher,2,Viridian Forest,3,2:21.31,2:21,0h2m21s,0,0,0,10,0:08,19.669,POUND,TRANSFORM,,,0,492,24,3,2,20,20,14,0,3245,Flareon, ,Psychic,Psychic,639,Mew 49,Mew,,00:02:01.65,00:02:21.32,00:08:41.25,10,0,0,2,21,32,POUND,TRANSFORM,,,19,10,0,0,0,0,0,0,32,43,28,28,28,28,28,290,185,265,175,175,250,15,15,15,15,0,0,0,0,0,0,0,28,28,28,28,28,33477,17718,13539,0,2220,0,0,0,492,492,0,0,24,5,3,2,0,0,151,135,16,16,20,1,8,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,0,0,0,0,0,0,292,0,Flareon
12-07,19:19:38,NINTEN,Mew,Bug Catcher,3,Viridian Forest,1,2:38.48,2:38,0h2m38s,0,0,0,11,0:09,7.906,POUND,TRANSFORM,,,0,579,30,4,2,23,23,16,1,3305,Flareon, ,Psychic,Psychic,751,Mew 49,Mew,,00:02:30.58,00:02:38.49,00:09:49.25,11,0,0,2,38,49,POUND,TRANSFORM,,,16,10,0,0,0,0,0,0,29,46,30,30,30,30,30,335,215,300,195,195,295,15,15,15,15,0,0,0,0,0,0,0,30,30,30,30,30,37557,19503,15834,0,2220,0,0,0,579,579,0,0,30,6,4,2,0,0,183,165,22,22,23,1,10,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,616,0,0,0,0,1,0,0,0,0,1,0,292,0,Flareon
12-07,19:20:11,NINTEN,Mew,Jr Trainer M,1,Pewter City - Gym,2,3:11.48,3:11,0h3m11s,0,0,0,12,0:11,15.924,POUND,TRANSFORM,,,0,693,37,5,2,31,31,22,1,3405,Flareon, ,Psychic,Psychic,1085,Mew 49,Mew,,00:02:55.56,00:03:11.49,00:11:59.42,12,0,0,3,11,49,POUND,TRANSFORM,,,27,10,0,0,0,0,0,0,31,50,33,33,33,33,33,395,345,410,270,270,430,15,15,15,15,0,0,0,0,0,0,0,33,33,33,33,33,45374,23026,20128,0,2220,0,0,0,693,693,0,0,37,7,5,2,0,0,246,216,41,41,30,2,16,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,950,0,0,0,0,1,0,0,0,0,1,0,292,0,Flareon
12-07,19:21:03,NINTEN,Mew,Brock,1,Pewter City - Gym,2,4:03.28,4:03,0h4m3s,0,0,0,13,0:15,45.665,POUND,TRANSFORM,,,0,697,38,6,2,58,53,40,0,3585,Flareon, ,Psychic,Psychic,1545,Mew 49,Mew,Brock,00:03:17.62,00:04:03.28,00:15:25.08,13,0,0,4,3,28,POUND,TRANSFORM,,,17,9,0,0,0,0,0,0,25,53,35,35,35,35,35,470,470,670,330,330,520,15,15,15,15,0,-6,0,0,0,0,0,17,11,14,14,23,57700,23521,31564,395,2220,0,0,0,697,697,0,0,38,8,6,2,0,0,307,277,69,69,49,7,29,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1410,0,0,0,0,1,0,0,0,0,1,0,292,0,Flareon
12-07,19:21:38,NINTEN,Mew,Bug Catcher,4,Route 3,3,4:38.31,4:38,0h4m38s,0,0,0,14,0:17,14.165,POUND,TRANSFORM,,,0,812,51,7,2,64,59,43,1,4773,Flareon, ,Psychic,Psychic,1880,Mew 49,Mew,,00:04:24.15,00:04:38.32,00:17:43.38,14,0,0,4,38,32,POUND,TRANSFORM,,,29,10,0,0,0,0,0,0,51,56,37,38,37,37,38,600,565,770,390,390,660,15,15,15,15,0,0,0,0,0,0,0,41,38,37,37,38,66010,27475,35920,395,2220,0,0,0,812,812,0,0,51,9,7,2,0,0,444,366,74,74,55,8,31,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1745,0,0,0,0,1,0,0,0,0,1,0,292,0,Flareon
12-07,19:21:54,NINTEN,Mew,Youngster Ben,1,Route 3,2,4:53.81,4:53,0h4m53s,0,0,0,15,0:18,12.161,POUND,TRANSFORM,,,0,816,51,8,2,70,63,45,1,4873,Flareon, ,Psychic,Psychic,2158,Mew 49,Mew,,00:04:41.66,00:04:53.83,00:18:44.54,15,0,0,4,53,83,POUND,TRANSFORM,,,25,10,0,0,0,0,0,0,47,60,40,40,40,40,40,665,681,849,455,455,787,15,15,15,15,0,0,0,0,0,0,0,45,40,40,40,40,69686,27784,39287,395,2220,0,0,0,816,816,0,0,51,10,8,2,0,0,533,425,82,82,59,8,33,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2023,0,0,0,0,1,0,0,0,0,1,0,292,0,Flareon
12-07,19:22:13,NINTEN,Mew,Bug Catcher,5,Route 3,4,5:13.18,5:13,0h5m13s,0,0,0,16,0:20,16.569,POUND,TRANSFORM,,,0,820,52,9,2,77,70,48,1,5038,Flareon, ,Psychic,Psychic,2633,Mew 49,Mew,,00:04:56.62,00:05:13.19,00:20:01.16,16,0,0,5,13,19,POUND,TRANSFORM,,,18,10,0,0,0,0,0,0,50,63,42,43,42,42,42,845,791,1019,545,545,947,15,15,15,15,0,0,0,0,-1,0,0,47,43,42,42,27,74269,27958,43696,395,2220,0,0,0,820,820,0,0,52,11,9,2,0,0,682,537,82,82,66,8,34,0,0,0,0,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2498,0,0,0,0,1,0,0,0,0,1,0,292,0,Flareon
12-07,19:22:27,NINTEN,Mew,Bug Catcher,6,Route 3,2,5:26.68,5:26,0h5m26s,0,0,0,16,0:20,9.773,POUND,TRANSFORM,,,0,828,54,10,2,81,74,50,1,5128,Flareon, ,Psychic,Psychic,2926,Mew 49,Mew,,00:05:16.91,00:05:26.69,00:20:54.30,16,0,0,5,26,69,POUND,TRANSFORM,,,14,10,0,0,0,0,0,0,50,63,42,43,42,42,42,940,841,1109,590,590,1022,15,15,15,15,0,0,0,0,-1,0,0,52,43,42,42,27,77462,28318,46529,395,2220,0,0,0,828,828,0,0,54,12,10,2,0,0,768,602,82,82,70,8,35,0,0,0,0,0,14,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2791,0,0,0,0,1,0,0,0,0,1,0,292,0,Flareon
