ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Mew4,Mew,Rival (Lab),00:00:34.87,00:00:45.82,00:02:26.45,6,0,0,0,45,82,POUND,,,,18,18,18,18,18,0,-1,0,0,0,0,0,18,11,18,18,18,10855,4957,3820,0,2078,0,0,0,75,75,0,0,8,2,1,1,0,0,24,21,9,9,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,4,0,Jolteon
Mew4,Mew,Rival (Lab),00:00:33.34,00:00:42.85,00:02:16.51,6,0,0,0,42,85,POUND,,,,18,18,18,18,18,0,-1,0,0,0,0,0,18,11,18,18,18,10138,4713,3470,0,1955,0,0,0,71,71,0,0,4,2,1,1,0,0,25,21,12,12,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,4,0,Jolteon
Mew4,Mew,Brock,00:03:29.25,00:04:23.75,00:16:50.39,13,0,0,4,23,75,POUND,TRANSFORM,,,35,35,35,35,35,0,0,0,0,0,0,0,17,45,14,14,23,62566,25230,35072,309,1955,0,0,0,744,744,0,0,42,9,6,3,0,0,312,275,83,83,53,12,33,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1374,0,0,0,0,2,6,0,1,1,1,0,4,0,Flareon
Mew4,Mew,Misty,00:08:41.28,00:08:57.80,00:32:56.32,21,1,0,8,57,80,POUND,TRANSFORM,MEGA PUNCH,,55,55,54,54,55,0,0,0,0,0,0,0,61,55,54,54,55,120524,43629,72006,2778,2111,1,1,0,1408,1408,0,0,65,17,14,3,0,0,1165,968,213,213,106,27,63,0,0,0,0,0,12,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,6067,0,0,0,0,3,6,0,1,1,2,0,4,1,Flareon
Mew4,Mew,Rival (Nugget Bridge),00:09:23.79,00:09:40.27,00:35:44.00,22,1,0,9,40,27,MEGA PUNCH,POUND,TRANSFORM,BUBBLEBEAM,57,57,57,57,57,-1,0,0,0,0,0,0,41,57,57,57,57,130572,48529,76511,3421,2111,1,1,0,1510,1510,0,0,75,18,15,3,0,0,1408,1139,218,218,112,27,65,0,0,0,0,0,12,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,7105,0,0,0,0,4,6,0,1,1,3,0,4,1,Flareon
Mew4,Mew,Oddish Lass,00:11:33.66,00:11:47.22,00:44:04.44,25,1,0,11,47,22,MEGA PUNCH,POUND,TRANSFORM,BUBBLEBEAM,65,65,65,65,65,0,0,0,0,0,0,0,73,65,65,65,65,160616,55255,99829,3421,2111,1,1,0,1632,1632,0,0,88,28,25,3,0,0,2875,1956,236,236,135,29,70,0,0,0,0,0,16,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55,11205,0,0,0,0,5,6,0,1,1,3,0,4,1,Flareon
Mew4,Mew,Rocket,00:12:16.10,00:12:24.87,00:46:33.32,25,1,0,12,24,87,MEGA PUNCH,POUND,TRANSFORM,BUBBLEBEAM,65,65,65,65,65,0,0,0,0,0,0,0,73,65,65,65,65,169544,60962,102417,4054,2111,1,1,0,1772,1772,0,0,95,29,26,3,0,0,3031,2059,241,241,138,29,71,0,0,0,0,0,17,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,57,11894,0,0,0,0,6,6,0,1,1,3,0,4,1,Flareon
Mew4,Mew,Rival (SS Anne),00:13:56.90,00:14:08.71,00:53:22.49,27,1,0,14,8,71,BODY SLAM,MEGA PUNCH,DIG,BUBBLEBEAM,70,70,70,70,71,0,0,0,0,0,0,0,78,70,70,70,71,194101,70945,114412,6633,2111,1,1,0,2105,2105,0,0,132,34,31,3,0,0,3918,2604,246,246,150,30,72,0,0,0,0,0,17,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,69,15385,0,0,0,0,9,9,0,1,1,5,0,4,1,Flareon
Mew4,Mew,Lt. Surge,00:14:43.17,00:14:48.45,00:55:59.46,27,1,0,14,48,45,BODY SLAM,MEGA PUNCH,DIG,BUBBLEBEAM,70,70,70,70,71,0,0,0,0,0,0,0,78,70,70,70,71,203518,77493,116202,7712,2111,1,1,0,2282,2282,0,0,138,35,32,3,0,0,4008,2680,246,246,151,31,72,0,0,0,0,0,17,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,16117,0,0,0,0,9,9,0,1,1,6,0,4,1,Flareon
Mew4,Mew,RTG1 - Wrapping Lass,00:15:39.97,00:15:51.35,01:00:07.32,28,1,0,15,51,35,BODY SLAM,THUNDERBOLT,DIG,BUBBLEBEAM,73,73,73,73,73,0,0,0,0,0,0,0,82,82,73,73,73,218384,85415,119478,11380,2111,1,1,0,2474,2421,53,0,151,36,33,3,0,0,4424,2870,246,246,155,31,72,0,0,0,0,0,20,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,74,17365,0,0,0,0,9,9,0,1,1,7,0,4,1,Flareon
