date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
3-14,14:52:49,NINTEN,Mew,Rival1-Lab,1,Pallet Town - Oak's Lab,1,42.93,42,0h0m42s,0,0,0,6,0:02,9.252,POUND,,,,0,71,1,1,1,4,4,3,0,3000,Jolteon, ,Psychic,Psychic,232,Mew158,Mew,Rival (Lab),00:00:33.67,00:00:42.93,00:02:17.06,6,0,0,0,42,93,POUND,,,,31,0,0,0,0,0,0,0,20,29,18,18,18,18,18,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,18,18,18,18,18,10160,4780,3418,0,1962,0,0,0,71,71,0,0,1,2,1,1,0,0,27,21,9,9,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,158,0,Jolteon
3-14,14:54:02,NINTEN,Mew,Bug Catcher,1,Viridian Forest,2,1:56.00,1:56,0h1m56s,0,0,0,8,0:07,14.207,POUND,,,,0,477,14,2,2,11,11,8,0,3175,Flareon, ,Psychic,Psychic,390,Mew158,Mew,,00:01:41.79,00:01:56.00,00:07:05.41,8,0,0,1,56,0,POUND,,,,28,0,0,0,0,0,0,0,34,36,23,23,23,23,23,145,115,120,105,105,145,15,15,15,15,0,0,0,0,0,0,0,23,23,23,23,23,27475,17363,8150,0,1962,0,0,0,477,477,0,0,14,4,2,2,0,0,76,69,11,11,11,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,0,0,0,0,0,0,158,0,Flareon
3-14,14:54:24,NINTEN,Mew,Bug Catcher,15,Viridian Forest,2,2:17.07,2:17,0h2m17s,0,0,0,10,0:08,14.473,POUND,TRANSFORM,,,0,523,17,3,2,17,17,12,1,3245,Flareon, ,Psychic,Psychic,603,Mew158,Mew,,00:02:02.59,00:02:17.07,00:08:29.04,10,0,0,2,17,7,POUND,TRANSFORM,,,22,10,0,0,0,0,0,0,39,43,28,28,28,28,28,240,165,210,150,150,220,15,15,15,15,0,0,0,0,-2,0,0,28,28,28,28,14,32478,18485,12031,0,1962,0,0,0,523,523,0,0,17,5,3,2,0,0,129,122,13,13,17,5,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,468,0,0,0,0,1,0,0,0,0,0,0,158,0,Flareon
3-14,14:54:39,NINTEN,Mew,Bug Catcher,3,Viridian Forest,1,2:32.36,2:32,0h2m32s,0,0,0,10,0:09,8.036,POUND,TRANSFORM,,,0,575,21,4,2,20,20,15,1,3325,Flareon, ,Psychic,Psychic,715,Mew158,Mew,,00:02:24.32,00:02:32.36,00:09:29.39,10,0,0,2,32,36,POUND,TRANSFORM,,,19,10,0,0,0,0,0,0,37,43,28,28,28,28,28,285,195,245,170,170,265,15,15,15,15,0,0,0,0,-2,0,0,28,28,28,28,14,36113,19799,14352,0,1962,0,0,0,575,575,0,0,21,6,4,2,0,0,167,152,15,15,20,5,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,580,0,0,0,0,2,0,0,0,0,1,0,158,0,Flareon
3-14,14:55:09,NINTEN,Mew,Jr Trainer M,1,Pewter City - Gym,2,3:02.60,3:02,0h3m2s,0,0,0,12,0:11,13.94,POUND,TRANSFORM,,,0,691,21,5,2,26,26,19,1,3425,Flareon, ,Psychic,Psychic,1049,Mew158,Mew,,00:02:48.67,00:03:02.60,00:11:28.58,12,0,0,3,2,60,POUND,TRANSFORM,,,29,10,0,0,0,0,0,0,38,50,33,33,33,33,33,345,325,355,245,245,400,15,15,15,15,0,0,0,0,0,0,0,33,33,33,33,33,43272,23115,18195,0,1962,0,0,0,691,691,0,0,21,7,5,2,0,0,226,203,27,27,26,5,14,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,914,0,0,0,0,2,0,0,0,0,1,0,158,0,Flareon
3-14,14:55:50,NINTEN,Mew,Brock,1,Pewter City - Gym,2,3:43.21,3:43,0h3m43s,0,0,0,13,0:14,34.529,POUND,TRANSFORM,,,0,695,21,6,2,46,44,32,1,3605,Flareon, ,Psychic,Psychic,1509,Mew158,Mew,Brock,00:03:08.68,00:03:43.21,00:14:09.55,13,0,0,3,43,21,POUND,TRANSFORM,,,20,9,0,0,0,0,0,0,24,53,35,35,35,35,35,420,450,615,305,305,490,15,15,15,15,0,-4,0,0,0,0,0,17,14,14,14,23,52929,23653,27012,302,1962,0,0,0,695,695,0,0,21,8,6,2,0,0,291,264,56,56,42,7,24,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1374,0,0,0,0,2,0,0,0,0,1,0,158,0,Flareon
3-14,14:56:17,NINTEN,Mew,Bug Catcher,4,Route 3,3,4:10.41,4:10,0h4m10s,0,0,0,14,0:15,13.975,POUND,TRANSFORM,,,0,766,21,7,2,52,50,35,2,4793,Flareon, ,Psychic,Psychic,1844,Mew158,Mew,,00:03:56.43,00:04:10.41,00:15:57.22,14,0,0,4,10,41,POUND,TRANSFORM,,,14,9,0,0,0,0,0,0,25,56,37,38,37,37,38,550,545,715,365,365,630,15,15,15,15,0,0,0,0,-1,0,0,46,38,37,37,25,59376,25774,31338,302,1962,0,0,0,766,766,0,0,21,9,7,2,0,0,406,353,58,58,48,8,26,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1709,0,0,0,0,2,0,0,0,0,1,0,158,0,Flareon
3-14,14:56:31,NINTEN,Mew,Youngster Ben,1,Route 3,2,4:24.22,4:24,0h4m24s,0,0,0,15,0:16,10.398,POUND,TRANSFORM,,,0,770,21,8,2,56,54,37,2,4893,Flareon, ,Psychic,Psychic,2122,Mew158,Mew,,00:04:13.82,00:04:24.22,00:16:51.49,15,0,0,4,24,22,POUND,TRANSFORM,,,10,9,0,0,0,0,0,0,24,60,40,40,40,40,40,615,661,794,430,430,757,15,15,15,15,0,-1,0,0,0,0,0,45,26,40,40,40,62643,26066,34313,302,1962,0,0,0,770,770,0,0,21,10,8,2,0,0,478,412,63,63,52,8,28,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1987,0,0,0,0,2,0,0,0,0,1,0,158,0,Flareon
3-14,14:56:43,NINTEN,Mew,Lass,2,Route 3,2,4:36.83,4:36,0h4m36s,0,0,0,15,0:17,8.733,POUND,TRANSFORM,,,0,776,22,9,2,59,57,39,2,5058,Flareon, ,Psychic,Psychic,2370,Mew158,Mew,,00:04:28.09,00:04:36.83,00:17:41.30,15,0,0,4,36,83,POUND,TRANSFORM,,,7,9,0,0,0,0,0,0,15,60,40,40,40,40,40,691,774,869,495,495,879,15,15,15,15,0,0,0,0,0,0,0,45,40,40,40,40,65624,26481,36879,302,1962,0,0,0,776,776,0,0,22,11,9,2,0,0,549,469,72,72,55,8,30,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2235,0,0,0,0,2,0,0,0,0,1,0,158,0,Flareon
3-14,14:57:00,NINTEN,Mew,Bug Catcher,6,Route 3,2,4:54.01,4:54,0h4m54s,0,0,0,16,0:18,10.351,POUND,TRANSFORM,,,0,832,23,10,2,63,61,41,2,5208,Flareon, ,Psychic,Psychic,2663,Mew158,Mew,,00:04:43.66,00:04:54.01,00:18:49.19,16,0,0,4,54,1,POUND,TRANSFORM,,,3,9,0,0,0,0,0,0,16,63,42,42,42,42,42,786,824,959,540,540,954,15,15,15,15,0,0,0,0,0,0,0,47,42,42,42,42,69693,27617,39812,302,1962,0,0,0,832,832,0,0,23,12,10,2,0,0,639,534,74,74,59,8,31,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2528,0,0,0,0,2,0,0,0,0,1,0,158,0,Flareon
