ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Mew 50,Mew,Rival (Lab),00:00:35.28,00:00:44.71,00:02:21.25,6,0,0,0,44,71,POUND,,,,18,18,18,18,18,0,-2,0,0,0,0,0,18,9,18,18,18,10576,5007,3450,0,2119,0,0,0,72,72,0,0,16,2,1,1,0,0,26,21,4,4,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,323,0,Jolteon
Mew 50,Mew,Brock,00:03:45.65,00:04:39.37,00:17:49.57,13,0,0,4,39,37,POUND,TRANSFORM,,,35,35,35,35,35,0,0,0,0,0,0,0,17,45,14,14,23,66288,27810,35841,518,2119,0,0,0,757,757,0,0,72,9,6,3,0,0,336,288,80,80,57,6,31,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1410,0,0,0,0,1,11,0,1,1,1,0,323,0,Flareon
Mew 50,Mew,Misty,00:08:04.48,00:08:19.07,00:32:18.08,20,0,0,8,19,7,MEGA PUNCH,TRANSFORM,POUND,,52,53,52,52,53,0,0,0,0,0,0,0,58,53,52,52,53,118379,49527,63849,2884,2119,1,0,0,1527,1527,0,0,139,17,14,3,0,0,1166,926,175,175,92,13,48,0,0,0,0,0,16,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,29,5876,0,0,0,0,3,11,0,1,1,2,0,323,0,Flareon
Mew 50,Mew,Rival (Nugget Bridge),00:08:40.97,00:08:58.02,00:34:51.47,21,0,0,8,58,2,BUBBLEBEAM,TRANSFORM,POUND,MEGA PUNCH,55,55,54,54,55,0,0,0,0,0,0,0,61,55,54,54,55,127598,53206,68486,3787,2119,1,0,0,1621,1621,0,0,146,18,15,3,0,0,1431,1097,180,180,98,14,49,0,0,0,0,0,16,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,33,6914,0,0,0,0,4,11,0,1,1,3,0,323,0,Flareon
Mew 50,Mew,Oddish Lass,00:10:47.52,00:10:58.97,00:42:48.27,24,0,0,10,58,97,BUBBLEBEAM,TRANSFORM,POUND,MEGA PUNCH,63,63,62,62,63,0,0,0,0,0,0,0,70,63,62,62,63,156198,59813,90479,3787,2119,1,0,0,1741,1741,0,0,188,28,25,3,0,0,2721,1867,188,188,118,14,51,0,0,0,0,0,21,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,53,10849,0,0,0,0,4,11,0,1,1,3,0,323,0,Flareon
Mew 50,Mew,Rocket,00:11:29.45,00:11:46.52,00:45:56.44,24,0,0,11,46,52,BUBBLEBEAM,TRANSFORM,POUND,MEGA PUNCH,63,63,62,62,63,0,0,0,0,0,0,0,70,63,62,62,63,167495,65977,95006,4393,2119,2,0,0,1882,1882,0,0,221,29,26,3,0,0,2872,1970,205,205,121,17,57,0,0,0,0,0,22,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,55,11538,0,0,0,0,5,11,0,1,1,3,0,323,0,Flareon
Mew 50,Mew,Rival (SS Anne),00:13:14.73,00:13:26.49,00:52:30.55,26,0,0,13,26,49,BUBBLEBEAM,DIG,POUND,MEGA PUNCH,68,68,67,67,68,0,0,0,0,0,0,0,76,68,67,67,68,191146,77288,104412,7327,2119,2,0,0,2202,2202,0,0,264,33,30,3,0,0,3582,2421,215,215,131,20,59,0,0,0,0,0,23,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,65,14145,0,0,0,0,7,21,0,1,1,4,0,323,0,Flareon
Mew 50,Mew,Lt. Surge,00:14:07.12,00:14:12.26,00:55:31.40,26,0,0,14,12,26,BUBBLEBEAM,DIG,POUND,MEGA PUNCH,68,68,67,67,68,0,0,0,0,0,0,0,76,68,67,67,68,201991,84742,106165,8965,2119,2,0,0,2389,2389,0,0,284,34,31,3,0,0,3666,2497,215,215,132,21,59,0,0,0,0,0,23,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,66,14877,0,0,0,0,7,21,0,1,1,5,0,323,0,Flareon
Mew 50,Mew,RTG1 - Wrapping Lass,00:15:13.42,00:15:25.94,01:00:22.35,27,0,0,15,25,94,BODY SLAM,DIG,BUBBLEBEAM,THUNDERBOLT,70,70,70,70,71,0,0,0,0,0,0,0,78,78,70,70,71,219446,92577,109712,15038,2119,2,0,0,2577,2577,0,0,300,35,32,3,0,0,3979,2687,215,215,136,21,59,0,0,0,0,0,24,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,70,16125,0,0,0,0,7,21,0,1,1,7,0,323,0,Flareon
Mew 50,Mew,RTG4 - Status Jr Trainer,00:16:18.27,00:16:26.05,01:04:19.43,28,0,0,16,26,5,BODY SLAM,DIG,BUBBLEBEAM,THUNDERBOLT,73,73,73,73,73,0,0,0,0,0,0,0,82,82,73,73,73,233674,97336,117856,16363,2119,2,0,0,2771,2771,0,0,313,39,36,3,0,0,4768,3175,215,215,144,22,59,0,0,0,0,0,25,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,78,19005,0,0,0,0,7,21,0,1,1,7,0,323,0,Flareon
