date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
11-24,22:23:07,NINTEN,Mew,Rival1-Lab,1,Pallet Town - Oak's Lab,1,42.81,42,0h0m42s,0,0,0,6,0:02,9.142,POUND,,,,0,71,1,1,1,4,4,3,0,3000,Jolteon, ,Psychic,Psychic,232,Mew 13,Mew,Rival (Lab),00:00:33.68,00:00:42.82,00:02:13.54,6,0,0,0,42,82,POUND,,,,31,0,0,0,0,0,0,0,23,29,18,18,18,18,18,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,18,11,18,18,18,10126,4619,3387,0,2120,0,0,0,71,71,0,0,1,2,1,1,0,0,26,21,6,6,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,187,0,Jolteon
11-24,22:24:27,NINTEN,Mew,Bug Catcher,1,Viridian Forest,2,2:03.40,2:03,0h2m3s,0,0,0,8,0:07,17.064,POUND,,,,0,508,30,2,2,11,11,10,2,2675,Flareon, ,Psychic,Psychic,390,Mew 13,Mew,,00:01:46.35,00:02:03.41,00:07:32.12,8,0,0,2,3,41,POUND,,,,28,0,0,0,0,0,0,0,30,36,23,23,23,23,23,145,115,120,105,105,145,15,15,15,15,0,0,0,0,-4,0,0,23,23,23,23,7,29224,18314,8790,0,2120,0,0,0,508,508,0,0,30,4,2,2,0,0,76,69,12,12,11,1,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,2,0,0,0,0,0,187,0,Flareon
11-24,22:24:49,NINTEN,Mew,Bug Catcher,2,Viridian Forest,3,2:25.57,2:25,0h2m25s,0,0,0,10,0:08,18.248,POUND,TRANSFORM,,,0,523,30,3,2,19,19,15,2,2745,Flareon, ,Psychic,Psychic,639,Mew 13,Mew,,00:02:07.33,00:02:25.58,00:08:59.54,10,0,0,2,25,58,POUND,TRANSFORM,,,20,10,0,0,0,0,0,0,35,43,28,28,28,28,28,290,185,265,175,175,250,15,15,15,15,0,0,0,0,0,0,0,28,28,28,28,28,34486,18822,13544,0,2120,0,0,0,523,523,0,0,30,5,3,2,0,0,150,135,14,14,19,1,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,2,0,0,0,0,0,187,0,Flareon
11-24,22:25:14,NINTEN,Mew,Bug Catcher,3,Viridian Forest,1,2:49.95,2:49,0h2m49s,0,0,0,11,0:10,7.881,POUND,TRANSFORM,,,0,606,33,4,3,23,23,18,1,2805,Flareon, ,Psychic,Psychic,751,Mew 13,Mew,,00:02:42.09,00:02:49.97,00:10:36.17,11,0,0,2,49,97,POUND,TRANSFORM,,,16,10,0,0,0,0,0,0,33,46,30,30,30,30,30,335,215,300,195,195,295,15,15,15,15,0,0,0,0,-1,0,0,30,30,30,30,19,40269,20431,17718,0,2120,0,0,0,606,606,0,0,33,7,4,3,0,0,198,180,19,19,23,1,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,616,0,0,0,0,0,2,0,1,1,1,0,187,0,Flareon
11-24,22:25:43,NINTEN,Mew,Jr Trainer M,1,Pewter City - Gym,2,3:19.53,3:19,0h3m19s,0,0,0,12,0:12,13.424,POUND,TRANSFORM,,,0,720,34,5,3,29,29,22,1,2905,Flareon, ,Psychic,Psychic,1085,Mew 13,Mew,,00:03:06.12,00:03:19.55,00:12:32.59,12,0,0,3,19,55,POUND,TRANSFORM,,,29,10,0,0,0,0,0,0,35,50,33,33,33,33,33,395,345,410,270,270,430,15,15,15,15,0,0,0,0,0,0,0,33,33,33,33,33,47271,23726,21425,0,2120,0,0,0,720,720,0,0,34,8,5,3,0,0,256,231,34,34,29,1,17,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,950,0,0,0,0,0,2,0,1,1,1,0,187,0,Flareon
11-24,22:26:43,NINTEN,Mew,Brock,1,Pewter City - Gym,2,4:19.00,4:19,0h4m19s,0,0,0,13,0:16,53.62,POUND,TRANSFORM,,,0,724,35,6,3,69,55,42,0,3085,Flareon, ,Psychic,Psychic,1545,Mew 13,Mew,Brock,00:03:25.39,00:04:19.01,00:16:28.58,13,0,0,4,19,1,POUND,TRANSFORM,,,13,9,0,0,0,0,0,0,2,53,35,35,35,35,35,470,470,670,330,330,520,15,15,15,15,0,0,0,0,0,0,0,17,45,14,14,23,61430,24237,34767,306,2120,0,0,0,724,724,0,0,35,9,6,3,0,0,317,292,85,85,53,5,33,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1410,0,0,0,0,0,2,0,1,1,1,0,187,0,Flareon
11-24,22:27:17,NINTEN,Mew,Bug Catcher,4,Route 3,3,4:52.89,4:52,0h4m52s,0,0,0,14,0:18,14.277,POUND,TRANSFORM,,,0,835,35,7,3,75,61,45,1,4273,Flareon, ,Psychic,Psychic,1880,Mew 13,Mew,,00:04:38.63,00:04:52.90,00:18:42.54,14,0,0,4,52,90,POUND,TRANSFORM,,,29,10,0,0,0,0,0,0,50,56,37,38,37,37,38,600,565,770,390,390,660,15,15,15,15,0,0,0,0,0,0,0,41,38,37,37,38,69466,27879,39161,306,2120,0,0,0,835,835,0,0,35,10,7,3,0,0,443,381,91,91,59,5,36,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1745,0,0,0,0,0,2,0,1,1,1,0,187,0,Flareon
11-24,22:27:33,NINTEN,Mew,Youngster Ben,1,Route 3,2,5:08.62,5:08,0h5m8s,0,0,0,15,0:19,12.564,POUND,TRANSFORM,,,0,839,35,8,3,80,66,49,1,4373,Flareon, ,Psychic,Psychic,2158,Mew 13,Mew,,00:04:56.07,00:05:08.63,00:19:45.02,15,0,0,5,8,63,POUND,TRANSFORM,,,24,10,0,0,0,0,0,0,40,60,40,40,40,40,40,665,681,849,455,455,787,15,15,15,15,0,0,0,0,0,0,0,45,40,40,40,40,73194,28138,42630,306,2120,0,0,0,839,839,0,0,35,11,8,3,0,0,517,440,105,105,64,5,40,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2023,0,0,0,0,0,2,0,1,1,1,0,187,0,Flareon
11-24,22:27:44,NINTEN,Mew,Lass,2,Route 3,2,5:20.34,5:20,0h5m20s,0,0,0,15,0:20,7.991,POUND,TRANSFORM,,,0,845,35,9,3,83,69,50,1,4538,Flareon, ,Psychic,Psychic,2406,Mew 13,Mew,,00:05:12.36,00:05:20.35,00:20:31.12,15,0,0,5,20,35,POUND,TRANSFORM,,,21,10,0,0,0,0,0,0,35,60,40,40,40,40,40,741,794,924,520,520,909,15,15,15,15,0,0,0,0,0,0,0,45,40,40,40,40,75964,28531,45007,306,2120,0,0,0,845,845,0,0,35,12,9,3,0,0,592,497,110,110,67,5,41,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2271,0,0,0,0,0,2,0,1,1,1,0,187,0,Flareon
11-24,22:28:03,NINTEN,Mew,Bug Catcher,6,Route 3,2,5:38.66,5:38,0h5m38s,0,0,0,16,0:21,10.285,POUND,TRANSFORM,,,0,911,41,10,3,87,73,52,1,4688,Flareon, ,Psychic,Psychic,2699,Mew 13,Mew,,00:05:28.39,00:05:38.67,00:21:43.36,16,0,0,5,38,67,POUND,TRANSFORM,,,17,10,0,0,0,0,0,0,38,63,42,43,42,42,43,836,844,1014,565,565,984,15,15,15,15,0,0,0,0,0,0,0,47,43,42,42,43,80308,29973,47909,306,2120,0,0,0,911,911,0,0,41,13,10,3,0,0,660,562,110,110,71,5,41,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2564,0,0,0,0,0,2,0,1,1,1,0,187,0,Flareon
